Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494216,42,14,0,24.999043312975957,0.0008009114760764564,0.00015577554796750414,0.0,494272
2,494272,494148,84,39,1,24.99774573428106,0.0017697253672220687,0.00047391200378587504,1.0628347929597824e-05,494272
3,494272,494093,109,69,1,24.99657394204337,0.002090866648457186,0.0013245629602445152,1.0628347929597824e-05,494272
4,494272,494040,126,99,7,24.99482881821318,0.002806839905374589,0.0022864541074640804,7.788777398375207e-05,494272
5,494272,493963,172,124,13,24.991476336738028,0.005247561268353563,0.0031160922248929667,0.00016000976872453576,494272
6,494272,493916,178,157,21,24.98960071720615,0.005295390315691119,0.0047818740429322265,0.00032201843522357396,494272
7,494272,493860,184,198,30,24.98565327809631,0.007331871579690007,0.006467092973140642,0.0005477573508592445,494272
8,494272,493781,209,238,44,24.984036918897036,0.007892746915015299,0.007060553985485173,0.0010097802024625264,494272
9,494272,493696,246,268,62,24.981665670337925,0.009031152854016344,0.007981969026759234,0.0013212077813006678,494272
10,494272,493620,267,307,78,24.974600287423662,0.014760836506598415,0.008289777874193497,0.0023490981955455368,494272
11,494272,493548,264,362,98,24.97022544404288,0.01379501262017237,0.013135532897707964,0.0028440104392395524,494272
12,494272,493465,261,426,120,24.960158247559974,0.01833388720779362,0.017223745127033858,0.004284120105199405,494272
13,494272,493360,313,460,139,24.95410716976485,0.02019402701774769,0.019471999458289767,0.006226803759111787,494272
14,494272,493281,333,475,183,24.952030458306456,0.015942670563203306,0.02528770930099273,0.0067391618293458876,494272
15,494272,493213,323,518,218,24.952172881464236,0.013362250885103164,0.02490658804588755,0.009558279604773968,494272
16,494272,493120,351,543,258,24.953252445930733,0.015443537092009673,0.019634921795005738,0.011669095182252783,494272
17,494272,493010,375,596,291,24.948267733218145,0.01566890997737553,0.023758473026943533,0.012304883777534862,494272
18,494272,492899,404,637,332,24.931355616319134,0.015050934840319186,0.03103560768188805,0.022557841158659296,494272
19,494272,492761,450,682,379,24.927322899171724,0.016150829530437803,0.03138077076032168,0.025145500537518198,494272
20,494272,492655,461,736,420,24.91403206860931,0.02131171391233214,0.036593459122432344,0.028062758355927402,494272
21,494272,492550,471,784,467,24.906913581150175,0.023788850597653333,0.04064969653000237,0.028647871722169104,494272
22,494272,492431,474,836,531,24.901945933234686,0.023984674821448934,0.04253592743467182,0.03153346450919312,494272
23,494272,492321,462,895,594,24.899397317858533,0.015390157441350378,0.04831207679554894,0.0369004479045697,494272
24,494272,492198,471,948,655,24.887925740601663,0.01924775054568823,0.05480063826544255,0.038025870587207945,494272
25,494272,492066,500,988,718,24.880000213682642,0.019829926934655653,0.060403117765655795,0.03976674161704506,494272
26,494272,491913,536,1028,795,24.873233409197972,0.02349506260181814,0.061938639752720376,0.04133288844749022,494272
