Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494202,58,12,0,24.99838101465635,0.0014287366264238218,0.000190248717226508,0.0,494272
2,494272,494144,88,40,0,24.9976587192257,0.0017992878083349171,0.0005419929659644771,0.0,494272
3,494272,494086,115,64,7,24.992632850069835,0.006055985848805159,0.0012271590049892946,8.400507637148434e-05,494272
4,494272,494032,132,97,11,24.990758285274836,0.006533144249990214,0.002582052007083841,0.00012651846808987561,494272
5,494272,493955,176,120,21,24.983693221587792,0.01365688835241852,0.002416226737836492,0.0002336633219512562,494272
6,494272,493903,188,150,31,24.989444574199187,0.0052434787770772465,0.004871410504440107,0.0004405365192950167,494272
7,494272,493818,233,183,38,24.985329605171547,0.008214533537805576,0.004930371657220534,0.0015254896334265151,494272
8,494272,493752,241,228,51,24.985204969884027,0.006403080772025267,0.006579583349135382,0.0018123659948134682,494272
9,494272,493677,241,288,66,24.98194790619404,0.007712676748917507,0.00803376886424019,0.002305648192801074,494272
10,494272,493586,266,325,95,24.982651930536775,0.005644807793048753,0.009318430837929943,0.002384830832245615,494272
11,494272,493508,278,369,117,24.979452576061036,0.00447861643090528,0.011354152537833475,0.00471465497022403,494272
12,494272,493430,288,407,147,24.977529824071272,0.004634164972590821,0.012305890496613382,0.0055301204595238785,494272
13,494272,493335,328,441,168,24.965936710745964,0.0052329668286905835,0.022398183817786643,0.006432138607559551,494272
14,494272,493242,344,495,191,24.960525410032908,0.008732244719379535,0.02322147014444029,0.007520875103274024,494272
15,494272,493144,356,551,221,24.950450958263954,0.01439101894263066,0.0191793119716745,0.015978710821742917,494272
16,494272,493033,396,596,247,24.941453420756204,0.014194667706256266,0.0257620556846031,0.018589855852936307,494272
17,494272,492935,414,634,289,24.942226266095386,0.01319675657435006,0.029174753188833367,0.015402224141431308,494272
18,494272,492859,396,679,338,24.938457096063427,0.011572172306362457,0.030138126330820275,0.019832605299391914,494272
19,494272,492753,421,712,386,24.933347075563226,0.014097040120470077,0.027953619913155987,0.02460226440314886,494272
20,494272,492651,448,735,438,24.936314489874082,0.014868343695738188,0.023666679158985262,0.025150487271194212,494272
21,494272,492556,436,790,490,24.922928247128233,0.017378556897498315,0.030900687643103882,0.02879250833116461,494272
22,494272,492435,460,827,550,24.915833111633777,0.019282184148945725,0.03130011822836671,0.03358458598890953,494272
23,494272,492319,468,866,619,24.91006702648745,0.015935727924385128,0.0396037677264996,0.03439347786166539,494272
24,494272,492196,495,904,677,24.904381515113908,0.015823458706778874,0.042848107128558965,0.03694691905075551,494272
25,494272,492072,499,957,744,24.897367791934954,0.019451781344008753,0.04290000054615435,0.04028042617488238,494272
26,494272,491930,531,1010,801,24.88852986037732,0.020655688777085703,0.04207498447337994,0.048739466372212686,494272
27,494272,491793,532,1081,866,24.893648705897952,0.021251909064315316,0.043690668898000544,0.04140871613973288,494272
28,494272,491629,587,1110,946,24.883358138303763,0.02220939935386031,0.0499310032126865,0.04450145912969027,494272
29,494272,491483,597,1165,1027,24.8706975188904,0.02422424890186736,0.05580517517224232,0.04927305703549265,494272
30,494272,491388,558,1194,1132,24.863126305010397,0.02586655917327906,0.05774150863899349,0.05326562717733073,494272
31,494272,491296,561,1198,1217,24.865748200852206,0.027664288690285425,0.05027419650557852,0.05631331395193073,494272
32,494272,491210,530,1228,1304,24.85991947096055,0.03096996198121425,0.04847751774735766,0.06063304931087955,494272
33,494272,491129,508,1251,1384,24.852268974750693,0.021362941404976986,0.05777259911854082,0.0685954847257903,494272
34,494272,491050,479,1264,1479,24.851632905979063,0.0243535178800325,0.0577772796769328,0.06623629646397305,494272
35,494272,490948,476,1264,1584,24.84668786826204,0.02093630807914511,0.05360770029307745,0.07876812336573576,494272
36,494272,490852,475,1270,1675,24.83122301443121,0.020483389943634644,0.05842619449476063,0.08986740113039475,494272
37,494272,490746,481,1264,1781,24.82543182949013,0.022389751048339266,0.05744511545566926,0.09473330400586086,494272
38,494272,490654,468,1270,1880,24.821564206652727,0.022279354306507553,0.06098335272742296,0.09517308631334355,494272
39,494272,490578,452,1263,1979,24.816448367295358,0.018386209960621784,0.057339928509289276,0.10782549423473138,494272
40,494272,490492,447,1269,2064,24.801375704973182,0.017119105087419973,0.06305745807469541,0.11844773186470202,494272
41,494272,490362,479,1285,2146,24.782928491361552,0.030113208773218374,0.07359513900271955,0.11336316086250901,494272
42,494272,490250,474,1304,2244,24.790310014680035,0.029455292832956483,0.06790452589395672,0.11233016659305065,494272
43,494272,490133,496,1311,2332,24.77936401542593,0.026081352145013392,0.06657804210376146,0.12797659032529515,494272
44,494272,490018,525,1301,2428,24.78308655239971,0.026688800604520477,0.0659207897422164,0.1243038572535523,494272
45,494272,489908,533,1306,2525,24.77672537469147,0.028022354839576692,0.06304686901510323,0.13220540145384985,494272
46,494272,489807,519,1334,2612,24.767955328696623,0.027042733431209245,0.06694033523718257,0.1380616026349865,494272
47,494272,489705,531,1310,2726,24.75252511057284,0.02733309633713978,0.07210933743868597,0.14803245565133602,494272
48,494272,489623,521,1317,2811,24.738208581521686,0.028993381361557827,0.07863117095611355,0.15416686616064357,494272
49,494272,489518,521,1337,2896,24.732668681047315,0.02635678258063045,0.08014065316165676,0.16083388321039904,494272
50,494272,489404,533,1339,2996,24.723713897960558,0.027213431656710856,0.08307241667819608,0.16600025370453703,494272
51,494272,489310,524,1337,3101,24.721081072956657,0.02729594059660302,0.08525354333843327,0.16636944310830626,494272
52,494272,489209,521,1353,3189,24.708051953283427,0.026204952397265963,0.0747627849184728,0.19098030940083396,494272
53,494272,489100,529,1350,3293,24.708636986686212,0.024688455028936233,0.07763886332263756,0.18903569496221256,494272
54,494272,489007,528,1338,3399,24.701541546810923,0.02521993769925381,0.07704498447992177,0.1961935310099015,494272
55,494272,488895,531,1346,3500,24.68811963539093,0.02476260739399539,0.084231719717405,0.20288603749766956,494272
56,494272,488800,512,1381,3579,24.691734149526667,0.023946420266634075,0.0831585614043002,0.20116086880239997,494272
57,494272,488699,520,1361,3692,24.68502653257957,0.02425185939076522,0.08199076767441284,0.20873084035525333,494272
58,494272,488568,556,1372,3776,24.667477795431452,0.037372845809723325,0.07464223602593727,0.22050712273288786,494272
59,494272,488460,557,1392,3863,24.657221080137,0.03439995010358085,0.08210621847524587,0.22627275128417507,494272
60,494272,488337,559,1420,3956,24.646272643164497,0.0399261510403772,0.0798794658573338,0.233921739937792,494272
61,494272,488233,553,1429,4057,24.62573207731129,0.03641975021885923,0.08137967708664352,0.2564684953832064,494272
62,494272,488120,554,1432,4166,24.642967398601296,0.03176816722287303,0.0832341237995102,0.24203031037631859,494272
63,494272,488013,552,1441,4266,24.637898890631217,0.028339694513464086,0.07917296954381127,0.25458844531150815,494272
64,494272,487901,569,1439,4363,24.637389879102592,0.024855769309552182,0.08163748510798396,0.25611686647987164,494272
65,494272,487810,535,1464,4463,24.635669496075014,0.020900697660011413,0.08245169886883814,0.26097810739613825,494272
66,494272,487687,562,1462,4561,24.630813921090795,0.02359235218228463,0.07797580735752113,0.26761791936939955,494272
67,494272,487569,565,1472,4666,24.620654179966195,0.02885040154746289,0.07299692328829598,0.2774984951980454,494272
68,494272,487464,560,1478,4770,24.602501580462008,0.04312354711120659,0.07527127616972623,0.27910359625705894,494272
69,494272,487366,547,1479,4880,24.606687322407105,0.0347523212138692,0.072602122652973,0.2859582337260549,494272
70,494272,487251,553,1490,4978,24.58436768311996,0.02690412882991599,0.07603308106467808,0.3126951069854437,494272
71,494272,487141,539,1507,5085,24.5831145411816,0.024081470067206782,0.07631928379740945,0.3164847049537822,494272
72,494272,487022,555,1486,5209,24.597433810876808,0.02903778635736374,0.07052050100735587,0.3030079017584737,494272
73,494272,486905,550,1485,5332,24.58870074453907,0.030249545504745515,0.06753329088887533,0.3135164190673063,494272
74,494272,486793,548,1484,5447,24.59052768580912,0.028965416569098148,0.07321783708157904,0.3072890605402,494272
75,494272,486683,548,1494,5547,24.589318490884637,0.026275574728074656,0.07418659555501898,0.3102193388322704,494272
76,494272,486583,543,1498,5648,24.55982659420969,0.024531076614921838,0.08323717178281564,0.332405157392574,494272
77,494272,486477,540,1500,5755,24.567368265763513,0.021130962891858826,0.07697673482763155,0.3345240365169987,494272
78,494272,486372,533,1488,5879,24.536433151509403,0.024174137913541147,0.07095640533895273,0.3684363052381042,494272
79,494272,486264,537,1472,5999,24.533980276833095,0.02596639985641918,0.066637896489972,0.37341542682051293,494272
80,494272,486139,566,1471,6096,24.538202344538345,0.02337199641866988,0.07463303638931475,0.36379262265367196,494272
81,494272,486027,569,1476,6200,24.54419779909377,0.022076395004581494,0.07178958049880338,0.3619362254028467,494272
82,494272,485924,572,1484,6292,24.5370171691834,0.024217593214362478,0.07482052812135569,0.3639447094808797,494272
83,494272,485813,554,1509,6396,24.536013687361724,0.024210316993904368,0.08110244005744506,0.3586735555869276,494272
84,494272,485712,539,1516,6505,24.534229677407005,0.02665362710068135,0.0784315568595685,0.36068513863274454,494272
