Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494231,34,7,0,24.999140900311318,0.0007602320436234899,9.886764505811376e-05,0.0,494272
2,494272,494178,71,21,2,24.99856272728406,0.0011281583512033158,0.00028174036648771186,2.73739982469279e-05,494272
3,494272,494126,99,42,5,24.996765501168394,0.0019062759455291244,0.0012628465416554332,6.537634442345362e-05,494272
4,494272,494080,114,68,10,24.99577832528885,0.0021872725727400243,0.001912394715862492,0.00012200742254801005,494272
5,494272,494008,149,101,14,24.99420393007362,0.003127184111535684,0.0024538910632823196,0.00021499475156227095,494272
6,494272,493943,167,137,25,24.990787514060173,0.004586533832363229,0.004225219684218127,0.00040073242324691337,494272
7,494272,493884,185,162,41,24.98622327492694,0.0057459611385865875,0.00522037619318261,0.002810387741292132,494272
8,494272,493821,201,190,60,24.983681016121487,0.004485524145184867,0.008329251420990249,0.0035042083123376505,494272
9,494272,493748,218,235,71,24.98217032414506,0.0045067008180754015,0.009336396893885521,0.003986578142979138,494272
10,494272,493678,223,285,86,24.980359474111335,0.005592980292280007,0.007050834161913771,0.0069967114344700225,494272
11,494272,493599,236,327,110,24.975712293069186,0.006978017397930998,0.011055616700176945,0.006254072832705111,494272
12,494272,493519,253,371,129,24.97612848560042,0.0072878749604566905,0.011490516374611069,0.005093123064512446,494272
13,494272,493445,247,419,161,24.968293686398088,0.00914790518524472,0.01655524772218828,0.006003160694478324,494272
14,494272,493356,284,451,181,24.96480295173873,0.009650802097293508,0.018455081079422106,0.007091165084556316,494272
15,494272,493260,316,488,208,24.963357985990758,0.011266802529453935,0.016911493671762277,0.008463717808024136,494272
16,494272,493166,336,525,245,24.953592254304052,0.013845892639169128,0.020223980344927363,0.012337872711853071,494272
17,494272,493062,371,555,284,24.942976434469276,0.021580319052395776,0.02144125369652626,0.014001992781802352,494272
18,494272,492952,395,606,319,24.93530706010071,0.025593062120386763,0.024916201521365946,0.014183676257539558,494272
19,494272,492853,410,658,351,24.929691381551326,0.02080846750254953,0.03401370018860714,0.015486450757518538,494272
20,494272,492749,428,698,397,24.92293864124854,0.021468137991750565,0.03681539818125453,0.01877782257845611,494272
21,494272,492625,455,742,450,24.91653035706402,0.020867712542580238,0.03817334731907103,0.024428583074330018,494272
22,494272,492530,454,775,513,24.904826300394898,0.022036423850386854,0.050211199831990246,0.022926075922723867,494272
23,494272,492432,453,826,561,24.905495561404344,0.019974640849704805,0.050743185109911985,0.023786612636040965,494272
24,494272,492314,478,865,615,24.8977555046642,0.024725645589028837,0.05084957619452603,0.026669273552244997,494272
25,494272,492190,505,908,669,24.894645959088535,0.022469979908937402,0.05330479775792686,0.02957926324459831,494272
26,494272,492084,504,952,732,24.895879379910713,0.01822938254748178,0.05535645526908585,0.030534782272719285,494272
27,494272,491957,522,992,801,24.88526559523584,0.017610063458131233,0.0631898829065478,0.03393445839948319,494272
28,494272,491836,533,1022,881,24.880107410764154,0.0222578906943158,0.06021358474373623,0.03742111379779406,494272
29,494272,491708,534,1077,953,24.878394943752202,0.018873482368094077,0.06308691100056313,0.039644662879140286,494272
30,494272,491642,497,1099,1034,24.878029376356885,0.019320328682211424,0.06151343552451444,0.04113685943638742,494272
31,494272,491577,462,1113,1120,24.87501870508905,0.01938792324024598,0.0604673193197698,0.04512605235093458,494272
32,494272,491527,427,1114,1204,24.876865675580895,0.017100333773301637,0.057916961648718214,0.04811702899708659,494272
33,494272,491471,393,1140,1268,24.865939784954822,0.02302086459165686,0.059747842763509036,0.051291507690011104,494272
34,494272,491412,384,1127,1349,24.859854550666356,0.021748122559408146,0.05944179981645731,0.0589555269577775,494272
35,494272,491359,370,1113,1430,24.860160180322858,0.018677867055067014,0.06177227897442435,0.05938967364765144,494272
36,494272,491294,364,1104,1510,24.85844252336037,0.01735859170873361,0.05777245652285507,0.0664264284080407,494272
37,494272,491227,352,1116,1577,24.848553621179132,0.019676819693595447,0.05899944095170566,0.07277011817556565,494272
38,494272,491155,341,1093,1683,24.840881479090115,0.022284027881505592,0.05392898952526342,0.08290550350311471,494272
39,494272,491095,347,1092,1738,24.83430815255298,0.022265917334776744,0.05421005975584105,0.08921587035640466,494272
40,494272,491023,339,1101,1809,24.825992400712913,0.026324063765076795,0.05340419288854192,0.0942793426334696,494272
41,494272,490957,348,1080,1887,24.819366333635603,0.030438852051545968,0.05240512450113881,0.09778968981171138,494272
42,494272,490881,363,1057,1971,24.815082454312194,0.026809046959031295,0.056206562776591674,0.10190193595218189,494272
43,494272,490827,351,1041,2053,24.816631446758315,0.0224101950207872,0.05674491132596295,0.10421344689493364,494272
44,494272,490766,343,1041,2122,24.816604422091874,0.02449179830682415,0.0548668223418601,0.10403695725944298,494272
45,494272,490714,312,1053,2193,24.810304783666748,0.019808047297312243,0.061185678477771455,0.10870149055816847,494272
46,494272,490652,306,1050,2264,24.806833931079886,0.0220354512888869,0.0606259606311287,0.11050465700009876,494272
47,494272,490590,307,1038,2337,24.808283270771092,0.022289704024341765,0.05873543885702647,0.11069158634753787,494272
48,494272,490532,310,1024,2406,24.798678889083785,0.019602195222879405,0.060528716312027823,0.12119019938130729,494272
49,494272,490465,311,998,2498,24.795056901296395,0.01955025155383743,0.06439930806388645,0.12099353908588081,494272
50,494272,490403,312,986,2571,24.78859278057665,0.019199817597843047,0.06240414131311233,0.12980326051239433,494272
51,494272,490349,313,964,2646,24.790671094899093,0.018197424701328756,0.061604914883888376,0.12952656551568908,494272
52,494272,490294,298,962,2718,24.779931430864707,0.016240661219982935,0.06656280469018555,0.13726510322512397,494272
53,494272,490230,308,946,2788,24.7740350702118,0.018103223821014647,0.06557261396416647,0.14228909200302026,494272
54,494272,490187,294,943,2848,24.777591078332332,0.017929276773912126,0.06130856934923614,0.1431710755445198,494272
55,494272,490118,298,929,2927,24.776032434876615,0.015172775996537623,0.0638991661456174,0.144895622981229,494272
56,494272,490058,292,938,2984,24.775820960720793,0.02345247748378687,0.06455776258985839,0.13616879920556177,494272
57,494272,490003,292,926,3051,24.76899924748251,0.02727591768652026,0.05912225410405639,0.14460258072691612,494272
58,494272,489940,296,908,3128,24.763434314758644,0.030913158972208865,0.055125431723748286,0.15052709454539712,494272
59,494272,489882,295,901,3194,24.765151565436774,0.02925726684707652,0.05530472093146953,0.15028644678468064,494272
60,494272,489826,291,888,3267,24.75503900274604,0.03288753661865123,0.05745951087914262,0.15461394975616458,494272
61,494272,489767,281,911,3313,24.744240113771486,0.033389371204748705,0.05931991128930709,0.16305060373445818,494272
62,494272,489713,279,903,3377,24.737154187004812,0.024859478869785442,0.06746851185160926,0.17051782227379342,494272
63,494272,489660,270,897,3445,24.727989102659834,0.019653436417848863,0.07660232693996903,0.17575513398234857,494272
64,494272,489606,282,870,3514,24.72281285192269,0.024806257855695322,0.06798729121473193,0.1843935990068816,494272
65,494272,489542,287,872,3571,24.721097813805205,0.027043532142964573,0.07189253762949295,0.17996611642233595,494272
66,494272,489479,287,857,3649,24.7277540705797,0.02228590594769465,0.06976856522904624,0.18019145824355973,494272
67,494272,489421,287,851,3713,24.72155292893198,0.021553541987184188,0.07371653078619855,0.18317699829463774,494272
68,494272,489372,288,842,3770,24.720910509529226,0.022782560178163474,0.0662941657501213,0.1900127645424906,494272
69,494272,489316,277,854,3825,24.712724049941972,0.02506068357718385,0.06925915567062092,0.19295611081022146,494272
70,494272,489259,287,830,3896,24.710691522324016,0.030410382090262582,0.06732592237160884,0.1915721732141134,494272
71,494272,489211,279,831,3951,24.705742186172753,0.03108430930914606,0.0701006836355204,0.19307282088258043,494272
72,494272,489162,265,845,4000,24.705980767719986,0.029107393584813217,0.07073721560224959,0.19417462309295141,494272
73,494272,489104,272,835,4061,24.693254585203317,0.030640529982982306,0.07049218636911177,0.2056126984445892,494272
74,494272,489040,272,851,4109,24.696322166738195,0.02720689683212625,0.06857609957452916,0.20789483685514976,494272
75,494272,488985,271,850,4166,24.694523886794958,0.024225434588975678,0.07039565796058998,0.21085502065547623,494272
76,494272,488936,285,823,4228,24.691145460908782,0.027609791714766237,0.06618759792146539,0.21505714945498502,494272
77,494272,488883,280,805,4304,24.681704880290578,0.029381519342575112,0.06769802163361115,0.22121557873323497,494272
78,494272,488832,284,801,4355,24.67594625896695,0.02731201878854263,0.07019084637639375,0.22655087586811623,494272
79,494272,488770,292,810,4400,24.675038062928877,0.026963826443674423,0.06902321716654577,0.2289748934609024,494272
80,494272,488713,298,796,4465,24.661058499745593,0.026677298226896844,0.07728651069694344,0.2349776913305654,494272
81,494272,488668,272,813,4519,24.655187141545987,0.029892310455849006,0.07987600387046911,0.23504454412769565,494272
82,494272,488613,261,811,4587,24.660467838104807,0.02451841361988017,0.0759692891617676,0.2390444591135457,494272
83,494272,488558,264,806,4644,24.65629539467278,0.027519604850056893,0.06567935212959129,0.2505056483475698,494272
84,494272,488517,258,804,4693,24.66086935872154,0.023035554520144275,0.07182700522268656,0.24426808153562693,494272
85,494272,488471,256,788,4757,24.6497153321413,0.02136963517196135,0.06601680800644139,0.262898224680295,494272
86,494272,488406,271,775,4820,24.647405021044335,0.020442363488051556,0.06559821293376662,0.2665544025338454,494272
87,494272,488354,268,764,4886,24.638493320242972,0.020713039847088947,0.06458749412040543,0.2762061457895337,494272
88,494272,488306,262,766,4938,24.626562013865776,0.01889945177387188,0.0734452552854059,0.2810932790749449,494272
89,494272,488247,269,758,4998,24.624789765910695,0.028622532888981422,0.06857638484055789,0.27801131635976706,494272
90,494272,488188,264,773,5047,24.625790767799245,0.01974200544731715,0.07305907998105904,0.28140814677237724,494272
91,494272,488149,253,768,5102,24.6258381932214,0.019267007231111116,0.06920441409674469,0.2856903854507444,494272
92,494272,488114,233,769,5156,24.624862541674915,0.020773191705253474,0.06396673680681292,0.29039752981301825,494272
93,494272,488073,229,749,5221,24.62445871978793,0.02005519047087973,0.059921687451544484,0.29556440228964653,494272
94,494272,488029,227,758,5258,24.629580673372093,0.015161306335413629,0.0652145918057405,0.29004342848675363,494272
