Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494219,45,8,0,24.99899653446327,0.0009000868461303046,0.00010337869059997933,0.0,494272
2,494272,494149,93,29,1,24.99764230557263,0.001955829719967459,0.00039123635947542343,1.0628347929597824e-05,494272
3,494272,494101,112,57,2,24.992424304347228,0.0021603524543260247,0.005394086502588457,2.1256695859195648e-05,494272
4,494272,494045,140,82,5,24.990836929878377,0.0034222184733339505,0.00568159260625321,5.925904203572137e-05,494272
5,494272,493987,162,114,9,24.983152259821182,0.008619898821727307,0.008047320450929504,0.00018052090616213083,494272
6,494272,493915,190,154,13,24.98163712905188,0.006785531370721185,0.011306459306134468,0.0002708802712652268,494272
7,494272,493844,210,195,23,24.978842533981737,0.007881266507179989,0.012708324339855503,0.0005678751712270676,494272
8,494272,493775,229,233,35,24.976425159337527,0.006713274786402127,0.015554992909738661,0.0013065729663321699,494272
9,494272,493707,252,261,52,24.974635223608708,0.008273444271700557,0.015464233787618202,0.0016270983319733347,494272
10,494272,493647,240,317,68,24.972693843982707,0.007230254560051242,0.0178464170709111,0.0022294843863288577,494272
11,494272,493572,263,347,90,24.969842177506422,0.008041389849264629,0.01946511919222736,0.002651313452087368,494272
12,494272,493492,270,390,120,24.970858306042008,0.008768720487316497,0.016403986594703438,0.003968986875972146,494272
13,494272,493424,280,419,149,24.959124147024415,0.01222477102877065,0.02120645406460054,0.007444627882214712,494272
14,494272,493361,275,458,178,24.956799500616775,0.011919045239740399,0.019865963108652976,0.011415491034833029,494272
15,494272,493304,270,486,212,24.953342481693188,0.012400138552481238,0.021378619162036937,0.012878760592292983,494272
16,494272,493235,275,519,243,24.945027666969203,0.013404727248515108,0.026554412184082686,0.015013193598200384,494272
17,494272,493189,269,527,287,24.944670252645817,0.009748355788926794,0.031695023302932626,0.013886368262322143,494272
18,494272,493134,267,552,319,24.943743942883412,0.007475475462930412,0.03422125323856521,0.014559328415094297,494272
19,494272,493078,267,564,363,24.944606555729543,0.006412424235864848,0.03301602738504846,0.015964992649546254,494272
20,494272,493016,263,587,406,24.942464107375592,0.008496318205621788,0.024286143991006953,0.024753430427777383,494272
21,494272,492951,261,628,432,24.932068251573856,0.008166819189089423,0.030010907934039082,0.029754021303014015,494272
22,494272,492904,250,641,477,24.931635145335033,0.00858266291773378,0.031770814897528366,0.02801137684970627,494272
23,494272,492843,252,661,516,24.912574582326137,0.010740066110917294,0.03439271644388853,0.0422926351190582,494272
24,494272,492782,254,680,556,24.90488898662111,0.017756627436230722,0.029741249350291585,0.04761313659236655,494272
25,494272,492714,271,686,601,24.915964441825352,0.009769883693220476,0.028621418630846048,0.04564425585058274,494272
26,494272,492658,264,691,659,24.92373059259418,0.00879978663422524,0.02884389077434009,0.038625729997257115,494272
27,494272,492598,251,708,715,24.92689456503144,0.0068346733842096444,0.028762519733060873,0.03750824185128961,494272
28,494272,492546,240,726,760,24.93009841290942,0.005805382622599476,0.027253249629588285,0.03684295483839113,494272
29,494272,492471,266,729,806,24.932952274791045,0.00675404850842374,0.02600496153076282,0.03428871516976676,494272
30,494272,492389,278,751,854,24.92820554728752,0.005991306582273322,0.028560715025547974,0.03724243110465931,494272
31,494272,492325,279,757,911,24.9251421550743,0.005428138842082618,0.027180978313743928,0.04224872776987169,494272
32,494272,492262,280,763,967,24.915609433282302,0.007260492149069301,0.029939498002944317,0.04719057656568231,494272
33,494272,492189,279,781,1023,24.906706218112912,0.007320865507321379,0.029310672561467504,0.05666224381829907,494272
34,494272,492111,293,791,1077,24.898640904191698,0.008304756593448698,0.028476384683706484,0.06457795453114755,494272
35,494272,492052,277,816,1127,24.88766531323642,0.0095720474261101,0.0316810640772215,0.07108157526025123,494272
36,494272,491976,297,809,1190,24.88534532590774,0.010095401358383875,0.03377120758614359,0.07078806514773345,494272
37,494272,491924,296,792,1260,24.88117022771742,0.012308000195531023,0.03334223870796949,0.07317953337908062,494272
38,494272,491859,305,789,1319,24.88149100228156,0.012199776245141175,0.0339357903906392,0.07237343108265865,494272
39,494272,491783,307,819,1363,24.873466918665365,0.012066439206234958,0.03639968386729089,0.0780669582611103,494272
40,494272,491738,273,854,1407,24.85917922150778,0.014853411051211175,0.03529841253047412,0.09066895491053552,494272
41,494272,491672,287,838,1475,24.854123850978056,0.015685686584212166,0.03435172456499378,0.09583873787273779,494272
42,494272,491607,279,856,1530,24.846592668340733,0.014461201474908793,0.038205212279037504,0.10074091790532079,494272
43,494272,491537,277,879,1579,24.846098407940644,0.014846443262632633,0.03952948812702387,0.0995256606696976,494272
44,494272,491478,276,900,1618,24.84096241306869,0.011795684863003,0.04528632814238715,0.10195557392591871,494272
45,494272,491423,267,902,1680,24.83245859319963,0.01014148164250752,0.04802870184006691,0.10937122331779592,494272
46,494272,491353,279,895,1745,24.82840548547031,0.010165553017501395,0.04765079461923398,0.1137781668929561,494272
47,494272,491276,292,902,1802,24.827061905229698,0.010769556518981937,0.04553060179354752,0.11663793645777266,494272
48,494272,491204,306,906,1856,24.82259094032426,0.013759812308697491,0.04173025505734299,0.12191899230969859,494272
49,494272,491136,296,927,1913,24.81770941435702,0.014518433476165566,0.04410976701693847,0.12366238514987782,494272
50,494272,491075,291,927,1979,24.829398560201454,0.01064961552775158,0.044069879443406554,0.11588194482738913,494272
51,494272,491016,291,917,2048,24.821375467473292,0.00995987893359514,0.04612856641827268,0.12253608717483971,494272
52,494272,490953,288,906,2125,24.822651104029532,0.008603508732538942,0.047311030308460705,0.12143435692946786,494272
53,494272,490896,282,903,2191,24.821346516114147,0.00957223964375354,0.04311081987944868,0.1259704243626492,494272
54,494272,490831,267,922,2252,24.83339335387463,0.00950449509107926,0.03878028910812065,0.11832186192617183,494272
55,494272,490769,275,913,2315,24.82610744092942,0.008339802923647693,0.046019485354277634,0.11953327079265486,494272
56,494272,490710,280,903,2379,24.809001352850277,0.00954396182986182,0.04181627894149662,0.13963840637836478,494272
57,494272,490647,288,901,2436,24.816662883672112,0.00926863355672931,0.04123109942989927,0.13283738334125847,494272
58,494272,490572,286,927,2487,24.814892656833912,0.008074493606282445,0.043526831211050825,0.13350601834875414,494272
59,494272,490500,295,940,2537,24.808300787303764,0.007465704746877944,0.04777490706292929,0.13645860088642964,494272
60,494272,490431,302,951,2588,24.799268655523655,0.008907853962316963,0.04836551593266973,0.14345797458135862,494272
61,494272,490368,298,959,2647,24.795511400152005,0.008741111071834425,0.05040716405722227,0.1453403247189393,494272
62,494272,490303,299,970,2700,24.80547320335185,0.0065323390073105635,0.0473529853089749,0.14064147233186625,494272
63,494272,490240,302,942,2788,24.78811689224211,0.008125531644767606,0.0483727088430733,0.15538486727005266,494272
64,494272,490176,302,941,2853,24.783892169758957,0.0075496762153036065,0.04671678896430835,0.16184136506143312,494272
65,494272,490105,309,944,2914,24.764606155763936,0.007266786072577734,0.05267070179867079,0.17545635636481743,494272
66,494272,490036,316,948,2972,24.745521685797435,0.0087755324060172,0.05978976217988971,0.1859130196166597,494272
67,494272,489969,315,969,3019,24.744666760641326,0.010114501435673901,0.06211620182316186,0.1831025360998394,494272
68,494272,489911,312,961,3088,24.746568888829493,0.011905518738128404,0.05779388499467404,0.18373170743770506,494272
69,494272,489849,297,981,3145,24.751943849164117,0.007777061348368504,0.05679061194861565,0.18348847753889774,494272
70,494272,489778,300,979,3215,24.755745086021943,0.011471575465755607,0.050908503576886484,0.18187483493541393,494272
71,494272,489701,312,988,3271,24.7486596418031,0.010894338676464792,0.04829636833529069,0.1921496511851449,494272
