Day,S,E,I,R,Total
0,494222.0,49.0,4.0,0.0,494275.0
1,494221.40620057593,41.99854797275688,11.113222348257054,0.4820291031585435,494275.0000000001
2,494220.32097620796,36.5276978959521,16.788341716108018,1.3629841800563824,494275.00000000006
3,494218.8429926683,32.26090638776644,21.33332756116033,2.5627733828506565,494275.00000000006
4,494217.0497798098,28.9413751193689,24.990382576207054,4.018462494676388,494275.0
5,494215.00224468636,26.367155578575336,27.949988682444754,5.680611052679514,494275.00000000006
6,494212.74822107557,24.37943434942197,30.36195372712887,7.510390847904395,494275.00000000006
7,494210.325260883,22.85332059051547,32.34409860028841,9.477319926178843,494275.0
8,494207.7628292504,21.690601547562782,33.98908851782567,11.557480684144135,494274.99999999994
9,494205.0840314019,20.81404349655448,35.36980699855759,13.732118102906497,494274.99999999994
10,494202.30696986575,20.162912555244056,36.543579543174786,15.986538035661662,494274.9999999999
11,494199.44581247657,19.689449991902976,37.555497258167115,18.30924027324105,494274.9999999999
12,494196.5116320055,19.356101206217282,38.44102979866044,20.691236989517915,494274.9999999999
13,494193.51306653867,19.133336277983595,39.22808048982552,23.125516693446247,494274.99999999994
14,494190.4568387162,18.99793629596221,39.938602239971814,25.606622747746353,494274.99999999994
15,494187.3481641661,18.93164536252228,40.58986863955939,28.130321831730814,494274.9999999999
16,494184.191072637,18.920110701588168,41.19547339339536,30.693343268009457,494274.99999999994
17,494180.98866055877,18.952049065048254,41.766116364972255,33.29317401117334,494274.99999999994
18,494177.7432896486,19.0185911969465,42.310221721455896,35.92789743291601,494275.0
19,494174.45674310625,19.112766256214673,42.83442410493024,38.596066532502306,494274.9999999999
20,494171.13034841104,19.229096458411384,43.34395087271086,41.296604257698675,494274.9999999999
21,494167.76507391233,19.363278202392635,43.842922786709316,44.02872509840887,494274.9999999999
22,494164.361604772,19.51193133691211,44.33459045021343,46.79187344078208,494274.9999999999
23,494160.92040267965,19.672401977731052,44.82152024914447,49.585675093299166,494274.99999999977
24,494157.4417528096,19.84260743151179,45.30574058863273,52.40989917007058,494274.9999999998
25,494153.9258007361,20.02091425332536,45.788856886152644,55.26442812424999,494274.9999999998
26,494150.3725814611,20.20604233668488,46.272142017189495,58.14923418493237,494274.99999999994
27,494146.7820422304,20.396989499735767,46.75660743396198,61.064360835772625,494274.9999999999
28,494143.15406047617,20.592972157322624,47.243059115885025,64.00990825053866,494274.99999999994
29,494139.48845791566,20.79337867272306,47.732141563668804,66.98602184778142,494274.9999999998
30,494135.7850116152,20.997732728935787,48.224372345421266,69.99288331031767,494274.9999999999
31,494132.0434627092,21.205664432101248,48.720169351693485,73.030703506891,494274.9999999998
32,494128.2635232397,21.41688762105464,49.21987219841803,76.09971694066378,494274.9999999998
33,494124.4448815181,21.631182051249493,49.72375903353938,79.20017739696665,494274.9999999998
34,494120.5872063436,21.848379349176007,50.23205978824861,82.33235451878537,494274.99999999977
35,494116.69015030086,22.06835200751899,50.74496656095218,85.49653113048859,494274.9999999999
36,494112.7533523608,22.29100467575546,51.262641836767024,88.69300112647493,494274.99999999977
37,494108.7764399059,22.516267351585537,51.785224914641375,91.92206782767909,494274.9999999998
38,494104.7590303146,22.74409002400056,52.312836965678216,95.18404269544911,494274.9999999997
39,494100.70073220483,22.974438443151943,52.845585028973815,98.47924432289489,494274.9999999999
40,494096.6011463975,23.207290808052907,53.383565142020345,101.80799765231038,494274.9999999998
41,494092.45986666874,23.44263515665724,53.92686480884231,105.17063336567475,494274.99999999994
42,494088.2764803307,23.680467315674306,54.47556494037403,108.56748741314954,494274.9999999998
43,494084.05056866864,23.920789325804048,55.0297413465883,111.99890065884374,494274.9999999999
44,494079.7817073164,24.16360806851962,55.58946603861867,115.46521857641503,494275.0
45,494075.46946648916,24.408934361226986,56.15480808929057,118.96679106029991,494275.0
46,494071.1134111792,24.656782175859668,56.725834377303606,122.50397226756297,494274.99999999994
47,494066.713101308,24.907167999113593,57.30261019791404,126.07712049491472,494274.99999999994
48,494062.2680918362,25.160110328956705,57.88519974517825,129.68659808959183,494274.9999999999
49,494057.7779328255,25.41562932975592,58.47366644475513,133.332771399926,494274.99999999994
50,494053.24216949067,25.67374651528887,59.068073260554115,137.01601073345168,494274.99999999994
51,494048.6603422374,25.934484486079253,59.668482949785904,140.7366903266686,494274.9999999999
52,494044.0319866437,26.197866862995095,60.27495813243735,144.4951883608148,494274.9999999999
53,494039.3566334893,26.463917998871935,60.88756157336012,148.29188693842073,494275.0
54,494034.6338087395,26.73266294897433,61.50635621457803,152.12717209692735,494274.99999999994
55,494029.8630335238,27.00412732328308,62.13140532619025,156.00143382678348,494275.00000000006
56,494025.04382410273,27.278337280119768,62.76277251850594,159.91506609867858,494275.0
57,494020.1756918498,27.555319465531582,63.40052180567218,163.86846687901206,494275.0
58,494015.2581432078,27.835100934161726,64.04471769210032,167.8620381659615,494275.0
59,494010.2906796591,28.11770914509794,64.69542518179674,171.89618601401702,494275.00000000006
60,494005.2727976915,28.40317192906425,65.35270981705352,175.97132056242856,494275.00000000006
61,494000.2039887371,28.69151746742937,66.01663770999821,180.08785608552088,494275.0
62,493995.0837391477,28.9827742854441,66.68727555366084,184.2462110132281,494275.0
63,493989.9115301449,29.2769712351944,67.36469064765862,188.4468079723067,494275.00000000006
64,493984.686837761,29.574137487718886,68.04895091631097,192.6900738349915,494275.00000000006
65,493979.4091328129,29.87430253129613,68.74012491496059,196.97643974090528,494275.0000000001
66,493974.0778808372,30.177496164650492,69.43828184795899,201.30634115028323,494275.0000000001
67,493968.6925420396,30.48374849562117,70.14349157882786,205.68021788599611,494275.00000000006
68,493963.25257126405,30.793089940115074,70.85582463670823,210.09851415926684,494275.0000000001
69,493957.7574179166,31.105551220647456,71.575352230904,214.56167863196256,494275.0000000002
70,493952.2065259257,31.421163367644002,72.3021462566151,219.07016445015537,494275.0000000001
71,493946.599333701,31.73995771956649,73.03627930185154,223.62442927768706,494275.0000000001
72,493940.93527405453,32.061965924564824,73.77782465948383,228.22493536156895,494275.0000000002
73,493935.21377416677,32.38721994189523,74.52685633164606,232.8721495598527,494275.0000000001
74,493929.43425549887,32.71575204488436,75.28344904199346,237.566543414427,494275.0000000002
75,493923.5961336626,33.04759482637607,76.04767825269471,242.30859325846203,494275.0000000001
76,493917.69881866773,33.38278118897785,76.81962013147196,247.09878001196242,494275.0000000002
77,493911.7417148434,33.72134434811286,77.59935156208519,251.93758924656132,494275.0000000001
78,493905.7242202394,34.063317855593986,78.38695022407674,256.8255116811193,494275.0000000001
79,493899.6457268453,34.40873559099161,79.18249456357901,261.76304300028073,494275.0000000002
80,493893.5056210202,34.75763174472611,79.98606373613693,266.7506834990888,494275.0000000002
81,493887.30328312225,35.11004083338065,80.79773765516899,271.7889383893213,494275.0000000001
82,493881.0380867092,35.46599773549939,81.61759709372004,276.87831846172736,494275.0000000002
83,493874.7093995251,35.8255376474096,82.44572355889022,282.01933926877496,494275.0000000002
84,493868.3165833328,36.18869609072591,83.28219931316505,287.2125212634729,494275.0000000001
85,493861.8589933116,36.555508943413024,84.12710744662857,292.45839029849134,494275.00000000006
86,493855.33597788104,36.92601244906788,84.98053189786214,297.7574777721165,494275.0000000001
87,493848.74687954097,37.3002431726541,85.8425573542813,303.1103199322154,494275.0000000002
88,493842.09103461716,37.67823801428386,86.71326928195417,308.5174580866591,494275.00000000006
89,493835.3677715388,38.060034293434235,87.59275413542926,313.97944003243714,494275.0000000001
90,493828.5764132897,38.44566962911694,88.48109905915098,319.4968180220686,494275.00000000006
91,493821.7162759766,38.83518200988603,89.37839206189979,325.0701499516731,494275.0000000001
92,493814.7866687853,39.228609795664816,90.28472202186438,330.699999397246,494275.0000000001
93,493807.786893366,39.6259917474862,91.20017876132454,336.38693612523036,494275.00000000006
94,493800.7162452921,40.02736695707044,92.12485286959303,342.13153488134054,494275.0000000001
95,493793.57401332766,40.432774882217636,93.05883579190414,347.9343759982908,494275.00000000006
96,493786.3594793178,40.84225535217033,94.00221984282764,353.79604548732726,494275.0000000001
97,493779.07191810687,41.25584857156527,94.95509821613649,359.71713510550427,494275.00000000006
98,493771.7105974166,41.67359512634504,95.91756499951438,365.69824245762743,494275.0000000001
99,493764.27477708185,42.09553601997634,96.88971526409827,371.739971634201,494275.0000000001
100,493756.76370972465,42.52171264171604,97.87164498622869,377.84293264756457,494275.0000000001
101,493749.1766406806,42.95216677020918,98.86345105644395,384.0077414929133,494275.0000000002
102,493741.5128077346,43.38694058609814,99.8652313107255,390.235020368693,494275.0000000001
103,493733.7714410279,43.82607667654322,100.87708454177054,396.52539775393916,494275.0000000001
104,493725.9517629645,44.269618039743264,101.89911051026444,402.879508485616,494275.00000000006
105,493718.0529887139,44.71760806503709,102.9314098762712,409.2979933449144,494275.0000000001
106,493710.0743265942,45.170090517876915,103.97408414656164,415.78149874152115,494275.0000000002
107,493702.01497640955,45.62710960872003,105.02723589646197,422.3306780853835,494275.0000000001
108,493693.87413008657,46.08870996764047,106.09096868328552,428.9461912626139,494275.0000000001
109,493685.65097162407,46.554936647076595,107.16538705180544,435.62870467717727,494275.0000000001
110,493677.34467702196,47.02583512545314,108.25059654258754,442.37889131016,494275.00000000023
