Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494209,52,11,0,24.99793425378708,0.0019304824785315706,0.00013526373438877283,0.0,494272
2,494272,494152,86,34,0,24.99719390114278,0.0023879565569958497,0.000418142300226721,0.0,494272
3,494272,494091,116,64,1,24.99440928753887,0.004612502788704329,0.0009675813244988268,1.0628347929597824e-05,494272
4,494272,494030,151,88,3,24.993426704503488,0.004818384614170878,0.0017107912337766293,4.411964856425797e-05,494272
5,494272,493952,190,120,10,24.988288333128267,0.006637378156167048,0.004940046688244436,0.00013424202732347456,494272
6,494272,493881,213,156,22,24.983580871410137,0.008733952879325803,0.006417783714624706,0.00126739199591323,494272
7,494272,493828,225,191,28,24.980738427212724,0.009454965121017572,0.00835759640327314,0.0014490112629846424,494272
8,494272,493769,229,227,47,24.976753102134815,0.011168871091393976,0.009406079735965236,0.0026719470378273984,494272
9,494272,493704,241,268,59,24.969375207164575,0.011175247613103723,0.01636662888703407,0.0030829163352870895,494272
10,494272,493643,250,304,75,24.968648645350367,0.0072813866472117485,0.020634260148453085,0.003435707853969406,494272
11,494272,493579,265,329,99,24.96675551390458,0.006163189591314117,0.022457082032764485,0.004624214471343298,494272
12,494272,493519,274,352,127,24.965461452949885,0.005142625803858699,0.02392224688773051,0.005473674358525046,494272
13,494272,493462,255,402,153,24.963902334744898,0.004913864931100955,0.024832601564416933,0.006351198759585322,494272
14,494272,493388,267,434,183,24.96063557495183,0.006862950346285347,0.025775783319725108,0.006725691382161541,494272
15,494272,493328,254,477,213,24.958305222866446,0.007393884634705339,0.027718777080799773,0.006582115418048149,494272
16,494272,493268,241,522,241,24.96135990705213,0.00708337516966265,0.02445852027551048,0.007098197502695733,494272
17,494272,493211,238,546,277,24.95973578800587,0.007159183125291609,0.02320836290222465,0.00989666596661546,494272
18,494272,493157,234,569,312,24.957125526747422,0.007456037216355968,0.023673407587697155,0.011745028448525938,494272
19,494272,493081,244,591,356,24.95514720000579,0.0054635273678340455,0.024368295374230936,0.015020977252145145,494272
20,494272,493017,251,598,406,24.951093962732763,0.004863033539990969,0.0274579826053749,0.016585021121871223,494272
21,494272,492971,234,621,446,24.946560756173906,0.004082966467709839,0.027093315101576126,0.022262962256809602,494272
