Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494214,45,13,0,24.99913112598806,0.000700118976917176,0.00016875503502343297,0.0,494272
2,494272,494155,86,31,0,24.995790254364362,0.003742111942881653,0.00046763369275711064,0.0,494272
3,494272,494092,119,58,3,24.995609496423207,0.003445431726372083,0.0009123254320683861,3.2746418354195844e-05,494272
4,494272,494034,145,84,9,24.994238696952728,0.004212467156085892,0.0013539994745725029,0.00019483641661235704,494272
5,494272,493970,164,120,18,24.992266861810695,0.005256412343105855,0.0021296430585371505,0.0003470827876623393,494272
6,494272,493904,178,162,28,24.989570669576356,0.004548430008601212,0.005344434962634001,0.0005364654524083054,494272
7,494272,493842,194,200,36,24.98328216079609,0.008983570189542765,0.00656420681409583,0.0011700622002723217,494272
8,494272,493765,227,233,47,24.97426260914074,0.010456171687986047,0.013499749501702256,0.0017814696695704394,494272
9,494272,493684,246,275,67,24.975347229887042,0.010311247989512481,0.011912410723610007,0.002429111399834175,494272
10,494272,493608,275,300,89,24.9755202828768,0.008210238899426766,0.01347957804753862,0.002789900176234146,494272
11,494272,493514,300,350,108,24.97407071509027,0.007355410125710402,0.01549372472406433,0.0030801500599538646,494272
12,494272,493420,323,402,127,24.969421813044665,0.010127567785563212,0.016951980218046458,0.0034986389517253835,494272
13,494272,493349,324,446,153,24.96045120938792,0.012932328571456353,0.02200400563350302,0.004612456407119958,494272
14,494272,493270,324,497,181,24.959288353282002,0.013414918776229733,0.022319246042204696,0.004977481899562885,494272
15,494272,493169,355,533,215,24.95653607984247,0.01347135721785694,0.023162239965135938,0.006830322974540486,494272
16,494272,493061,379,587,245,24.951612227414756,0.014842488675352202,0.02493357921521416,0.0086117046946777,494272
17,494272,492973,390,626,283,24.944897676489934,0.017633059143087784,0.02685013179754863,0.010619132569430725,494272
18,494272,492866,418,655,333,24.939774601332104,0.018261993080607282,0.028990346714393305,0.012973058872897018,494272
19,494272,492756,422,714,380,24.933575858425193,0.020575916695327073,0.02924807117819517,0.01660015370128359,494272
20,494272,492646,437,768,421,24.929061490970565,0.021329428008870065,0.032619787697190816,0.016989293323374163,494272
21,494272,492516,459,826,471,24.924867387106044,0.01745690272355524,0.0376317107708999,0.02004399939950099,494272
22,494272,492407,477,862,526,24.923057081479964,0.01770884605910339,0.03604954621504626,0.02318452624588535,494272
23,494272,492277,514,883,598,24.920469775286303,0.01895208894606288,0.034608285594411405,0.025969850173221738,494272
24,494272,492133,546,941,652,24.916962939299236,0.019667410928080626,0.03587337597571328,0.027496273796970856,494272
25,494272,492005,568,989,710,24.90878741145543,0.01781327805017509,0.0390256054192713,0.03437370507512081,494272
26,494272,491866,589,1043,774,24.89977002550323,0.020238264182035056,0.03903985781232349,0.040951852502412914,494272
27,494272,491734,599,1109,830,24.898764769511672,0.021793336391228477,0.04093031769014321,0.038511576406956724,494272
28,494272,491584,618,1170,900,24.891924182550383,0.018072466340905303,0.04698662658478736,0.04301672452392288,494272
29,494272,491434,660,1209,969,24.884470339777543,0.021447656850919462,0.04819910990136555,0.04588289347017048,494272
30,494272,491257,702,1272,1041,24.87289156791966,0.023693374033324163,0.05185316300304936,0.051561895043968714,494272
31,494272,491112,696,1345,1119,24.861733046823428,0.026458612630759264,0.055235618689299,0.05657272185651345,494272
32,494272,490984,693,1383,1212,24.850109879256692,0.02814760231913736,0.06033651592836752,0.06140600249580349,494272
33,494272,490829,696,1456,1291,24.844815848603446,0.028807044169048685,0.06465395781932026,0.061723149408184824,494272
34,494272,490677,723,1472,1400,24.838175411220586,0.030742986849868495,0.06328743443565182,0.06779416749389355,494272
35,494272,490502,768,1498,1504,24.835332810406538,0.030861411590762187,0.06221324570282692,0.07159253229987474,494272
36,494272,490321,782,1570,1599,24.83113925474966,0.031142094794916433,0.062198041208379844,0.07552060924704157,494272
37,494272,490166,787,1621,1698,24.81901363354331,0.034341357447964196,0.061427268468237546,0.08521774054048864,494272
38,494272,489978,809,1678,1807,24.819363984102335,0.028698173718784623,0.06563390471430673,0.08630393746457485,494272
39,494272,489788,835,1719,1930,24.79287107332467,0.03109560401083098,0.07387698618156811,0.10215633648293229,494272
40,494272,489600,838,1788,2046,24.788117509763822,0.02956904565292615,0.07922467394936368,0.10308877063388801,494272
41,494272,489381,889,1835,2167,24.776837645978205,0.03685217544574732,0.07909336138248507,0.10721681719356395,494272
42,494272,489205,876,1878,2313,24.754562965320957,0.03530479848025428,0.09200925713012156,0.11812297906866583,494272
43,494272,488999,914,1921,2438,24.74758667911443,0.03464114591913286,0.08602726526945151,0.13174490969698427,494272
44,494272,488818,916,1987,2551,24.733324947591775,0.03802741148582366,0.09594522375753675,0.1327024171648642,494272
45,494272,488612,942,2035,2683,24.719658942136636,0.041196554043610556,0.10151947749023969,0.13762502632951265,494272
46,494272,488429,935,2088,2820,24.712131043239534,0.04215325888959059,0.10664552713532927,0.13907017073554767,494272
47,494272,488212,978,2141,2941,24.702851988816366,0.05703472610299438,0.09695497885917212,0.14315830622146603,494272
48,494272,487968,1037,2174,3093,24.690797873796342,0.05663989855700433,0.10348606533408337,0.14907616231257112,494272
49,494272,487782,1002,2237,3251,24.659596812604896,0.046354345668425334,0.11742093765030513,0.1766279040763724,494272
50,494272,487563,1054,2253,3402,24.63789487384802,0.05455554320697039,0.12151288336860666,0.186036699576406,494272
51,494272,487343,1086,2304,3539,24.629813770858615,0.05059929121332065,0.12097209263788929,0.1986148452901766,494272
52,494272,487119,1081,2398,3674,24.621670891317663,0.04363177645755532,0.1129369823466775,0.22176034987810253,494272
53,494272,486876,1108,2478,3810,24.61207411223253,0.044262932994449035,0.12077315272719145,0.22288980204582867,494272
54,494272,486676,1089,2540,3967,24.60812840150549,0.041261696624309036,0.12490361002022261,0.22570629184997767,494272
