,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,12.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,22.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,23.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,24.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,1.0,0.0,0.9933333333333333,0.0,0.006666666666666667,0.0,25.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,1.0,0.0,0.9933333333333333,0.0,0.006666666666666667,0.0,26.0,150.0
Malolo(Matamanoa Island),150.0,148.0,1.0,1.0,0.0,0.9866666666666667,0.006666666666666667,0.006666666666666667,0.0,27.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,150.0
Malolo(Matamanoa Island),150.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,150.0
Malolo(Matamanoa Island),150.0,148.0,1.0,1.0,0.0,0.9866666666666667,0.006666666666666667,0.006666666666666667,0.0,42.0,150.0
Malolo(Matamanoa Island),150.0,147.0,2.0,1.0,0.0,0.98,0.013333333333333334,0.006666666666666667,0.0,43.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,1.0,0.0,0.9933333333333333,0.0,0.006666666666666667,0.0,44.0,150.0
Malolo(Matamanoa Island),150.0,148.0,0.0,1.0,1.0,0.9866666666666667,0.0,0.006666666666666667,0.006666666666666667,45.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,46.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,47.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,48.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,49.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,50.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,51.0,150.0
Malolo(Matamanoa Island),150.0,149.0,0.0,0.0,1.0,0.9933333333333333,0.0,0.0,0.006666666666666667,52.0,150.0
