,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Suva,94088.0,94060.0,22.0,6.0,0.0,0.9997024062579712,0.00023382365445115213,6.377008757758694e-05,0.0,1.0,94088.0
Suva,94088.0,94026.0,46.0,16.0,0.0,0.999341042428365,0.0004889040047614999,0.00017005356687356519,0.0,2.0,94088.0
Suva,94088.0,93994.0,61.0,33.0,0.0,0.9990009352946178,0.0006483292237054672,0.00035073548167672815,0.0,3.0,94088.0
Suva,94088.0,93963.0,80.0,45.0,0.0,0.9986714565088003,0.0008502678343678258,0.00047827565683190203,0.0,4.0,94088.0
Suva,94088.0,93948.0,81.0,58.0,1.0,0.9985120312898563,0.0008608961822974237,0.0006164441799166737,1.0628347929597824e-05,5.0,94088.0
Suva,94088.0,93920.0,93.0,70.0,5.0,0.9982144375478276,0.0009884363574525976,0.0007439843550718476,5.3141739647989115e-05,6.0,94088.0
Suva,94088.0,93895.0,104.0,82.0,7.0,0.9979487288495876,0.0011053481846781737,0.0008715245302270215,7.439843550718476e-05,7.0,94088.0
Suva,94088.0,93870.0,109.0,98.0,11.0,0.9976830201513477,0.0011584899243261627,0.0010415780971005867,0.00011691182722557606,8.0,94088.0
Suva,94088.0,93842.0,111.0,117.0,18.0,0.9973854264093189,0.0011797466201853583,0.0012435167077629453,0.00019131026273276082,9.0,94088.0
Suva,94088.0,93835.0,99.0,121.0,33.0,0.9973110279738118,0.0010522064450301846,0.0012860300994813367,0.00035073548167672815,10.0,94088.0
Suva,94088.0,93833.0,77.0,135.0,43.0,0.9972897712779526,0.0008183827905790323,0.001434826970495706,0.0004570189609727064,11.0,94088.0
Suva,94088.0,93834.0,67.0,138.0,49.0,0.9973003996258821,0.0007120993112830541,0.0014667120142844996,0.0005207890485502934,12.0,94088.0
Suva,94088.0,93824.0,69.0,139.0,56.0,0.9971941161465862,0.0007333560071422498,0.0014773403622140974,0.0005951874840574781,13.0,94088.0
Suva,94088.0,93821.0,71.0,134.0,62.0,0.9971622311027973,0.0007546127030014455,0.0014241986225661083,0.0006589575716350651,14.0,94088.0
Suva,94088.0,93815.0,69.0,135.0,69.0,0.9970984610152198,0.0007333560071422498,0.001434826970495706,0.0007333560071422498,15.0,94088.0
Suva,94088.0,93810.0,67.0,133.0,78.0,0.9970453192755718,0.0007120993112830541,0.0014135702746365104,0.0008290111385086302,16.0,94088.0
Suva,94088.0,93811.0,53.0,137.0,87.0,0.9970559476235014,0.0005633024402686846,0.0014560836663549018,0.0009246662698750107,17.0,94088.0
Suva,94088.0,93802.0,52.0,141.0,93.0,0.996960292492135,0.0005526740923390869,0.001498597058073293,0.0009884363574525976,18.0,94088.0
Suva,94088.0,93793.0,50.0,145.0,100.0,0.9968646373607687,0.0005314173964798912,0.0015411104497916844,0.0010628347929597824,19.0,94088.0
Suva,94088.0,93799.0,48.0,138.0,103.0,0.9969284074483462,0.0005101607006206955,0.0014667120142844996,0.0010947198367485759,20.0,94088.0
Suva,94088.0,93801.0,44.0,136.0,107.0,0.9969496641442054,0.00046764730890230425,0.001445455318425304,0.001137233228466967,21.0,94088.0
Suva,94088.0,93804.0,38.0,132.0,114.0,0.9969815491879942,0.0004038772213247173,0.0014029419267069126,0.0012116316639741518,22.0,94088.0
Suva,94088.0,93796.0,42.0,130.0,120.0,0.9968965224045574,0.0004463906130431086,0.001381685230847717,0.0012754017515517388,23.0,94088.0
Suva,94088.0,93798.0,43.0,123.0,124.0,0.9969177791004167,0.0004570189609727064,0.0013072867953405323,0.0013179151432701301,24.0,94088.0
Suva,94088.0,93792.0,41.0,121.0,134.0,0.996854009012839,0.00043576226511351075,0.0012860300994813367,0.0014241986225661083,25.0,94088.0
Suva,94088.0,93778.0,48.0,113.0,149.0,0.9967052121418247,0.0005101607006206955,0.001201003316044554,0.0015836238415100757,26.0,94088.0
Suva,94088.0,93781.0,39.0,118.0,150.0,0.9967370971856134,0.0004145055692543151,0.0012541450556925432,0.0015942521894396736,27.0,94088.0
Suva,94088.0,93790.0,28.0,125.0,145.0,0.9968327523169799,0.00029759374202873904,0.001328543491199728,0.0015411104497916844,28.0,94088.0
Suva,94088.0,93771.0,42.0,117.0,158.0,0.9966308137063175,0.0004463906130431086,0.0012435167077629453,0.001679278972876456,29.0,94088.0
Suva,94088.0,93765.0,35.0,122.0,166.0,0.9965670436187399,0.0003719921775359238,0.0012966584474109345,0.0017643057563132387,30.0,94088.0
Suva,94088.0,93740.0,42.0,119.0,187.0,0.9963013349205,0.0004463906130431086,0.001264773403622141,0.001987501062834793,31.0,94088.0
Suva,94088.0,93739.0,42.0,104.0,203.0,0.9962907065725704,0.0004463906130431086,0.0011053481846781737,0.0021575546297083583,32.0,94088.0
Suva,94088.0,93716.0,37.0,112.0,223.0,0.9960462545701896,0.0003932488733951195,0.0011903749681149562,0.0023701215883003145,33.0,94088.0
Suva,94088.0,93716.0,40.0,100.0,232.0,0.9960462545701896,0.0004251339171839129,0.0010628347929597824,0.002465776719666695,34.0,94088.0
Suva,94088.0,93724.0,34.0,97.0,233.0,0.9961312813536264,0.000361363829606326,0.0010309497491709889,0.002476405067596293,35.0,94088.0
Suva,94088.0,93707.0,43.0,96.0,242.0,0.9959505994388232,0.0004570189609727064,0.001020321401241391,0.0025720601989626733,36.0,94088.0
Suva,94088.0,93701.0,44.0,95.0,248.0,0.9958868293512456,0.00046764730890230425,0.0010096930533117932,0.0026358302865402603,37.0,94088.0
Suva,94088.0,93701.0,42.0,98.0,247.0,0.9958868293512456,0.0004463906130431086,0.0010415780971005867,0.0026252019386106625,38.0,94088.0
Suva,94088.0,93687.0,49.0,92.0,260.0,0.9957380324802313,0.0005207890485502934,0.0009778080095229997,0.002763370461695434,39.0,94088.0
Suva,94088.0,93681.0,41.0,100.0,266.0,0.9956742623926537,0.00043576226511351075,0.0010628347929597824,0.002827140549273021,40.0,94088.0
Suva,94088.0,93672.0,42.0,105.0,269.0,0.9955786072612873,0.0004463906130431086,0.0011159765326077715,0.0028590255930618143,41.0,94088.0
Suva,94088.0,93686.0,39.0,99.0,264.0,0.9957274041323017,0.0004145055692543151,0.0010522064450301846,0.002805883853413825,42.0,94088.0
Suva,94088.0,93662.0,34.0,118.0,274.0,0.9954723237819914,0.000361363829606326,0.0012541450556925432,0.0029121673327098035,43.0,94088.0
Suva,94088.0,93658.0,33.0,114.0,283.0,0.9954298103902729,0.00035073548167672815,0.0012116316639741518,0.003007822464076184,44.0,94088.0
Suva,94088.0,93635.0,44.0,118.0,291.0,0.9951853583878922,0.00046764730890230425,0.0012541450556925432,0.0030928492475129667,45.0,94088.0
Suva,94088.0,93629.0,49.0,112.0,298.0,0.9951215883003146,0.0005207890485502934,0.0011903749681149562,0.0031672476830201515,46.0,94088.0
Suva,94088.0,93633.0,48.0,106.0,301.0,0.995164101692033,0.0005101607006206955,0.0011266048805373692,0.003199132726808945,47.0,94088.0
Suva,94088.0,93629.0,54.0,103.0,302.0,0.9951215883003146,0.0005739307881982824,0.0010947198367485759,0.003209761074738543,48.0,94088.0
Suva,94088.0,93624.0,47.0,107.0,310.0,0.9950684465606666,0.0004995323526910977,0.001137233228466967,0.003294787858175325,49.0,94088.0
Suva,94088.0,93605.0,35.0,116.0,332.0,0.9948665079500042,0.0003719921775359238,0.0012328883598333475,0.0035286115126264774,50.0,94088.0
Suva,94088.0,93590.0,38.0,120.0,340.0,0.9947070827310602,0.0004038772213247173,0.0012754017515517388,0.00361363829606326,51.0,94088.0
