Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274254,25,5,0,24.998842683404337,0.0011312449194109857,2.607167625235297e-05,0.0,274284
2,274284,274221,43,20,0,24.996052632101996,0.0035068998506474713,0.00044046804735465466,0.0,274284
3,274284,274181,68,34,1,24.99520281800997,0.0027067859050810515,0.0020851817496980803,5.214335250470594e-06,274284
4,274284,274142,89,49,4,24.994895176916508,0.003202711132308478,0.0018812546101816755,2.0857341001882375e-05,274284
5,274284,274088,121,63,12,24.994192323587818,0.003278289761104349,0.0022061422310693476,0.0003232444200072372,274284
6,274284,274028,146,96,14,24.992128069934886,0.0041852312035911155,0.003353025771014435,0.00033367309050817836,274284
7,274284,273973,161,129,21,24.98796042282954,0.006195366289512533,0.0053985284983411996,0.0004456823826051253,274284
8,274284,273911,186,158,29,24.978931145690527,0.008181091250772488,0.011943259478671621,0.0009445035800287846,274284
9,274284,273844,217,181,42,24.9682491034123,0.014478268521529402,0.014891822677129688,0.0023808053890413154,274284
10,274284,273751,262,219,52,24.95685499749163,0.02081562996663869,0.018645826027510987,0.0036835465142227857,274284
11,274284,273662,282,271,69,24.958600998585318,0.020252049287250908,0.01805539593475754,0.003091556192672306,274284
12,274284,273547,333,313,91,24.953226479126034,0.020337599701631418,0.022732054359013553,0.003703866813322088,274284
13,274284,273426,390,352,116,24.946452871613253,0.02490455960320379,0.023352619493755975,0.005289949289787739,274284
14,274284,273295,448,398,143,24.936522753034435,0.02546326537952772,0.030996992964988052,0.0070169886210505955,274284
15,274284,273125,508,484,167,24.913153196587444,0.03960008558002827,0.038046523037740136,0.009200194794785585,274284
16,274284,272981,543,559,201,24.899898564898987,0.04473640734674374,0.042397157766982205,0.012967869987288716,274284
17,274284,272801,595,655,233,24.89899160254992,0.044612585402142996,0.04143591716108615,0.014959894886852506,274284
18,274284,272587,685,729,283,24.87341386405124,0.059802394543290206,0.04971919247157099,0.017064548933898385,274284
19,274284,272354,792,808,330,24.854462308754336,0.05945786219302142,0.06605822016958349,0.020021608883059015,274284
20,274284,272094,883,914,393,24.84586015074529,0.059990613280625035,0.07228977476104395,0.02185946121304172,274284
21,274284,271792,1019,1027,446,24.81729602488091,0.06956825756782302,0.08132255580891537,0.03181316174234959,274284
22,274284,271464,1114,1189,517,24.777075953448215,0.08940215506506119,0.09884657159244771,0.03467531989427805,274284
23,274284,271094,1267,1321,602,24.756752049037146,0.08779276918382098,0.1148727871463917,0.040582394632640725,274284
24,274284,270687,1406,1489,702,24.733027955537633,0.09219721494688836,0.12171856052964627,0.053056268985831656,274284
25,274284,270238,1602,1630,814,24.696064291983372,0.11215778456180317,0.1302668819637324,0.06151104149109281,274284
26,274284,269701,1815,1842,926,24.645331504855402,0.14207377748508354,0.14311597691348085,0.06947874074603301,274284
27,274284,269157,2002,2064,1061,24.6159431614106,0.14659016588859014,0.1584938347571153,0.07897283794369464,274284
28,274284,268526,2246,2320,1192,24.54242325352408,0.17629715920238148,0.1856500704772634,0.09562951679627484,274284
29,274284,267849,2493,2581,1361,24.471532034606703,0.20906746047708732,0.20581115365352035,0.11358935126269044,274284
30,274284,267392,2457,2900,1535,24.424238037543297,0.22653426346677666,0.21615172139436845,0.13307597759555784,274284
31,274284,266829,2558,3161,1736,24.363618271402675,0.24086470700817056,0.24968368776065997,0.14583333382849453,274284
32,274284,266225,2638,3481,1940,24.282121679950915,0.2571224221433957,0.29684064347804406,0.16391525442764351,274284
33,274284,265535,2787,3808,2154,24.18621565774504,0.28880329934286997,0.33415075693457713,0.190830285977513,274284
34,274284,264847,2910,4100,2427,24.105692127911887,0.32475514637474,0.35680683921330925,0.2127458865000659,274284
35,274284,264044,3124,4407,2709,24.007817263261206,0.3595740748325671,0.39860263695385245,0.23400602495237413,274284
36,274284,263237,3294,4708,3045,23.90072052261401,0.40401885696770456,0.430690000884091,0.26457061953419564,274284
37,274284,262280,3607,5020,3377,23.786160727945173,0.4382612621337276,0.4867336261851223,0.28884438373597654,274284
