Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274256,27,1,0,24.999853998612988,0.00014078705176270604,5.214335250470594e-06,0.0,274284
2,274284,274233,43,8,0,24.999423668804322,0.0005346165136732148,4.171468200376475e-05,0.0,274284
3,274284,274190,69,24,1,24.999234917593785,0.0006347240249525922,0.00012514404601129424,5.214335250470594e-06,274284
4,274284,274166,69,48,1,24.9987353832533,0.0007341794267553706,0.0005252229846927097,5.214335250470594e-06,274284
5,274284,274126,86,66,6,24.99510412010884,0.0016876211543636879,0.0031272450243904986,8.101371240421276e-05,274284
6,274284,274063,124,88,9,24.99313781478179,0.0032191876175078965,0.0034586011371147383,0.00018439646358929597,274284
7,274284,274019,145,107,13,24.988348270711704,0.0034323397419244047,0.005990764550588857,0.0022286249957813014,274284
8,274284,273963,164,138,19,24.985887049480247,0.007129292151371453,0.0043138918613932235,0.002669766506989883,274284
9,274284,273907,181,166,30,24.979824640216304,0.00836636031283807,0.008333591635465465,0.003475407835393659,274284
10,274284,273873,181,194,36,24.978863303931202,0.007093002909495887,0.010536999312404108,0.0035066938468964826,274284
11,274284,273845,173,209,57,24.97557450395079,0.00979594697755725,0.010002366451269114,0.004627182620385068,274284
12,274284,273809,175,229,71,24.973933812411346,0.010707119643597482,0.009428400371463124,0.00593066757359526,274284
13,274284,273756,189,251,88,24.971388553777583,0.011998605086077828,0.009972729667681438,0.006640111468659219,274284
14,274284,273715,200,267,102,24.965896541473636,0.014155899595429712,0.01175281293084923,0.008194746000085086,274284
15,274284,273667,202,289,126,24.96146298819227,0.015052365540798161,0.01288961388862489,0.010595032378307674,274284
16,274284,273612,216,305,151,24.957436899197262,0.016401822264071195,0.015310651132853528,0.01085062740581448,274284
17,274284,273560,214,332,178,24.95386091948624,0.019354429544723484,0.016849103510950467,0.009935547458086622,274284
18,274284,273490,233,367,194,24.942281504227036,0.025412081853150057,0.02045265677849775,0.011853757141315107,274284
19,274284,273434,239,391,220,24.936936320193226,0.027570803629256232,0.02086364579984324,0.014629230377674628,274284
20,274284,273361,255,422,246,24.930411911984958,0.026473960753910845,0.027892217651525678,0.015221909609606758,274284
21,274284,273289,277,448,270,24.920490781201952,0.029058656413390248,0.031748452492696526,0.01870210989196184,274284
22,274284,273208,299,474,303,24.914062906650965,0.027488135277635016,0.03822708932796134,0.020221868743439845,274284
23,274284,273119,340,489,336,24.903899604597587,0.03229388242101002,0.042053493660516215,0.021753019320888148,274284
24,274284,273044,345,533,362,24.8931255287209,0.037989751307746254,0.042844073867353574,0.026040646103997474,274284
25,274284,272952,374,559,399,24.8876025628063,0.03349250043643969,0.04915995123104865,0.02974498552621007,274284
26,274284,272884,352,595,453,24.883081661516748,0.03389415685278878,0.04822574449746808,0.03479843713299529,274284
27,274284,272796,383,613,492,24.872044492364633,0.03883373859482624,0.04766384238884383,0.04145792665169716,274284
28,274284,272683,410,655,536,24.862539266610117,0.04012186759255983,0.053527820588302945,0.04381104520902035,274284
29,274284,272564,433,704,583,24.855016806428758,0.03977644736653717,0.0592324994581709,0.04597424674653555,274284
30,274284,272428,472,758,626,24.83697539619358,0.047603387880894917,0.0669815024500582,0.048439713475466016,274284
31,274284,272263,549,783,689,24.81780582966839,0.05931023646827618,0.06722176194874666,0.05566217191458757,274284
32,274284,272100,594,851,739,24.792134014363178,0.07245010325823753,0.07813981414933263,0.05727606822925218,274284
33,274284,271938,646,892,808,24.762446233641842,0.08463705537927953,0.084676763906087,0.06823994707279121,274284
