Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274262,15,7,0,24.99988528462449,7.82150287570589e-05,3.6500346753294155e-05,0.0,274284
2,274284,274228,41,14,1,24.99962025748054,0.0003015274907029658,7.300069350658831e-05,5.214335250470594e-06,274284
3,274284,274199,58,26,1,24.996394059241652,0.002849694269020022,0.0007510321540786249,5.214335250470594e-06,274284
4,274284,274161,72,49,2,24.99563452596802,0.003320834805863261,0.0010342105556167727,1.0428670500941187e-05,274284
5,274284,274108,100,72,4,24.996551859331703,0.0014327507534538965,0.0019945325738424304,2.0857341001882375e-05,274284
6,274284,274060,122,95,7,24.99404775516021,0.0017994559733119342,0.004066560818825166,8.622804765468336e-05,274284
7,274284,274014,142,111,17,24.989188458561337,0.0020241349978960543,0.008474070693460718,0.0003133357473058204,274284
8,274284,273952,165,138,29,24.98466382822053,0.006894366200980869,0.007828974960038928,0.0006128306184493065,274284
9,274284,273877,197,174,36,24.97958557087936,0.00839277542831202,0.011343105817833533,0.0006785478744942509,274284
10,274284,273816,209,210,49,24.973001956724413,0.011701052076994515,0.013336323699200698,0.0019606674993896474,274284
11,274284,273743,234,242,65,24.963520898407953,0.014118803006571203,0.018199702100279734,0.004160596485195569,274284
12,274284,273673,237,291,83,24.966138145179936,0.01350229479544505,0.01460026400347528,0.0057592960211416055,274284
13,274284,273588,281,318,97,24.96062543564611,0.013468519462912802,0.014006874681461256,0.011899170209513601,274284
14,274284,273504,291,366,123,24.95361370612381,0.017753886824694143,0.017112339231584884,0.01152006781991042,274284
15,274284,273419,302,405,158,24.95448910000038,0.016837249312520782,0.018556665603892093,0.010116985083205826,274284
16,274284,273311,350,437,186,24.950890553503804,0.02015314586796812,0.019935313893717516,0.00902098673450923,274284
17,274284,273202,380,492,210,24.945563972105337,0.021458273592764514,0.02330738013543595,0.009670374166464173,274284
18,274284,273091,406,550,237,24.931606883446936,0.022713685835081245,0.03359138554613453,0.012088045171848196,274284
19,274284,272978,443,589,274,24.921021095835627,0.025755668026759892,0.03915152030578925,0.014071715831823066,274284
20,274284,272867,469,631,317,24.907610738847016,0.025466385285987575,0.04885818283787187,0.018064693029123897,274284
21,274284,272735,490,696,363,24.887978389685266,0.03390933336548259,0.051161826295103095,0.026950450654146918,274284
22,274284,272604,515,757,408,24.88047529359878,0.036598150416397045,0.0552539690110582,0.02767258697376242,274284
23,274284,272452,553,821,458,24.865330444578916,0.035234397281637964,0.06440865211746119,0.035026506021984885,274284
24,274284,272294,598,873,519,24.85605857959515,0.038170958826825856,0.06622458091642607,0.03954588066159659,274284
25,274284,272130,626,943,585,24.842419631556297,0.04116578261661658,0.06930011666869348,0.04711446915839359,274284
26,274284,271953,683,1004,644,24.83277468494946,0.04797327827191384,0.07214231785371361,0.047109718924912974,274284
27,274284,271735,775,1051,723,24.80297177340782,0.05398704676023697,0.08363605239538173,0.05940512743656187,274284
28,274284,271523,849,1110,802,24.777185488232618,0.05736943705087954,0.0963881756805987,0.06905689903590537,274284
29,274284,271320,878,1212,874,24.770981436176307,0.05995170455450216,0.09801685655642871,0.0710500027127629,274284
30,274284,271121,900,1316,947,24.754247480625022,0.06463276964738608,0.10976721522632349,0.0713525345012686,274284
31,274284,270867,987,1386,1044,24.74038678450223,0.07094922246809524,0.11252642214377784,0.07613757088589415,274284
32,274284,270616,1044,1493,1131,24.708977948020095,0.07851549113920304,0.12503541748690666,0.08747114335379648,274284
33,274284,270344,1086,1623,1231,24.68662597014138,0.08086691145955213,0.1362495626103949,0.09625755578867072,274284
34,274284,270049,1172,1716,1347,24.649103041849397,0.09280694391585918,0.1456966673461529,0.11239334688859141,274284
35,274284,269784,1177,1855,1468,24.638269140489903,0.08908526018748385,0.1499730415812661,0.12267255774134811,274284
36,274284,269450,1285,1952,1597,24.608020550629032,0.09841957879076123,0.16253433073582005,0.13102553984438628,274284
37,274284,269128,1340,2067,1749,24.582679155617022,0.1058328385430683,0.17053287767715233,0.14095512816275846,274284
38,274284,268756,1441,2199,1888,24.548145202740855,0.11427068811581487,0.18532318696701613,0.15226092217631343,274284
39,274284,268376,1541,2330,2037,24.523367821210602,0.11130300341959391,0.1901560449566379,0.1751731304131674,274284
40,274284,267986,1640,2480,2178,24.47668967535514,0.12575397974383548,0.20502967196615515,0.1925266729348708,274284
41,274284,267561,1756,2601,2366,24.464277971727878,0.12651504351836712,0.2014350888622193,0.20777189589153688,274284
42,274284,267115,1793,2808,2568,24.413299651449766,0.1366472131216367,0.22985052155331787,0.22020261387528056,274284
43,274284,266625,1959,2959,2741,24.372755986765515,0.1548090124118313,0.23937752260075215,0.23305747822190143,274284
44,274284,266106,2055,3175,2948,24.333315755927256,0.1641895140659368,0.24961790366313502,0.25287682634367115,274284
45,274284,265569,2200,3333,3182,24.268209371555198,0.17554984036046323,0.27415383412301775,0.28208695396132155,274284
46,274284,265031,2275,3553,3425,24.213967384251834,0.19063666857120126,0.29093562386825744,0.3044603233087062,274284
47,274284,264489,2360,3789,3646,24.14863989961595,0.20326642643435763,0.33411479375412484,0.31397888019556597,274284
48,274284,263854,2549,3977,3904,24.095724882102523,0.2080536411855098,0.36157413772334,0.334647338988628,274284
49,274284,263216,2665,4215,4188,24.024961813635937,0.2356137968514162,0.37393817905924287,0.3654862104534028,274284
50,274284,262531,2839,4435,4479,23.975116430246747,0.24236908755828507,0.3973372035956503,0.3851772785993166,274284
51,274284,261813,3013,4639,4819,23.940364938691314,0.2524406457614934,0.4061937051628782,0.40100071038431434,274284
52,274284,261029,3232,4863,5160,23.86527772460975,0.25925086714758566,0.4300691115597482,0.4454022966829161,274284
53,274284,260226,3410,5133,5515,23.764345916219145,0.28616277712928856,0.474246074462843,0.4752452321887225,274284
54,274284,259434,3489,5490,5871,23.692819221846953,0.30291180763162195,0.4859398111021528,0.5183291594192703,274284
55,274284,258544,3674,5797,6269,23.606668780575106,0.31547495084799665,0.5289502373505954,0.5489060312263021,274284
56,274284,257546,3922,6131,6685,23.51170660873556,0.32693794758937017,0.564995495182472,0.5963599484925951,274284
57,274284,256591,4081,6517,7095,23.47237420312282,0.3367873478201496,0.5639971790711253,0.6268412699859066,274284
58,274284,255477,4371,6913,7523,23.366566725030186,0.37296859056588344,0.6001657160526908,0.6602989683512405,274284
59,274284,254439,4511,7324,8010,23.27227887706835,0.3727055386557485,0.648558663257558,0.7064569210183438,274284
60,274284,253299,4787,7685,8513,23.146865270535013,0.4270652906025857,0.6690593367881473,0.7570101020742523,274284
61,274284,252106,5043,8114,9021,23.043729780875484,0.44254572028669004,0.7298413680458249,0.7838831307919994,274284
62,274284,250899,5298,8498,9589,22.939454154284835,0.4599468202454106,0.7582084253007427,0.84239060016901,274284
63,274284,249628,5582,8903,10171,22.832013155743258,0.4691312680823235,0.7866514147170582,0.9122041614573616,274284
64,274284,248263,5863,9331,10827,22.6835128836328,0.505280109393967,0.8203731351751742,0.9908338717980579,274284
65,274284,246854,6087,9859,11484,22.573515138612862,0.5115630354908955,0.8614850502430499,1.0534367756531928,274284
66,274284,245340,6419,10390,12135,22.380271490892834,0.5707273966411776,0.928225405248139,1.1207757072178475,274284
67,274284,243836,6695,10897,12856,22.257009313280374,0.5936202216164411,0.9616488803636978,1.1877215847394855,274284
68,274284,242362,6853,11418,13651,22.126358982975038,0.623128338922263,1.0027624248790754,1.2477502532236249,274284
69,274284,240666,7224,11913,14481,21.992396815358273,0.6414800839541668,1.0473636303690348,1.3187594703185272,274284
70,274284,238813,7646,12536,15289,21.80058180342288,0.6991105806718851,1.1078039523180574,1.3925036635871764,274284
71,274284,237002,7988,13149,16145,21.61314781347141,0.72828468971384,1.1878263749346036,1.4707411218801463,274284
72,274284,235131,8277,13825,17051,21.448584305241326,0.7361514382861125,1.258978854525453,1.5562854019471086,274284
73,274284,233104,8746,14391,18043,21.224048454176557,0.8040257371965442,1.3021474358734837,1.6697783727534148,274284
74,274284,231135,8999,15078,19072,20.99387385429958,0.8454799724477902,1.376720918664219,1.783925254588411,274284
75,274284,229063,9257,15848,20116,20.824142864563903,0.8257370971020246,1.4978369284591357,1.8522831098749344,274284
76,274284,226855,9684,16525,21220,20.606392126839086,0.88321191529836,1.5533079976160695,1.9570879602464843,274284
77,274284,224581,10085,17243,22375,20.445382913294694,0.9331850172759033,1.5754089313324142,2.04602313809699,274284
78,274284,222315,10330,18113,23526,20.252966952607363,0.9563312410997927,1.6329641883911483,2.157737617901698,274284
79,274284,219810,10780,18799,24895,19.997900890979338,1.0182931839528553,1.6845499537626722,2.299255971305134,274284
80,274284,217256,11215,19607,26206,19.79339637619937,1.013668767387269,1.7825952138191283,2.41033964259423,274284
81,274284,214671,11518,20534,27561,19.500123325523735,1.0685987816023186,1.8479157954293914,2.583362097444555,274284
82,274284,212021,11895,21417,28951,19.288716941471975,1.1012082156800105,1.9004540592296604,2.709620783618352,274284
83,274284,209242,12357,22316,30369,19.06850232083547,1.1147526478536178,2.0018726144471333,2.8148724168637798,274284
84,274284,206557,12564,23275,31888,18.77783847891987,1.1632889557537545,2.0971831484982375,2.9616894168281407,274284
85,274284,203660,13019,24009,33596,18.535600456169963,1.2080266435381566,2.170791381208698,3.085581519083184,274284
86,274284,200738,13343,24981,35222,18.290291873784252,1.2291752952038457,2.2731352836932484,3.2073975473186556,274284
87,274284,197883,13665,25832,36904,18.024830384529725,1.2484024719199154,2.361071248673234,3.365695894877126,274284
88,274284,194641,14232,26728,38683,17.750677579703986,1.2710957724971852,2.3905255513693042,3.5877010964295244,274284
89,274284,191464,14661,27612,40547,17.471354839225576,1.30623297846902,2.4588154082593445,3.7635967740460594,274284
90,274284,188264,14978,28655,42387,17.178093516222873,1.3643027636956406,2.5287645605113296,3.928839159570157,274284
91,274284,185086,15255,29544,44399,16.920690317872104,1.3811033174655696,2.635529680469589,4.062676684192737,274284
92,274284,181830,15618,30362,46474,16.647141452097845,1.3890663250716815,2.7134608644618345,4.25033135836864,274284
93,274284,178456,15990,31254,48584,16.31926109807754,1.4245396423773578,2.8019804600130818,4.454218799532021,274284
94,274284,175212,16142,32254,50676,16.03173921787006,1.397299783404249,2.9182366092796235,4.652724389446066,274284
95,274284,171934,16267,33145,52938,15.718405721337016,1.447585598731374,2.9469496863975606,4.887058993534049,274284
96,274284,168517,16564,33953,55250,15.337108248984022,1.5052228162096808,3.057991399817341,5.099677534988957,274284
97,274284,165131,16703,34885,57565,15.097629329739455,1.5075902778078525,3.1218833766261342,5.272897015826558,274284
98,274284,161642,16967,35729,59946,14.78006199974129,1.535464270235728,3.173868312133232,5.51060541788975,274284
99,274284,158108,17169,36584,62423,14.527462470897493,1.514549972729325,3.242011994088491,5.715975562284691,274284
100,274284,154668,17236,37396,64984,14.146931387848868,1.5089884075129558,3.388805874761238,5.955274329876938,274284
101,274284,148529,20012,38205,67538,13.605120578188995,1.7441453096819606,3.4289696314957845,6.22176448063326,274284
102,274284,142427,22188,39466,70203,13.015504867421484,1.9192789997801818,3.5697187400916404,6.495497392706694,274284
103,274284,136362,24002,40987,72933,12.483624966633238,2.1023417305232734,3.7168991364349466,6.697134166408541,274284
104,274284,130266,25382,42941,75695,11.898684269642832,2.250779577799854,3.912373495072705,6.938162657484609,274284
105,274284,124222,26546,44842,78674,11.35643167924788,2.398887459339832,4.012641966616531,7.232038894795757,274284
106,274284,118235,27381,46797,81871,10.849569107823575,2.5006865590629186,4.177202955721945,7.47254137739156,274284
107,274284,112251,28008,48902,85123,10.347606214463239,2.549103685790356,4.324154088063247,7.779136011683158,274284
108,274284,106265,28520,50971,88528,9.763706922216112,2.594602406298061,4.551663887073371,8.090026784412455,274284
109,274284,100426,28871,53023,91964,9.214616285798021,2.6251106357114247,4.733867843225782,8.426405235264774,274284
110,274284,94818,28900,54894,95672,8.641253937338208,2.638631812713108,4.970667742368113,8.74944650758057,274284
111,274284,89265,28819,56730,99470,8.158409170950426,2.6453733422535226,5.10871336863109,9.087504118164961,274284
112,274284,83828,28758,58292,103406,7.646671869503951,2.6263981655280024,5.270361491687618,9.456568473280429,274284
113,274284,78685,28380,59783,107436,7.147826394962438,2.5480269353574196,5.451433107514382,9.85271356216576,274284
114,274284,73623,28004,61224,111433,6.649243478523519,2.567554547881022,5.639179830846822,10.144022142748637,274284
115,274284,68938,27227,62469,115650,6.162695099823036,2.5388377330602503,5.820945186746508,10.477521980370206,274284
116,274284,64473,26361,63465,119985,5.716852994485456,2.5110762560434647,5.870312762909448,10.90175798656163,274284
117,274284,60157,25721,64068,124338,5.321895256058165,2.387345297135592,5.996247661101016,11.294511785705227,274284
118,274284,56111,24762,64679,128732,4.958574998301931,2.2699686863447397,6.0593075211668985,11.712148794186431,274284
119,274284,52371,23779,64870,133264,4.674556466723204,2.131029399157183,6.072413195477642,12.12200093864197,274284
