Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274251,27,6,0,24.999827926936735,0.00014078705176270604,3.128601150282356e-05,0.0,274284
2,274284,274225,43,16,0,24.999343942077786,0.000572628558205497,8.34293640075295e-05,0.0,274284
3,274284,274187,67,29,1,24.998368700022706,0.0014748699197807812,0.00015121572226364723,5.214335250470594e-06,274284
4,274284,274139,90,53,2,24.997289976101438,0.0020727916217729335,0.0006268036062887154,1.0428670500941187e-05,274284
5,274284,274090,117,71,6,24.99694275229754,0.0020719649322449283,0.0008662570132802943,0.000119025756936495,274284
6,274284,274033,144,94,13,24.993789590242624,0.003829480041914287,0.0018410506031660207,0.0005398791122938742,274284
7,274284,273988,150,126,20,24.98763586392614,0.004623343455238573,0.0036162976494832724,0.004124494969137702,274284
8,274284,273923,178,154,29,24.985273807021084,0.00518124841340111,0.005346183300037758,0.004198761265476747,274284
9,274284,273862,199,184,39,24.980453902296716,0.005896424180582105,0.007985636110368052,0.005664037412332097,274284
10,274284,273806,206,218,54,24.97943188388162,0.006643226784039204,0.010568166927328851,0.0033567224070104556,274284
11,274284,273746,227,242,69,24.97246288120054,0.008333644823021426,0.01570657803968187,0.0034968959367589225,274284
12,274284,273678,254,265,87,24.961539324635122,0.011957405402654324,0.01857423929376329,0.00792903066845881,274284
13,274284,273620,251,303,110,24.957494092991176,0.01287714979915958,0.0207651857674233,0.008863571442242204,274284
14,274284,273567,249,336,132,24.955822923854893,0.015427431074882017,0.019685599251511525,0.00906404581871326,274284
15,274284,273508,259,364,153,24.95032656507642,0.017708298223878968,0.017768190993233863,0.014196945706468183,274284
16,274284,273459,248,392,185,24.94360385263193,0.01338710082861623,0.028205569876189603,0.01480347666326478,274284
17,274284,273373,268,433,210,24.942166947580034,0.01392926959244822,0.024674773759065433,0.019229009068451163,274284
18,274284,273293,292,452,247,24.92819237605732,0.015485698409258938,0.03422349683915912,0.022098428694261506,274284
19,274284,273208,305,479,292,24.931693542342625,0.014345448674914956,0.030109372488545554,0.02385163649391456,274284
20,274284,273127,336,504,317,24.923858323560804,0.013651423795220653,0.03576864555735193,0.026721607086622315,274284
21,274284,273043,348,553,340,24.91397591379277,0.015309953221643023,0.04086893041497253,0.029845202570615625,274284
22,274284,272962,358,572,392,24.90145174482073,0.02159462595348061,0.043824558745250174,0.03312907048054072,274284
23,274284,272877,355,624,428,24.89662111573478,0.019720048407699774,0.04051748420766872,0.04314135164985075,274284
24,274284,272786,371,651,476,24.895948568518847,0.020563608776265972,0.04006127957507039,0.043426543129816426,274284
25,274284,272686,395,673,530,24.883531992932426,0.02926165817546649,0.04265450416201546,0.044551844730093056,274284
26,274284,272604,400,702,578,24.876465168184296,0.03195995026861351,0.046874587062088933,0.04470029448499996,274284
27,274284,272499,427,741,617,24.865373030311787,0.028205692889026572,0.05663861303733469,0.04978266376185257,274284
28,274284,272406,405,800,673,24.852109337289978,0.02844811224641947,0.060065069207965935,0.059377481255637014,274284
29,274284,272296,434,815,739,24.850232850950572,0.02998723982297908,0.0584504166575523,0.06132949256889552,274284
30,274284,272170,469,855,790,24.835413931972163,0.03775153703037165,0.0632612103994445,0.06357332059801939,274284
31,274284,272071,481,885,847,24.817942300075682,0.0406798726993834,0.06925735583550655,0.07212047138942947,274284
32,274284,271956,475,946,907,24.81006967111583,0.03410594548356229,0.07832920583783079,0.07749517756277748,274284
33,274284,271827,491,995,971,24.799736523625857,0.03574447672723876,0.08096881302964903,0.08355018661725543,274284
34,274284,271702,515,1029,1038,24.803552569579278,0.037726964889018534,0.0714920898639331,0.08722837566776989,274284
35,274284,271582,521,1078,1103,24.792635514218453,0.03400938987697616,0.0791167349964556,0.09423836090811563,274284
36,274284,271439,528,1139,1178,24.778686009254525,0.030523694258648298,0.08379717257266281,0.10699312391416503,274284
37,274284,271297,573,1154,1260,24.764448032704177,0.03448335103720709,0.09131947612684296,0.10974914013177413,274284
38,274284,271149,607,1186,1342,24.753485959780964,0.039385759206010805,0.09485335364745433,0.1122749273655696,274284
39,274284,271008,608,1240,1428,24.715888586220444,0.039178028563511526,0.11292657771405505,0.13200680750199073,274284
40,274284,270853,626,1294,1511,24.693204846099825,0.04929151704807986,0.10993936381955921,0.1475642730325371,274284
41,274284,270698,658,1333,1595,24.68543917865071,0.04648323101975407,0.11901681112935429,0.14906077920018193,274284
42,274284,270546,668,1386,1684,24.68798098776273,0.04441102342540892,0.12083768650524591,0.14677030230661275,274284
43,274284,270357,712,1427,1788,24.68972106348145,0.04657165829230232,0.11905651229672888,0.1446507659295199,274284
44,274284,270177,729,1497,1881,24.674394051107072,0.04914497517971521,0.1251727114338943,0.15128826227931735,274284
45,274284,270013,719,1571,1981,24.656576420395634,0.05683793543656363,0.13585402947910777,0.15073161468869328,274284
46,274284,269841,722,1619,2102,24.646750411297845,0.058306265327008416,0.13618446244621213,0.15875886092893396,274284
47,274284,269648,771,1653,2212,24.61939331157482,0.06284574078720875,0.14339148701472143,0.1743694606232483,274284
48,274284,269465,794,1684,2341,24.599770276081426,0.06260372341692916,0.14782062134590648,0.18980537915573917,274284
49,274284,269278,809,1748,2449,24.568306142915045,0.06905978877817108,0.15315695846476238,0.20947710984202098,274284
50,274284,269095,838,1760,2591,24.55920184196687,0.06164331420061025,0.15861001595964866,0.22054482787287055,274284
51,274284,268873,891,1813,2707,24.546028584234367,0.05802408991056501,0.1587422072087564,0.23720511864631222,274284
52,274284,268654,932,1869,2829,24.52575585091207,0.06667006759980273,0.15001627857671193,0.25755780291141445,274284
53,274284,268465,918,1951,2950,24.515844055280294,0.07112314730570847,0.15057470848239007,0.26245808893160655,274284
54,274284,268275,892,2042,3075,24.50085669623693,0.0714713568278601,0.16445080940875223,0.2632211375264585,274284
55,274284,268044,938,2095,3207,24.470287634097957,0.07568630305399812,0.1712373806955827,0.28278868215246167,274284
56,274284,267798,1022,2114,3350,24.459246695201113,0.07993346545316633,0.16684493900319236,0.29397490034252893,274284
57,274284,267530,1084,2165,3505,24.448290617869585,0.08394927541222633,0.17628809033851045,0.29147201637967957,274284
58,274284,267295,1133,2194,3662,24.426395701723138,0.08810419984316559,0.16832053823824072,0.31717956019545546,274284
59,274284,267011,1188,2257,3828,24.39469141508128,0.0911067016948505,0.1871496883803829,0.32705219484348874,274284
60,274284,266765,1195,2342,3982,24.394699673933093,0.08589533749218982,0.1892087183831286,0.33019627019158915,274284
61,274284,266509,1209,2423,4143,24.383633358590423,0.08191600554357661,0.1935056093513569,0.3409450265146452,274284
62,274284,266256,1211,2503,4314,24.365640270418822,0.0856523583128466,0.1966136995370927,0.3520936717312392,274284
63,274284,265963,1267,2563,4491,24.31672297096164,0.10550511529043845,0.20929738271395582,0.36847453103396743,274284
64,274284,265707,1286,2581,4710,24.30210747173475,0.09520560727625232,0.2143497719629699,0.38833714902602706,274284
65,274284,265433,1292,2664,4895,24.28372388500699,0.0989375591076134,0.2282090072503394,0.3891295486350576,274284
66,274284,265179,1298,2751,5056,24.257525868494017,0.08948187943281463,0.2269631043402355,0.426029147732931,274284
67,274284,264927,1282,2824,5251,24.214591538080597,0.09625525470681374,0.2282977970034354,0.4608554102091528,274284
68,274284,264610,1330,2893,5451,24.19444077788603,0.09742856578992883,0.22770535833681033,0.4804252979872297,274284
69,274284,264295,1386,2948,5655,24.17025705718883,0.09966641231810776,0.23814924519725486,0.49192728529580504,274284
70,274284,263997,1420,3021,5846,24.13211820886687,0.10548698661886123,0.25530194680397894,0.5070928577102904,274284
