Day,S,E,I,R,Total
0,274281.0,2.0,0.0,0.0,274283.0
1,274280.9531236632,1.7359457198439752,0.3011646058642932,0.009766011166484949,274283.00000000006
2,274280.8239112812,1.5882200324305424,0.5511831237159377,0.03668556280934236,274283.0000000002
3,274280.62467043457,1.5276290659314375,0.7695059313806907,0.07819456825172429,274283.00000000006
4,274280.3626757264,1.5340946605730232,0.9704521162597348,0.13277749688037388,274283.0000000002
5,274280.04146332626,1.5940630049353937,1.1647759953487968,0.19969767352441775,274283.00000000006
6,274279.6617260258,1.6986787016105815,1.360784465002399,0.27881080766870747,274283.00000000006
7,274279.2219224527,1.8425025464627633,1.5651369261977912,0.3704380747803433,274283.00000000006
8,274278.71868130285,2.0226147966110606,1.7834219971041816,0.4752819035795173,274283.0000000001
9,274278.14705706295,2.237992852215437,2.020577380897725,0.5943727040708529,274283.0000000001
10,274277.5006768926,2.4890847008060795,2.2812001348910584,0.7290382718717715,274283.0000000002
11,274276.77180632734,2.777522565893737,2.5697810006790505,0.8808901062902488,274283.00000000023
12,274275.9513528072,3.105937768532985,2.8908867411815082,1.051822683197026,274283.0000000001
13,274275.0288199545,3.4778493567646764,3.2493076981538684,1.2440229907034046,274283.0000000001
14,274273.9922211166,3.897607306418708,3.6501830232957344,1.4599885537389607,274283.00000000006
15,274272.8279574372,4.370377100861911,4.09911260982285,1.7025528521873539,274283.00000000006
16,274271.5206634059,4.9021566080269645,4.6022624678018085,1.9749175183061882,274283.0
17,274270.05302106537,5.499819208543362,5.166468656711167,2.2806910693517777,274283.0
18,274268.4055426903,6.171179309175358,5.799343785377876,2.623934215127719,274283.0
19,274266.55632066383,6.925077983814792,6.509389344587723,3.009212007781934,274283.00000000006
20,274264.480742375,7.771487646550485,7.30611668888491,3.441653289509686,274282.99999999994
21,274262.1511671824,8.721635569710639,8.200179191342757,3.9270180565175736,274283.0
22,274259.5365616909,9.788146768183065,9.203518016527443,4.471773524322451,274282.99999999994
23,274256.6020889594,10.985207358567717,10.329523869892293,5.083179812129435,274283.0
24,274253.3086464303,12.328749990086365,11.593217243059511,5.769386336541146,274283.0
25,274249.612346689,13.836663408126768,13.011449753454045,6.539540149432627,274283.00000000006
26,274245.4639344591,15.529028574748386,14.603129364279939,7.403907601864303,274282.99999999994
27,274240.80813192326,17.428384372946617,16.38947271013557,8.374010993673187,274283.00000000006
28,274235.58290406765,19.560026154304445,18.394287826609876,9.462781951430355,274283.0
29,274229.7186343343,21.95234097326423,20.644291115755415,10.684733576673732,274282.99999999994
30,274223.1371997486,24.63718382679744,23.16946278182705,12.056153642760275,274283.0
31,274215.75093336904,27.650299788136252,26.00344544279503,13.595321400023046,274283.0
32,274207.4614603382,31.031797539269615,29.183991239902987,15.322750882582227,274283.0
33,274198.15839386336,34.82667980800095,32.753462723804205,17.261463604784364,274283.0
