Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274263,14,7,0,24.999814990014396,0.00014850963885024106,3.6500346753294155e-05,0.0,274284
2,274284,274239,32,13,0,24.997793567700043,0.0020011784953659108,0.00020525380459117835,0.0,274284
3,274284,274201,57,26,0,24.995082361689406,0.004293452726157067,0.0006241855844357833,0.0,274284
4,274284,274157,85,41,1,24.994345663830988,0.0030294506385016916,0.002619671195260141,5.214335250470594e-06,274284
5,274284,274111,103,65,5,24.990684390694593,0.005160090793261113,0.004129446835891953,2.607167625235297e-05,274284
6,274284,274065,126,81,12,24.991315060891484,0.005955788597152666,0.002405906091357491,0.0003232444200072372,274284
7,274284,274014,145,108,17,24.989104489504044,0.005525803935423663,0.0045362310263356385,0.0008334755341958,274284
8,274284,273947,179,134,24,24.987018282404406,0.005967102749289272,0.006094911264453855,0.0009197035818504834,274284
9,274284,273879,209,158,38,24.988508532386213,0.005707552181961889,0.0047034714110339255,0.001080444020790743,274284
10,274284,273836,198,203,47,24.987647926926027,0.004577763403707514,0.005658894620555784,0.0021154150497091693,274284
11,274284,273795,206,224,59,24.982602369130728,0.005272546489947801,0.009947097306609667,0.0021779870727148165,274284
12,274284,273749,198,256,81,24.98038866153357,0.00555780590848806,0.010688565419841912,0.003364967138099856,274284
13,274284,273709,193,286,96,24.978013843954205,0.005841619186417775,0.01250060910093226,0.0036439277584456096,274284
14,274284,273667,197,300,120,24.97596349826245,0.007798779194869824,0.01320616357810388,0.0030315589645773513,274284
15,274284,273627,194,326,137,24.976507647843913,0.008677063914810233,0.010484383213308699,0.00433090502796885,274284
16,274284,273592,180,351,161,24.973786843690164,0.00884078916184611,0.012808067536965381,0.004564299611023555,274284
17,274284,273558,171,372,183,24.97173424300307,0.007988061063457145,0.015461213500603735,0.0048164824328689685,274284
18,274284,273512,177,381,214,24.968821179990407,0.007623444095095961,0.018136144984287533,0.005419230930209477,274284
19,274284,273482,165,393,244,24.96764110183845,0.005673989640320606,0.020044085763717648,0.0066408227575111625,274284
20,274284,273437,181,392,274,24.962036576342374,0.008458011845569257,0.019640402181317275,0.009865009630738145,274284
21,274284,273408,162,406,308,24.961607273887147,0.007323318037800613,0.020220418358744913,0.010848989716309342,274284
22,274284,273363,163,429,329,24.956936564106627,0.007431352215598522,0.02021479757100081,0.015417286106771995,274284
23,274284,273325,168,435,356,24.948614895483153,0.0077343866213655,0.025402295477299653,0.018248422418179686,274284
24,274284,273287,179,431,387,24.940113798377926,0.007718267059355537,0.026498822176718197,0.02566911238599912,274284
25,274284,273241,179,444,420,24.939050755558917,0.0073050933631596815,0.02625867170617384,0.027385479371750048,274284
26,274284,273199,172,469,444,24.935872292495088,0.004840030620548434,0.02719485449513942,0.03209282238922284,274284
27,274284,273157,175,476,476,24.933068825734797,0.0044146081270660924,0.02543948365385875,0.03707708248427696,274284
28,274284,273117,175,485,507,24.930420849690332,0.003717457474613636,0.025842421101247418,0.04001927173380805,274284
29,274284,273079,179,489,537,24.92770133395518,0.00424604752310689,0.02939529056219294,0.0386573279595205,274284
30,274284,273031,186,499,568,24.92686274328683,0.004678135384373698,0.028515380134734408,0.039943741194062285,274284
31,274284,272983,194,502,605,24.923688367171764,0.0046285225907227315,0.027084276272422415,0.04459883396509238,274284
32,274284,272952,181,516,635,24.917359655647957,0.005371311864594517,0.031863150945556966,0.04540588154189211,274284
33,274284,272904,183,521,676,24.910486696130338,0.006424443170812116,0.03409936895890144,0.04898949173994988,274284
34,274284,272867,189,516,712,24.90197353623863,0.007909011161010598,0.03476681500322513,0.05535063759713477,274284
35,274284,272826,183,517,758,24.904629244560056,0.006603319198468084,0.031140868704562116,0.05762656753691441,274284
36,274284,272785,187,516,796,24.898290986353654,0.008823820806150363,0.027825877409211355,0.0650593154309842,274284
37,274284,272742,195,516,831,24.892341137651975,0.008791804184587504,0.033311651002367305,0.06555540716106881,274284
38,274284,272694,197,527,866,24.888265526477035,0.008662388557354963,0.032329434050921486,0.07074265091468877,274284
39,274284,272654,202,528,900,24.88764770664692,0.008367647135322441,0.03176973931202852,0.07221490690572853,274284
40,274284,272621,192,533,938,24.888681967561112,0.008196894205495332,0.026850700113783047,0.07627043811961115,274284
41,274284,272588,166,558,972,24.881767848559015,0.010121868488497688,0.0295155062207566,0.07859477673173122,274284
42,274284,272531,194,551,1008,24.880180076889552,0.008839841195934594,0.03154240470174778,0.07943767721276597,274284
43,274284,272491,195,547,1051,24.877326670991078,0.008129440605538916,0.03174772477117114,0.08279616363221315,274284
44,274284,272453,186,554,1091,24.877311971575253,0.009616130314534621,0.028850240293830383,0.0842216578163827,274284
45,274284,272399,191,562,1132,24.876216258961467,0.007963940654260008,0.03624467359496126,0.07957512678931263,274284
46,274284,272365,182,570,1167,24.87331447332003,0.007851633428430264,0.0347640275888553,0.08406986566268437,274284
47,274284,272323,186,567,1208,24.87070740417938,0.009818771060546082,0.03146203342680587,0.08801179133326585,274284
48,274284,272271,199,572,1242,24.869480298508435,0.01059468352960458,0.03262858839261806,0.08729642956934232,274284
49,274284,272235,202,570,1277,24.86418759376879,0.012415966025755789,0.035378302778458735,0.08801813742699728,274284
50,274284,272188,207,560,1329,24.865222804248546,0.0088696280313257,0.034688327046554966,0.09121924067357481,274284
51,274284,272147,207,567,1363,24.865186083724733,0.007737021879539884,0.034156274379562666,0.09292062001616347,274284
52,274284,272104,206,573,1401,24.857736775261138,0.00933286598990417,0.03390325907569864,0.09902709967325933,274284
53,274284,272057,213,587,1427,24.85520943307927,0.007756971310272368,0.0372551753176468,0.09977842029281037,274284
54,274284,272009,213,600,1462,24.85032922398963,0.0064917588846679485,0.03778617901131896,0.1053928381143838,274284
55,274284,271953,214,608,1509,24.844561503253807,0.006990816618645223,0.036930907624134784,0.1115167725034143,274284
56,274284,271912,209,601,1562,24.834502592986734,0.006641412460825159,0.04017560085510698,0.11868039369733507,274284
57,274284,271875,197,609,1603,24.83085017185974,0.00745089218232011,0.041656255584847986,0.1200426803730897,274284
58,274284,271829,209,602,1644,24.828843931449626,0.010939903096394797,0.03721983828516789,0.12299632716881125,274284
59,274284,271788,206,606,1684,24.823848704925588,0.012357140121343497,0.03627543039053596,0.12751872456253183,274284
60,274284,271743,195,625,1721,24.822354830907404,0.01062154809291949,0.03589707974781596,0.13112654125186068,274284
61,274284,271687,207,620,1770,24.812091663682704,0.010838133050831245,0.037527501605576066,0.13954270166088711,274284
