Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274258,22,4,0,24.999864427283487,0.00011471537551035307,2.0857341001882375e-05,0.0,274284
2,274284,274233,38,13,0,24.999634613500422,0.00024787244041927175,0.00011751405915750691,0.0,274284
3,274284,274206,56,20,2,24.998928094711996,0.0008080068097899643,0.00020374210681219025,6.0156371402330383e-05,274284
4,274284,274177,69,35,3,24.997528131962305,0.001300612746995084,0.0007390636509891438,0.0004321916397122444,274284
5,274284,274146,87,43,8,24.996983826330077,0.0013523124420156216,0.0006987636956206267,0.0009650975322858812,274284
6,274284,274089,120,63,12,24.99432373715424,0.0026601493328847923,0.0019307032377858238,0.001085410275090542,274284
7,274284,274042,145,81,16,24.99093442023144,0.0035814466425802896,0.004173684253450371,0.0013104488725305056,274284
8,274284,273980,167,116,21,24.988856323238945,0.0035818958825773696,0.006691536664556509,0.0008702442139206368,274284
9,274284,273916,202,142,24,24.982951380397424,0.00883854290041645,0.007324189482487262,0.0008858872196720486,274284
10,274284,273865,208,179,32,24.980988164222964,0.00634520956020358,0.01127274798029518,0.0013938782365380351,274284
11,274284,273777,239,222,46,24.973278060728244,0.009740606814595761,0.015359999971579967,0.0016213324855813157,274284
12,274284,273671,282,271,60,24.964239655935167,0.014318726589188454,0.016877345244891363,0.004564272230753038,274284
13,274284,273559,336,313,76,24.953651873977662,0.02109395741281607,0.020081864751350844,0.005172303858169435,274284
14,274284,273447,377,364,96,24.945943466628332,0.025195597096212025,0.023321641619696694,0.00553929465575895,274284
15,274284,273318,440,393,133,24.935717803449247,0.02932928070172264,0.02713459217336244,0.007818323675669071,274284
16,274284,273159,497,458,170,24.931589475688035,0.02807129055117673,0.028786178667772548,0.011553055093015699,274284
17,274284,273009,556,504,215,24.920668260118,0.027165096318970842,0.03858233562022069,0.01358430794280727,274284
18,274284,272847,619,562,256,24.90154795025369,0.040074118987773646,0.0414873563845548,0.0168905743739824,274284
19,274284,272648,708,631,297,24.888908511198572,0.04914678351238186,0.04388201995790382,0.018062685331141644,274284
20,274284,272427,778,747,332,24.872470142728783,0.05733532170061806,0.05201943309163128,0.018175102478966344,274284
21,274284,272169,873,862,380,24.864143561618476,0.06153589489667608,0.05388922171974844,0.020431321765097113,274284
22,274284,271884,986,981,433,24.842042827749978,0.0620164599123463,0.07194841423170778,0.0239922981059668,274284
23,274284,271579,1109,1105,491,24.813471269915834,0.07945527054189373,0.07813952807714164,0.028933931465129778,274284
24,274284,271214,1258,1236,576,24.77589513956991,0.08973417342709773,0.09207454134345418,0.042296145659537196,274284
25,274284,270817,1385,1416,666,24.737072711529688,0.11036496033891403,0.0977035470470612,0.054858781084336686,274284
26,274284,270425,1498,1605,756,24.71406550410739,0.10631967424972089,0.11469801092891616,0.06491681071397475,274284
27,274284,269975,1643,1784,882,24.68862854065377,0.11373453569712139,0.12014345721729422,0.07749346643181287,274284
28,274284,269419,1872,1985,1008,24.63297219079507,0.133239327045784,0.14126897088134405,0.092519511277801,274284
29,274284,268782,2149,2220,1133,24.568990796077255,0.17072212550784951,0.16024154146328087,0.1000455369516147,274284
30,274284,268066,2430,2512,1276,24.515145317886212,0.19542639318008836,0.17930364127092946,0.11012464766276925,274284
31,274284,267345,2694,2787,1458,24.451693731722504,0.21173641579989408,0.2079354961657903,0.12863435631181117,274284
32,274284,266461,3031,3137,1655,24.366621584350085,0.24072159780668073,0.24948024148088271,0.14317657636235212,274284
33,274284,265576,3321,3514,1873,24.309962398607542,0.2495217668259115,0.2813402391111461,0.15917559545540114,274284
34,274284,264527,3715,3912,2130,24.220113705161648,0.2800062552074199,0.3179837498074171,0.18189628982351624,274284
35,274284,263315,4174,4387,2408,24.109519794595734,0.3230282383669234,0.3626422152917077,0.20480975174563557,274284
36,274284,262021,4609,4935,2719,24.011842350182768,0.35220069169435697,0.40396907759606165,0.23198788052681268,274284
37,274284,260620,5094,5489,3081,23.890539017028516,0.3972843802705373,0.4567195743432103,0.25545702835773715,274284
38,274284,258967,5802,6044,3471,23.71567892152429,0.4993635838079217,0.49665655442498274,0.2883009402428052,274284
39,274284,257133,6468,6755,3928,23.59686249902099,0.5248844317164347,0.5567152159216293,0.32153785334094515,274284
40,274284,255201,7069,7627,4387,23.43840728599443,0.5542855528023068,0.6388511149248682,0.3684560462783969,274284
41,274284,253076,7789,8496,4923,23.233208509833243,0.6379328276038378,0.6994708159039813,0.4293878466589385,274284
42,274284,250835,8464,9443,5542,23.052977135631064,0.6699742357773545,0.7791089286544421,0.49793969993714104,274284
43,274284,248183,9448,10458,6195,22.783456465202,0.7880000435804748,0.883642792214687,0.5449006990028372,274284
44,274284,245364,10367,11669,6884,22.536480269992037,0.884855706835579,0.9733974326655844,0.6052665905067981,274284
45,274284,242213,11443,12926,7702,22.269318422710533,0.9641114840504789,1.0834918873898796,0.6830782058491084,274284
46,274284,238856,12503,14327,8598,21.986767028456615,1.058494082418957,1.1960995215809913,0.758639367543438,274284
47,274284,235221,13644,15861,9558,21.690099122221064,1.1544667441790617,1.3318136199720512,0.823620513627823,274284
48,274284,231180,14919,17549,10636,21.32378213739355,1.2596531594718552,1.4938058063418465,0.922758896792747,274284
49,274284,226799,16375,19257,11853,20.94739969660215,1.4017431754744538,1.6347091061010286,1.0161480218223655,274284
50,274284,221939,18044,21102,13199,20.551960828937144,1.5174334265383749,1.786311582005076,1.1442941625194065,274284
51,274284,216904,19592,23089,14699,20.08716908875851,1.6683740441302966,1.9742334072791115,1.2702234598320827,274284
52,274284,211469,21158,25347,16310,19.53456499688387,1.851217787258275,2.1930273930131468,1.4211898228447104,274284
53,274284,205723,22706,27886,17969,19.009312069112347,2.0054156909333525,2.4128883648840573,1.5723838750702444,274284
54,274284,199586,24253,30530,19915,18.40320346195955,2.130017507829511,2.70514610454224,1.7616329256686987,274284
55,274284,192985,26056,33228,22015,17.79251399497089,2.3008339701396734,2.9972763469878996,1.909375687901538,274284
56,274284,186073,27726,36167,24318,17.119283282024163,2.45098494203871,3.275815717413148,2.1539160585239783,274284
57,274284,178815,29519,39029,26921,16.53299144249855,2.554648692798864,3.525864342292264,2.386495522410321,274284
58,274284,171187,31237,42218,29642,15.883096236106404,2.7198525092321004,3.799930720146152,2.5971205345153447,274284
59,274284,163262,33048,45325,32649,15.150186010508996,2.9168338468694444,4.043425937808786,2.8895542048127725,274284
60,274284,155293,34537,48721,35733,14.439252067911797,3.051775956496633,4.357243394589234,3.151728581002336,274284
61,274284,147051,36047,51988,39198,13.664720018894336,3.2053866202377304,4.684018766821204,3.4458745940467312,274284
62,274284,138818,37144,55576,42746,12.858099637881743,3.3763325961535804,5.019857512276838,3.7457102536878404,274284
63,274284,130419,38246,59001,46618,12.034414930353194,3.487932203364308,5.358638429991557,4.119014436290941,274284
64,274284,122071,39127,62406,50680,11.257006556325827,3.523385628560526,5.685066153580895,4.534541661532753,274284
65,274284,113862,39546,65839,55037,10.495607057755986,3.5773790643869336,5.965777250295267,4.961236627561813,274284
66,274284,105705,39871,69027,59681,9.704417345733587,3.6679833302671594,6.265186780161219,5.362412543838035,274284
67,274284,97903,39826,72010,64545,8.95689270103171,3.675578084158358,6.521582439853725,5.845946774956206,274284
68,274284,90245,39615,74907,69517,8.239615669967913,3.6552701694679053,6.765244578604891,6.339869581959291,274284
69,274284,83103,39029,77355,74797,7.539756791209889,3.6032301102378486,6.973380389848211,6.8836327087040505,274284
70,274284,76291,38333,79430,80230,6.933814354708896,3.4717256621402623,7.194286733973563,7.400173249177279,274284
71,274284,69777,37336,81297,85874,6.414729012398368,3.3315831825747573,7.373077214296141,7.8806105907307336,274284
72,274284,63828,36012,82952,91492,5.780545441873778,3.260340813582101,7.579003932067071,8.38010981247705,274284
73,274284,58192,34715,84214,97163,5.276604529709237,3.1890933739412324,7.675216174959884,8.859085921389648,274284
74,274284,52934,33227,85152,102971,4.756612811183771,3.1037449658293332,7.73886832420334,9.400773898783555,274284
75,274284,48163,31397,85839,108885,4.282596114561426,2.9170030904145734,7.83057353842153,9.969827256602471,274284
76,274284,43766,29785,85809,114924,3.9175986591060603,2.737313028099791,7.803635198192664,10.541453114601484,274284
77,274284,39750,28059,85575,120900,3.522026555203782,2.586472730124981,7.793701306674044,11.097799407997194,274284
78,274284,36131,26249,85064,126840,3.144759727030328,2.422447307418077,7.746745506037729,11.686047459513865,274284
79,274284,33058,24296,84242,132688,2.9137147975333377,2.2120516640928476,7.65032486788293,12.223908670490884,274284
80,274284,30241,22408,83098,138537,2.698500043416164,2.044542911893334,7.46964014285029,12.787316901840212,274284
81,274284,27766,20794,81538,144186,2.4937134023982903,1.883001895893911,7.391318570905678,13.231966130802121,274284
82,274284,25504,19139,79845,149796,2.2461084429288736,1.7620851121730001,7.2377002227295,13.754106222168627,274284
83,274284,23389,17631,78060,155204,2.066641295531281,1.5820469501634076,7.13912382478387,14.212187929521441,274284
84,274284,21650,16057,76097,160480,1.8853008350057099,1.4532138368049452,6.959590104376431,14.701895223812913,274284
85,274284,20070,14677,73842,165695,1.709328298277406,1.3877996097304792,6.714254045007619,15.188618046984496,274284
86,274284,18569,13402,71681,170632,1.6086566207688537,1.2077297512787903,6.533118510901281,15.650495117051074,274284
87,274284,17234,12301,69171,175578,1.4775838712625038,1.1244445879995613,6.262913907520191,16.135057633217745,274284
88,274284,16093,11170,66689,180332,1.3721181898615975,1.0151780289766892,6.0232700263232655,16.58943375483845,274284
89,274284,15087,10211,64208,184778,1.2914889785913208,0.9419307517129092,5.791256104046312,16.975324165649457,274284
90,274284,14292,9324,61582,189086,1.2210690789325946,0.8518916816879997,5.55247099757723,17.374568241802177,274284
91,274284,13587,8480,59035,193182,1.114677532954883,0.7743480714239372,5.3722519548502055,17.738722440770974,274284
92,274284,12964,7696,56434,197190,1.0442434966951268,0.7005649999544495,5.184689825004876,18.070501678345547,274284
93,274284,12486,6998,53751,201049,1.0212783345139678,0.6215941520396562,4.974883590180294,18.38224392326608,274284
94,274284,12074,6317,51306,204587,0.9701658408939311,0.5654819899646957,4.7147015597327115,18.74965060940866,274284
95,274284,11688,5789,48792,208015,0.9194197108080333,0.5179301988257707,4.511964322588715,19.05068576777748,274284
96,274284,11301,5336,46527,211120,0.899767915590753,0.46726195536891346,4.317108208079388,19.315861920960945,274284
97,274284,10877,4891,44157,214359,0.8702566462906254,0.4265915166683261,4.124635698030443,19.578516139010606,274284
98,274284,10531,4468,41941,217344,0.8501225715109824,0.36608638648377667,3.9578072122437717,19.82598382976147,274284
99,274284,10355,4020,39859,220050,0.8332260891201411,0.33756207372639,3.7221151020929795,20.10709673506049,274284
100,274284,10111,3681,37730,222762,0.8297546956155959,0.31223848570348167,3.471838521564908,20.386168297116015,274284
101,274284,9879,3401,35729,225275,0.8408930879040082,0.3028140504680357,3.2699690484121233,20.586323813215834,274284
102,274284,9670,3141,33883,227590,0.8272215819328415,0.2643508074357454,3.083933547537708,20.824494063093706,274284
103,274284,9524,2900,32039,229821,0.8005203715954438,0.22413134428544845,2.924408046488359,21.050940237630748,274284
104,274284,9512,2675,30292,231805,0.7602966764733979,0.2225530520322057,2.7635563379370587,21.253593933557337,274284
105,274284,9383,2511,28658,233732,0.756235305775605,0.22304801551337636,2.642529544107438,21.378187134603582,274284
106,274284,9399,2402,27029,235454,0.7309788241913848,0.20635678670880414,2.4768682419501364,21.585796147149676,274284
107,274284,9392,2260,25607,237025,0.7307987019488706,0.19501971969585005,2.366226505765601,21.707955072589677,274284
108,274284,9428,2123,24183,238550,0.7077492109116711,0.18284263142070029,2.1981700605199093,21.91123809714772,274284
109,274284,9395,1991,22831,240067,0.7217733785448045,0.1503075716614029,2.0790783775698287,22.048840672223964,274284
110,274284,9369,1871,21592,241452,0.7073742111968081,0.15323210666110193,1.9916830059716122,22.14771067617048,274284
111,274284,9371,1738,20449,242726,0.7296499715628919,0.14320897279329714,1.8735558539815553,22.253585201662254,274284
112,274284,9378,1632,19352,243922,0.7240489122925945,0.1218884752882965,1.7873030562342243,22.366759556184885,274284
113,274284,9417,1511,18254,245102,0.7412562799386219,0.11970994515904544,1.6904864373198358,22.448547337582497,274284
114,274284,9443,1393,17257,246191,0.745969974750197,0.11905181380414645,1.6132175348980158,22.52176067654764,274284
115,274284,9544,1331,16330,247079,0.7468216870685199,0.11889970133002097,1.5386997288792363,22.595578882722222,274284
116,274284,9620,1240,15410,248014,0.7558122346285031,0.10475393425409443,1.4468028765747096,22.692630954542693,274284
117,274284,9706,1159,14568,248851,0.7508554300908868,0.09995071880643427,1.3317515597846779,22.817442291318002,274284
118,274284,9706,1107,13740,249731,0.7693174097440166,0.09035406234808888,1.2484714536497075,22.891857074258187,274284
119,274284,9850,1034,12974,250426,0.7653956925625008,0.07856943006883779,1.1834266830673452,22.972608194301316,274284
120,274284,9880,984,12210,251210,0.7590255462425841,0.07323834288517231,1.1463734598807378,23.021362650991506,274284
121,274284,9930,955,11553,251846,0.7520247951802786,0.0694148232174845,1.075235973489047,23.10332440811319,274284
122,274284,10041,926,10902,252415,0.7366755865436566,0.06380075583696974,1.0034050516928459,23.19611860592653,274284
123,274284,10194,868,10268,252954,0.7541293345554241,0.05703432391037124,0.9305769146389486,23.258259426895258,274284
124,274284,10371,844,9713,253356,0.7901079038792582,0.05216167679733146,0.8699835179295964,23.287746901393813,274284
125,274284,10454,806,9153,253871,0.8196278399177647,0.05419325044304807,0.8072027845308186,23.318976125108367,274284
126,274284,10633,778,8700,254173,0.7983842057959237,0.061147448456664866,0.7890871874892107,23.3513811582582,274284
127,274284,10844,731,8253,254456,0.81538978903477,0.06435299108120977,0.740058225532806,23.380198994351215,274284
128,274284,11022,721,7791,254750,0.8307192808332752,0.05840810700693438,0.7074822821458792,23.403390330013913,274284
129,274284,11167,680,7401,255036,0.8284420606332581,0.05473340026477417,0.6879133793956393,23.428911159706328,274284
130,274284,11306,665,6963,255350,0.8222884450113096,0.05601962606369045,0.6212128996139135,23.500479029311087,274284
131,274284,11487,638,6591,255568,0.851987886883874,0.05132061645232683,0.5791032844345689,23.51758821222923,274284
132,274284,11720,629,6257,255678,0.8547522228784492,0.04585462781068532,0.5416374541380784,23.557755695172787,274284
133,274284,11894,613,5913,255864,0.8669643152842565,0.042971042800782164,0.5352018148867613,23.5548628270282,274284
134,274284,12124,567,5647,255946,0.8928116598588118,0.040006893521510135,0.5039139618291314,23.563267484790547,274284
135,274284,12314,566,5369,256035,0.9136787588049059,0.04211545051548231,0.46012570365532995,23.584080087024283,274284
136,274284,12437,564,5101,256182,0.9525884744880215,0.04242991496801209,0.43860605681676684,23.566375553727198,274284
137,274284,12702,537,4854,256191,0.9978965310420821,0.041798111445606065,0.4061656058083637,23.55413975170395,274284
138,274284,12934,552,4590,256208,0.9776129330752907,0.04145031761982602,0.3802659133732882,23.600670835931595,274284
139,274284,13174,545,4377,256188,0.991611460423591,0.03383177713100264,0.36301591241741,23.611540850027996,274284
140,274284,13435,530,4179,256140,1.0271767235539893,0.027992578171882103,0.34568860241163957,23.59914209586249,274284
141,274284,13712,512,3988,256072,1.070197503966869,0.026673943944002715,0.3263328182280965,23.576795733861033,274284
142,274284,13921,461,3839,256063,1.1008171217681921,0.0268148311592294,0.308494936969783,23.563873110102797,274284
143,274284,14077,442,3643,256122,1.1347220096388648,0.02502352132857202,0.3022687321040471,23.537985736928515,274284
144,274284,14195,413,3474,256202,1.1474436256834462,0.0250810842753034,0.2836384461729424,23.54383684386831,274284
145,274284,14393,410,3340,256141,1.1678368633209026,0.022658442182917838,0.26682226712449525,23.542682427371684,274284
146,274284,14657,408,3204,256015,1.1695899942034917,0.02146262672310894,0.2679164370128776,23.541030942060523,274284
147,274284,14925,396,3075,255888,1.1707976482900295,0.024607798845717073,0.26861148222409986,23.535983070640153,274284
148,274284,15139,400,2934,255811,1.179665186825629,0.02313569914944932,0.2555948103648177,23.541604303660105,274284
149,274284,15345,383,2787,255769,1.2193321774996753,0.02500803551585349,0.24871355872750628,23.506946228256965,274284
