,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,10.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,14.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,15.0,490.0
Ahe,490.0,487.0,1.0,1.0,1.0,0.9938775510204082,0.0020408163265306124,0.0020408163265306124,0.0020408163265306124,16.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,17.0,490.0
Ahe,490.0,487.0,0.0,2.0,1.0,0.9938775510204082,0.0,0.004081632653061225,0.0020408163265306124,18.0,490.0
Ahe,490.0,487.0,0.0,2.0,1.0,0.9938775510204082,0.0,0.004081632653061225,0.0020408163265306124,19.0,490.0
Ahe,490.0,486.0,1.0,2.0,1.0,0.9918367346938776,0.0020408163265306124,0.004081632653061225,0.0020408163265306124,20.0,490.0
Ahe,490.0,486.0,1.0,2.0,1.0,0.9918367346938776,0.0020408163265306124,0.004081632653061225,0.0020408163265306124,21.0,490.0
Ahe,490.0,484.0,3.0,2.0,1.0,0.9877551020408163,0.006122448979591836,0.004081632653061225,0.0020408163265306124,22.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,23.0,490.0
Ahe,490.0,485.0,2.0,1.0,2.0,0.9897959183673469,0.004081632653061225,0.0020408163265306124,0.004081632653061225,24.0,490.0
Ahe,490.0,481.0,3.0,4.0,2.0,0.9816326530612245,0.006122448979591836,0.00816326530612245,0.004081632653061225,25.0,490.0
Ahe,490.0,480.0,4.0,2.0,4.0,0.9795918367346939,0.00816326530612245,0.004081632653061225,0.00816326530612245,26.0,490.0
Ahe,490.0,479.0,4.0,2.0,5.0,0.9775510204081632,0.00816326530612245,0.004081632653061225,0.01020408163265306,27.0,490.0
Ahe,490.0,477.0,4.0,3.0,6.0,0.9734693877551021,0.00816326530612245,0.006122448979591836,0.012244897959183673,28.0,490.0
Ahe,490.0,477.0,4.0,4.0,5.0,0.9734693877551021,0.00816326530612245,0.00816326530612245,0.01020408163265306,29.0,490.0
Ahe,490.0,476.0,5.0,4.0,5.0,0.9714285714285714,0.01020408163265306,0.00816326530612245,0.01020408163265306,30.0,490.0
Ahe,490.0,476.0,3.0,6.0,5.0,0.9714285714285714,0.006122448979591836,0.012244897959183673,0.01020408163265306,31.0,490.0
Ahe,490.0,473.0,5.0,5.0,7.0,0.9653061224489796,0.01020408163265306,0.01020408163265306,0.014285714285714285,32.0,490.0
Ahe,490.0,473.0,3.0,6.0,8.0,0.9653061224489796,0.006122448979591836,0.012244897959183673,0.0163265306122449,33.0,490.0
Ahe,490.0,471.0,4.0,7.0,8.0,0.9612244897959183,0.00816326530612245,0.014285714285714285,0.0163265306122449,34.0,490.0
Ahe,490.0,471.0,3.0,8.0,8.0,0.9612244897959183,0.006122448979591836,0.0163265306122449,0.0163265306122449,35.0,490.0
Ahe,490.0,469.0,5.0,8.0,8.0,0.9571428571428572,0.01020408163265306,0.0163265306122449,0.0163265306122449,36.0,490.0
Ahe,490.0,466.0,8.0,7.0,9.0,0.9510204081632653,0.0163265306122449,0.014285714285714285,0.018367346938775512,37.0,490.0
Ahe,490.0,463.0,7.0,11.0,9.0,0.9448979591836735,0.014285714285714285,0.022448979591836733,0.018367346938775512,38.0,490.0
Ahe,490.0,461.0,8.0,11.0,10.0,0.9408163265306122,0.0163265306122449,0.022448979591836733,0.02040816326530612,39.0,490.0
Ahe,490.0,457.0,11.0,10.0,12.0,0.9326530612244898,0.022448979591836733,0.02040816326530612,0.024489795918367346,40.0,490.0
Ahe,490.0,454.0,12.0,12.0,12.0,0.926530612244898,0.024489795918367346,0.024489795918367346,0.024489795918367346,41.0,490.0
Ahe,490.0,451.0,11.0,15.0,13.0,0.9204081632653062,0.022448979591836733,0.030612244897959183,0.026530612244897958,42.0,490.0
Ahe,490.0,448.0,11.0,17.0,14.0,0.9142857142857143,0.022448979591836733,0.03469387755102041,0.02857142857142857,43.0,490.0
Ahe,490.0,442.0,15.0,17.0,16.0,0.9020408163265307,0.030612244897959183,0.03469387755102041,0.0326530612244898,44.0,490.0
Ahe,490.0,436.0,20.0,16.0,18.0,0.889795918367347,0.04081632653061224,0.0326530612244898,0.036734693877551024,45.0,490.0
Ahe,490.0,432.0,20.0,19.0,19.0,0.8816326530612245,0.04081632653061224,0.03877551020408163,0.03877551020408163,46.0,490.0
Ahe,490.0,426.0,23.0,20.0,21.0,0.8693877551020408,0.04693877551020408,0.04081632653061224,0.04285714285714286,47.0,490.0
Ahe,490.0,417.0,30.0,22.0,21.0,0.8510204081632653,0.061224489795918366,0.044897959183673466,0.04285714285714286,48.0,490.0
Ahe,490.0,416.0,26.0,26.0,22.0,0.8489795918367347,0.053061224489795916,0.053061224489795916,0.044897959183673466,49.0,490.0
Ahe,490.0,413.0,24.0,30.0,23.0,0.8428571428571429,0.04897959183673469,0.061224489795918366,0.04693877551020408,50.0,490.0
Ahe,490.0,410.0,24.0,28.0,28.0,0.8367346938775511,0.04897959183673469,0.05714285714285714,0.05714285714285714,51.0,490.0
Ahe,490.0,402.0,29.0,31.0,28.0,0.8204081632653061,0.05918367346938776,0.06326530612244897,0.05714285714285714,52.0,490.0
