,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,1.0,10758.0
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,2.0,10758.0
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10758.0
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,4.0,10758.0
Bora Bora,10758.0,10756.0,2.0,0.0,0.0,0.9998140918386317,0.00018590816136828406,0.0,0.0,5.0,10758.0
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,6.0,10758.0
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,7.0,10758.0
Bora Bora,10758.0,10754.0,3.0,1.0,0.0,0.9996281836772635,0.0002788622420524261,9.295408068414203e-05,0.0,8.0,10758.0
Bora Bora,10758.0,10755.0,2.0,1.0,0.0,0.9997211377579476,0.00018590816136828406,9.295408068414203e-05,0.0,9.0,10758.0
Bora Bora,10758.0,10749.0,3.0,5.0,1.0,0.9991634132738427,0.0002788622420524261,0.0004647704034207102,9.295408068414203e-05,10.0,10758.0
Bora Bora,10758.0,10748.0,6.0,3.0,1.0,0.9990704591931586,0.0005577244841048522,0.0002788622420524261,9.295408068414203e-05,11.0,10758.0
Bora Bora,10758.0,10745.0,7.0,5.0,1.0,0.9987915969511062,0.0006506785647889942,0.0004647704034207102,9.295408068414203e-05,12.0,10758.0
Bora Bora,10758.0,10731.0,14.0,11.0,2.0,0.9974902398215282,0.0013013571295779885,0.0010224948875255625,0.00018590816136828406,13.0,10758.0
Bora Bora,10758.0,10719.0,19.0,17.0,3.0,0.9963747908533185,0.0017661275329986987,0.0015802193716304145,0.0002788622420524261,14.0,10758.0
Bora Bora,10758.0,10717.0,19.0,19.0,3.0,0.9961888826919502,0.0017661275329986987,0.0017661275329986987,0.0002788622420524261,15.0,10758.0
Bora Bora,10758.0,10713.0,21.0,17.0,7.0,0.9958170663692136,0.0019520356943669827,0.0015802193716304145,0.0006506785647889942,16.0,10758.0
Bora Bora,10758.0,10707.0,22.0,15.0,14.0,0.9952593418851088,0.002044989775051125,0.0013943112102621305,0.0013013571295779885,17.0,10758.0
Bora Bora,10758.0,10704.0,25.0,18.0,11.0,0.9949804796430564,0.0023238520171035507,0.0016731734523145567,0.0010224948875255625,18.0,10758.0
Bora Bora,10758.0,10706.0,23.0,19.0,10.0,0.9951663878044246,0.0021379438557352667,0.0017661275329986987,0.0009295408068414204,19.0,10758.0
Bora Bora,10758.0,10697.0,25.0,25.0,11.0,0.9943298010782673,0.0023238520171035507,0.0023238520171035507,0.0010224948875255625,20.0,10758.0
Bora Bora,10758.0,10683.0,31.0,32.0,12.0,0.9930284439486894,0.002881576501208403,0.002974530581892545,0.0011154489682097045,21.0,10758.0
Bora Bora,10758.0,10656.0,48.0,38.0,16.0,0.9905186837702176,0.004461795872838818,0.0035322550659973974,0.0014872652909462725,22.0,10758.0
Bora Bora,10758.0,10633.0,56.0,54.0,15.0,0.9883807399144823,0.005205428518311954,0.0050195203569436695,0.0013943112102621305,23.0,10758.0
Bora Bora,10758.0,10613.0,60.0,62.0,23.0,0.9865216583007994,0.005577244841048522,0.005763153002416806,0.0021379438557352667,24.0,10758.0
Bora Bora,10758.0,10588.0,69.0,78.0,23.0,0.9841978062836959,0.006413831567205801,0.007250418293363078,0.0021379438557352667,25.0,10758.0
Bora Bora,10758.0,10555.0,81.0,89.0,33.0,0.9811303216211191,0.007529280535415505,0.00827291318088864,0.003067484662576687,26.0,10758.0
Bora Bora,10758.0,10534.0,83.0,95.0,46.0,0.9791782859267522,0.007715188696783789,0.008830637664993493,0.0042758877114705334,27.0,10758.0
Bora Bora,10758.0,10533.0,81.0,90.0,54.0,0.979085331846068,0.007529280535415505,0.008365867261572783,0.0050195203569436695,28.0,10758.0
Bora Bora,10758.0,10486.0,111.0,98.0,63.0,0.9747164900539134,0.010317902955939765,0.00910949990704592,0.005856107083100948,29.0,10758.0
Bora Bora,10758.0,10443.0,133.0,114.0,68.0,0.9707194645844952,0.01236289273099089,0.010596765197992191,0.006320877486521658,30.0,10758.0
Bora Bora,10758.0,10403.0,145.0,137.0,73.0,0.9670013013571296,0.013478341699200595,0.012734709053727459,0.006785647889942369,31.0,10758.0
Bora Bora,10758.0,10367.0,148.0,158.0,85.0,0.9636549544525005,0.01375720394125302,0.014686744748094442,0.007901096858152074,32.0,10758.0
Bora Bora,10758.0,10325.0,150.0,175.0,108.0,0.9597508830637665,0.013943112102621304,0.016266964119724857,0.010039040713887339,33.0,10758.0
Bora Bora,10758.0,10277.0,179.0,184.0,118.0,0.9552890871909276,0.016638780442461424,0.017103550845882134,0.01096858152072876,34.0,10758.0
Bora Bora,10758.0,10234.0,196.0,203.0,125.0,0.9512920617215096,0.01821899981409184,0.018869678378880834,0.011619260085517754,35.0,10758.0
Bora Bora,10758.0,10187.0,201.0,241.0,129.0,0.9469232199293549,0.01868377021751255,0.02240193344487823,0.011991076408254323,36.0,10758.0
Bora Bora,10758.0,10139.0,225.0,250.0,144.0,0.9424614240565161,0.02091466815393196,0.023238520171035507,0.013385387618516454,37.0,10758.0
