,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,191741.0,32.0,6.0,0.0,0.9998018552604822,0.000166858728015059,3.128601150282356e-05,0.0,1.0,191779.0
Tahiti,191779.0,191711.0,55.0,13.0,0.0,0.999645425202968,0.00028678843877588266,6.778635825611772e-05,0.0,2.0,191779.0
Tahiti,191779.0,191673.0,71.0,35.0,0.0,0.9994472804634501,0.00037021780278341217,0.0001825017337664708,0.0,3.0,191779.0
Tahiti,191779.0,191642.0,85.0,48.0,4.0,0.9992856360706855,0.00044321849629000047,0.0002502880920225885,2.0857341001882375e-05,4.0,191779.0
Tahiti,191779.0,191599.0,97.0,79.0,4.0,0.9990614196549152,0.0005057905192956476,0.0004119324847871769,2.0857341001882375e-05,5.0,191779.0
Tahiti,191779.0,191550.0,130.0,89.0,10.0,0.9988059172276422,0.0006778635825611772,0.00046407583729188284,5.214335250470594e-05,6.0,191779.0
Tahiti,191779.0,191504.0,155.0,107.0,13.0,0.9985660578061206,0.0008082219638229421,0.0005579338718003535,6.778635825611772e-05,7.0,191779.0
Tahiti,191779.0,191444.0,182.0,134.0,19.0,0.9982531976910923,0.000949009015585648,0.0006987209235630596,9.907236975894128e-05,8.0,191779.0
Tahiti,191779.0,191374.0,209.0,170.0,26.0,0.9978881942235595,0.0010897960673483542,0.0008864369925800009,0.00013557271651223543,9.0,191779.0
Tahiti,191779.0,191336.0,223.0,189.0,31.0,0.9976900494840415,0.0011627967608549424,0.0009855093623389421,0.00016164439276458842,10.0,191779.0
Tahiti,191779.0,191260.0,248.0,221.0,50.0,0.9972937600050058,0.0012931551421167073,0.0011523680903540012,0.0002607167625235297,11.0,191779.0
Tahiti,191779.0,191180.0,280.0,257.0,62.0,0.9968766131849681,0.0014600138701317664,0.0013400841593709425,0.00032328878552917683,12.0,191779.0
Tahiti,191779.0,191107.0,300.0,296.0,76.0,0.9964959667116837,0.0015643005751411782,0.0015434432341392957,0.00039628947903576513,13.0,191779.0
Tahiti,191779.0,190982.0,361.0,338.0,98.0,0.9958441748053749,0.0018823750254198844,0.0017624453146590606,0.0005110048545461182,14.0,191779.0
Tahiti,191779.0,190842.0,416.0,397.0,124.0,0.995114167870309,0.002169163464195767,0.0020700910944368256,0.0006465775710583537,15.0,191779.0
Tahiti,191779.0,190688.0,491.0,451.0,149.0,0.9943111602417366,0.0025602386079810616,0.002351665197962238,0.0007769359523201185,16.0,191779.0
Tahiti,191779.0,190552.0,540.0,508.0,179.0,0.9936020106476726,0.0028157410352541204,0.0026488823072390614,0.0009333660098342363,17.0,191779.0
Tahiti,191779.0,190394.0,595.0,584.0,206.0,0.9927781456780982,0.0031025294740300033,0.0030451717862748267,0.0010741530615969424,18.0,191779.0
Tahiti,191779.0,190189.0,673.0,682.0,235.0,0.9917092069517518,0.0035092476235667096,0.003556176640820945,0.0012253687838605896,19.0,191779.0
Tahiti,191779.0,189976.0,767.0,746.0,290.0,0.9905985535434015,0.003999395137110945,0.003889894096851063,0.0015121572226364723,20.0,191779.0
Tahiti,191779.0,189717.0,897.0,822.0,343.0,0.9892480407135297,0.004677258719672122,0.004286183575886828,0.0017885169909114137,21.0,191779.0
Tahiti,191779.0,189440.0,1008.0,953.0,378.0,0.9878036698491492,0.005256049932474359,0.004969261493698476,0.0019710187246778843,22.0,191779.0
Tahiti,191779.0,189165.0,1106.0,1074.0,434.0,0.9863697276552699,0.005767054787020476,0.005600196059005418,0.0022630214987042377,23.0,191779.0
Tahiti,191779.0,188826.0,1244.0,1198.0,511.0,0.9846020680053603,0.0064866330515854186,0.006246773630063772,0.0026645253129904734,24.0,191779.0
Tahiti,191779.0,188443.0,1354.0,1383.0,599.0,0.9826049776044301,0.007060209929137184,0.007211425651400831,0.003123386815031886,25.0,191779.0
Tahiti,191779.0,188106.0,1460.0,1548.0,665.0,0.9808477466250215,0.007612929465687067,0.00807179096772848,0.003467532941562945,26.0,191779.0
Tahiti,191779.0,187616.0,1646.0,1723.0,794.0,0.9782927223522909,0.008582795822274598,0.008984299636560833,0.004140182188873651,27.0,191779.0
Tahiti,191779.0,187105.0,1823.0,1918.0,933.0,0.9756281970393005,0.009505733161607893,0.010001095010402599,0.004864974788689064,28.0,191779.0
