,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,6.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,490.0
Ahe,490.0,489.0,1.0,0.0,0.0,0.9979591836734694,0.0020408163265306124,0.0,0.0,13.0,490.0
Ahe,490.0,488.0,2.0,0.0,0.0,0.9959183673469387,0.004081632653061225,0.0,0.0,14.0,490.0
Ahe,490.0,487.0,0.0,3.0,0.0,0.9938775510204082,0.0,0.006122448979591836,0.0,15.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,16.0,490.0
Ahe,490.0,488.0,0.0,2.0,0.0,0.9959183673469387,0.0,0.004081632653061225,0.0,17.0,490.0
Ahe,490.0,488.0,0.0,2.0,0.0,0.9959183673469387,0.0,0.004081632653061225,0.0,18.0,490.0
Ahe,490.0,489.0,0.0,0.0,1.0,0.9979591836734694,0.0,0.0,0.0020408163265306124,19.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,490.0
Ahe,490.0,488.0,0.0,1.0,1.0,0.9959183673469387,0.0,0.0020408163265306124,0.0020408163265306124,21.0,490.0
Ahe,490.0,485.0,2.0,1.0,2.0,0.9897959183673469,0.004081632653061225,0.0020408163265306124,0.004081632653061225,22.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,23.0,490.0
Ahe,490.0,483.0,4.0,2.0,1.0,0.9857142857142858,0.00816326530612245,0.004081632653061225,0.0020408163265306124,24.0,490.0
Ahe,490.0,481.0,4.0,3.0,2.0,0.9816326530612245,0.00816326530612245,0.006122448979591836,0.004081632653061225,25.0,490.0
Ahe,490.0,476.0,7.0,5.0,2.0,0.9714285714285714,0.014285714285714285,0.01020408163265306,0.004081632653061225,26.0,490.0
Ahe,490.0,477.0,7.0,4.0,2.0,0.9734693877551021,0.014285714285714285,0.00816326530612245,0.004081632653061225,27.0,490.0
Ahe,490.0,475.0,7.0,5.0,3.0,0.9693877551020408,0.014285714285714285,0.01020408163265306,0.006122448979591836,28.0,490.0
Ahe,490.0,472.0,9.0,5.0,4.0,0.963265306122449,0.018367346938775512,0.01020408163265306,0.00816326530612245,29.0,490.0
Ahe,490.0,471.0,8.0,7.0,4.0,0.9612244897959183,0.0163265306122449,0.014285714285714285,0.00816326530612245,30.0,490.0
Ahe,490.0,471.0,7.0,5.0,7.0,0.9612244897959183,0.014285714285714285,0.01020408163265306,0.014285714285714285,31.0,490.0
Ahe,490.0,470.0,6.0,6.0,8.0,0.9591836734693877,0.012244897959183673,0.012244897959183673,0.0163265306122449,32.0,490.0
Ahe,490.0,468.0,6.0,7.0,9.0,0.9551020408163265,0.012244897959183673,0.014285714285714285,0.018367346938775512,33.0,490.0
Ahe,490.0,467.0,7.0,5.0,11.0,0.9530612244897959,0.014285714285714285,0.01020408163265306,0.022448979591836733,34.0,490.0
Ahe,490.0,467.0,6.0,5.0,12.0,0.9530612244897959,0.012244897959183673,0.01020408163265306,0.024489795918367346,35.0,490.0
Ahe,490.0,467.0,4.0,7.0,12.0,0.9530612244897959,0.00816326530612245,0.014285714285714285,0.024489795918367346,36.0,490.0
Ahe,490.0,466.0,4.0,7.0,13.0,0.9510204081632653,0.00816326530612245,0.014285714285714285,0.026530612244897958,37.0,490.0
Ahe,490.0,463.0,7.0,6.0,14.0,0.9448979591836735,0.014285714285714285,0.012244897959183673,0.02857142857142857,38.0,490.0
Ahe,490.0,462.0,7.0,6.0,15.0,0.9428571428571428,0.014285714285714285,0.012244897959183673,0.030612244897959183,39.0,490.0
Ahe,490.0,462.0,7.0,5.0,16.0,0.9428571428571428,0.014285714285714285,0.01020408163265306,0.0326530612244898,40.0,490.0
Ahe,490.0,459.0,9.0,6.0,16.0,0.936734693877551,0.018367346938775512,0.012244897959183673,0.0326530612244898,41.0,490.0
Ahe,490.0,458.0,7.0,9.0,16.0,0.9346938775510204,0.014285714285714285,0.018367346938775512,0.0326530612244898,42.0,490.0
Ahe,490.0,458.0,7.0,7.0,18.0,0.9346938775510204,0.014285714285714285,0.014285714285714285,0.036734693877551024,43.0,490.0
Ahe,490.0,456.0,8.0,7.0,19.0,0.9306122448979591,0.0163265306122449,0.014285714285714285,0.03877551020408163,44.0,490.0
Ahe,490.0,452.0,11.0,6.0,21.0,0.9224489795918367,0.022448979591836733,0.012244897959183673,0.04285714285714286,45.0,490.0
Ahe,490.0,452.0,10.0,7.0,21.0,0.9224489795918367,0.02040816326530612,0.014285714285714285,0.04285714285714286,46.0,490.0
Ahe,490.0,451.0,8.0,10.0,21.0,0.9204081632653062,0.0163265306122449,0.02040816326530612,0.04285714285714286,47.0,490.0
Ahe,490.0,450.0,7.0,11.0,22.0,0.9183673469387755,0.014285714285714285,0.022448979591836733,0.044897959183673466,48.0,490.0
Ahe,490.0,448.0,8.0,11.0,23.0,0.9142857142857143,0.0163265306122449,0.022448979591836733,0.04693877551020408,49.0,490.0
Ahe,490.0,446.0,8.0,13.0,23.0,0.9102040816326531,0.0163265306122449,0.026530612244897958,0.04693877551020408,50.0,490.0
Ahe,490.0,445.0,8.0,13.0,24.0,0.9081632653061225,0.0163265306122449,0.026530612244897958,0.04897959183673469,51.0,490.0
Ahe,490.0,445.0,8.0,12.0,25.0,0.9081632653061225,0.0163265306122449,0.024489795918367346,0.05102040816326531,52.0,490.0
