,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10758.0
Bora Bora,10758.0,10757.0,0.0,1.0,0.0,0.9999070459193159,0.0,9.295408068414203e-05,0.0,2.0,10758.0
Bora Bora,10758.0,10756.0,1.0,1.0,0.0,0.9998140918386317,9.295408068414203e-05,9.295408068414203e-05,0.0,3.0,10758.0
Bora Bora,10758.0,10751.0,3.0,2.0,2.0,0.999349321435211,0.0002788622420524261,0.00018590816136828406,0.00018590816136828406,4.0,10758.0
Bora Bora,10758.0,10748.0,6.0,2.0,2.0,0.9990704591931586,0.0005577244841048522,0.00018590816136828406,0.00018590816136828406,5.0,10758.0
Bora Bora,10758.0,10747.0,6.0,3.0,2.0,0.9989775051124744,0.0005577244841048522,0.0002788622420524261,0.00018590816136828406,6.0,10758.0
Bora Bora,10758.0,10745.0,5.0,6.0,2.0,0.9987915969511062,0.0004647704034207102,0.0005577244841048522,0.00018590816136828406,7.0,10758.0
Bora Bora,10758.0,10745.0,4.0,8.0,1.0,0.9987915969511062,0.0003718163227365681,0.0007436326454731362,9.295408068414203e-05,8.0,10758.0
Bora Bora,10758.0,10745.0,4.0,7.0,2.0,0.9987915969511062,0.0003718163227365681,0.0006506785647889942,0.00018590816136828406,9.0,10758.0
Bora Bora,10758.0,10742.0,6.0,7.0,3.0,0.9985127347090538,0.0005577244841048522,0.0006506785647889942,0.0002788622420524261,10.0,10758.0
Bora Bora,10758.0,10738.0,6.0,10.0,4.0,0.9981409183863171,0.0005577244841048522,0.0009295408068414204,0.0003718163227365681,11.0,10758.0
Bora Bora,10758.0,10725.0,15.0,12.0,6.0,0.9969325153374233,0.0013943112102621305,0.0011154489682097045,0.0005577244841048522,12.0,10758.0
Bora Bora,10758.0,10718.0,18.0,17.0,5.0,0.9962818367726343,0.0016731734523145567,0.0015802193716304145,0.0004647704034207102,13.0,10758.0
Bora Bora,10758.0,10705.0,21.0,26.0,6.0,0.9950734337237405,0.0019520356943669827,0.002416806097787693,0.0005577244841048522,14.0,10758.0
Bora Bora,10758.0,10692.0,30.0,27.0,9.0,0.9938650306748467,0.002788622420524261,0.0025097601784718347,0.0008365867261572784,15.0,10758.0
