,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,191748.0,25.0,6.0,0.0,0.9998383556072354,0.00013035838126176485,3.128601150282356e-05,0.0,1.0,191779.0
Tahiti,191779.0,191719.0,44.0,16.0,0.0,0.9996871398849717,0.00022943075102070613,8.34293640075295e-05,0.0,2.0,191779.0
Tahiti,191779.0,191681.0,70.0,27.0,1.0,0.9994889951454539,0.0003650034675329416,0.00014078705176270604,5.214335250470594e-06,3.0,191779.0
Tahiti,191779.0,191642.0,88.0,46.0,3.0,0.9992856360706855,0.00045886150204141226,0.00023985942152164732,1.564300575141178e-05,4.0,191779.0
Tahiti,191779.0,191608.0,95.0,68.0,8.0,0.9991083486721696,0.0004953618487947064,0.0003545747970320004,4.171468200376475e-05,5.0,191779.0
Tahiti,191779.0,191567.0,117.0,83.0,12.0,0.9988945609269002,0.0006100772243050594,0.0004327898257890593,6.257202300564712e-05,6.0,191779.0
Tahiti,191779.0,191512.0,146.0,105.0,16.0,0.9986077724881244,0.0007612929465687067,0.0005475052012994124,8.34293640075295e-05,7.0,191779.0
Tahiti,191779.0,191463.0,163.0,131.0,22.0,0.9983522700608513,0.0008499366458267068,0.0006830779178116478,0.00011471537551035307,8.0,191779.0
Tahiti,191779.0,191405.0,199.0,140.0,35.0,0.998049838616324,0.001037652714843648,0.0007300069350658832,0.0001825017337664708,9.0,191779.0
Tahiti,191779.0,191329.0,232.0,173.0,45.0,0.9976535491372882,0.0012097257781091778,0.0009020799983314127,0.0002346450862711767,10.0,191779.0
Tahiti,191779.0,191249.0,273.0,207.0,50.0,0.9972364023172506,0.001423513523378472,0.001079367396847413,0.0002607167625235297,11.0,191779.0
Tahiti,191779.0,191163.0,305.0,255.0,56.0,0.9967879694857101,0.001590372251393531,0.0013296554888700015,0.00029200277402635324,12.0,191779.0
Tahiti,191779.0,191077.0,324.0,305.0,73.0,0.9963395366541696,0.0016894446211524724,0.001590372251393531,0.00038064647328435333,13.0,191779.0
