,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,1.0,10758.0
Bora Bora,10758.0,10757.0,1.0,0.0,0.0,0.9999070459193159,9.295408068414203e-05,0.0,0.0,2.0,10758.0
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10758.0
Bora Bora,10758.0,10755.0,1.0,2.0,0.0,0.9997211377579476,9.295408068414203e-05,0.00018590816136828406,0.0,4.0,10758.0
Bora Bora,10758.0,10755.0,2.0,1.0,0.0,0.9997211377579476,0.00018590816136828406,9.295408068414203e-05,0.0,5.0,10758.0
Bora Bora,10758.0,10755.0,1.0,2.0,0.0,0.9997211377579476,9.295408068414203e-05,0.00018590816136828406,0.0,6.0,10758.0
Bora Bora,10758.0,10750.0,6.0,2.0,0.0,0.9992563673545268,0.0005577244841048522,0.00018590816136828406,0.0,7.0,10758.0
Bora Bora,10758.0,10752.0,1.0,3.0,2.0,0.9994422755158952,9.295408068414203e-05,0.0002788622420524261,0.00018590816136828406,8.0,10758.0
Bora Bora,10758.0,10749.0,3.0,5.0,1.0,0.9991634132738427,0.0002788622420524261,0.0004647704034207102,9.295408068414203e-05,9.0,10758.0
Bora Bora,10758.0,10747.0,5.0,5.0,1.0,0.9989775051124744,0.0004647704034207102,0.0004647704034207102,9.295408068414203e-05,10.0,10758.0
Bora Bora,10758.0,10747.0,4.0,6.0,1.0,0.9989775051124744,0.0003718163227365681,0.0005577244841048522,9.295408068414203e-05,11.0,10758.0
Bora Bora,10758.0,10746.0,4.0,7.0,1.0,0.9988845510317903,0.0003718163227365681,0.0006506785647889942,9.295408068414203e-05,12.0,10758.0
Bora Bora,10758.0,10745.0,3.0,9.0,1.0,0.9987915969511062,0.0002788622420524261,0.0008365867261572784,9.295408068414203e-05,13.0,10758.0
Bora Bora,10758.0,10743.0,5.0,8.0,2.0,0.9986056887897379,0.0004647704034207102,0.0007436326454731362,0.00018590816136828406,14.0,10758.0
Bora Bora,10758.0,10743.0,2.0,10.0,3.0,0.9986056887897379,0.00018590816136828406,0.0009295408068414204,0.0002788622420524261,15.0,10758.0
Bora Bora,10758.0,10742.0,2.0,11.0,3.0,0.9985127347090538,0.00018590816136828406,0.0010224948875255625,0.0002788622420524261,16.0,10758.0
Bora Bora,10758.0,10740.0,4.0,11.0,3.0,0.9983268265476855,0.0003718163227365681,0.0010224948875255625,0.0002788622420524261,17.0,10758.0
Bora Bora,10758.0,10737.0,7.0,10.0,4.0,0.998047964305633,0.0006506785647889942,0.0009295408068414204,0.0003718163227365681,18.0,10758.0
Bora Bora,10758.0,10737.0,7.0,8.0,6.0,0.998047964305633,0.0006506785647889942,0.0007436326454731362,0.0005577244841048522,19.0,10758.0
Bora Bora,10758.0,10736.0,7.0,9.0,6.0,0.9979550102249489,0.0006506785647889942,0.0008365867261572784,0.0005577244841048522,20.0,10758.0
Bora Bora,10758.0,10736.0,5.0,10.0,7.0,0.9979550102249489,0.0004647704034207102,0.0009295408068414204,0.0006506785647889942,21.0,10758.0
Bora Bora,10758.0,10736.0,3.0,11.0,8.0,0.9979550102249489,0.0002788622420524261,0.0010224948875255625,0.0007436326454731362,22.0,10758.0
Bora Bora,10758.0,10733.0,5.0,9.0,11.0,0.9976761479828965,0.0004647704034207102,0.0008365867261572784,0.0010224948875255625,23.0,10758.0
Bora Bora,10758.0,10733.0,5.0,8.0,12.0,0.9976761479828965,0.0004647704034207102,0.0007436326454731362,0.0011154489682097045,24.0,10758.0
Bora Bora,10758.0,10732.0,5.0,9.0,12.0,0.9975831939022123,0.0004647704034207102,0.0008365867261572784,0.0011154489682097045,25.0,10758.0
Bora Bora,10758.0,10729.0,5.0,11.0,13.0,0.9973043316601599,0.0004647704034207102,0.0010224948875255625,0.0012084030488938465,26.0,10758.0
Bora Bora,10758.0,10728.0,6.0,11.0,13.0,0.9972113775794758,0.0005577244841048522,0.0010224948875255625,0.0012084030488938465,27.0,10758.0
Bora Bora,10758.0,10724.0,7.0,13.0,14.0,0.9968395612567392,0.0006506785647889942,0.0012084030488938465,0.0013013571295779885,28.0,10758.0
Bora Bora,10758.0,10721.0,7.0,15.0,15.0,0.9965606990146867,0.0006506785647889942,0.0013943112102621305,0.0013943112102621305,29.0,10758.0
Bora Bora,10758.0,10720.0,5.0,16.0,17.0,0.9964677449340026,0.0004647704034207102,0.0014872652909462725,0.0015802193716304145,30.0,10758.0
Bora Bora,10758.0,10719.0,5.0,16.0,18.0,0.9963747908533185,0.0004647704034207102,0.0014872652909462725,0.0016731734523145567,31.0,10758.0
Bora Bora,10758.0,10715.0,9.0,15.0,19.0,0.9960029745305818,0.0008365867261572784,0.0013943112102621305,0.0017661275329986987,32.0,10758.0
Bora Bora,10758.0,10713.0,11.0,14.0,20.0,0.9958170663692136,0.0010224948875255625,0.0013013571295779885,0.0018590816136828407,33.0,10758.0
Bora Bora,10758.0,10708.0,15.0,13.0,22.0,0.9953522959657929,0.0013943112102621305,0.0012084030488938465,0.002044989775051125,34.0,10758.0
Bora Bora,10758.0,10708.0,13.0,15.0,22.0,0.9953522959657929,0.0012084030488938465,0.0013943112102621305,0.002044989775051125,35.0,10758.0
Bora Bora,10758.0,10703.0,16.0,16.0,23.0,0.9948875255623721,0.0014872652909462725,0.0014872652909462725,0.0021379438557352667,36.0,10758.0
