,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,191752.0,24.0,3.0,0.0,0.9998592129482373,0.00012514404601129424,1.564300575141178e-05,0.0,1.0,191779.0
Tahiti,191779.0,191715.0,53.0,11.0,0.0,0.9996662825439698,0.00027635976827494144,5.735768775517653e-05,0.0,2.0,191779.0
Tahiti,191779.0,191676.0,74.0,29.0,0.0,0.9994629234692015,0.0003858608085348239,0.00015121572226364723,0.0,3.0,191779.0
Tahiti,191779.0,191653.0,93.0,31.0,2.0,0.9993429937584407,0.0004849331782937652,0.00016164439276458842,1.0428670500941187e-05,4.0,191779.0
Tahiti,191779.0,191611.0,113.0,52.0,3.0,0.999123991677921,0.0005892198833031771,0.00027114543302447086,1.564300575141178e-05,5.0,191779.0
Tahiti,191779.0,191571.0,128.0,75.0,5.0,0.9989154182679021,0.000667434912060236,0.00039107514378529455,2.607167625235297e-05,6.0,191779.0
Tahiti,191779.0,191526.0,154.0,88.0,11.0,0.998680773181631,0.0008030076285724714,0.00045886150204141226,5.735768775517653e-05,7.0,191779.0
Tahiti,191779.0,191480.0,165.0,116.0,18.0,0.9984409137601092,0.000860365316327648,0.0006048628890545889,9.385803450847069e-05,8.0,191779.0
Tahiti,191779.0,191426.0,181.0,146.0,26.0,0.9981593396565839,0.0009437946803351775,0.0007612929465687067,0.00013557271651223543,9.0,191779.0
Tahiti,191779.0,191405.0,164.0,173.0,37.0,0.998049838616324,0.0008551509810771773,0.0009020799983314127,0.00019293040426741196,10.0,191779.0
Tahiti,191779.0,191380.0,149.0,196.0,54.0,0.9979194802350623,0.0007769359523201185,0.0010220097090922365,0.0002815741035254121,11.0,191779.0
Tahiti,191779.0,191356.0,151.0,197.0,75.0,0.9977943361890509,0.0007873646228210596,0.001027224044342707,0.00039107514378529455,12.0,191779.0
Tahiti,191779.0,191333.0,143.0,208.0,95.0,0.9976744064782901,0.0007456499408172949,0.0010845817320978834,0.0004953618487947064,13.0,191779.0
Tahiti,191779.0,191297.0,144.0,233.0,105.0,0.9974866904092732,0.0007508642760677655,0.0012149401133596483,0.0005475052012994124,14.0,191779.0
Tahiti,191779.0,191252.0,159.0,253.0,115.0,0.997252045323002,0.0008290793048248244,0.0013192268183690602,0.0005996485538041183,15.0,191779.0
