,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,490.0
Ahe,490.0,490.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,490.0
Ahe,490.0,489.0,1.0,0.0,0.0,0.9979591836734694,0.0020408163265306124,0.0,0.0,5.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,6.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,7.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,8.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,9.0,490.0
Ahe,490.0,489.0,0.0,1.0,0.0,0.9979591836734694,0.0,0.0020408163265306124,0.0,10.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,11.0,490.0
Ahe,490.0,487.0,2.0,1.0,0.0,0.9938775510204082,0.004081632653061225,0.0020408163265306124,0.0,12.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,13.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,14.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,15.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,16.0,490.0
Ahe,490.0,488.0,1.0,1.0,0.0,0.9959183673469387,0.0020408163265306124,0.0020408163265306124,0.0,17.0,490.0
Ahe,490.0,487.0,1.0,2.0,0.0,0.9938775510204082,0.0020408163265306124,0.004081632653061225,0.0,18.0,490.0
Ahe,490.0,485.0,2.0,1.0,2.0,0.9897959183673469,0.004081632653061225,0.0020408163265306124,0.004081632653061225,19.0,490.0
Ahe,490.0,483.0,4.0,2.0,1.0,0.9857142857142858,0.00816326530612245,0.004081632653061225,0.0020408163265306124,20.0,490.0
Ahe,490.0,482.0,4.0,3.0,1.0,0.9836734693877551,0.00816326530612245,0.006122448979591836,0.0020408163265306124,21.0,490.0
Ahe,490.0,482.0,4.0,3.0,1.0,0.9836734693877551,0.00816326530612245,0.006122448979591836,0.0020408163265306124,22.0,490.0
Ahe,490.0,483.0,3.0,3.0,1.0,0.9857142857142858,0.006122448979591836,0.006122448979591836,0.0020408163265306124,23.0,490.0
Ahe,490.0,483.0,3.0,3.0,1.0,0.9857142857142858,0.006122448979591836,0.006122448979591836,0.0020408163265306124,24.0,490.0
Ahe,490.0,484.0,3.0,2.0,1.0,0.9877551020408163,0.006122448979591836,0.004081632653061225,0.0020408163265306124,25.0,490.0
Ahe,490.0,484.0,2.0,3.0,1.0,0.9877551020408163,0.004081632653061225,0.006122448979591836,0.0020408163265306124,26.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,27.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,28.0,490.0
Ahe,490.0,483.0,3.0,3.0,1.0,0.9857142857142858,0.006122448979591836,0.006122448979591836,0.0020408163265306124,29.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,30.0,490.0
Ahe,490.0,485.0,2.0,2.0,1.0,0.9897959183673469,0.004081632653061225,0.004081632653061225,0.0020408163265306124,31.0,490.0
Ahe,490.0,480.0,4.0,4.0,2.0,0.9795918367346939,0.00816326530612245,0.00816326530612245,0.004081632653061225,32.0,490.0
Ahe,490.0,478.0,5.0,6.0,1.0,0.9755102040816327,0.01020408163265306,0.012244897959183673,0.0020408163265306124,33.0,490.0
Ahe,490.0,473.0,7.0,8.0,2.0,0.9653061224489796,0.014285714285714285,0.0163265306122449,0.004081632653061225,34.0,490.0
Ahe,490.0,470.0,10.0,7.0,3.0,0.9591836734693877,0.02040816326530612,0.014285714285714285,0.006122448979591836,35.0,490.0
Ahe,490.0,465.0,10.0,13.0,2.0,0.9489795918367347,0.02040816326530612,0.026530612244897958,0.004081632653061225,36.0,490.0
Ahe,490.0,462.0,9.0,17.0,2.0,0.9428571428571428,0.018367346938775512,0.03469387755102041,0.004081632653061225,37.0,490.0
Ahe,490.0,466.0,6.0,17.0,1.0,0.9510204081632653,0.012244897959183673,0.03469387755102041,0.0020408163265306124,38.0,490.0
Ahe,490.0,461.0,9.0,17.0,3.0,0.9408163265306122,0.018367346938775512,0.03469387755102041,0.006122448979591836,39.0,490.0
Ahe,490.0,454.0,12.0,18.0,6.0,0.926530612244898,0.024489795918367346,0.036734693877551024,0.012244897959183673,40.0,490.0
Ahe,490.0,449.0,13.0,22.0,6.0,0.9163265306122449,0.026530612244897958,0.044897959183673466,0.012244897959183673,41.0,490.0
Ahe,490.0,446.0,17.0,20.0,7.0,0.9102040816326531,0.03469387755102041,0.04081632653061224,0.014285714285714285,42.0,490.0
Ahe,490.0,439.0,22.0,19.0,10.0,0.8959183673469387,0.044897959183673466,0.03877551020408163,0.02040816326530612,43.0,490.0
Ahe,490.0,431.0,24.0,23.0,12.0,0.8795918367346939,0.04897959183673469,0.04693877551020408,0.024489795918367346,44.0,490.0
Ahe,490.0,426.0,26.0,22.0,16.0,0.8693877551020408,0.053061224489795916,0.044897959183673466,0.0326530612244898,45.0,490.0
Ahe,490.0,416.0,30.0,28.0,16.0,0.8489795918367347,0.061224489795918366,0.05714285714285714,0.0326530612244898,46.0,490.0
Ahe,490.0,409.0,27.0,36.0,18.0,0.8346938775510204,0.05510204081632653,0.07346938775510205,0.036734693877551024,47.0,490.0
Ahe,490.0,404.0,24.0,42.0,20.0,0.8244897959183674,0.04897959183673469,0.08571428571428572,0.04081632653061224,48.0,490.0
Ahe,490.0,391.0,31.0,46.0,22.0,0.7979591836734694,0.06326530612244897,0.09387755102040816,0.044897959183673466,49.0,490.0
Ahe,490.0,380.0,41.0,46.0,23.0,0.7755102040816326,0.0836734693877551,0.09387755102040816,0.04693877551020408,50.0,490.0
