,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10758.0
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10758.0
Bora Bora,10758.0,10756.0,1.0,1.0,0.0,0.9998140918386317,9.295408068414203e-05,9.295408068414203e-05,0.0,3.0,10758.0
Bora Bora,10758.0,10758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10758.0
Bora Bora,10758.0,10757.0,0.0,1.0,0.0,0.9999070459193159,0.0,9.295408068414203e-05,0.0,5.0,10758.0
Bora Bora,10758.0,10756.0,0.0,2.0,0.0,0.9998140918386317,0.0,0.00018590816136828406,0.0,6.0,10758.0
Bora Bora,10758.0,10753.0,3.0,1.0,1.0,0.9995352295965793,0.0002788622420524261,9.295408068414203e-05,9.295408068414203e-05,7.0,10758.0
Bora Bora,10758.0,10751.0,3.0,2.0,2.0,0.999349321435211,0.0002788622420524261,0.00018590816136828406,0.00018590816136828406,8.0,10758.0
Bora Bora,10758.0,10749.0,3.0,5.0,1.0,0.9991634132738427,0.0002788622420524261,0.0004647704034207102,9.295408068414203e-05,9.0,10758.0
Bora Bora,10758.0,10741.0,7.0,9.0,1.0,0.9984197806283696,0.0006506785647889942,0.0008365867261572784,9.295408068414203e-05,10.0,10758.0
Bora Bora,10758.0,10738.0,7.0,10.0,3.0,0.9981409183863171,0.0006506785647889942,0.0009295408068414204,0.0002788622420524261,11.0,10758.0
Bora Bora,10758.0,10738.0,5.0,12.0,3.0,0.9981409183863171,0.0004647704034207102,0.0011154489682097045,0.0002788622420524261,12.0,10758.0
Bora Bora,10758.0,10731.0,10.0,15.0,2.0,0.9974902398215282,0.0009295408068414204,0.0013943112102621305,0.00018590816136828406,13.0,10758.0
Bora Bora,10758.0,10724.0,12.0,19.0,3.0,0.9968395612567392,0.0011154489682097045,0.0017661275329986987,0.0002788622420524261,14.0,10758.0
Bora Bora,10758.0,10712.0,20.0,21.0,5.0,0.9957241122885294,0.0018590816136828407,0.0019520356943669827,0.0004647704034207102,15.0,10758.0
Bora Bora,10758.0,10709.0,24.0,19.0,6.0,0.995445250046477,0.002230897936419409,0.0017661275329986987,0.0005577244841048522,16.0,10758.0
Bora Bora,10758.0,10692.0,28.0,27.0,11.0,0.9938650306748467,0.002602714259155977,0.0025097601784718347,0.0010224948875255625,17.0,10758.0
Bora Bora,10758.0,10677.0,28.0,33.0,20.0,0.9924707194645845,0.002602714259155977,0.003067484662576687,0.0018590816136828407,18.0,10758.0
Bora Bora,10758.0,10672.0,39.0,28.0,19.0,0.9920059490611638,0.003625209146681539,0.002602714259155977,0.0017661275329986987,19.0,10758.0
Bora Bora,10758.0,10671.0,39.0,30.0,18.0,0.9919129949804797,0.003625209146681539,0.002788622420524261,0.0016731734523145567,20.0,10758.0
Bora Bora,10758.0,10675.0,38.0,28.0,17.0,0.9922848113032162,0.0035322550659973974,0.002602714259155977,0.0015802193716304145,21.0,10758.0
Bora Bora,10758.0,10657.0,41.0,45.0,15.0,0.9906116378509017,0.003811117308049823,0.004182933630786392,0.0013943112102621305,22.0,10758.0
Bora Bora,10758.0,10644.0,43.0,49.0,22.0,0.9894032348020078,0.003997025469418107,0.00455474995352296,0.002044989775051125,23.0,10758.0
Bora Bora,10758.0,10633.0,47.0,53.0,25.0,0.9883807399144823,0.004368841792154675,0.004926566276259528,0.0023238520171035507,24.0,10758.0
Bora Bora,10758.0,10623.0,57.0,54.0,24.0,0.9874511991076408,0.005298382598996096,0.0050195203569436695,0.002230897936419409,25.0,10758.0
Bora Bora,10758.0,10593.0,63.0,74.0,28.0,0.9846625766871165,0.005856107083100948,0.00687860197062651,0.002602714259155977,26.0,10758.0
Bora Bora,10758.0,10564.0,73.0,80.0,41.0,0.9819669083472764,0.006785647889942369,0.007436326454731363,0.003811117308049823,27.0,10758.0
Bora Bora,10758.0,10537.0,81.0,92.0,48.0,0.9794571481688046,0.007529280535415505,0.008551775422941067,0.004461795872838818,28.0,10758.0
Bora Bora,10758.0,10505.0,100.0,104.0,49.0,0.976482617586912,0.009295408068414203,0.009667224391150772,0.00455474995352296,29.0,10758.0
Bora Bora,10758.0,10478.0,112.0,111.0,57.0,0.9739728574084402,0.010410857036623908,0.010317902955939765,0.005298382598996096,30.0,10758.0
Bora Bora,10758.0,10430.0,130.0,122.0,76.0,0.9695110615356014,0.012084030488938465,0.011340397843465327,0.007064510131994795,31.0,10758.0
Bora Bora,10758.0,10422.0,126.0,133.0,77.0,0.9687674288901282,0.011712214166201896,0.01236289273099089,0.007157464212678937,32.0,10758.0
Bora Bora,10758.0,10414.0,125.0,150.0,69.0,0.9680237962446552,0.011619260085517754,0.013943112102621304,0.006413831567205801,33.0,10758.0
Bora Bora,10758.0,10400.0,136.0,142.0,80.0,0.9667224391150772,0.012641754973043316,0.013199479457148168,0.007436326454731363,34.0,10758.0
Bora Bora,10758.0,10368.0,156.0,150.0,84.0,0.9637479085331846,0.014500836586726157,0.013943112102621304,0.007808142777467931,35.0,10758.0
Bora Bora,10758.0,10280.0,199.0,189.0,90.0,0.9555679494329801,0.018497862056144263,0.017568321249302844,0.008365867261572783,36.0,10758.0
Bora Bora,10758.0,10241.0,199.0,213.0,105.0,0.9519427402862985,0.018497862056144263,0.019799219185722253,0.009760178471834913,37.0,10758.0
