,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,191756.0,20.0,3.0,0.0,0.9998800702892392,0.00010428670500941188,1.564300575141178e-05,0.0,1.0,191779.0
Tahiti,191779.0,191737.0,33.0,9.0,0.0,0.9997809979194803,0.0001720730632655296,4.6929017254235344e-05,0.0,2.0,191779.0
Tahiti,191779.0,191700.0,63.0,16.0,0.0,0.9995880675152128,0.0003285031207796474,8.34293640075295e-05,0.0,3.0,191779.0
Tahiti,191779.0,191679.0,70.0,30.0,0.0,0.9994785664749529,0.0003650034675329416,0.0001564300575141178,0.0,4.0,191779.0
Tahiti,191779.0,191638.0,92.0,47.0,2.0,0.9992647787296837,0.00047971884304329464,0.0002450737567721179,1.0428670500941187e-05,5.0,191779.0
Tahiti,191779.0,191595.0,111.0,69.0,4.0,0.9990405623139134,0.000578791212802236,0.00035978913228247095,2.0857341001882375e-05,6.0,191779.0
Tahiti,191779.0,191555.0,126.0,90.0,8.0,0.9988319889038946,0.0006570062415592948,0.0004692901725423534,4.171468200376475e-05,7.0,191779.0
Tahiti,191779.0,191499.0,151.0,117.0,12.0,0.9985399861298683,0.0007873646228210596,0.0006100772243050594,6.257202300564712e-05,8.0,191779.0
Tahiti,191779.0,191459.0,163.0,136.0,21.0,0.9983314127198494,0.0008499366458267068,0.0007091495940640007,0.00010950104025988247,9.0,191779.0
Tahiti,191779.0,191388.0,210.0,150.0,31.0,0.997961194917066,0.0010950104025988247,0.0007821502875705891,0.00016164439276458842,10.0,191779.0
Tahiti,191779.0,191329.0,227.0,180.0,43.0,0.9976535491372882,0.0011836541018568248,0.0009385803450847069,0.00022421641577023552,11.0,191779.0
Tahiti,191779.0,191261.0,257.0,207.0,54.0,0.9972989743402563,0.0013400841593709425,0.001079367396847413,0.0002815741035254121,12.0,191779.0
Tahiti,191779.0,191191.0,276.0,256.0,56.0,0.9969339708727233,0.0014391565291298838,0.001334869824120472,0.00029200277402635324,13.0,191779.0
Tahiti,191779.0,191096.0,320.0,290.0,73.0,0.9964386090239286,0.00166858728015059,0.0015121572226364723,0.00038064647328435333,14.0,191779.0
Tahiti,191779.0,191004.0,338.0,349.0,88.0,0.9959588901808852,0.0017624453146590606,0.0018198030024142373,0.00045886150204141226,15.0,191779.0
Tahiti,191779.0,190859.0,397.0,412.0,111.0,0.995202811569567,0.0020700910944368256,0.0021483061231938848,0.000578791212802236,16.0,191779.0
Tahiti,191779.0,190740.0,459.0,439.0,141.0,0.994582305674761,0.0023933798799660026,0.0022890931749565907,0.0007352212703163537,17.0,191779.0
Tahiti,191779.0,190603.0,520.0,499.0,157.0,0.9938679417454466,0.0027114543302447086,0.0026019532899848262,0.0008186506343238832,18.0,191779.0
Tahiti,191779.0,190466.0,549.0,571.0,193.0,0.9931535778161321,0.002862670052508356,0.002977385428018709,0.0010063667033408247,19.0,191779.0
Tahiti,191779.0,190290.0,606.0,629.0,254.0,0.9922358548120492,0.00315988716178518,0.0032798168725460034,0.0013244411536195307,20.0,191779.0
Tahiti,191779.0,190062.0,714.0,721.0,282.0,0.991046986374942,0.003723035368836004,0.003759535715589298,0.0014704425406327074,21.0,191779.0
Tahiti,191779.0,189827.0,821.0,797.0,334.0,0.9898216175910814,0.004280969240636357,0.004155825194625064,0.0017415879736571783,22.0,191779.0
Tahiti,191779.0,189568.0,893.0,914.0,404.0,0.9884711047612095,0.00465640137867024,0.004765902418930123,0.0021065914411901197,23.0,191779.0
Tahiti,191779.0,189307.0,996.0,1016.0,460.0,0.9871101632608367,0.0051934779094687114,0.005297764614478123,0.002398594215216473,24.0,191779.0
Tahiti,191779.0,189001.0,1121.0,1119.0,538.0,0.9855145766741927,0.005845269815777536,0.005834841145276594,0.0028053123647531794,25.0,191779.0
Tahiti,191779.0,188659.0,1220.0,1293.0,607.0,0.9837312740185318,0.006361489005574124,0.006742135478858478,0.0031651014970356505,26.0,191779.0
Tahiti,191779.0,188260.0,1372.0,1424.0,723.0,0.9816507542535939,0.007154067963645655,0.0074252133966701255,0.0037699643860902394,27.0,191779.0
Tahiti,191779.0,187839.0,1538.0,1576.0,826.0,0.9794555191131459,0.008019647615223773,0.008217792354741656,0.004307040916888711,28.0,191779.0
Tahiti,191779.0,187376.0,1724.0,1750.0,929.0,0.977041281892178,0.008989513971811304,0.00912508668832354,0.004844117447687182,29.0,191779.0
Tahiti,191779.0,186822.0,1944.0,1953.0,1060.0,0.9741525401634172,0.010136667726914834,0.01018359674416907,0.0055271953654988295,30.0,191779.0
Tahiti,191779.0,186283.0,2077.0,2220.0,1199.0,0.9713420134634136,0.010830174315227424,0.011575824256044719,0.006251987965314242,31.0,191779.0
Tahiti,191779.0,185625.0,2296.0,2499.0,1359.0,0.9679109808686039,0.011972113735080484,0.013030623790926014,0.007086281605389537,32.0,191779.0
Tahiti,191779.0,184898.0,2527.0,2798.0,1556.0,0.9641201591415118,0.01317662517793919,0.014589710030816721,0.008113505649732244,33.0,191779.0
Tahiti,191779.0,184107.0,2816.0,3128.0,1728.0,0.9599956199583896,0.014683568065325192,0.016310440663472016,0.009010371312813186,34.0,191779.0
Tahiti,191779.0,183164.0,3144.0,3522.0,1949.0,0.9550785018171958,0.016393870027479548,0.018364888752157433,0.010162739403167188,35.0,191779.0
Tahiti,191779.0,182119.0,3532.0,3938.0,2190.0,0.9496295214804541,0.018417032104662136,0.0205340522163532,0.011419394198530601,36.0,191779.0
Tahiti,191779.0,181060.0,3929.0,4314.0,2476.0,0.9441075404502057,0.020487123199098962,0.022494642270530142,0.01291069408016519,37.0,191779.0
Tahiti,191779.0,179882.0,4384.0,4744.0,2769.0,0.9379650535251514,0.022859645738063084,0.024736806428232498,0.014438494308553073,38.0,191779.0
Tahiti,191779.0,178624.0,4768.0,5295.0,3092.0,0.9314054197800593,0.02486195047424379,0.027609905151241794,0.016122724594455077,39.0,191779.0
Tahiti,191779.0,177194.0,5322.0,5845.0,3418.0,0.9239489203718864,0.0277506922030045,0.03047778953900062,0.01782259788610849,40.0,191779.0
Tahiti,191779.0,175601.0,5886.0,6480.0,3812.0,0.9156424843178868,0.030691577284269914,0.03378889242304945,0.019877045974793905,41.0,191779.0
Tahiti,191779.0,173867.0,6432.0,7182.0,4298.0,0.9066008269935707,0.03353860433102686,0.037449355768879804,0.02241121290652261,42.0,191779.0
Tahiti,191779.0,171819.0,7111.0,8011.0,4838.0,0.895921868400607,0.037079137966096395,0.04177203969151993,0.025226953941776733,43.0,191779.0
Tahiti,191779.0,169682.0,7896.0,8805.0,5396.0,0.8847788339703513,0.04117239113771581,0.04591222188039358,0.028136553011539323,44.0,191779.0
Tahiti,191779.0,167237.0,8695.0,9797.0,6050.0,0.8720297842829506,0.045338645002841814,0.051084842448860406,0.031546728265347095,45.0,191779.0
Tahiti,191779.0,164697.0,9483.0,10900.0,6699.0,0.8587853727467554,0.04944754118021264,0.056836254230129474,0.03493083184290251,46.0,191779.0
Tahiti,191779.0,161874.0,10374.0,11979.0,7552.0,0.8440653043346769,0.05409351388838194,0.06246252196538724,0.039378659811553925,47.0,191779.0
Tahiti,191779.0,158894.0,11324.0,13161.0,8400.0,0.8285265852882745,0.059047132376329005,0.06862586623144348,0.04380041610395299,48.0,191779.0
Tahiti,191779.0,155748.0,12122.0,14627.0,9282.0,0.8121222865902941,0.06320817190620454,0.07627008170863338,0.04839945979486805,49.0,191779.0
Tahiti,191779.0,152327.0,13218.0,15900.0,10334.0,0.7942840456984341,0.06892308334072031,0.08290793048248245,0.05388494047836312,50.0,191779.0
Tahiti,191779.0,148601.0,14268.0,17423.0,11487.0,0.7748554325551807,0.07439813535371444,0.09084936306894915,0.05989706902215571,51.0,191779.0
Tahiti,191779.0,144491.0,15601.0,18984.0,12703.0,0.7534245146757466,0.08134884424259173,0.09898894039493375,0.06623770068672795,52.0,191779.0
