,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,49580.0
Falealili,49580.0,49580.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,49580.0
Falealili,49580.0,49579.0,0.0,1.0,0.0,0.9999798305768455,0.0,2.0169423154497783e-05,0.0,29.0,49580.0
Falealili,49580.0,49579.0,0.0,1.0,0.0,0.9999798305768455,0.0,2.0169423154497783e-05,0.0,30.0,49580.0
Falealili,49580.0,49579.0,0.0,1.0,0.0,0.9999798305768455,0.0,2.0169423154497783e-05,0.0,31.0,49580.0
Falealili,49580.0,49579.0,0.0,1.0,0.0,0.9999798305768455,0.0,2.0169423154497783e-05,0.0,32.0,49580.0
Falealili,49580.0,49579.0,0.0,1.0,0.0,0.9999798305768455,0.0,2.0169423154497783e-05,0.0,33.0,49580.0
Falealili,49580.0,49578.0,1.0,0.0,1.0,0.9999596611536911,2.0169423154497783e-05,0.0,2.0169423154497783e-05,34.0,49580.0
Falealili,49580.0,49578.0,1.0,0.0,1.0,0.9999596611536911,2.0169423154497783e-05,0.0,2.0169423154497783e-05,35.0,49580.0
Falealili,49580.0,49578.0,0.0,1.0,1.0,0.9999596611536911,0.0,2.0169423154497783e-05,2.0169423154497783e-05,36.0,49580.0
Falealili,49580.0,49578.0,0.0,1.0,1.0,0.9999596611536911,0.0,2.0169423154497783e-05,2.0169423154497783e-05,37.0,49580.0
Falealili,49580.0,49578.0,0.0,1.0,1.0,0.9999596611536911,0.0,2.0169423154497783e-05,2.0169423154497783e-05,38.0,49580.0
Falealili,49580.0,49578.0,0.0,1.0,1.0,0.9999596611536911,0.0,2.0169423154497783e-05,2.0169423154497783e-05,39.0,49580.0
Falealili,49580.0,49579.0,0.0,0.0,1.0,0.9999798305768455,0.0,0.0,2.0169423154497783e-05,40.0,49580.0
Falealili,49580.0,49579.0,0.0,0.0,1.0,0.9999798305768455,0.0,0.0,2.0169423154497783e-05,41.0,49580.0
Falealili,49580.0,49579.0,0.0,0.0,1.0,0.9999798305768455,0.0,0.0,2.0169423154497783e-05,42.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,43.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,44.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,45.0,49580.0
Falealili,49580.0,49579.0,0.0,0.0,1.0,0.9999798305768455,0.0,0.0,2.0169423154497783e-05,46.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,47.0,49580.0
Falealili,49580.0,49579.0,0.0,0.0,1.0,0.9999798305768455,0.0,0.0,2.0169423154497783e-05,48.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,49.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,50.0,49580.0
Falealili,49580.0,49578.0,0.0,0.0,2.0,0.9999596611536911,0.0,0.0,4.0338846308995566e-05,51.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,52.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,53.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,54.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,55.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,56.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,57.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,58.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,59.0,49580.0
Falealili,49580.0,49577.0,0.0,0.0,3.0,0.9999394917305365,0.0,0.0,6.0508269463493345e-05,60.0,49580.0
Falealili,49580.0,49576.0,0.0,0.0,4.0,0.999919322307382,0.0,0.0,8.067769261799113e-05,61.0,49580.0
Falealili,49580.0,49576.0,0.0,0.0,4.0,0.999919322307382,0.0,0.0,8.067769261799113e-05,62.0,49580.0
Falealili,49580.0,49576.0,0.0,0.0,4.0,0.999919322307382,0.0,0.0,8.067769261799113e-05,63.0,49580.0
Falealili,49580.0,49574.0,0.0,1.0,5.0,0.9998789834610731,0.0,2.0169423154497783e-05,0.0001008471157724889,64.0,49580.0
Falealili,49580.0,49574.0,0.0,1.0,5.0,0.9998789834610731,0.0,2.0169423154497783e-05,0.0001008471157724889,65.0,49580.0
Falealili,49580.0,49571.0,0.0,0.0,9.0,0.9998184751916095,0.0,0.0,0.00018152480839048004,66.0,49580.0
Falealili,49580.0,49571.0,0.0,0.0,9.0,0.9998184751916095,0.0,0.0,0.00018152480839048004,67.0,49580.0
Falealili,49580.0,49571.0,0.0,0.0,9.0,0.9998184751916095,0.0,0.0,0.00018152480839048004,68.0,49580.0
Falealili,49580.0,49571.0,0.0,0.0,9.0,0.9998184751916095,0.0,0.0,0.00018152480839048004,69.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,70.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,71.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,72.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,73.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,74.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,75.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,76.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,77.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,78.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,79.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,80.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,81.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,82.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,83.0,49580.0
Falealili,49580.0,49571.0,0.0,0.0,9.0,0.9998184751916095,0.0,0.0,0.00018152480839048004,84.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,85.0,49580.0
Falealili,49580.0,49570.0,0.0,0.0,10.0,0.9997983057684551,0.0,0.0,0.0002016942315449778,86.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,87.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,88.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,89.0,49580.0
Falealili,49580.0,49569.0,0.0,0.0,11.0,0.9997781363453005,0.0,0.0,0.00022186365469947558,90.0,49580.0
Falealili,49580.0,49568.0,0.0,0.0,12.0,0.999757966922146,0.0,0.0,0.00024203307785397338,91.0,49580.0
Falealili,49580.0,49568.0,0.0,0.0,12.0,0.999757966922146,0.0,0.0,0.00024203307785397338,92.0,49580.0
Falealili,49580.0,49568.0,0.0,0.0,12.0,0.999757966922146,0.0,0.0,0.00024203307785397338,93.0,49580.0
Falealili,49580.0,49567.0,0.0,0.0,13.0,0.9997377974989915,0.0,0.0,0.00026220250100847115,94.0,49580.0
Falealili,49580.0,49565.0,1.0,0.0,14.0,0.9996974586526826,2.0169423154497783e-05,0.0,0.00028237192416296893,95.0,49580.0
Falealili,49580.0,49563.0,1.0,0.0,16.0,0.9996571198063735,2.0169423154497783e-05,0.0,0.0003227107704719645,96.0,49580.0
Falealili,49580.0,49563.0,1.0,1.0,15.0,0.9996571198063735,2.0169423154497783e-05,2.0169423154497783e-05,0.0003025413473174667,97.0,49580.0
Falealili,49580.0,49562.0,1.0,1.0,16.0,0.9996369503832191,2.0169423154497783e-05,2.0169423154497783e-05,0.0003227107704719645,98.0,49580.0
Falealili,49580.0,49562.0,1.0,1.0,16.0,0.9996369503832191,2.0169423154497783e-05,2.0169423154497783e-05,0.0003227107704719645,99.0,49580.0
Falealili,49580.0,49561.0,1.0,1.0,17.0,0.9996167809600646,2.0169423154497783e-05,2.0169423154497783e-05,0.0003428801936264623,100.0,49580.0
Falealili,49580.0,49561.0,1.0,1.0,17.0,0.9996167809600646,2.0169423154497783e-05,2.0169423154497783e-05,0.0003428801936264623,101.0,49580.0
Falealili,49580.0,49561.0,1.0,1.0,17.0,0.9996167809600646,2.0169423154497783e-05,2.0169423154497783e-05,0.0003428801936264623,102.0,49580.0
Falealili,49580.0,49560.0,1.0,1.0,18.0,0.99959661153691,2.0169423154497783e-05,2.0169423154497783e-05,0.00036304961678096007,103.0,49580.0
Falealili,49580.0,49560.0,1.0,1.0,18.0,0.99959661153691,2.0169423154497783e-05,2.0169423154497783e-05,0.00036304961678096007,104.0,49580.0
Falealili,49580.0,49560.0,1.0,1.0,18.0,0.99959661153691,2.0169423154497783e-05,2.0169423154497783e-05,0.00036304961678096007,105.0,49580.0
Falealili,49580.0,49562.0,1.0,0.0,17.0,0.9996369503832191,2.0169423154497783e-05,0.0,0.0003428801936264623,106.0,49580.0
Falealili,49580.0,49562.0,0.0,1.0,17.0,0.9996369503832191,0.0,2.0169423154497783e-05,0.0003428801936264623,107.0,49580.0
Falealili,49580.0,49560.0,0.0,2.0,18.0,0.99959661153691,0.0,4.0338846308995566e-05,0.00036304961678096007,108.0,49580.0
Falealili,49580.0,49560.0,0.0,2.0,18.0,0.99959661153691,0.0,4.0338846308995566e-05,0.00036304961678096007,109.0,49580.0
Falealili,49580.0,49561.0,0.0,2.0,17.0,0.9996167809600646,0.0,4.0338846308995566e-05,0.0003428801936264623,110.0,49580.0
Falealili,49580.0,49560.0,0.0,3.0,17.0,0.99959661153691,0.0,6.0508269463493345e-05,0.0003428801936264623,111.0,49580.0
Falealili,49580.0,49559.0,0.0,4.0,17.0,0.9995764421137555,0.0,8.067769261799113e-05,0.0003428801936264623,112.0,49580.0
Falealili,49580.0,49557.0,1.0,4.0,18.0,0.9995361032674466,2.0169423154497783e-05,8.067769261799113e-05,0.00036304961678096007,113.0,49580.0
Falealili,49580.0,49555.0,1.0,5.0,19.0,0.9994957644211375,2.0169423154497783e-05,0.0001008471157724889,0.00038321903993545785,114.0,49580.0
Falealili,49580.0,49554.0,1.0,5.0,20.0,0.9994755949979831,2.0169423154497783e-05,0.0001008471157724889,0.0004033884630899556,115.0,49580.0
Falealili,49580.0,49553.0,2.0,5.0,20.0,0.9994554255748286,4.0338846308995566e-05,0.0001008471157724889,0.0004033884630899556,116.0,49580.0
Falealili,49580.0,49553.0,2.0,5.0,20.0,0.9994554255748286,4.0338846308995566e-05,0.0001008471157724889,0.0004033884630899556,117.0,49580.0
Falealili,49580.0,49550.0,3.0,5.0,22.0,0.9993949173053651,6.0508269463493345e-05,0.0001008471157724889,0.00044372730939895116,118.0,49580.0
Falealili,49580.0,49547.0,4.0,4.0,25.0,0.9993344090359015,8.067769261799113e-05,8.067769261799113e-05,0.0005042355788624445,119.0,49580.0
Falealili,49580.0,49546.0,3.0,5.0,26.0,0.9993142396127471,6.0508269463493345e-05,0.0001008471157724889,0.0005244050020169423,120.0,49580.0
Falealili,49580.0,49547.0,3.0,5.0,25.0,0.9993344090359015,6.0508269463493345e-05,0.0001008471157724889,0.0005042355788624445,121.0,49580.0
Falealili,49580.0,49548.0,2.0,6.0,24.0,0.9993545784590561,4.0338846308995566e-05,0.00012101653892698669,0.00048406615570794676,122.0,49580.0
Falealili,49580.0,49546.0,4.0,6.0,24.0,0.9993142396127471,8.067769261799113e-05,0.00012101653892698669,0.00048406615570794676,123.0,49580.0
Falealili,49580.0,49545.0,4.0,6.0,25.0,0.9992940701895926,8.067769261799113e-05,0.00012101653892698669,0.0005042355788624445,124.0,49580.0
Falealili,49580.0,49544.0,3.0,7.0,26.0,0.9992739007664381,6.0508269463493345e-05,0.00014118596208148446,0.0005244050020169423,125.0,49580.0
Falealili,49580.0,49544.0,3.0,7.0,26.0,0.9992739007664381,6.0508269463493345e-05,0.00014118596208148446,0.0005244050020169423,126.0,49580.0
Falealili,49580.0,49545.0,1.0,9.0,25.0,0.9992940701895926,2.0169423154497783e-05,0.00018152480839048004,0.0005042355788624445,127.0,49580.0
Falealili,49580.0,49544.0,1.0,10.0,25.0,0.9992739007664381,2.0169423154497783e-05,0.0002016942315449778,0.0005042355788624445,128.0,49580.0
Falealili,49580.0,49543.0,1.0,10.0,26.0,0.9992537313432835,2.0169423154497783e-05,0.0002016942315449778,0.0005244050020169423,129.0,49580.0
Falealili,49580.0,49543.0,2.0,10.0,25.0,0.9992537313432835,4.0338846308995566e-05,0.0002016942315449778,0.0005042355788624445,130.0,49580.0
Falealili,49580.0,49541.0,3.0,10.0,26.0,0.9992133924969746,6.0508269463493345e-05,0.0002016942315449778,0.0005244050020169423,131.0,49580.0
Falealili,49580.0,49540.0,3.0,10.0,27.0,0.9991932230738201,6.0508269463493345e-05,0.0002016942315449778,0.0005445744251714401,132.0,49580.0
Falealili,49580.0,49537.0,4.0,11.0,28.0,0.9991327148043566,8.067769261799113e-05,0.00022186365469947558,0.0005647438483259379,133.0,49580.0
Falealili,49580.0,49536.0,3.0,9.0,32.0,0.9991125453812021,6.0508269463493345e-05,0.00018152480839048004,0.000645421540943929,134.0,49580.0
Falealili,49580.0,49534.0,3.0,9.0,34.0,0.9990722065348931,6.0508269463493345e-05,0.00018152480839048004,0.0006857603872529246,135.0,49580.0
Falealili,49580.0,49532.0,2.0,10.0,36.0,0.9990318676885841,4.0338846308995566e-05,0.0002016942315449778,0.0007260992335619201,136.0,49580.0
Falealili,49580.0,49532.0,2.0,9.0,37.0,0.9990318676885841,4.0338846308995566e-05,0.00018152480839048004,0.0007462686567164179,137.0,49580.0
Falealili,49580.0,49530.0,2.0,9.0,39.0,0.9989915288422752,4.0338846308995566e-05,0.00018152480839048004,0.0007866075030254135,138.0,49580.0
Falealili,49580.0,49526.0,1.0,11.0,42.0,0.9989108511496572,2.0169423154497783e-05,0.00022186365469947558,0.0008471157724889068,139.0,49580.0
Falealili,49580.0,49522.0,2.0,11.0,45.0,0.9988301734570392,4.0338846308995566e-05,0.00022186365469947558,0.0009076240419524002,140.0,49580.0
Falealili,49580.0,49520.0,2.0,11.0,47.0,0.9987898346107301,4.0338846308995566e-05,0.00022186365469947558,0.0009479628882613958,141.0,49580.0
Falealili,49580.0,49517.0,4.0,11.0,48.0,0.9987293263412667,8.067769261799113e-05,0.00022186365469947558,0.0009681323114158935,142.0,49580.0
Falealili,49580.0,49517.0,4.0,11.0,48.0,0.9987293263412667,8.067769261799113e-05,0.00022186365469947558,0.0009681323114158935,143.0,49580.0
Falealili,49580.0,49516.0,3.0,10.0,51.0,0.9987091569181121,6.0508269463493345e-05,0.0002016942315449778,0.0010286405808793868,144.0,49580.0
Falealili,49580.0,49513.0,3.0,7.0,57.0,0.9986486486486487,6.0508269463493345e-05,0.00014118596208148446,0.0011496571198063735,145.0,49580.0
Falealili,49580.0,49513.0,3.0,7.0,57.0,0.9986486486486487,6.0508269463493345e-05,0.00014118596208148446,0.0011496571198063735,146.0,49580.0
Falealili,49580.0,49511.0,3.0,7.0,59.0,0.9986083098023396,6.0508269463493345e-05,0.00014118596208148446,0.001189995966115369,147.0,49580.0
Falealili,49580.0,49508.0,3.0,8.0,61.0,0.9985478015328761,6.0508269463493345e-05,0.00016135538523598226,0.0012303348124243646,148.0,49580.0
Falealili,49580.0,49505.0,6.0,8.0,61.0,0.9984872932634127,0.00012101653892698669,0.00016135538523598226,0.0012303348124243646,149.0,49580.0
Falealili,49580.0,49503.0,5.0,8.0,64.0,0.9984469544171036,0.0001008471157724889,0.00016135538523598226,0.001290843081887858,150.0,49580.0
Falealili,49580.0,49502.0,3.0,8.0,67.0,0.9984267849939492,6.0508269463493345e-05,0.00016135538523598226,0.0013513513513513514,151.0,49580.0
Falealili,49580.0,49501.0,2.0,7.0,70.0,0.9984066155707947,4.0338846308995566e-05,0.00014118596208148446,0.0014118596208148447,152.0,49580.0
Falealili,49580.0,49499.0,3.0,7.0,71.0,0.9983662767244856,6.0508269463493345e-05,0.00014118596208148446,0.0014320290439693425,153.0,49580.0
Falealili,49580.0,49500.0,4.0,7.0,69.0,0.9983864461476402,8.067769261799113e-05,0.00014118596208148446,0.001391690197660347,154.0,49580.0
Falealili,49580.0,49499.0,4.0,9.0,68.0,0.9983662767244856,8.067769261799113e-05,0.00018152480839048004,0.0013715207745058492,155.0,49580.0
Falealili,49580.0,49498.0,2.0,11.0,69.0,0.9983461073013312,4.0338846308995566e-05,0.00022186365469947558,0.001391690197660347,156.0,49580.0
Falealili,49580.0,49496.0,2.0,9.0,73.0,0.9983057684550222,4.0338846308995566e-05,0.00018152480839048004,0.001472367890278338,157.0,49580.0
Falealili,49580.0,49488.0,2.0,10.0,80.0,0.9981444130697862,4.0338846308995566e-05,0.0002016942315449778,0.0016135538523598225,158.0,49580.0
Falealili,49580.0,49481.0,3.0,10.0,86.0,0.9980032271077047,6.0508269463493345e-05,0.0002016942315449778,0.0017345703912868091,159.0,49580.0
Falealili,49580.0,49483.0,4.0,9.0,84.0,0.9980435659540137,8.067769261799113e-05,0.00018152480839048004,0.0016942315449778136,160.0,49580.0
Falealili,49580.0,49480.0,4.0,9.0,87.0,0.9979830576845502,8.067769261799113e-05,0.00018152480839048004,0.0017547398144413069,161.0,49580.0
Falealili,49580.0,49479.0,4.0,9.0,88.0,0.9979628882613957,8.067769261799113e-05,0.00018152480839048004,0.0017749092375958047,162.0,49580.0
Falealili,49580.0,49474.0,2.0,10.0,94.0,0.9978620411456233,4.0338846308995566e-05,0.0002016942315449778,0.0018959257765227915,163.0,49580.0
Falealili,49580.0,49469.0,1.0,11.0,99.0,0.9977611940298508,2.0169423154497783e-05,0.00022186365469947558,0.00199677289229528,164.0,49580.0
Falealili,49580.0,49468.0,3.0,8.0,101.0,0.9977410246066962,6.0508269463493345e-05,0.00016135538523598226,0.002037111738604276,165.0,49580.0
Falealili,49580.0,49467.0,2.0,8.0,103.0,0.9977208551835417,4.0338846308995566e-05,0.00016135538523598226,0.0020774505849132717,166.0,49580.0
Falealili,49580.0,49462.0,2.0,9.0,107.0,0.9976200080677693,4.0338846308995566e-05,0.00018152480839048004,0.0021581282775312628,167.0,49580.0
Falealili,49580.0,49456.0,1.0,11.0,112.0,0.9974989915288422,2.0169423154497783e-05,0.00022186365469947558,0.0022589753933037514,168.0,49580.0
Falealili,49580.0,49446.0,1.0,15.0,118.0,0.9972972972972973,2.0169423154497783e-05,0.0003025413473174667,0.002379991932230738,169.0,49580.0
Falealili,49580.0,49444.0,0.0,16.0,120.0,0.9972569584509883,0.0,0.0003227107704719645,0.0024203307785397336,170.0,49580.0
Falealili,49580.0,49439.0,1.0,17.0,123.0,0.9971561113352159,2.0169423154497783e-05,0.0003428801936264623,0.002480839048003227,171.0,49580.0
Falealili,49580.0,49431.0,2.0,17.0,130.0,0.9969947559499799,4.0338846308995566e-05,0.0003428801936264623,0.0026220250100847118,172.0,49580.0
Falealili,49580.0,49423.0,4.0,18.0,135.0,0.9968334005647439,8.067769261799113e-05,0.00036304961678096007,0.0027228721258572004,173.0,49580.0
Falealili,49580.0,49421.0,3.0,22.0,134.0,0.9967930617184348,6.0508269463493345e-05,0.00044372730939895116,0.002702702702702703,174.0,49580.0
Falealili,49580.0,49412.0,5.0,20.0,143.0,0.9966115369100443,0.0001008471157724889,0.0004033884630899556,0.0028842275110931826,175.0,49580.0
Falealili,49580.0,49404.0,5.0,20.0,151.0,0.9964501815248084,0.0001008471157724889,0.0004033884630899556,0.0030455828963291648,176.0,49580.0
Falealili,49580.0,49402.0,5.0,19.0,154.0,0.9964098426784994,0.0001008471157724889,0.00038321903993545785,0.0031060911657926583,177.0,49580.0
Falealili,49580.0,49396.0,5.0,21.0,158.0,0.9962888261395724,0.0001008471157724889,0.0004235578862444534,0.0031867688584106494,178.0,49580.0
Falealili,49580.0,49381.0,11.0,26.0,162.0,0.9959862847922549,0.00022186365469947558,0.0005244050020169423,0.0032674465510286405,179.0,49580.0
Falealili,49580.0,49372.0,10.0,29.0,169.0,0.9958047599838644,0.0002016942315449778,0.0005849132714804356,0.003408632513110125,180.0,49580.0
Falealili,49580.0,49370.0,9.0,27.0,174.0,0.9957644211375555,0.00018152480839048004,0.0005445744251714401,0.0035094796288826138,181.0,49580.0
