,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1404.0
Vaa o Fonoti,1404.0,1403.0,0.0,1.0,0.0,0.9992877492877493,0.0,0.0007122507122507123,0.0,19.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1404.0
Vaa o Fonoti,1404.0,1404.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1404.0
Vaa o Fonoti,1404.0,1403.0,0.0,1.0,0.0,0.9992877492877493,0.0,0.0007122507122507123,0.0,22.0,1404.0
