Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304513,56,10,0,23.995765266317296,0.0036248742412607633,0.0006098594414443716,0.0,304579
2,304579,304473,74,31,1,23.992410142450744,0.005368679590201285,0.002155775735380159,6.540222367560497e-05,304579
3,304579,304418,100,58,3,23.988901073672338,0.0071162169479091686,0.003786502708724493,0.0001962066710268149,304579
4,304579,304359,123,91,6,23.98358802316991,0.009660383735180824,0.006390027395657206,0.00036156569925009766,304579
5,304579,304307,143,115,14,23.979331357480785,0.011133754555570271,0.008434670799774283,0.001100217163871314,304579
6,304579,304237,165,157,20,23.974093545276247,0.013003387782416111,0.011442927889578548,0.0014601390517572233,304579
7,304579,304171,188,195,25,23.96729250282236,0.01493739320541965,0.0155424740712518,0.0022276299009684453,304579
8,304579,304104,208,226,41,23.96260467751745,0.016430011837866763,0.017210705867944227,0.0037546047767389526,304579
9,304579,304034,239,255,51,23.953148043725506,0.02128785272637848,0.020618211139622648,0.004945892408494939,304579
10,304579,303966,256,291,66,23.946661474049908,0.022151839160998853,0.024418176333674036,0.00676851045541829,304579
11,304579,303893,280,323,83,23.94099538847947,0.023335817396047055,0.027330735087013232,0.008338059037467564,304579
12,304579,303822,297,352,108,23.936401616066043,0.023263913445310834,0.029623265793205476,0.010711204695441644,304579
13,304579,303745,304,405,125,23.93098393986824,0.024142578903842096,0.03291734831091903,0.011956132916997543,304579
14,304579,303655,330,443,151,23.921900167590962,0.026887596930745782,0.03697711787827281,0.01423511760001936,304579
15,304579,303571,342,482,184,23.914779711080783,0.028122120964441298,0.03924131681092206,0.017856851143854848,304579
16,304579,303487,360,517,215,23.905987236798275,0.03085096844616687,0.04309067348642367,0.02007112126913383,304579
17,304579,303404,368,560,247,23.897856195807215,0.03092925553369806,0.048146308349020596,0.02306824031006549,304579
18,304579,303323,379,577,300,23.893734242667705,0.0319410885606603,0.0487522916232093,0.02557237714842537,304579
19,304579,303222,386,623,348,23.88443159264047,0.03300145054195768,0.05233489688825756,0.030232059929314353,304579
20,304579,303135,400,645,399,23.87756399831444,0.03271680046227254,0.055683370476369454,0.03403583074691856,304579
21,304579,303034,424,674,447,23.86720068453915,0.035178443043965404,0.05828027658983946,0.03934059582704448,304579
22,304579,302934,436,707,502,23.857662427482264,0.03655349798000697,0.06023876890254061,0.04554530563518896,304579
23,304579,302823,449,755,552,23.850080670769312,0.03709133321564273,0.06322647721769346,0.04960151879735109,304579
24,304579,302697,476,796,610,23.841073814411782,0.03944419353274047,0.06526748669659534,0.05421450535888085,304579
25,304579,302601,468,849,661,23.831233594927916,0.04055555762121177,0.06939609588820389,0.05881475156266763,304579
26,304579,302489,468,896,726,23.82269092342975,0.04002076953950728,0.07195648942903685,0.06533181760170498,304579
27,304579,302366,500,931,782,23.813231941071436,0.04225809691028711,0.07709416451270093,0.06741579750557626,304579
28,304579,302245,500,1002,832,23.79989652747548,0.043117048765563167,0.08498268698580853,0.07200373677315026,304579
29,304579,302120,516,1033,910,23.785769719740742,0.04487404126715311,0.08847285012539005,0.08088338886671666,304579
30,304579,302082,446,1076,975,23.78185527709516,0.03963022753421436,0.09301503498048211,0.085499460390142,304579
31,304579,302037,410,1093,1039,23.778152830021206,0.036478545732309194,0.09456567795299912,0.09080294629348633,304579
32,304579,301990,386,1098,1105,23.773162373822725,0.035245958033905,0.09532035442362033,0.09627131371974873,304579
33,304579,301942,370,1090,1177,23.769934808721096,0.03291739320695819,0.09523866171372791,0.10190913635821677,304579
34,304579,301909,340,1079,1251,23.767065328053764,0.029592943531985536,0.09457501754250051,0.10876671087174973,304579
35,304579,301867,321,1070,1321,23.763179053061148,0.028420754797804634,0.09414952578284283,0.11425066635820416,304579
36,304579,301822,296,1065,1396,23.759280378487613,0.02548931382371594,0.09502885101634055,0.12020145667233144,304579
37,304579,301777,293,1046,1463,23.755591592511752,0.02552736206752977,0.0921521947294057,0.12672885069131223,304579
38,304579,301731,278,1022,1548,23.751621641420826,0.024227689369048275,0.09023606431245793,0.1339146048976668,304579
39,304579,301685,274,1018,1602,23.747424169067003,0.0243899815998411,0.09011541862749183,0.1380704307056643,304579
40,304579,301636,267,995,1681,23.742772481091016,0.02329644670642319,0.08900554907837234,0.14492552312418733,304579
41,304579,301599,264,961,1755,23.739542665423414,0.02352615466831158,0.0860236718077,0.15090750810057546,304579
42,304579,301562,245,945,1827,23.735102280582538,0.023220017324114325,0.08395548991454328,0.15772221217880555,304579
43,304579,301531,225,932,1891,23.731717351897046,0.0215630049561014,0.08400762403066687,0.16271201911618674,304579
44,304579,301502,215,901,1961,23.728906429861635,0.021069798815170133,0.08110404042686889,0.1689197308963257,304579
45,304579,301473,206,862,2038,23.725746105305745,0.020888634765724806,0.07710481959050283,0.1762604403380284,304579
46,304579,301443,201,849,2086,23.72265910932145,0.020023291287397348,0.07688702937833013,0.1804305700128222,304579
47,304579,301404,201,827,2147,23.718904859859336,0.019918760041381146,0.07478114245183412,0.18639523764744773,304579
48,304579,301367,206,810,2196,23.715601819128352,0.01993556502638698,0.07417677076460243,0.1902858450806572,304579
49,304579,301332,201,793,2253,23.71271981675631,0.017544230437449952,0.07425163345802839,0.19548431934821453,304579
50,304579,301303,190,779,2307,23.70976878373503,0.017074297451196183,0.07276592713226987,0.20039099168150326,304579
51,304579,301279,170,768,2362,23.707400802497393,0.0152308042142373,0.07203959287298718,0.2053288004153837,304579
52,304579,301246,176,750,2407,23.70459135483898,0.015728078483372133,0.07077420112308272,0.20890636555456663,304579
53,304579,301208,174,738,2459,23.701519624016644,0.01526548160386619,0.07091262034648393,0.21230227403300653,304579
54,304579,301184,160,728,2507,23.698928407023157,0.014684142527137914,0.0688222441018376,0.21756520634786775,304579
55,304579,301148,167,709,2555,23.69591737670428,0.01499567027458385,0.06670550862146378,0.22238144439967136,304579
56,304579,301119,161,705,2594,23.69346056954943,0.013805459968534623,0.0662531988566909,0.2264807716253443,304579
57,304579,301091,149,696,2643,23.69030170060254,0.01351076304242484,0.06593093511717434,0.23025660123786096,304579
58,304579,301066,140,681,2692,23.687888071104783,0.013033461461951307,0.06455873902652781,0.23451972840673832,304579
59,304579,301040,136,661,2742,23.685631811887717,0.012623746169010144,0.062380408815252086,0.23936403312802207,304579
60,304579,301016,139,648,2776,23.683412582616306,0.012841867031704882,0.061081233224691125,0.24266431712729797,304579
61,304579,300986,143,621,2829,23.680774054921514,0.01268035332402397,0.05927317652948198,0.2472724152249814,304579
62,304579,300958,149,587,2885,23.678202692272173,0.013311829327420175,0.055367352332665584,0.25311812606774203,304579
63,304579,300940,134,571,2934,23.67695988935726,0.01159633737024925,0.05409566505011796,0.25734810822237425,304579
64,304579,300916,132,560,2971,23.675373155470545,0.011446581548524258,0.052878456362826905,0.2603018066181026,304579
65,304579,300890,127,550,3012,23.672740382427172,0.011905027322355764,0.05149553025016069,0.26385906000031323,304579
66,304579,300865,127,536,3051,23.670549701518876,0.011896515413106963,0.04989802914158866,0.26765575392642815,304579
67,304579,300840,130,531,3078,23.66801445650448,0.012432952626396317,0.049325354349771845,0.2702272365193518,304579
68,304579,300819,127,507,3126,23.66569582974765,0.01277103751033357,0.0470356173547274,0.2744975153872888,304579
69,304579,300799,121,495,3164,23.66402108907884,0.012447193184905194,0.04552526459126908,0.27800645314498507,304579
70,304579,300784,112,488,3195,23.662921277010625,0.011398043006080556,0.04485939378210074,0.2808212862011951,304579
71,304579,300766,107,484,3222,23.661619120340173,0.010335852256185399,0.0443882549127828,0.2836567724908578,304579
72,304579,300743,109,469,3258,23.659503236232705,0.010059927916822949,0.04393078286037789,0.28650605299009335,304579
73,304579,300729,100,453,3297,23.65837717901344,0.009157421586117456,0.04184318750561998,0.29062221189482357,304579
74,304579,300714,99,446,3320,23.656871474986115,0.00948296246293803,0.04087487620161988,0.2927706863493257,304579
75,304579,300693,100,441,3345,23.655178152217655,0.009396873336679207,0.0404545529085601,0.2949704215371051,304579
76,304579,300681,98,423,3377,23.653868085770952,0.009170757645956743,0.039603333573741156,0.29735782300935026,304579
77,304579,300660,100,402,3417,23.652284973502425,0.009092492831469835,0.03759797574092143,0.3010245579251845,304579
78,304579,300642,101,384,3452,23.650862083586883,0.009445188369059502,0.03622901776386096,0.30346371028019464,304579
79,304579,300627,99,375,3478,23.64935101234087,0.009279576701599792,0.03568287185019702,0.30568653910733434,304579
80,304579,300619,90,363,3507,23.64850559146546,0.008560417995049079,0.03463821057222793,0.3082957799672629,304579
81,304579,300601,92,347,3539,23.64683393910191,0.008959385107454995,0.03306254766904874,0.3111441281215871,304579
82,304579,300583,93,349,3554,23.64494149566667,0.008512395638550932,0.03333479121042839,0.31321131748434755,304579
83,304579,300569,90,329,3591,23.643764445355355,0.008438729866111876,0.031659376452190566,0.3161374483263408,304579
84,304579,300551,96,319,3613,23.64180675299221,0.009790127731749252,0.03047174069910395,0.3179313785769372,304579
85,304579,300544,84,314,3637,23.64128271060322,0.009046715317338527,0.028996920320870003,0.32067365375857104,304579
86,304579,300536,73,315,3655,23.64055847710597,0.007532457959733366,0.02926139416861893,0.3226476707656789,304579
87,304579,300520,68,310,3681,23.638681105535284,0.007497692394212353,0.028357006687448304,0.32546419538305404,304579
88,304579,300510,66,307,3696,23.637887082175386,0.006921336088361862,0.028584237530894167,0.32660734420535714,304579
89,304579,300503,58,301,3717,23.636922646853865,0.006328707286901005,0.028945931240295944,0.3278027146189393,304579
90,304579,300488,61,288,3742,23.63569321068596,0.005912341472041771,0.028774604618323377,0.3296198432236738,304579
91,304579,300470,68,281,3760,23.63397066523411,0.006102315764657723,0.028791505161591822,0.3311355138396419,304579
92,304579,300460,66,278,3775,23.632911551604934,0.0060321061409495304,0.028497489873369107,0.3325588523807477,304579
93,304579,300455,60,269,3795,23.632491861444826,0.005381754603514758,0.02772736143178014,0.3343990225198776,304579
94,304579,300442,61,258,3818,23.63137261893236,0.005506941840150336,0.02591086574164747,0.3372095734858433,304579
95,304579,300427,56,258,3838,23.629929708671025,0.005176187129767332,0.026351254040185096,0.33854285015902175,304579
96,304579,300415,57,248,3859,23.628581196196617,0.005796622314769148,0.024323771752504567,0.34129840973610875,304579
97,304579,300404,57,238,3880,23.627635985483735,0.0053936038895151615,0.022713363503184467,0.3442570471235651,304579
98,304579,300389,60,233,3897,23.626216351601084,0.005583027577001081,0.022211657353518495,0.3459889634683966,304579
99,304579,300383,55,232,3909,23.625752774716904,0.0048831499871342145,0.022280103130659888,0.34708397216530107,304579
100,304579,300373,49,232,3925,23.625075976377182,0.003929021524228759,0.02265690814725688,0.34833809395133347,304579
101,304579,300366,48,227,3938,23.624419083572356,0.004178553400664719,0.02199146190269263,0.34941090112428813,304579
102,304579,300356,46,223,3954,23.623353416740343,0.004153901077476622,0.02137302994500624,0.35111965223717273,304579
103,304579,300345,46,218,3970,23.622613084608954,0.0033856912715890764,0.02153120775484439,0.3524700163646114,304579
104,304579,300335,40,221,3983,23.62201500619169,0.003117462030205859,0.020754013994796747,0.3541135177833106,304579
105,304579,300328,36,216,3999,23.621193339294607,0.003228232493833295,0.01954699694378611,0.35603143126777537,304579
