Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304516,45,18,0,23.995480843266044,0.003225732781483163,0.0012934239524726113,0.0,304579
2,304579,304450,95,34,0,23.990977280467767,0.006418233260995629,0.002604486271238635,0.0,304579
3,304579,304400,124,54,1,23.986283224213405,0.00967407635246828,0.003922766596516347,0.00011993283761093787,304579
4,304579,304328,156,91,4,23.980624319420844,0.011896565924787387,0.0072585015536079395,0.00022061310076014863,304579
5,304579,304270,172,128,9,23.974782738259414,0.014088768856203984,0.0107064182960919,0.00042207458829019345,304579
6,304579,304208,183,170,18,23.970436585872434,0.01430948703284958,0.014065429229981278,0.0011884978647349863,304579
7,304579,304143,202,207,27,23.965286091274873,0.01569253121539183,0.016950477473213415,0.002070900036520522,304579
8,304579,304065,244,229,41,23.958551380623774,0.019289663633431414,0.0187044046769161,0.0034545510658779265,304579
9,304579,304000,259,261,59,23.95225711272794,0.02076356692333218,0.02230539202489099,0.004673928323836902,304579
10,304579,303922,265,314,78,23.94493659478169,0.022293940842453078,0.026062328034907156,0.006707136340949587,304579
11,304579,303839,295,343,102,23.936225675908872,0.0260251169165046,0.02858075862216187,0.009168448552462306,304579
12,304579,303776,287,386,130,23.93036970719611,0.024835661093159545,0.03299387794610766,0.011800753764622234,304579
13,304579,303693,290,442,154,23.926079426254862,0.024077641617158873,0.03694336130748231,0.012899570820496501,304579
14,304579,303607,315,466,191,23.919128083320675,0.024852949851923094,0.03976108211262114,0.0162578847147801,304579
15,304579,303527,330,498,224,23.910355478355033,0.02629657229431739,0.04468599118299596,0.01866195816765283,304579
16,304579,303427,359,531,262,23.898753584939158,0.028837616664939197,0.04830176812935354,0.024107030266548136,304579
17,304579,303331,391,562,295,23.892127095550357,0.03301736200984849,0.04973170650296564,0.02512383593683066,304579
18,304579,303249,389,614,327,23.885240114869877,0.033160144384536794,0.054711684356931634,0.026888056388656503,304579
19,304579,303165,390,658,366,23.878815016211774,0.032733336749755385,0.05785530246270037,0.030596344575769308,304579
20,304579,303085,377,706,411,23.87099234160929,0.03201379937214096,0.061020600173433685,0.03597325884513503,304579
21,304579,302984,412,720,463,23.861691021765115,0.03489825655932241,0.06471736146109515,0.03869336021446735,304579
22,304579,302879,432,768,500,23.853561913663963,0.03847711953786102,0.06670518064760435,0.04125578615057179,304579
23,304579,302750,461,818,550,23.841577740702746,0.04179481482722411,0.07074672110519267,0.045880723364838456,304579
24,304579,302650,457,859,613,23.832237910706716,0.03926490160226004,0.07739218492456035,0.0511050027664622,304579
25,304579,302546,486,884,663,23.824252374311882,0.040600809580851785,0.07985232739445702,0.0552944887128088,304579
26,304579,302435,493,928,723,23.81030605637759,0.04293195648715633,0.08531712452177888,0.06144486261347205,304579
27,304579,302309,525,964,781,23.80196601096169,0.046304010370799245,0.08761536438789533,0.06411461427961573,304579
