Day,S,E,I,R,Total
0,304548.0,30.0,3.0,0.0,304581.0
1,304547.574061118,25.77103489861762,7.326213754780695,0.32869022867853215,304581.0000000001
2,304546.8334952686,22.4829171596857,10.783413417122723,0.9001741547356329,304581.0000000001
3,304545.84092788835,19.93311222704913,13.559833697811039,1.6661261869379678,304581.0000000002
4,304544.6454118333,17.962768789632854,15.803124849155694,2.588694528105173,304581.0000000002
5,304543.2853533884,16.447298374061273,17.629105171442223,3.638243066260102,304581.0000000002
6,304541.79080737784,15.288986269190142,19.12862613576738,4.791580217415706,304581.00000000023
7,304540.1852773312,14.411195973047684,20.372956938101083,6.030569757885388,304581.00000000023
8,304538.48712738993,13.753823647266255,21.418007668385897,7.341041294620061,304581.00000000023
9,304536.71068984375,13.269732468300276,22.30764206618788,8.711935621958457,304581.00000000023
10,304534.86713367683,12.921956375679109,23.076275442882807,10.13463450480686,304581.00000000023
11,304532.9651458315,12.68150674400247,23.750912441700038,11.602434983001421,304581.00000000023
12,304531.0114655885,12.525651914557823,24.352745477405374,13.110137019783323,304581.00000000023
13,304529.01130365353,12.43656788653237,24.89840834346307,14.653720116689609,304581.0000000003
14,304526.96867087187,12.40027993850591,25.40095952590872,16.230089663912402,304581.00000000023
15,304524.88663599966,12.405832629997057,25.87065333756792,17.836878032970805,304581.0000000002
16,304522.76752790826,12.44463868529287,26.315544859417784,19.472288547242353,304581.0000000002
17,304520.61309415573,12.50996833917313,26.74196438412312,21.134973121152623,304581.0000000002
18,304518.4246253518,12.59654880016028,27.1548895535868,22.823936294622243,304581.00000000023
19,304516.2030526771,12.700250132733055,27.558237207947727,24.538459982348225,304581.0000000001
20,304513.9490243766,12.8178388260854,27.955092349595443,26.278044447857386,304581.0000000002
21,304511.6629657224,12.94678457512781,28.34788766971409,28.04236203291908,304581.0000000001
22,304509.34512605076,13.085108671711355,28.73854441634758,29.831220861372753,304581.0000000001
23,304506.9956156269,13.231265139612708,29.128582841475662,31.64453639212569,304581.0000000001
24,304504.6144345557,13.384047475281598,29.519208858751433,33.482309110376804,304581.0000000002
25,304502.20149543736,13.542515519965773,29.911381997949775,35.344607044883126,304581.0000000001
26,304499.7566411277,13.705938090995739,30.305868718201438,37.23155206326769,304581.0000000001
27,304497.27965865127,13.873747996043528,30.703284216710358,39.143309136112904,304581.0000000001
28,304494.7702900991,14.045506751717777,31.10412522158944,41.0800779277814,304581.00000000023
29,304492.2282411728,14.220876875575225,31.508795748584998,43.04208620319307,304581.0000000001
30,304489.65318785043,14.399600225303567,31.917627239678694,45.02958468472501,304581.0000000001
31,304487.04478161095,14.581480972892722,32.330894395587414,47.04284302074114,304581.0000000002
32,304484.40265353065,14.766372208839918,32.74882763583737,49.08214662487062,304581.0000000002
33,304481.72641746124,14.954165500726287,33.171622814152265,51.14779422408545,304581.0000000002
34,304479.0156725145,15.144782680978818,33.5994488629121,53.24009594175522,304581.0000000001
35,304476.27000499796,15.338169400231502,34.03245379739085,55.35937180456382,304581.0000000002
36,304473.4889899135,15.534290083725892,34.47076941661971,57.50595058638834,304581.00000000023
37,304470.6721921191,15.733123969768567,34.91451499909837,59.680168912210135,304581.0000000002
38,304467.81916722906,15.934661990354892,35.363800216231276,61.882370564555586,304581.00000000023
39,304464.9294622813,16.138904393993432,35.818727356371895,64.11290596852967,304581.0000000002
40,304462.00261629064,16.345858737237595,36.27939320646806,66.37213176585858,304581.00000000023
41,304459.0381606195,16.555538458778347,36.74589039265125,68.66041052933204,304581.00000000023
42,304456.0356192673,16.767961712507642,37.21830848038685,70.97811053997425,304581.0000000002
43,304452.994509088,16.98315043207483,37.69673485973092,73.32560562041007,304581.0000000002
44,304449.91433994134,17.20112960053313,38.1812554402222,75.70327501810047,304581.0000000002
45,304446.79461478605,17.42192670940551,38.67195516998404,78.11150333475294,304581.00000000023
46,304443.63482975104,17.645571282762976,39.16891849455253,80.55068047181149,304581.0000000002
47,304440.4344741493,17.87209458312337,39.672229647073806,83.02120162068279,304581.0000000002
