Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
2,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
3,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
4,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
5,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
6,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
7,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
8,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
9,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
10,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
11,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
12,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
13,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
14,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
15,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
16,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
17,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
18,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
19,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
20,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
21,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
22,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
23,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
24,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
25,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
26,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
27,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
28,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
29,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
30,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
31,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
32,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
33,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
34,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
35,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
36,304579,304579,0,0,0,24.0,0.0,0.0,0.0,304579
