Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494220,43,9,0,24.998258112126663,0.0010524447680713832,0.0006894431052671538,0.0,494272
2,494272,494167,84,20,1,24.996996713255573,0.002116616244981646,0.00037672659327647517,0.0005099439061703213,494272
3,494272,494119,112,40,1,24.993545559196725,0.004773965963193769,0.0011705309339090884,0.0005099439061703213,494272
4,494272,494063,139,68,2,24.990923408956878,0.0057051116262530534,0.002850907162770138,0.0005205722540999191,494272
5,494272,494000,165,104,3,24.98818957085189,0.005802404619041223,0.0054733345885640775,0.0005346899405060843,494272
6,494272,493946,181,135,10,24.98609000788035,0.006884895369079312,0.006406401733692753,0.0006186950168775685,494272
7,494272,493888,186,182,16,24.983878635205244,0.007479061990966111,0.007447737204384355,0.0011945655994041481,494272
8,494272,493803,227,219,23,24.97690278621074,0.013292845394591097,0.009413698971192026,0.0003906694234759209,494272
9,494272,493724,270,246,32,24.978137006587612,0.009432920956098028,0.011469575696386871,0.0009604967599034865,494272
10,494272,493630,299,296,47,24.97330128938312,0.010674321275408294,0.010832453138259332,0.005191936203213235,494272
11,494272,493521,353,327,71,24.96881454702834,0.011988966596019212,0.013301588787842945,0.005894897587796841,494272
12,494272,493424,373,372,103,24.964918141658472,0.01556485209116515,0.01564760341755841,0.0038694028328041426,494272
13,494272,493335,386,421,130,24.960525705911834,0.014865128875298724,0.01956804666674982,0.005041118546118483,494272
14,494272,493231,408,478,155,24.95243796409562,0.019234346035566927,0.021597851799328993,0.006729838069485929,494272
15,494272,493136,427,529,180,24.95121725798882,0.0191940143153779,0.021485691564857808,0.008103036130946368,494272
16,494272,493035,452,573,212,24.944582462758905,0.020627471888830046,0.02484971860949446,0.009940346742769855,494272
17,494272,492954,462,611,245,24.94033433878304,0.01993804592851848,0.028556839912985115,0.011170775375459203,494272
18,494272,492867,468,654,283,24.921748279828645,0.03132202172292207,0.03316608471110453,0.01376361373732991,494272
19,494272,492776,483,695,318,24.924640751717977,0.024951239923159188,0.034553417609736646,0.015854590749127165,494272
20,494272,492674,487,751,360,24.920752817508802,0.028216814926316187,0.03463429139903442,0.016396076165847318,494272
21,494272,492555,534,781,402,24.910837437396577,0.028989310329656143,0.04240155333113674,0.01777169894263005,494272
22,494272,492427,561,827,457,24.89753967691293,0.028753623443222277,0.055074682038064066,0.01863201760578267,494272
