Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494222,38,12,0,24.998831197054272,0.001029028165796653,0.00013977477993063836,0.0,494272
2,494272,494159,80,32,1,24.996209063357092,0.0021422844491936336,0.0016406518096948551,8.000384018432885e-06,494272
3,494272,494109,118,42,3,24.995350504052894,0.0027456166867274577,0.001787128441793794,0.0001167508185845439,494272
4,494272,494046,147,73,6,24.9936845400704,0.003079533776066402,0.0030811729887730193,0.00015475316476106963,494272
5,494272,493995,156,112,9,24.9944180698372,0.0029833611852264808,0.0025020524716441715,9.651650593178279e-05,494272
6,494272,493923,194,140,15,24.991746849061165,0.004823633637597449,0.003262252030773242,0.00016726527046250435,494272
7,494272,493859,202,186,25,24.984559240739998,0.005213985124625422,0.009366830936802404,0.0008599431985735317,494272
8,494272,493788,218,232,34,24.97874165299366,0.005506591586019998,0.012302434725268848,0.003449320695052284,494272
9,494272,493700,261,260,51,24.97533554246397,0.008381777468098615,0.01324373663202273,0.003038943435907897,494272
10,494272,493621,276,304,71,24.96690884731081,0.010356874462432254,0.018495018259641692,0.0042392599671164065,494272
11,494272,493533,285,366,88,24.952079174094493,0.021050618414388402,0.02271654031640702,0.004153667174713666,494272
12,494272,493419,329,415,109,24.946520009273037,0.0163843333260935,0.027563213304221856,0.009532444096646088,494272
13,494272,493312,372,451,137,24.94463720443405,0.011314855935942556,0.0321655162365359,0.011882423393472119,494272
14,494272,493204,397,512,159,24.94317397426901,0.015125183941615057,0.02814594165048901,0.013554900138886838,494272
15,494272,493119,393,578,182,24.94149146819298,0.014832821047537881,0.029422531969845317,0.014253178789636424,494272
16,494272,493018,416,610,228,24.926447404708235,0.026487137594800737,0.03014425284635279,0.016921204850612857,494272
17,494272,492902,423,679,268,24.923198669770127,0.022200801502283443,0.03721613249569267,0.01738439623189682,494272
18,494272,492810,428,717,317,24.91825393119733,0.02037280928647345,0.03770093897120747,0.02367232054498837,494272
19,494272,492695,445,760,372,24.911557782580182,0.020109087738265134,0.04111367019381788,0.027219459487735048,494272
20,494272,492568,472,810,422,24.889697372921983,0.03079503736943051,0.057102211868866576,0.022405377839719312,494272
21,494272,492454,496,847,475,24.89231056586321,0.0316778464938694,0.051821328244948145,0.02419025939797253,494272
22,494272,492340,491,923,518,24.892331389372508,0.029976532740221447,0.05298754069082733,0.02470453719644386,494272
23,494272,492211,512,971,578,24.878227158410148,0.025659805500344194,0.06936874485945363,0.026744291230054645,494272
24,494272,492071,539,1022,640,24.85746925245814,0.034044819612989406,0.07912565940705829,0.02936026852181023,494272
25,494272,491935,564,1066,707,24.859531535872467,0.029652718881887686,0.0776471385280947,0.03316860671755172,494272
26,494272,491789,593,1114,776,24.860314991953356,0.029343688929104477,0.07016758930573512,0.040173729811803414,494272
27,494272,491662,611,1163,836,24.86262960214818,0.024762174658194205,0.06830592784309988,0.0443022953505281,494272
28,494272,491512,630,1209,921,24.85407892303456,0.025407874677039064,0.07049738217734829,0.050015820111053856,494272
29,494272,491369,653,1260,990,24.852334932977683,0.02938200492241507,0.06583606455802153,0.05244699754188016,494272
30,494272,491274,602,1311,1085,24.849579279015614,0.02633416680516169,0.06874135561921296,0.055345198560010626,494272
31,494272,491185,577,1317,1193,24.844686648639225,0.024582372077332482,0.07091538438062348,0.059815594902819125,494272
32,494272,491085,548,1355,1284,24.841534708281266,0.023034034404068426,0.07147656349387109,0.06395469382079606,494272
33,494272,490966,562,1353,1391,24.836481675097687,0.023881458670613552,0.07225540992738427,0.06738145630431501,494272
34,494272,490849,550,1393,1480,24.830078594163165,0.023741322186999758,0.07219947366608401,0.07398060998375142,494272
35,494272,490745,538,1435,1554,24.819229171620144,0.030534911887902826,0.07405595065897091,0.07617996583298219,494272
36,494272,490650,537,1440,1645,24.815853708717473,0.031077901197040743,0.07352096729734867,0.07954742278813927,494272
37,494272,490539,534,1443,1756,24.81090632549602,0.02153138639211312,0.07923576327924162,0.08832652483262532,494272
38,494272,490420,557,1438,1857,24.806415506954863,0.02167027615041654,0.07521312991185589,0.09670108698286473,494272
39,494272,490299,567,1448,1958,24.800249134827794,0.023715288188926348,0.07370243510553713,0.10233314187774291,494272
40,494272,490187,571,1447,2067,24.792066662370186,0.02859928998873138,0.07128237027815827,0.10805167736292488,494272
41,494272,490071,559,1476,2166,24.78488755203543,0.029788461914423227,0.07226930753200099,0.11305467851814761,494272
42,494272,489934,585,1492,2261,24.779093763036776,0.030491993209113128,0.07425040803535363,0.11616383571875781,494272
43,494272,489838,572,1501,2361,24.77653817665686,0.026159061084196026,0.07760172321870375,0.11970103904024075,494272
44,494272,489739,551,1527,2455,24.77250133344363,0.02328108324204396,0.08087539157670136,0.12334219173762534,494272
45,494272,489617,566,1509,2580,24.768645512569655,0.02414378211445304,0.07609367312925926,0.13111703218663412,494272
46,494272,489495,575,1506,2696,24.758461767231076,0.030735950999185822,0.07675198366122707,0.13405029810851118,494272
47,494272,489402,568,1484,2818,24.756576590047874,0.02770974638466035,0.07752622913050161,0.1381874344369638,494272
48,494272,489299,545,1513,2915,24.747780239578635,0.030038134588433664,0.07821517262825693,0.14396645320467585,494272
49,494272,489200,533,1497,3042,24.737920424592225,0.03553082438382058,0.07727916568820407,0.14926958533575146,494272
50,494272,489088,531,1510,3143,24.7328180797194,0.0345290325498556,0.07846956715286119,0.15418332057788214,494272
51,494272,488967,538,1505,3262,24.727074689859474,0.034058182678179366,0.07909228127427642,0.15977484618806825,494272
52,494272,488855,534,1506,3377,24.722001990440596,0.021498764621930556,0.08110164658863998,0.1753975983488322,494272
53,494272,488723,553,1500,3496,24.71419969126623,0.023844573961366463,0.08239767690192168,0.1795580578704821,494272
54,494272,488624,539,1520,3589,24.709946082232975,0.02230652036450505,0.08326714425064301,0.18448025315187735,494272
55,494272,488513,543,1508,3708,24.707970392120654,0.019161540112703112,0.06737974057775535,0.20548832718888965,494272
56,494272,488406,531,1512,3823,24.704592916655663,0.018753231958181817,0.06469305122918106,0.21196080015697386,494272
57,494272,488293,550,1501,3928,24.701126017280135,0.017399059565055133,0.06558811668967918,0.21588680646512917,494272
58,494272,488196,550,1507,4019,24.697502877856984,0.019175198678850303,0.06277359377097472,0.22054832969319263,494272
59,494272,488089,541,1509,4133,24.694510585812917,0.017337759230391055,0.06073722605116837,0.227414428905524,494272
60,494272,487968,537,1544,4223,24.689494031223198,0.016936625206215476,0.060672044576872856,0.2328972989937121,494272
61,494272,487825,575,1555,4317,24.683879729393134,0.019762128349165034,0.05953060180909514,0.23682754044860785,494272
