Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494204,55,13,0,24.999158459471722,0.0006605508884768743,0.00018098963979889745,0.0,494272
2,494272,494148,89,35,0,24.998360140402045,0.0012233235545748627,0.00041653604338085437,0.0,494272
3,494272,494089,123,56,4,24.997163702166734,0.001802179991224493,0.0009854871479338734,4.8630694106123544e-05,494272
4,494272,494041,136,84,11,24.993004286194214,0.0028667434369739806,0.003992845259857178,0.00013612510895417518,494272
5,494272,493990,153,109,20,24.992000880420907,0.004917865676767235,0.002515047253967264,0.0005662066483569161,494272
6,494272,493925,182,140,25,24.991109036422227,0.005314497569069333,0.0029501389437475048,0.0006263270649580398,494272
7,494272,493847,210,183,32,24.988190270764353,0.007347904031405757,0.003912698582882253,0.0005491266213612318,494272
8,494272,493780,220,231,41,24.987815222032715,0.004051582190977734,0.0075768129770679305,0.0005563827992403367,494272
9,494272,493708,235,268,61,24.985305054233155,0.003773491231647971,0.0096080150498661,0.0013134394853315985,494272
10,494272,493641,255,298,78,24.983001215381496,0.0052465293793767295,0.010422790784038535,0.001329464455090861,494272
11,494272,493554,274,344,100,24.97849001034182,0.006341302074518733,0.012654873699747113,0.002513813883916687,494272
12,494272,493483,289,370,130,24.974915807676553,0.007846415531195347,0.0132781910999473,0.003959585692305556,494272
13,494272,493405,308,407,152,24.968479464379776,0.007539959921575999,0.016840665546380324,0.007139910152268235,494272
14,494272,493328,326,439,179,24.968538185403542,0.007911723079143448,0.016750160778832665,0.006799930738481159,494272
15,494272,493235,348,486,203,24.958644367877085,0.010876066741607822,0.019748290011702953,0.01073127536960387,494272
16,494272,493113,391,535,233,24.951109469626097,0.01615427485326115,0.02057041801414641,0.012165837506495643,494272
17,494272,493025,392,581,274,24.949641563460652,0.012051714710699669,0.025749626862824716,0.012557094965823431,494272
18,494272,492925,407,639,301,24.94177580817675,0.01483936982324326,0.029571148619498763,0.013813673380508613,494272
19,494272,492822,422,679,349,24.929948715721025,0.017179491012014124,0.03198833065809082,0.02088346260887133,494272
20,494272,492723,418,743,388,24.91950030216359,0.025869425124271272,0.027283931002503533,0.027346341709635867,494272
21,494272,492603,436,811,422,24.91897013634784,0.017071430297828767,0.03290084258325361,0.03105759077107717,494272
22,494272,492501,450,843,478,24.911388479093088,0.020549933353297262,0.03303798204390535,0.03502360550971115,494272
23,494272,492386,467,869,550,24.906264132063765,0.02533000564998651,0.031673491867409954,0.03673237041883751,494272
24,494272,492256,500,891,625,24.894092255361258,0.025779293015458095,0.0403675797708132,0.03976087185246973,494272
25,494272,492136,519,925,692,24.89003964567593,0.022618037567346552,0.04466727966168974,0.04267503709503381,494272
26,494272,492000,545,968,759,24.88356308666897,0.02202433796330963,0.047854842353562174,0.04655773301415843,494272
27,494272,491868,573,997,834,24.881249156030986,0.02214373761547453,0.055172189351524334,0.041434917002014605,494272
28,494272,491717,607,1039,909,24.8749381687315,0.024179269720045797,0.049076171786123786,0.05180638976233196,494272
29,494272,491585,620,1090,977,24.866260151788932,0.02584336485144628,0.05074571482094743,0.057150768538675886,494272
30,494272,491503,578,1130,1061,24.86696079289734,0.024363921948030835,0.04974854206058168,0.05892674309404567,494272
31,494272,491422,538,1152,1160,24.854611687362034,0.02193679114175885,0.05433132145699251,0.06912020003921417,494272
32,494272,491319,536,1178,1239,24.84796871102715,0.021953082426407238,0.056553185337116556,0.07352502120932776,494272
