Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494219,48,5,0,24.99930741667524,0.0006298349442492178,6.274838051228869e-05,0.0,494272
2,494272,494158,92,22,0,24.996966462877488,0.0027525416383065776,0.0002809954842072475,0.0,494272
3,494272,494105,120,47,0,24.996193006334426,0.003200021674028914,0.0006069719915441555,0.0,494272
4,494272,494033,152,83,4,24.992466392700123,0.006338794029481933,0.001140065273901968,5.47479964938558e-05,494272
5,494272,493960,188,112,12,24.986737626936502,0.01130082126679718,0.0017596577023948077,0.00020189409430626455,494272
6,494272,493889,207,159,17,24.984127175867467,0.005437417785464094,0.010120289934954178,0.0003151164121144228,494272
7,494272,493830,232,184,26,24.982632383903827,0.005556558775302569,0.011314558628029485,0.0004964986928419561,494272
8,494272,493769,240,224,39,24.983049489817134,0.0051654530109773635,0.011053149971387321,0.0007319072005022877,494272
9,494272,493695,254,268,55,24.980171951452697,0.006326934531871474,0.01239938224476375,0.0011017317706696118,494272
10,494272,493623,254,320,75,24.977923048386607,0.0075913347362475125,0.013040451034496796,0.0014451658426489218,494272
11,494272,493559,254,371,88,24.973386586269577,0.00672851045562296,0.017122273598578236,0.002762629676223315,494272
12,494272,493475,287,396,114,24.969304955255563,0.009985666893033087,0.017380596468547393,0.0033287813828573585,494272
13,494272,493387,305,445,135,24.96252431336935,0.00825465760070408,0.025365460493992104,0.0038555685359518846,494272
14,494272,493286,325,496,165,24.941056634682855,0.015138663061512344,0.035347812612372013,0.00845688964326007,494272
15,494272,493179,351,544,198,24.950324444975106,0.01605830693915121,0.025418147381198616,0.008199100704544991,494272
16,494272,493072,388,571,241,24.93831925571493,0.01839409329707205,0.030623976096731297,0.012662674891266537,494272
17,494272,492962,407,623,280,24.939217938594766,0.01704601718327965,0.02859675684239421,0.015139287379559553,494272
18,494272,492868,416,666,322,24.935535853915777,0.018625729792440388,0.030071567231089284,0.015766849060693297,494272
19,494272,492751,450,694,377,24.93420727559142,0.020735352488763154,0.025987904498641936,0.019069467421175965,494272
20,494272,492649,464,733,426,24.932333048063306,0.01880553217058998,0.028818206381204046,0.020043213384900647,494272
21,494272,492544,464,787,477,24.936635200455324,0.01942117563003923,0.028124932238108726,0.015818691676527188,494272
22,494272,492421,482,835,534,24.92259204739915,0.019021961131608457,0.040472350442656645,0.017913641026584964,494272
23,494272,492303,489,883,597,24.925482418038072,0.015056166175251674,0.0415773223648931,0.017884093421784687,494272
24,494272,492192,499,920,661,24.912767265182037,0.019480945061052836,0.04595227198744079,0.021799517769468153,494272
25,494272,492069,523,965,715,24.891062438766728,0.02321613250890901,0.057325083284370845,0.028396345439990863,494272
26,494272,491941,542,1003,786,24.88721428497288,0.02282259928348355,0.05870457121012308,0.03125854453351406,494272
27,494272,491798,572,1048,854,24.88602054778154,0.018607755097029086,0.0478633574319236,0.047508339689506636,494272
28,494272,491662,581,1118,911,24.880923867561222,0.019173067740071548,0.04884128327798882,0.05106178142071932,494272
29,494272,491529,584,1160,999,24.876316152402637,0.020413693324640075,0.05138133508496011,0.05188881918776151,494272
30,494272,491459,543,1189,1081,24.874000352038156,0.01907105086769752,0.05389239589488527,0.05303620119926059,494272
31,494272,491371,519,1219,1163,24.868176828575116,0.016607757435020958,0.06022509371240035,0.05499032027746365,494272
32,494272,491293,481,1254,1244,24.86768621096553,0.015416009208566782,0.06157636979665519,0.0553214100292491,494272
33,494272,491205,480,1254,1333,24.863741429787424,0.0190660593216334,0.061860907958176184,0.05533160293276446,494272
34,494272,491119,476,1252,1425,24.853006967863497,0.022818410341763438,0.06665245380850243,0.05752216798623903,494272
35,494272,491019,484,1251,1518,24.844526484678763,0.02721693230685492,0.06770675590604663,0.06054982710833611,494272
36,494272,490926,482,1257,1607,24.84442753322218,0.024029157496699895,0.06647286185497274,0.06507044742614748,494272
37,494272,490824,494,1262,1692,24.840026128909162,0.023978595872620537,0.06685384563066805,0.06914142958754983,494272
38,494272,490714,501,1270,1787,24.83012591619608,0.024579004765130426,0.06793072630644648,0.0773643527323398,494272
39,494272,490615,500,1277,1880,24.823708925318346,0.03295081507736196,0.0635209933510985,0.07981926625319352,494272
40,494272,490516,477,1303,1976,24.818357222155466,0.032582092069423474,0.06340120774120064,0.08565947803391122,494272
41,494272,490415,487,1301,2069,24.81620060807944,0.030124620945196377,0.06491512858925715,0.08875964238610419,494272
42,494272,490314,486,1313,2159,24.80409805761235,0.03468672043994152,0.07055304830099723,0.09066217364671156,494272
43,494272,490200,490,1357,2225,24.79711637325386,0.02691433099363293,0.08047611605881587,0.095493179693692,494272
44,494272,490078,516,1363,2315,24.792053181619092,0.024547271164058925,0.07680562455550342,0.10659392266134492,494272
45,494272,489952,533,1381,2406,24.780359246700794,0.02633599438276023,0.08128614362426272,0.11201861529218297,494272
46,494272,489842,553,1368,2509,24.77079221721257,0.02733718459755315,0.08162026151607121,0.12025033667380447,494272
47,494272,489737,541,1377,2617,24.76768582818777,0.02819857605188888,0.07999099679375156,0.12412459896658896,494272
48,494272,489628,535,1398,2711,24.76628816233672,0.030152352196449787,0.06933510247014338,0.13422438299668712,494272
49,494272,489523,523,1418,2808,24.76855907850788,0.027424728093237427,0.07134284225917394,0.13267335113970824,494272
50,494272,489432,522,1411,2907,24.766298126688927,0.025314089819266136,0.07005206337649483,0.13833572011531287,494272
51,494272,489327,520,1412,3013,24.76457888718545,0.025828095914033032,0.07250281124930368,0.13709020565121138,494272
52,494272,489201,546,1416,3109,24.761041952126003,0.027368025972595286,0.0695893131744057,0.1420007087269939,494272
53,494272,489086,549,1437,3200,24.757014732997874,0.02594948714557196,0.07193019658500122,0.14510558327155154,494272
54,494272,488967,571,1447,3287,24.752098319966944,0.02838791201588351,0.07416805544931146,0.14534571256786166,494272
55,494272,488856,560,1472,3384,24.7545864582812,0.030453245573085576,0.06765891215052909,0.14730138399518572,494272
56,494272,488747,553,1487,3485,24.754266008877597,0.02782281771618879,0.06613692523979678,0.15177424816641719,494272
57,494272,488614,572,1499,3587,24.748207482326134,0.03852136848404488,0.0636821845641501,0.1495889646256705,494272
58,494272,488506,550,1518,3698,24.736588283421014,0.04150940705188315,0.06776482976871259,0.15413747975839068,494272
59,494272,488384,554,1528,3806,24.73835885853627,0.03190545456498102,0.07262569104136171,0.15710999585738783,494272
60,494272,488260,573,1528,3911,24.733508757203733,0.0340625664404782,0.07217821032283186,0.16025046603295573,494272
61,494272,488169,557,1536,4010,24.723286128830246,0.03814385483441062,0.0654906757801711,0.17307934055517218,494272
62,494272,488053,573,1537,4109,24.712839994830524,0.0388379481474724,0.0649579834377513,0.1833640735842537,494272
63,494272,487928,590,1534,4220,24.70524206357188,0.03838883500972997,0.06586126565259998,0.19050783576579042,494272
64,494272,487823,579,1524,4346,24.698352782763507,0.03752112122437843,0.06581859482401768,0.1983075011880969,494272
65,494272,487706,577,1552,4437,24.698670607345512,0.031826130330294765,0.06582537774208337,0.20367788458211095,494272
66,494272,487588,588,1568,4528,24.690074928199905,0.03619789548035944,0.06935895387537652,0.20436822244435685,494272
67,494272,487460,598,1576,4638,24.68241988338606,0.038720493889251605,0.07144670451945934,0.20741291820523067,494272
68,494272,487325,619,1598,4730,24.681536139826388,0.030264799186484972,0.07736347784431483,0.21083558314281334,494272
69,494272,487207,607,1604,4854,24.683552564699315,0.030675677635947897,0.07274362876899429,0.21302812889574227,494272
70,494272,487096,601,1619,4956,24.684129910508997,0.028237173606910516,0.07136628813959656,0.21626662774449673,494272
71,494272,486973,575,1668,5056,24.67083930651956,0.02490861904110433,0.07518536769555917,0.22906670674377644,494272
72,494272,486857,577,1686,5152,24.666657557425413,0.02343820417223899,0.07900573947442767,0.23089849892792147,494272
73,494272,486733,574,1699,5266,24.66635092039859,0.024718501609951007,0.07810333170883588,0.2308272462826237,494272
74,494272,486609,569,1706,5388,24.656103713127244,0.025910653302434514,0.08142016123225677,0.2365654723380656,494272
75,494272,486474,601,1680,5517,24.65284384988266,0.02926791357662608,0.07628845272293604,0.24159978381777739,494272
76,494272,486343,606,1676,5647,24.643437564349583,0.026441633883024413,0.07886183933006237,0.2512589624373289,494272
77,494272,486235,600,1677,5760,24.635887235725214,0.026456399744956907,0.07647096445503435,0.26118540007479446,494272
78,494272,486102,612,1686,5872,24.637937302613516,0.025004098879221677,0.07046235969437066,0.2665962388128937,494272
79,494272,485971,643,1656,6002,24.62510754893144,0.029108818286244564,0.06911296843211695,0.2766706643501991,494272
80,494272,485846,646,1662,6118,24.618142118605558,0.02917334846860055,0.06867125940888687,0.28401327351695366,494272
81,494272,485700,675,1641,6256,24.614851588141914,0.03250176914303433,0.0670640297808184,0.28558261293423265,494272
82,494272,485578,672,1662,6360,24.60794083301082,0.029011366376632448,0.0673627239151405,0.2956850766974075,494272
83,494272,485469,661,1678,6464,24.610768173026237,0.030253070965330663,0.06189908908888746,0.2970796669195455,494272
84,494272,485338,650,1691,6593,24.60835944353591,0.027542904299919277,0.06260283159842782,0.30149482056574184,494272
85,494272,485206,656,1708,6702,24.60750354293221,0.027796671207731827,0.06484531656940902,0.2998544692906502,494272
86,494272,485066,676,1704,6826,24.608653074820168,0.028712925545627096,0.0637903536193212,0.29884364601488267,494272
87,494272,484923,681,1720,6948,24.601523835011374,0.02996008911378312,0.06364877963872112,0.30486729623612063,494272
88,494272,484786,685,1726,7075,24.60163770268609,0.030864595521317588,0.06439188491264904,0.30310581687994165,494272
89,494272,484637,670,1762,7203,24.5957191321001,0.02967557221271682,0.06670910619492026,0.30789618949226194,494272
90,494272,484512,635,1783,7342,24.59762481281391,0.025281742980307997,0.0691158704945288,0.30797757371125367,494272
91,494272,484376,652,1768,7476,24.591665472491986,0.026067613439425135,0.06909113807408573,0.31317577599450214,494272
92,494272,484222,679,1767,7604,24.588101383278524,0.028444242590881207,0.06999619630666071,0.31345817782393437,494272
93,494272,484091,690,1778,7713,24.58980158533026,0.028162974515203824,0.07025997597070992,0.31177546418382635,494272
94,494272,483947,677,1806,7842,24.585744816499087,0.025134553059344273,0.07148822936143752,0.3176324010801309,494272
95,494272,483804,687,1822,7959,24.575292130858422,0.026321121046671093,0.07018654501021761,0.3282002030846893,494272
96,494272,483668,675,1858,8071,24.57057815248887,0.026516354757955184,0.0728622414966959,0.3300432512564771,494272
97,494272,483523,678,1854,8217,24.564086384303135,0.02574748873153973,0.07150689823460282,0.3386592287307233,494272
