Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494206,53,13,0,24.998714931063912,0.0010979619939023059,0.0001871069421866297,0.0,494272
2,494272,494136,99,37,0,24.997091514427066,0.0023782591542506754,0.0005302264186846429,0.0,494272
3,494272,494063,139,68,2,24.995433624286953,0.002786404086102586,0.0017525976286960057,2.73739982469279e-05,494272
4,494272,493993,169,104,6,24.99439791529135,0.0032605908469288034,0.0022654891693676105,7.600469235305145e-05,494272
5,494272,493927,194,138,13,24.984846468107904,0.011151335486599263,0.0037634381643654757,0.00023875824113255397,494272
6,494272,493868,201,181,22,24.98031841860795,0.005901389840567085,0.013437938127466027,0.00034225342401747135,494272
7,494272,493815,201,217,39,24.97627822956484,0.009140245700082221,0.01034208685509225,0.004239437879986212,494272
8,494272,493750,216,255,51,24.96738227365225,0.009805827166353158,0.014275438419105424,0.008536460762289881,494272
9,494272,493679,219,312,62,24.956981919724438,0.015763815432566813,0.018040634742512426,0.009213630100481754,494272
10,494272,493606,222,363,81,24.952653784445385,0.01575680759861542,0.02140165503521957,0.0101877529207812,494272
11,494272,493524,251,395,102,24.95131385803533,0.013209140255350766,0.022126756351521577,0.013350245357796064,494272
12,494272,493424,292,432,124,24.948675465425133,0.011603812028147467,0.026642596713400305,0.013078125833321482,494272
13,494272,493336,310,481,145,24.951168463570248,0.011792878138050479,0.02371432709738759,0.013324331194313303,494272
14,494272,493240,332,531,169,24.949428087678346,0.013458404770939965,0.025839144362448187,0.01127436318826805,494272
15,494272,493147,362,562,201,24.947179803278093,0.011840834972854817,0.026435786885494618,0.01454357486355626,494272
16,494272,493054,380,590,248,24.94338959856196,0.01290931652129374,0.027206524099198905,0.016494560817547316,494272
17,494272,492929,413,637,293,24.94437860067743,0.012339504145136624,0.025094297701927216,0.01818759747550283,494272
18,494272,492820,437,660,355,24.93165869516503,0.022380282744913473,0.025286521245728312,0.020674500844328016,494272
19,494272,492719,447,710,396,24.92465746198891,0.027912959720114868,0.02425312003905376,0.02317645825191981,494272
20,494272,492609,461,750,452,24.913884994463256,0.028597326186688105,0.03005821938303189,0.027459459967023148,494272
21,494272,492506,477,791,498,24.91937205057979,0.023734948768297338,0.03247961472811523,0.024413385923797666,494272
22,494272,492406,480,829,557,24.92354305165123,0.018199561014310403,0.034944916263994895,0.02331247107046674,494272
23,494272,492302,477,874,619,24.91373240557751,0.019886155716490807,0.04156486245626057,0.024816576249739323,494272
24,494272,492183,500,906,683,24.89980727405792,0.021020152689886357,0.051082597900780874,0.02808997535141314,494272
25,494272,492071,527,923,751,24.88925220957751,0.022558905140774965,0.05001338225097714,0.038175503030737884,494272
26,494272,491959,528,946,839,24.884643271027088,0.022693181182059895,0.05110994418319889,0.04155360360765217,494272
27,494272,491835,533,995,909,24.87143092565108,0.026267537663322335,0.052428545049842575,0.04987299163575672,494272
28,494272,491707,537,1045,983,24.865694305045544,0.02335812996176051,0.06209647466997119,0.04885109032272501,494272
29,494272,491567,577,1070,1058,24.847767054657897,0.032367230196563485,0.06303920647236158,0.056826508673177914,494272
30,494272,491491,517,1138,1126,24.843682495438074,0.02601514186671368,0.06646001237457491,0.0638423503206372,494272
31,494272,491417,482,1173,1200,24.82973052471797,0.02912594593629831,0.07383210401978836,0.06731142532594356,494272
32,494272,491341,431,1220,1280,24.838627959127578,0.01942240883226025,0.07652151137998052,0.06542812066018053,494272
33,494272,491275,392,1251,1354,24.84446060319228,0.016148269329258242,0.07050399849017178,0.06888712898828736,494272
34,494272,491209,372,1256,1435,24.839206358497712,0.015408272622493929,0.0727863040541097,0.0725990648256859,494272
35,494272,491146,363,1241,1522,24.83918836532156,0.01421621273674703,0.07088919108549131,0.07570623085619937,494272
36,494272,491100,329,1241,1602,24.834659477452426,0.015354107588686066,0.06515300716377294,0.0848334077951148,494272
37,494272,491036,334,1217,1685,24.827023418661508,0.0133244880283496,0.06540328315282201,0.09424881015732126,494272
38,494272,490956,342,1214,1760,24.822497500735103,0.013212275196089945,0.06788488254121175,0.09640534152759404,494272
39,494272,490881,343,1205,1843,24.81220505214459,0.011489526988862964,0.06351570037633428,0.11278972049021022,494272
40,494272,490829,316,1205,1922,24.810216090708234,0.0113634589837526,0.061583050321691764,0.11683739998632191,494272
41,494272,490760,323,1171,2018,24.816000346078024,0.012046423947002215,0.061091146008870154,0.11086208396610478,494272
42,494272,490686,327,1160,2099,24.791471496055173,0.01838977086900625,0.06376961573723929,0.12636911733857945,494272
43,494272,490619,316,1154,2183,24.78974833971091,0.01767064208216642,0.06500303450144482,0.12757798370547824,494272
44,494272,490549,309,1145,2269,24.784824417461216,0.016414364822177882,0.06172614930972138,0.1370350684068857,494272
45,494272,490475,312,1133,2352,24.776364607125196,0.017292952480233076,0.06937491956556617,0.13696752082900537,494272
46,494272,490405,323,1109,2435,24.76168758640892,0.0226253585857859,0.061628485249092944,0.15405856975619894,494272
47,494272,490324,332,1102,2514,24.773182994439367,0.022522844896299497,0.05575865268057557,0.14853550798376006,494272
48,494272,490266,318,1082,2606,24.778413361412003,0.017656734541130138,0.05445480289046314,0.14947510115640286,494272
49,494272,490201,316,1082,2673,24.767447898095416,0.017175164744337668,0.06462530209936136,0.1507516350608842,494272
50,494272,490148,293,1082,2749,24.757257607128324,0.016374504375569317,0.07367911223045817,0.15268877626564903,494272
51,494272,490070,299,1079,2824,24.742761896819868,0.01827422780092946,0.06744995781379017,0.1715139175654118,494272
52,494272,489988,310,1083,2891,24.734209385281986,0.013502840974414971,0.06623511419416206,0.18605265954943773,494272
53,494272,489921,317,1067,2967,24.72813539887831,0.009856552552252113,0.05915074871750921,0.20285729985192838,494272
54,494272,489854,316,1057,3045,24.727899795131805,0.012410912701368182,0.054068811684207,0.2056204804826205,494272
