Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494220,41,11,0,24.999221131874535,0.0006401150526009903,0.00013875307286534012,0.0,494272
2,494272,494159,80,33,0,24.99759307279906,0.0012128940253038427,0.0011940331756366293,0.0,494272
3,494272,494102,103,66,1,24.995700658796174,0.0025909267229563267,0.0016977861329395653,1.0628347929597824e-05,494272
4,494272,494040,141,83,8,24.99398409570096,0.004731045979870766,0.0011248883888863392,0.0001599699302835812,494272
5,494272,493982,166,109,15,24.990824649258272,0.004948872813250535,0.0039912481881221205,0.00023522974035616835,494272
6,494272,493911,189,147,25,24.987485913676018,0.006431719230179965,0.005120199797937167,0.000962167295863263,494272
7,494272,493833,206,193,40,24.98448294532158,0.006504586792493133,0.007745067643598998,0.0012674002423285523,494272
8,494272,493749,244,230,49,24.976368923697972,0.0110704978643594,0.010923493221183602,0.001637085216486472,494272
9,494272,493655,280,261,76,24.97301208015183,0.011604523108185041,0.011562302270463303,0.0038210944695225243,494272
10,494272,493578,295,304,95,24.964218683745024,0.01822093407391283,0.013297101343785835,0.004263280837278662,494272
11,494272,493505,310,341,116,24.958761790171057,0.021898200978720174,0.012146406653969691,0.00719360219625283,494272
12,494272,493413,328,378,153,24.95239424753604,0.013357721717890216,0.026558595144193203,0.0076894356018736626,494272
13,494272,493333,325,437,177,24.94353158382883,0.016956793370642792,0.030849702711243487,0.008661920089283135,494272
14,494272,493246,361,452,213,24.93620912574177,0.021204126475307495,0.029783043429357052,0.01280370435356559,494272
15,494272,493155,379,491,247,24.930816734225612,0.01938680296630303,0.035868246460398115,0.013928216347688304,494272
16,494272,493082,368,528,294,24.92493871153186,0.01610311584411888,0.03990089317372163,0.019057279450301657,494272
17,494272,492977,383,583,329,24.925771838831306,0.014865990301224347,0.03754966568768439,0.021812505179787056,494272
18,494272,492875,390,632,375,24.927432585039256,0.011781047769593109,0.03504786463578176,0.02573850255537027,494272
19,494272,492766,408,683,415,24.920721081868706,0.012610859190915391,0.03833591027973222,0.02833214866064699,494272
20,494272,492650,430,727,465,24.89709322070016,0.012068023978879214,0.05649040189285035,0.03434835342810984,494272
21,494272,492528,459,757,528,24.897148669970413,0.01613721573762161,0.05243873275880285,0.03427538153316365,494272
22,494272,492413,471,804,584,24.88854010149994,0.01872473134076456,0.05342582792557771,0.03930933923371523,494272
23,494272,492291,510,841,630,24.882303267767824,0.02238638006302729,0.05353775645213974,0.041772595717008386,494272
24,494272,492176,506,899,691,24.877539987036442,0.02404430406327367,0.052339732932277214,0.04607597596800839,494272
25,494272,492039,504,978,751,24.86470089017141,0.03163318703977469,0.05493074426682426,0.048735178521990094,494272
26,494272,491916,524,1020,812,24.84496093874243,0.030508586942493403,0.05310361825526153,0.07142685605981274,494272
27,494272,491793,549,1042,888,24.84104263942526,0.03536356709979987,0.05225462378346078,0.07133916969147742,494272
28,494272,491655,583,1081,953,24.847327522725237,0.03723037578548649,0.05212347348416031,0.06331862800511667,494272
29,494272,491526,602,1122,1022,24.837222236927417,0.04453646527467459,0.06002006156251295,0.05822123623539473,494272
30,494272,491422,581,1173,1096,24.83154264883416,0.03079224556401659,0.0771498980127957,0.060515207589028855,494272
31,494272,491329,521,1263,1159,24.828526596245197,0.02279427419623165,0.08691665140944599,0.061762478149123765,494272
32,494272,491205,519,1319,1229,24.821743793146176,0.02549329806067297,0.0868495336779228,0.0659133751152273,494272
33,494272,491101,524,1333,1314,24.80830111835789,0.022466092830670952,0.09206015088568781,0.07717263792575095,494272
34,494272,490991,520,1346,1415,24.811123845070433,0.021757951798023062,0.09037513393005962,0.07674306920148428,494272
35,494272,490891,517,1352,1512,24.81000271806617,0.021005818221489128,0.0869466940341312,0.08204476967821124,494272
36,494272,490799,498,1351,1624,24.804273569664037,0.02226085381112033,0.0861589210339671,0.08730665549087503,494272
37,494272,490705,502,1349,1716,24.803998675479093,0.02447854590039532,0.07291471341146148,0.09860806520905066,494272
38,494272,490586,518,1356,1812,24.795079254890233,0.029271905706621647,0.0737496390289428,0.10189920037420101,494272
39,494272,490472,529,1362,1909,24.763819975762473,0.02802887980282321,0.08973981059036994,0.11841133384433448,494272
40,494272,490353,533,1380,2006,24.77405593803878,0.02110161904609454,0.08057877528278219,0.12426366763234048,494272
41,494272,490238,547,1386,2101,24.782298083150835,0.02267488189308688,0.06864314061415581,0.12638389434192376,494272
42,494272,490116,550,1416,2190,24.766050529275322,0.02107513615255736,0.08011480946665273,0.1327595251054675,494272
43,494272,490015,536,1410,2311,24.777167417358406,0.02483614398907909,0.07015599229882605,0.12784044635369032,494272
44,494272,489903,547,1415,2407,24.763107736656313,0.027228055743392723,0.07023800143445606,0.13942620616583726,494272
45,494272,489793,539,1439,2501,24.763799434586343,0.02296296813748272,0.07248296656002913,0.1407546307161458,494272
46,494272,489692,519,1457,2604,24.747255418156076,0.019349559748633473,0.08124764473706071,0.15214737735822906,494272
47,494272,489569,545,1458,2700,24.749004230481855,0.02270808300451723,0.07659313473771925,0.15169455177590982,494272
48,494272,489447,561,1447,2817,24.74669656420921,0.025303171020591618,0.07462987761662077,0.15337038715357904,494272
49,494272,489342,556,1471,2903,24.74457524093002,0.02364490674906363,0.07645848382084884,0.15532136850006964,494272
50,494272,489216,571,1482,3003,24.747699775453086,0.02650042485347558,0.07266098176000482,0.1531388179334331,494272
51,494272,489097,578,1505,3092,24.742120685596888,0.024057125472354023,0.07692613571867911,0.15689605321208042,494272
52,494272,488981,572,1527,3192,24.72799703865481,0.026509616004082734,0.07951829386931618,0.16597505147179112,494272
53,494272,488878,568,1535,3291,24.717041142555214,0.02821272502463251,0.08050976030080226,0.17423637211935164,494272
54,494272,488772,559,1538,3403,24.706710436774447,0.03193863214479501,0.07538932162988782,0.1859616094508702,494272
55,494272,488646,573,1549,3504,24.69904673373863,0.029248805317726927,0.07942004500702006,0.19228441593662304,494272
56,494272,488538,573,1546,3615,24.682259928507328,0.04513830484787933,0.0787786712905428,0.1938230953542495,494272
57,494272,488439,546,1564,3723,24.670433635115696,0.03527804449723101,0.08606384138461105,0.2082244790024611,494272
58,494272,488334,516,1600,3822,24.683749690634873,0.03903074021748636,0.08192226456597398,0.19529730458166603,494272
59,494272,488230,512,1604,3926,24.68001713454283,0.0333553085308309,0.08238805266371374,0.20423950426262433,494272
60,494272,488118,535,1595,4024,24.68418809464171,0.024831817997816846,0.07474035080538875,0.21623973655508566,494272
61,494272,488007,546,1594,4125,24.66990381101546,0.025602933642776115,0.07438582229523225,0.23010743304653344,494272
62,494272,487884,580,1591,4217,24.66308637675154,0.02101572306537155,0.08086236781134153,0.23503553237174668,494272
63,494272,487783,579,1585,4325,24.669904752125618,0.02235592275502548,0.0809394350541487,0.22679989006520862,494272
64,494272,487677,564,1601,4430,24.66872802686222,0.0250446270720679,0.07537587659666801,0.23085146946904386,494272
65,494272,487552,571,1607,4542,24.672679592609498,0.018502521670212428,0.07599581687315479,0.23282206884713313,494272
66,494272,487449,565,1623,4635,24.652262081420954,0.02283747270335298,0.07398248378731764,0.25091796208837447,494272
67,494272,487320,589,1622,4741,24.654482382985606,0.02392491482016976,0.07490037617703582,0.24669232601718852,494272
68,494272,487212,578,1632,4850,24.644254311581385,0.025514697968951377,0.07260706927178652,0.2576239211778776,494272
69,494272,487101,594,1631,4946,24.621697782254486,0.02851311499508554,0.0749870771539516,0.27480202559647654,494272
70,494272,486974,620,1631,5047,24.61096933858493,0.028645236571083157,0.08028006856362505,0.280105356280361,494272
71,494272,486854,608,1653,5157,24.58672852272506,0.027917709700132104,0.08724361427874566,0.2981101532960624,494272
72,494272,486743,590,1678,5261,24.570994835306387,0.02197209680582438,0.09173935509348376,0.31529371279430557,494272
73,494272,486621,595,1695,5361,24.58648683008463,0.0209871266810827,0.08564966373521661,0.306876379499071,494272
74,494272,486506,597,1687,5482,24.578550580271482,0.024487959082553575,0.07550235764588314,0.3214591030000793,494272
75,494272,486384,592,1694,5602,24.587781047983785,0.02433324860780901,0.07637404790046329,0.3115116555079406,494272
76,494272,486254,600,1689,5729,24.590471567522712,0.020296388907489915,0.07825553227313564,0.3109765112966608,494272
77,494272,486146,579,1706,5841,24.562524587051293,0.02198168699922809,0.08323645836901897,0.33225726758045876,494272
78,494272,486022,602,1703,5945,24.5683960708775,0.020555298036662433,0.08367429044861398,0.3273743406372214,494272
79,494272,485914,590,1711,6057,24.565095386931755,0.023781039181945934,0.07992545888614747,0.3311981150001522,494272
80,494272,485811,581,1714,6166,24.548788824753622,0.022929792641367533,0.08494802893227735,0.3433333536727344,494272
81,494272,485689,590,1704,6289,24.53451882620927,0.019351712466898777,0.09011630335017193,0.3560131579736598,494272
82,494272,485584,568,1713,6407,24.521801098143918,0.01692041008323727,0.09406685981795078,0.367211631954894,494272
83,494272,485444,578,1739,6511,24.51079461852031,0.022797934545862257,0.09129111223341152,0.37511633470041506,494272
84,494272,485333,565,1763,6611,24.482811948011303,0.024770684038815844,0.10186055459569181,0.39055681335418874,494272
85,494272,485209,572,1751,6740,24.465415830240943,0.031162445310949284,0.11746354665574192,0.38595817779236724,494272
86,494272,485086,580,1769,6837,24.46167710998391,0.027955052574412075,0.13020093531739654,0.38016690212428095,494272
87,494272,484960,594,1777,6941,24.46739820928904,0.02775736740311195,0.12457756755688364,0.38026685575096214,494272
88,494272,484820,610,1773,7069,24.447177014474697,0.02706929029394082,0.11237427858396332,0.4133794166473993,494272
89,494272,484684,643,1765,7180,24.462154199272394,0.030164486816500857,0.1013643565350735,0.4063169573760313,494272
90,494272,484576,620,1767,7309,24.463240893751014,0.0263367628575696,0.10144894843829762,0.4089733949531175,494272
91,494272,484472,600,1777,7423,24.47322403667874,0.02317588936460804,0.09501900039720476,0.40858107355944584,494272
92,494272,484372,570,1792,7538,24.454285833221693,0.02135789089188151,0.0936557399687523,0.43070053591767204,494272
93,494272,484259,580,1792,7641,24.436042538598247,0.025411276681320323,0.0957862213937369,0.44275996332669687,494272
94,494272,484141,588,1801,7742,24.431335009549016,0.025759181320165702,0.1059032756497474,0.43700253348106943,494272
95,494272,484030,576,1808,7858,24.429354964612855,0.028897475354641926,0.10114986698907404,0.44059769304342955,494272
96,494272,483912,570,1808,7982,24.42641602925588,0.033253308789473905,0.10515052066593115,0.43518014128871674,494272
97,494272,483789,576,1810,8097,24.412042339446238,0.03733895499037676,0.10710035188619904,0.4435183536771867,494272
98,494272,483672,591,1821,8188,24.40548040472532,0.0402881449618579,0.10737563493297168,0.44685581537984964,494272
99,494272,483540,618,1823,8291,24.382531010635418,0.04812304571536692,0.10552167830446059,0.46382426534475407,494272
100,494272,483432,601,1828,8411,24.374993316626014,0.04035631770560833,0.10286346355609118,0.4817869021122877,494272
101,494272,483293,601,1822,8556,24.35877468593094,0.04654703577759997,0.09722313394631385,0.4974551443451455,494272
102,494272,483186,590,1810,8686,24.35598499137365,0.030047380795774296,0.10864458020751111,0.5053230476230661,494272
103,494272,483044,614,1787,8827,24.351359012314706,0.035339852090049924,0.10265304309278052,0.5106480925024638,494272
104,494272,482910,633,1773,8956,24.33521909641002,0.034878475270670346,0.0991407050698449,0.5307617232494639,494272
105,494272,482791,650,1781,9050,24.330033491807672,0.039668804122693545,0.09506248346155834,0.5352352206080747,494272
106,494272,482680,627,1810,9155,24.355036966099156,0.03482696888230648,0.09862431358098037,0.5115117514375567,494272
107,494272,482574,621,1819,9258,24.32989100994611,0.04486807186532817,0.0937929017286102,0.5314480164599541,494272
108,494272,482457,595,1866,9354,24.329610807267347,0.03609444579192807,0.09302624892092934,0.5412684980197956,494272
109,494272,482350,606,1834,9482,24.33050659361384,0.04242340030711394,0.09221446736000988,0.5348555387190361,494272
110,494272,482255,580,1813,9624,24.326603450105438,0.03524058924036093,0.09796322886507682,0.5401927317891237,494272
111,494272,482134,586,1805,9747,24.324249363719897,0.034043134998344125,0.09495844706181544,0.5467490542199431,494272
112,494272,482023,587,1792,9870,24.31380035801719,0.03174876183169599,0.09145281673389229,0.5629980634172217,494272
113,494272,481905,598,1782,9987,24.331895957485255,0.032631232178224195,0.09372570946989428,0.5417471008666259,494272
114,494272,481767,626,1789,10090,24.316499906574215,0.038904316616618854,0.09692654232178025,0.5476692344873842,494272
115,494272,481652,624,1800,10196,24.32068600626359,0.03211867847327941,0.09490996631549896,0.5522853489476344,494272
116,494272,481533,624,1796,10319,24.308426736199966,0.025978392311069545,0.09712458220517999,0.5684702892837847,494272
117,494272,481405,633,1787,10447,24.306937259569185,0.024326636989240202,0.0852502043337669,0.5834858991078085,494272
118,494272,481288,624,1790,10570,24.297254652244906,0.024600390386940285,0.08344293188289349,0.5947020254852621,494272
119,494272,481164,637,1788,10683,24.283715714334274,0.022961059958472686,0.08625792108562415,0.6070653046216288,494272
120,494272,481046,636,1800,10790,24.322258046404524,0.022815336908472962,0.08369927105694525,0.5712273456300583,494272
121,494272,480925,633,1825,10889,24.298315530507576,0.02505899632708858,0.09255172974874382,0.5840737434165908,494272
122,494272,480805,641,1817,11009,24.324048516204133,0.030598370343543506,0.08224824128291654,0.5631048721694084,494272
123,494272,480681,669,1815,11107,24.320829439958477,0.0308104954682851,0.08103122314536905,0.567328841427871,494272
124,494272,480579,647,1830,11216,24.302374297751943,0.030361891796612257,0.07545582299351322,0.5918079874579323,494272
125,494272,480459,649,1834,11330,24.28873086235654,0.028532695651249503,0.0763195536362652,0.6064168883559453,494272
126,494272,480342,678,1792,11460,24.296531258892024,0.03095331410510857,0.07571449638006775,0.5968009306227984,494272
127,494272,480222,679,1804,11567,24.27931458920814,0.03106179701009578,0.07971571529405072,0.6099078984877117,494272
128,494272,480097,686,1814,11675,24.244500471078265,0.031580679966299485,0.08677429472156414,0.6371445542338724,494272
129,494272,479992,663,1840,11777,24.223003672035915,0.028586605496598975,0.08881917987822661,0.6595905425892605,494272
130,494272,479879,663,1843,11887,24.21353809688783,0.024170340070116203,0.08600941198537315,0.676282151056679,494272
131,494272,479689,712,1869,12002,24.223973836088042,0.033981012270707364,0.08709538558763721,0.6549497660536133,494272
132,494272,479544,743,1863,12122,24.22654066389484,0.028773148201381795,0.08918152179438313,0.655504666109393,494272
133,494272,479374,770,1921,12207,24.201568571098885,0.033434889272294044,0.09369506463633048,0.6713014749924913,494272
134,494272,479199,797,1958,12318,24.172754002869393,0.035521818352408474,0.09490323294620073,0.696820945831997,494272
135,494272,479019,844,1992,12417,24.16014253340656,0.0396313784841208,0.08816567243990553,0.7120604156694125,494272
136,494272,478818,877,2053,12524,24.135991287348208,0.03800529718614597,0.09241917579164499,0.7335842396740018,494272
137,494272,478617,927,2083,12645,24.14244884946085,0.043633024795060114,0.09732956195467159,0.716588563789419,494272
138,494272,478435,931,2143,12763,24.168643133095625,0.04285645799193475,0.09807144016772269,0.6904289687447197,494272
139,494272,478274,914,2175,12909,24.176299749366162,0.040521586010038434,0.09558113885982335,0.6875975257639759,494272
140,494272,478086,941,2216,13029,24.185204511319316,0.04288351173035768,0.09874482857949696,0.6731671483708301,494272
141,494272,477889,958,2262,13163,24.16105328212915,0.0475323698893743,0.108231574459107,0.6831827735223711,494272
142,494272,477677,1021,2275,13299,24.148972738452745,0.04131561775237229,0.10822702900644462,0.701484614788438,494272
143,494272,477482,1014,2350,13426,24.1303728282147,0.03953395475351198,0.111270374357948,0.7188228426738402,494272
144,494272,477291,1013,2414,13554,24.111391732212528,0.03762053119830446,0.11694320146578413,0.7340445351233847,494272
145,494272,477049,1061,2469,13693,24.0583762561386,0.05854652248313037,0.12138691436556485,0.7616903070127022,494272
146,494272,476834,1065,2531,13842,24.04432664191009,0.05589431667336337,0.1330589983575392,0.7667200430590078,494272
147,494272,476609,1102,2568,13993,24.033173215699367,0.0542740141648586,0.13948436322111213,0.7730684069146617,494272
148,494272,476363,1119,2644,14146,23.994660323480208,0.06403512902004915,0.14482069828555721,0.7964838492141849,494272
149,494272,476137,1126,2719,14290,23.968940529431038,0.058042072604381184,0.1526587883813283,0.8203586095832546,494272
150,494272,475910,1123,2783,14456,23.955936239559218,0.06486779920701861,0.15467109297493967,0.8245248682588231,494272
151,494272,475702,1138,2791,14641,23.974144741976207,0.06751499242705758,0.15776271891369897,0.8005775466830355,494272
152,494272,475439,1212,2790,14831,23.97498076807909,0.06971649511869144,0.15151851845160616,0.8037842183506148,494272
153,494272,475206,1247,2816,15003,23.966229914990908,0.05827275316707487,0.16827107485921516,0.8072262569828005,494272
154,494272,474981,1247,2856,15188,23.96495788569642,0.055508307103470475,0.16479447961769478,0.8147393275824129,494272
155,494272,474749,1231,2949,15343,23.93716468293834,0.061021928906132464,0.16171979155038116,0.840093596605146,494272
156,494272,474461,1280,3012,15519,23.946934903459464,0.05777319508334912,0.16243693457055094,0.832854966886636,494272
157,494272,474205,1298,3059,15710,23.932478944391075,0.0702193275735179,0.1598402189384439,0.8374615090969619,494272
158,494272,473966,1285,3105,15916,23.92786615256872,0.07576045259652002,0.16403957091621799,0.8323338239185428,494272
159,494272,473694,1335,3134,16109,23.921863593811988,0.06429159958749615,0.17493502769513858,0.8389097789053785,494272
160,494272,473452,1344,3153,16323,23.908302135548745,0.06896127501975065,0.1704170144979882,0.8523195749335164,494272
161,494272,473157,1393,3191,16531,23.86402113601925,0.07799198090312527,0.1786444786345509,0.8793424044430721,494272
162,494272,472899,1387,3231,16755,23.838873541732664,0.08135276794623815,0.17000390654880196,0.9097697837722969,494272
163,494272,472644,1395,3276,16957,23.814761219689117,0.07333574989429464,0.17787988504825356,0.934023145368333,494272
164,494272,472388,1413,3301,17170,23.80820552434981,0.06503314615754238,0.18395212548723242,0.942809204005415,494272
165,494272,472081,1446,3381,17364,23.812076533749458,0.06293908597373643,0.19499126534521483,0.9299931149315912,494272
166,494272,471805,1443,3438,17586,23.78730188255316,0.06864542640860914,0.19980205631418302,0.9442506347240478,494272
167,494272,471552,1451,3455,17814,23.76135911878705,0.07809070179844387,0.19472082962061363,0.9658293497938955,494272
168,494272,471266,1463,3484,18059,23.756219108599254,0.08119079471024881,0.19488439429420107,0.9677057023962956,494272
169,494272,470995,1471,3528,18278,23.744014909931927,0.08298042659053384,0.19876855468824317,0.9742361087892969,494272
170,494272,470735,1463,3597,18477,23.711115952636632,0.07337523073017202,0.20465551997373305,1.0108532966594619,494272
171,494272,470439,1491,3634,18708,23.66660994903526,0.07263783335651715,0.22924820227174675,1.0315040153364776,494272
172,494272,470172,1523,3663,18914,23.668789453363114,0.08358393994948765,0.21459052176075902,1.033036084926638,494272
173,494272,469883,1525,3730,19134,23.671171345072914,0.08095698464438751,0.21816235555704128,1.029709314725658,494272
174,494272,469599,1515,3770,19388,23.663336140154925,0.08005113842034689,0.2107873964983148,1.0458253249264138,494272
175,494272,469328,1533,3780,19631,23.66709391353769,0.07887923675283193,0.20541760916071367,1.048609240548764,494272
176,494272,469037,1526,3874,19835,23.664577475026032,0.07935054582008169,0.20375536783720335,1.0523166113166824,494272
177,494272,468735,1567,3898,20072,23.644554483003564,0.08182467698336691,0.2033311019699478,1.07028973804312,494272
178,494272,468448,1534,3953,20337,23.633489388593755,0.1015410943823287,0.21539044227518553,1.0495790747487301,494272
179,494272,468123,1559,3989,20601,23.620574013595622,0.09724448222247307,0.2091736880328578,1.0730078161490464,494272
180,494272,467822,1549,4055,20846,23.611261566303213,0.08322477110485736,0.22677702555433568,1.0787366370375933,494272
181,494272,467498,1587,4098,21089,23.584012514603348,0.09564591824304632,0.23049166056904,1.089849906584565,494272
182,494272,467189,1631,4108,21344,23.60557191736483,0.07925496026637652,0.22379354269370616,1.091379579675086,494272
183,494272,466857,1648,4171,21596,23.60268547356895,0.0770416650249415,0.2217621797070038,1.098510681699106,494272
184,494272,466564,1628,4205,21875,23.55837258684503,0.08248079392988197,0.24187918887771928,1.1172674303473662,494272
185,494272,466225,1691,4221,22135,23.53972460321539,0.08777033008260292,0.2329781531090475,1.1395269135929582,494272
186,494272,465934,1672,4232,22434,23.52736310837909,0.08522936964728058,0.24093136594834766,1.1464761560252792,494272
187,494272,465601,1700,4276,22695,23.506736186762225,0.08566660824742015,0.22254923584418496,1.1850479691461682,494272
188,494272,465262,1739,4288,22983,23.467543684067643,0.08341739966994723,0.22324519464792683,1.225793721614482,494272
189,494272,464961,1726,4322,23263,23.443774699410408,0.09196285709095647,0.24376865588266983,1.220493787615964,494272
190,494272,464613,1745,4344,23570,23.427106861553412,0.08672216243501621,0.250340581470985,1.2358303945405875,494272
191,494272,464284,1748,4376,23864,23.382165430765347,0.09818944146727278,0.25329405726591153,1.2663510705014691,494272
192,494272,463971,1755,4420,24126,23.33692682084776,0.1016454634009052,0.25989364059881526,1.301534075152517,494272
193,494272,463653,1754,4454,24411,23.31175014099263,0.09428802575115541,0.2600554636292998,1.333906369626916,494272
194,494272,463301,1823,4451,24697,23.285698004625306,0.10062891500181273,0.2496191112029098,1.364053969169972,494272
195,494272,462986,1826,4499,24961,23.279251493845347,0.0845357776235624,0.24105643946954455,1.3951562890615457,494272
196,494272,462640,1894,4510,25228,23.299196688590634,0.10056086060655882,0.2264382059524976,1.3738042448503112,494272
197,494272,462330,1895,4556,25491,23.296732157365007,0.0894692926079614,0.23409505874687403,1.3797034912801558,494272
198,494272,461972,1896,4647,25757,23.296003009211184,0.09809770492412738,0.22940500447250137,1.3764942813921892,494272
199,494272,461621,1903,4711,26037,23.288469245487775,0.09935851086887826,0.2361279140527478,1.3760443295905969,494272
200,494272,461299,1893,4740,26340,23.286484200095757,0.09641992688256634,0.2310780685937953,1.3860178044278826,494272
201,494272,460950,1897,4791,26634,23.275993669278513,0.09194864930513631,0.2329862547852615,1.3990714266310893,494272
202,494272,460617,1872,4849,26934,23.256522674487073,0.08594722260230175,0.2376124776802714,1.419917625230355,494272
203,494272,460257,1907,4852,27256,23.26801776971765,0.09060003847284687,0.23773921719856347,1.4036429746109413,494272
204,494272,459904,1921,4868,27579,23.23071676476939,0.09151539155602521,0.2455845957741325,1.432183247900452,494272
205,494272,459539,1905,4934,27894,23.260952563434163,0.07968832541477222,0.24593331783286604,1.4134257933181984,494272
206,494272,459196,1909,4947,28220,23.246433606743803,0.08274404589469903,0.2313961318441768,1.4394262155173199,494272
207,494272,458849,1932,4946,28545,23.231965802017424,0.09127581775472787,0.2390858941229461,1.4376724861049026,494272
208,494272,458488,1966,4983,28835,23.167266883494424,0.09200517461213782,0.24338104573651204,1.4973468961569252,494272
209,494272,458159,1929,5018,29166,23.133013584063214,0.10163100711204963,0.2515986065668142,1.5137568022579238,494272
210,494272,457778,1941,5040,29513,23.11222358488692,0.11356439790917201,0.24855172771627942,1.5256602894876294,494272
