Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494196,63,13,0,24.99807429008676,0.0017386029710555258,0.0001871069421866297,0.0,494272
2,494272,494147,91,34,0,24.995938509530863,0.0034557679301758697,0.0006057225389599732,0.0,494272
3,494272,494094,118,59,1,24.995606374622362,0.0031202561992162868,0.0011813643941733783,9.200478424878094e-05,494272
4,494272,494026,153,90,3,24.994130044462743,0.004093876402171521,0.0016628176549772016,0.0001132614801079766,494272
5,494272,493961,184,116,11,24.99089560344736,0.005319918095921507,0.003366924126300844,0.00041755433041938824,494272
6,494272,493904,206,141,21,24.98798995256645,0.007255455022949113,0.004413863911667663,0.0003407284989307277,494272
7,494272,493840,207,192,33,24.985273115643224,0.008245821561237194,0.006023801919502148,0.0004572608760377281,494272
8,494272,493778,226,227,41,24.979957803228125,0.008273068583860869,0.011149858645476768,0.0006192695425367664,494272
9,494272,493694,244,276,58,24.979054734775357,0.009260026996489633,0.010796792052536402,0.000888446175616592,494272
10,494272,493617,255,328,72,24.97456348564546,0.011210346600890628,0.013032470762840512,0.001193696990807081,494272
11,494272,493530,286,355,101,24.975628315281316,0.008835239454276294,0.013807889078039114,0.0017285561863695199,494272
12,494272,493445,316,380,131,24.971849174615663,0.010014445346620559,0.015962109625562482,0.002174270412155507,494272
13,494272,493371,317,421,163,24.9636785959527,0.010565080599616727,0.02119706362789815,0.004559259819785087,494272
14,494272,493274,332,461,205,24.957055404606557,0.01465385286372599,0.02236325189439884,0.005927490635320385,494272
15,494272,493181,346,499,246,24.951312980538574,0.014174343755660023,0.023291762741504574,0.01122091296426277,494272
16,494272,493081,392,515,284,24.949726675440225,0.014647460676353748,0.02666982074280505,0.008956043140616432,494272
17,494272,492995,385,561,331,24.944726412271773,0.016545600857663774,0.02797244183293636,0.010755545037625434,494272
18,494272,492906,383,605,378,24.940949145381182,0.01620198203738941,0.026709348299594506,0.016139524281832348,494272
19,494272,492810,391,653,418,24.935147753709277,0.014401463811365232,0.03309337916943944,0.01735740330991862,494272
20,494272,492711,412,687,462,24.919375953225224,0.0272735653919813,0.03442467435885484,0.018925807023939215,494272
21,494272,492604,407,758,503,24.91566927262944,0.022473981311011883,0.03914333046991303,0.02271341558963498,494272
22,494272,492475,437,808,552,24.907615031379706,0.024371543706942094,0.04183615825312955,0.026177266660222024,494272
23,494272,492349,459,869,595,24.90182968013444,0.024625722892902116,0.04709079421708631,0.02645380275557066,494272
24,494272,492227,483,917,645,24.89821860524727,0.020616818174904416,0.05400590853002548,0.02715866804779965,494272
25,494272,492096,518,967,691,24.88756914301046,0.021224802540347282,0.059690810489144874,0.03151524396004812,494272
26,494272,491973,533,1004,762,24.88897001415334,0.022375906106478927,0.05706317602471632,0.03159090371546352,494272
27,494272,491839,551,1052,830,24.873247141170808,0.03507630332055613,0.05712858990640967,0.03454796560222809,494272
28,494272,491686,570,1124,892,24.868015195800318,0.03885268963657718,0.055428911119255166,0.03770320344385025,494272
29,494272,491544,593,1179,956,24.855584597635605,0.03280256788463274,0.07102057525328634,0.04059225922647572,494272
30,494272,491467,549,1213,1043,24.860311014816144,0.02681918669371572,0.06644382228979903,0.0464259762003415,494272
31,494272,491385,510,1240,1137,24.862269541508848,0.023695768080200068,0.059642986229647955,0.054391704181305324,494272
32,494272,491297,487,1258,1230,24.847773305406786,0.02654728454225098,0.06084646748028528,0.06483294257067879,494272
33,494272,491223,464,1269,1316,24.852802652141065,0.020803943742019135,0.0683564166789469,0.058036987437968104,494272
34,494272,491137,458,1268,1409,24.853865781528246,0.018718547344389293,0.06612688300045201,0.06128878812691375,494272
35,494272,491053,439,1281,1499,24.845081893360287,0.02420123639092377,0.0636957018954215,0.067021168353366,494272
36,494272,490955,426,1311,1580,24.830335280446146,0.020911256295508822,0.06914474703842126,0.07960871621992448,494272
37,494272,490873,409,1327,1663,24.826694221550618,0.025013049652858155,0.05949077778874437,0.08880195100777918,494272
38,494272,490794,392,1347,1739,24.82497084404878,0.024032374921790382,0.061786784017511115,0.08920999701191694,494272
39,494272,490710,394,1339,1829,24.817217108585325,0.018314576790104984,0.0686506927071641,0.09581762191740585,494272
40,494272,490625,408,1329,1910,24.811761236584765,0.015651501912929765,0.07403629281605742,0.09855096868624641,494272
41,494272,490540,407,1316,2009,24.82577642391915,0.013424261032087978,0.06410556272273919,0.09669375232602052,494272
42,494272,490446,408,1330,2088,24.81786768253992,0.01717938839127354,0.06912995106922483,0.09582297799958356,494272
43,494272,490347,424,1315,2186,24.80665651634692,0.027677691382940735,0.07190575498922563,0.0937600372809151,494272
44,494272,490256,432,1307,2277,24.795089853244118,0.026840481798862354,0.07926619925304139,0.0988034657039792,494272
45,494272,490169,424,1310,2369,24.788331478537962,0.030551227811605818,0.07485814839544254,0.10625914525498824,494272
46,494272,490088,411,1305,2468,24.76792048063746,0.031936821981213975,0.07739081400458356,0.12275188337674182,494272
47,494272,490008,400,1312,2552,24.748230638160077,0.028784078353898155,0.08096742241431705,0.14201786107170844,494272
48,494272,489921,411,1294,2646,24.741790272004206,0.029158744599692706,0.08102786800906822,0.1480231153870345,494272
49,494272,489847,413,1280,2732,24.743992044468264,0.021370855304279634,0.09039200524464931,0.1442450949828062,494272
50,494272,489772,397,1299,2804,24.738238680336412,0.021924502342598674,0.09545756991902302,0.14437924740196525,494272
51,494272,489697,401,1289,2885,24.755525223927275,0.020145443399568794,0.08756772593479234,0.1367616067383635,494272
52,494272,489607,415,1283,2967,24.73110710012143,0.016636556321585106,0.09209924616200796,0.16015709739497627,494272
53,494272,489527,401,1302,3042,24.723064733493857,0.01999673334787394,0.08261130700531182,0.1743272261529567,494272
54,494272,489443,421,1267,3141,24.722551800858795,0.017513431545875972,0.08231471059091287,0.1776200570044175,494272
55,494272,489349,440,1253,3230,24.72010281716072,0.014504279021904744,0.07412261565170497,0.19127028816567143,494272
56,494272,489260,439,1264,3309,24.717444125940712,0.013166954179519378,0.06747130515486087,0.2019176147249073,494272
57,494272,489177,424,1265,3406,24.706092904922855,0.011713239692798525,0.06525332337894033,0.21694053200540528,494272
58,494272,489093,410,1269,3500,24.71092917802491,0.013333880154152364,0.06353639405298926,0.21220054776794886,494272
59,494272,489015,411,1259,3587,24.70403148099386,0.011123486855223007,0.0571772618523367,0.22766777029858043,494272
60,494272,488925,413,1270,3664,24.701367996096913,0.012824987893869134,0.058151055197669055,0.2276559608115502,494272
61,494272,488851,407,1264,3750,24.681332787449332,0.013864543625241733,0.06967963245282839,0.2351230364725976,494272
62,494272,488769,423,1222,3858,24.683688407718144,0.012202862356885339,0.06690128312357033,0.23720744680140007,494272
63,494272,488686,403,1255,3928,24.67436482684584,0.01396113117852154,0.0688713724501766,0.2428026695254643,494272
64,494272,488605,395,1270,4002,24.67824638145892,0.011954928913250078,0.06234723132004391,0.24745145830778742,494272
65,494272,488506,411,1269,4086,24.677033851755283,0.015534194731790709,0.06292996754122862,0.2445019859716961,494272
66,494272,488424,408,1266,4174,24.669221053423776,0.017519983426294957,0.06325370436684587,0.2500052587830826,494272
67,494272,488342,404,1281,4245,24.657222321573705,0.022139486450200987,0.058493756836756915,0.2621444351393361,494272
68,494272,488257,397,1290,4328,24.661252381111492,0.018776162222118715,0.05916479459194581,0.26080666207444286,494272
69,494272,488155,421,1278,4418,24.652742367537382,0.02621497168099104,0.05802760365296361,0.2630150571286626,494272
70,494272,488072,427,1267,4506,24.645389024317264,0.020657135725731635,0.06307023666741753,0.2708836032895881,494272
71,494272,487999,415,1269,4589,24.628218978151832,0.02483966880759755,0.07432845533706052,0.2726128977035087,494272
72,494272,487927,405,1282,4658,24.623870782145257,0.029015113147067263,0.06441138436956038,0.28270272033811383,494272
73,494272,487853,375,1303,4741,24.632402795767042,0.014964541344159784,0.07266144089377864,0.2799712219950184,494272
74,494272,487775,387,1281,4829,24.639829064856563,0.015458820524076506,0.0691531154647209,0.27555899915463894,494272
75,494272,487680,398,1280,4914,24.61735260632875,0.018213884675965145,0.06974864006768029,0.29468486892760254,494272
76,494272,487591,398,1273,5010,24.612524603945957,0.014710431843577941,0.07185987341935181,0.30090509079111327,494272
77,494272,487527,405,1256,5084,24.611014473813093,0.018492455545265303,0.06757570790183987,0.30291736273980097,494272
78,494272,487454,405,1253,5160,24.600342564841586,0.017672148256665732,0.06562759640180583,0.31635769049994233,494272
79,494272,487358,398,1271,5245,24.589720011923486,0.014479173417834109,0.06668502124692242,0.3291157934117589,494272
80,494272,487282,378,1283,5329,24.602885107702036,0.012312746385712472,0.06328157932857532,0.3215205665836744,494272
81,494272,487186,395,1285,5406,24.583060873427883,0.009904607830653205,0.056853588182475365,0.3501809305589883,494272
82,494272,487104,415,1253,5500,24.58772154993467,0.012914584973240323,0.05744800634172809,0.3419158587503611,494272
83,494272,487029,407,1259,5577,24.58498386317289,0.016916031683146298,0.054685623394010834,0.34341448174995215,494272
84,494272,486939,407,1262,5664,24.584835939309638,0.01414281330537966,0.05403720186916388,0.34698404551581974,494272
85,494272,486850,413,1272,5737,24.589487076425563,0.014082490444356959,0.05135173687917288,0.3450786962509081,494272
86,494272,486776,401,1281,5814,24.58931944110947,0.013373634847518192,0.05419650760255347,0.34311041644045664,494272
87,494272,486701,393,1281,5897,24.57253506357696,0.013860697568425312,0.05844615695804937,0.3551580818965639,494272
88,494272,486637,394,1267,5974,24.569972575408737,0.017848877237004544,0.06070350702300939,0.35147504033124727,494272
89,494272,486555,389,1272,6056,24.568365824786994,0.018403974469780305,0.06889255477250839,0.34433764597071626,494272
90,494272,486468,407,1252,6145,24.56726670128671,0.015852535782811185,0.07260354353225328,0.34427721939822803,494272
91,494272,486396,400,1261,6215,24.568232515778792,0.016325200972617637,0.07394508479102788,0.3414971984575618,494272
92,494272,486307,412,1262,6291,24.557237799219223,0.014460197715620933,0.07640348867541727,0.35189851438973857,494272
93,494272,486225,410,1243,6394,24.553582412017878,0.021517036615431227,0.07357820462684456,0.35132234673984686,494272
94,494272,486142,416,1238,6476,24.53146876128749,0.020184337583392307,0.07342772037706774,0.3749191807520528,494272
95,494272,486074,404,1238,6556,24.535994683816753,0.021472419787411445,0.06832097422569199,0.3742119221701419,494272
96,494272,485981,417,1258,6616,24.527384113448058,0.018423859770499297,0.07582144361199698,0.37837058316944433,494272
97,494272,485886,430,1257,6699,24.53157501509284,0.020739588113827926,0.06861497887673977,0.3790704179165911,494272
98,494272,485808,414,1264,6786,24.531335382297712,0.01964794453256526,0.07020351977313852,0.37881315339658606,494272
99,494272,485721,410,1276,6865,24.528315330922116,0.020466696097659453,0.06908545375068553,0.3821325192295407,494272
