Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494211,44,17,0,24.999244231137443,0.0005532457021155979,0.00020252316044292706,0.0,494272
2,494272,494160,86,26,0,24.997827924123147,0.0016035763174045295,0.0005684995594485905,0.0,494272
3,494272,494087,128,56,1,24.99505897944011,0.0033620764890997003,0.0015621984204718295,1.6745650317330073e-05,494272
4,494272,494029,157,82,4,24.99410678977054,0.003983523074579983,0.001861056460772025,4.8630694106123544e-05,494272
5,494272,493961,197,106,8,24.9914751125763,0.005487609011656497,0.0029365276853548666,0.00010075072668881441,494272
6,494272,493884,234,140,14,24.988165735803392,0.006508190964938739,0.0050801759810841585,0.0002458972505855845,494272
7,494272,493817,243,187,25,24.983416652609737,0.007736811986485724,0.00843764694192866,0.0004088884618501026,494272
8,494272,493747,270,221,34,24.982690390542192,0.007452306569093162,0.0088095830447538,0.0010477198439618302,494272
9,494272,493683,287,252,50,24.980480426179867,0.00773920977083354,0.010237318769103672,0.001543045280196012,494272
10,494272,493612,300,296,64,24.977078529117154,0.008208469523191228,0.012496513066086857,0.0022164882935674364,494272
11,494272,493524,329,338,81,24.96872921811063,0.0133088291173995,0.015236866356474163,0.002725086415495948,494272
12,494272,493423,367,375,107,24.965995269416698,0.012460485642346779,0.016428158106730987,0.005116086834222899,494272
13,494272,493338,388,415,131,24.95406610865767,0.021581185687450332,0.018098889799869976,0.0062538158550091635,494272
14,494272,493239,422,450,161,24.94727414082978,0.02182410617733593,0.020716320374942098,0.010185432617943612,494272
15,494272,493154,425,503,190,24.94272267437949,0.019177303295918515,0.024471659846230395,0.013628362478363699,494272
16,494272,493061,428,561,222,24.943782647645904,0.013207602016330153,0.027570533097676014,0.015439217240090479,494272
17,494272,492963,446,604,259,24.941327152519786,0.016254499997303728,0.027071539493015596,0.015346807989894249,494272
18,494272,492870,452,653,297,24.94016279206769,0.01871303325563084,0.024547682890802794,0.01657649178587934,494272
19,494272,492770,468,699,335,24.933206045463173,0.021429331307867755,0.027991330224266253,0.017373293004691183,494272
20,494272,492666,480,754,372,24.915988607593683,0.026781033387924983,0.0380958798692013,0.019134479149192623,494272
21,494272,492554,492,815,411,24.908066877712248,0.02622676011543632,0.04373893389231143,0.021967428280004794,494272
22,494272,492439,519,845,469,24.90448100285013,0.02379305222851588,0.04663971983298229,0.02508622508837069,494272
23,494272,492348,515,879,530,24.90280344998111,0.017711692287502738,0.04951272754919134,0.029972130182196865,494272
24,494272,492228,547,916,581,24.882522966853315,0.023300470203788087,0.05580582874479014,0.038370734198105286,494272
25,494272,492107,583,939,643,24.875361831393317,0.02263671232610773,0.058963271118196624,0.04303818516237928,494272
26,494272,491975,611,988,698,24.878745439078223,0.022154473180199794,0.05811125460071055,0.040988833140868264,494272
27,494272,491829,647,1038,758,24.857962748820402,0.024955504129490713,0.06846534624901762,0.04861640080108929,494272
28,494272,491710,627,1122,813,24.855871438229816,0.024776587377824528,0.06429856362885598,0.05505341076350381,494272
29,494272,491574,645,1166,887,24.846295491573002,0.031998651563741,0.05168389490691826,0.07002196195633778,494272
30,494272,491408,702,1200,962,24.834057243772385,0.031811132338033433,0.06229076418150992,0.07184085970807051,494272
31,494272,491264,713,1254,1041,24.829977498269166,0.03539170484721345,0.05664941358109975,0.07798138330252263,494272
32,494272,491128,740,1279,1125,24.813793453940825,0.03592494321538039,0.07245168274175989,0.07782992010203546,494272
33,494272,490964,769,1338,1201,24.79530067841822,0.03384604444510705,0.0904476419283329,0.0804056352083421,494272
34,494272,490817,796,1377,1282,24.786490018673014,0.033861857964698594,0.09363636075270111,0.08601176260958722,494272
35,494272,490655,822,1415,1380,24.771889164360587,0.048282199641158534,0.09297320682218904,0.08685542917606463,494272
36,494272,490495,839,1479,1459,24.757819694986516,0.05552615507055447,0.09737140372918626,0.08928274621374219,494272
37,494272,490329,871,1525,1547,24.766582290349056,0.054553147806857695,0.08421689641325668,0.09464766543082986,494272
38,494272,490152,890,1589,1641,24.747535432760134,0.05151111413698983,0.097010261894033,0.10394319120884428,494272
39,494272,489982,915,1614,1761,24.749761271705754,0.046422613167938116,0.10258777566039416,0.1012283394659148,494272
40,494272,489800,944,1675,1853,24.741529567874217,0.055508888475623006,0.08778631503204493,0.11517522861811681,494272
41,494272,489620,953,1746,1953,24.71257641522231,0.062467652070685886,0.09867301848711128,0.12628291421989468,494272
42,494272,489456,968,1803,2045,24.707582554556357,0.061614435236254504,0.09682446013872956,0.13397855006865939,494272
43,494272,489238,1012,1851,2171,24.68319302069813,0.05831967387831893,0.10683411520407807,0.15165319021947127,494272
44,494272,489052,1021,1909,2290,24.672051353971163,0.06232875764491055,0.11198474470279574,0.15363514368112957,494272
45,494272,488856,1061,1952,2403,24.672777037708123,0.055195850999923565,0.1224216145395101,0.14960549675244456,494272
46,494272,488651,1100,2006,2515,24.69177340182177,0.05868964239538934,0.10851708777035486,0.14101986801248675,494272
47,494272,488443,1109,2068,2652,24.66917855920334,0.061342850720517435,0.11773966566255328,0.15173892441359263,494272
48,494272,488241,1131,2119,2781,24.657476266868933,0.06821612832427638,0.12245331447870265,0.15185429032808742,494272
49,494272,488021,1166,2175,2910,24.643801297145714,0.07022295619576704,0.11863141872557101,0.1673443279329476,494272
50,494272,487792,1208,2234,3038,24.618127717059753,0.07297389290735766,0.12203905949197125,0.18685933054091652,494272
51,494272,487549,1260,2282,3181,24.606323353109037,0.0737139700314694,0.12186004165019432,0.19810263520929794,494272
52,494272,487329,1276,2368,3299,24.60607540773706,0.06719077520074498,0.1454865301377777,0.18124728692441847,494272
53,494272,487097,1290,2435,3450,24.598678649663903,0.06771139456758363,0.1381130793900232,0.19549687637849075,494272
54,494272,486879,1313,2493,3587,24.58596222709629,0.06585874195250509,0.1419122618690833,0.20626676908212302,494272
55,494272,486657,1336,2547,3732,24.563449702173436,0.0740161725002191,0.15040926837467228,0.2121248569516741,494272
56,494272,486427,1335,2649,3861,24.529795978889048,0.07284026539518557,0.16970182624544308,0.22766192947032166,494272
57,494272,486160,1401,2697,4014,24.5394648775308,0.07491717976957091,0.16438444610142663,0.22123349659820343,494272
58,494272,485905,1454,2745,4168,24.50119675921986,0.09797032074256642,0.1604503598950029,0.24038256014257164,494272
59,494272,485687,1429,2821,4335,24.497436836853723,0.0905688526008971,0.1621541229752393,0.249840187570142,494272
60,494272,485398,1462,2895,4517,24.514226410328888,0.08543891865671929,0.16191604905088494,0.2384186219635069,494272
61,494272,485144,1462,2956,4710,24.505818732566752,0.08117491876079058,0.15967347528973724,0.25333287338272187,494272
62,494272,484872,1502,2986,4912,24.477161987120745,0.07160873648994139,0.18077103958633262,0.27045823680298026,494272
63,494272,484597,1532,3051,5092,24.48669950434494,0.06693211308276456,0.16922336265336088,0.27714501991893514,494272
64,494272,484336,1559,3114,5263,24.440764920543543,0.0725468143981175,0.17677306040938212,0.30991520464895683,494272
65,494272,484083,1547,3221,5421,24.422984816967894,0.06876474031747441,0.19984446252418311,0.30840598019044707,494272
66,494272,483790,1578,3288,5616,24.37674037421191,0.07850067642638361,0.2025401693227014,0.34221878003900613,494272
67,494272,483499,1611,3338,5824,24.384393522460257,0.08518353437069956,0.18858080979206407,0.3418421333769806,494272
68,494272,483217,1590,3449,6016,24.390005293943172,0.07879399223419412,0.18115320487190714,0.35004750895072784,494272
69,494272,482926,1604,3508,6234,24.362145312694718,0.08729922101089661,0.18595619421339563,0.3645992720809898,494272
70,494272,482620,1634,3583,6435,24.348567209319892,0.08982432617693283,0.19666483144511615,0.3649436330580571,494272
71,494272,482350,1633,3620,6669,24.355798459000706,0.08070941934250575,0.2075495529218463,0.3559425687349418,494272
72,494272,482014,1708,3670,6880,24.347965677229286,0.07402273075661317,0.20676484870546494,0.3712467433086353,494272
73,494272,481718,1709,3742,7103,24.336363337567708,0.0828507465088679,0.208410000199896,0.37237591572352885,494272
74,494272,481399,1753,3795,7325,24.309069106025188,0.08079852979674876,0.21310689348306017,0.39702547069500377,494272
75,494272,481075,1801,3849,7547,24.306957425664542,0.0816865081573644,0.21352618773106913,0.39782987844702533,494272
76,494272,480757,1845,3887,7783,24.26990810190279,0.0876933738358509,0.21601633526680947,0.4263821889945499,494272
77,494272,480458,1829,3956,8029,24.2532317238725,0.09422751788762475,0.22120424956125487,0.43133650867862133,494272
78,494272,480087,1884,4050,8251,24.25158723670571,0.10186293426222068,0.21609720550345254,0.430452623528617,494272
79,494272,479769,1921,4085,8497,24.217135988218324,0.10472960495991308,0.24274007271335632,0.4353943341084079,494272
80,494272,479409,2000,4097,8766,24.191148514625056,0.11282888882302611,0.2399647785501962,0.45605781800172407,494272
81,494272,479062,2026,4202,8982,24.170113258002473,0.1176736529486292,0.24223601522305727,0.4699770738258386,494272
82,494272,478733,2047,4288,9204,24.175250790291777,0.10385314982106827,0.24484509086092657,0.47605096902622634,494272
83,494272,478374,2067,4374,9457,24.162304219386705,0.11067721424479429,0.2421206780220695,0.4848978883464325,494272
84,494272,478017,2081,4466,9708,24.12096142334646,0.1017309750858297,0.25904533204252517,0.518262269525185,494272
85,494272,477628,2146,4514,9984,24.103003334169497,0.1001652159935526,0.2666410552970041,0.5301903945399459,494272
86,494272,477282,2168,4607,10215,24.105888786678946,0.09996419156966273,0.24883947193491526,0.5453075498164742,494272
87,494272,476911,2222,4646,10493,24.052357258491117,0.11159778137163616,0.24841644031043064,0.5876285198268144,494272
88,494272,476510,2268,4729,10765,24.022794639623307,0.10577873728020476,0.2567618975289076,0.614664725567581,494272
89,494272,476154,2254,4823,11041,24.01630587793782,0.10604002543615008,0.2596353910620596,0.618018705563971,494272
90,494272,475806,2244,4868,11354,23.972188827595755,0.10562039881859077,0.2781559455451672,0.6440348280404863,494272
91,494272,475446,2271,4917,11638,23.94818103588452,0.11099285429781816,0.2854903923352926,0.6553357174823703,494272
92,494272,475066,2290,4993,11923,23.94894020151193,0.10563529244198062,0.2844143530245406,0.6610101530215473,494272
93,494272,474645,2341,5053,12233,23.93435635981954,0.12596123015545935,0.2820314158209061,0.6576509942040938,494272
94,494272,474264,2332,5128,12548,23.952966208326508,0.11507824383661248,0.27694968028809397,0.6550058675487842,494272
95,494272,473876,2345,5210,12841,23.92597383462794,0.10843411678345295,0.2833117433265118,0.6822803052620964,494272
96,494272,473449,2410,5282,13131,23.88326162709027,0.12771947898462788,0.28112419001627637,0.7078947039088258,494272
97,494272,473036,2501,5292,13443,23.867308852170524,0.14675941388916594,0.27517054593714313,0.7107611880031676,494272
98,494272,472654,2488,5376,13754,23.882966999460624,0.1340789283416697,0.2711740492567811,0.7117800229409234,494272
99,494272,472236,2520,5451,14065,23.844376048845852,0.14138312882257073,0.27637044548719303,0.7378703768443858,494272
100,494272,471843,2503,5503,14423,23.813850654500595,0.14366800224813953,0.27592722233867545,0.7665541209125919,494272
101,494272,471448,2539,5535,14750,23.765541071419438,0.1429229062043335,0.27669728077630096,0.8148387415999264,494272
102,494272,471038,2559,5635,15040,23.753592581653706,0.14459980473922837,0.2896812191155062,0.8121263944915608,494272
103,494272,470605,2590,5692,15385,23.726792210827526,0.15286208577466448,0.3099067691409223,0.8104389342568865,494272
104,494272,470197,2583,5783,15709,23.711326241674254,0.15104756976139036,0.30478563231223216,0.8328405562521249,494272
105,494272,469786,2604,5828,16054,23.69134169943033,0.1495148963769244,0.31201984384700665,0.8471235603457407,494272
106,494272,469344,2628,5905,16395,23.654014810809063,0.16885545923434425,0.30860970435471424,0.8685200256018776,494272
