Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494211,53,8,0,24.998959604523073,0.0009483900165377079,9.200546038991721e-05,0.0,494272
2,494272,494157,83,32,0,24.997977547752612,0.0015712873801631208,0.00045116486722461454,0.0,494272
3,494272,494084,128,57,3,24.990002185295342,0.00883378979450776,0.0010816659290664955,8.235898108466308e-05,494272
4,494272,494014,158,93,7,24.989253882084576,0.009025824879171631,0.0015945592888828887,0.00012573374736845675,494272
5,494272,493958,175,129,10,24.980006709139076,0.01074886305325223,0.009089436980425577,0.00015499082724608528,494272
6,494272,493884,203,166,19,24.977212737433447,0.010551021050375895,0.011799058319471959,0.000437183196705801,494272
7,494272,493801,231,217,23,24.98229781548491,0.00539285900685659,0.011760803075351154,0.0005485224328832586,494272
8,494272,493720,253,265,34,24.980613787095272,0.007114844752476005,0.010359583563119133,0.0019117845891323715,494272
9,494272,493650,257,307,58,24.976069477141934,0.008177206443728496,0.014134211184789573,0.001619105229550151,494272
10,494272,493569,286,338,79,24.968894308523303,0.009198492391434903,0.01999394002286904,0.0019132590623908278,494272
11,494272,493492,294,390,96,24.96686863325907,0.007953153893702299,0.02348807019282735,0.0016901426543980223,494272
12,494272,493383,335,427,127,24.958155287821477,0.012350198616455928,0.026922360524414646,0.0025721530376527886,494272
13,494272,493291,346,470,165,24.955159204707666,0.01009612247810392,0.02775344065890599,0.006991232155324975,494272
14,494272,493195,378,504,195,24.95390148170883,0.012808475928063275,0.025942889863052564,0.007347152500053597,494272
15,494272,493108,377,561,226,24.945905543393824,0.016211165757933178,0.026960486967971275,0.010922803880273675,494272
16,494272,492995,386,626,265,24.934208501862322,0.017891219758437743,0.027921368027982688,0.019978910351256342,494272
17,494272,492885,406,665,316,24.935189263216675,0.016958812494061455,0.02745129616863855,0.020400628120626606,494272
18,494272,492800,402,704,366,24.92912515438002,0.018927202960856374,0.030394630408927262,0.02155301225019656,494272
19,494272,492699,407,752,414,24.9323714424906,0.01418436108861577,0.030165908164990648,0.023278288255793242,494272
20,494272,492605,406,799,462,24.930627872599057,0.014682027182542792,0.0317710022932664,0.022919097925135367,494272
21,494272,492481,441,830,520,24.926405111196644,0.018041007092839182,0.02914397769239934,0.026409904018119015,494272
22,494272,492390,448,867,567,24.912327892891888,0.026302827600479316,0.032669849027292794,0.028699430480340418,494272
23,494272,492268,466,908,630,24.902858658533773,0.02891295480482354,0.03690774708620654,0.03132063957519487,494272
24,494272,492162,473,946,691,24.903763223452863,0.027418437573426668,0.04024224597443209,0.02857609299927757,494272
25,494272,492038,495,980,759,24.898209397491073,0.026089068879201344,0.04175108923724605,0.03395044439247899,494272
26,494272,491885,565,993,829,24.891288593849502,0.030482358890000016,0.04399882770205105,0.034230219558447766,494272
27,494272,491774,547,1060,891,24.887028953706047,0.026335181209622856,0.04454077143355734,0.04209509365077299,494272
28,494272,491630,566,1113,963,24.880127934552306,0.029879478870732428,0.04737090121071738,0.04262168536624437,494272
29,494272,491479,609,1136,1048,24.845981127268967,0.037942955082521636,0.05654928058635679,0.05952663706215309,494272
30,494272,491426,534,1186,1126,24.837392088729985,0.036808839377399274,0.05673156528203448,0.06906750661058048,494272
31,494272,491366,467,1214,1225,24.834841712430354,0.02770251267016307,0.06672084274761302,0.0707349321518717,494272
32,494272,491287,430,1242,1313,24.830350443146592,0.016919388316576724,0.08121788056822167,0.07151228796861017,494272
33,494272,491222,407,1247,1396,24.832684320676076,0.01686018490649374,0.07223697038005161,0.07821852403737976,494272
34,494272,491152,396,1240,1484,24.832177341185023,0.017457752031038748,0.06504236658115492,0.08532254020278345,494272
35,494272,491095,368,1243,1566,24.83132190447461,0.01637163645864901,0.07113550996195263,0.08117094910478882,494272
36,494272,491026,357,1227,1662,24.82725735273947,0.01520926318523926,0.0701819578889211,0.08735142618636928,494272
37,494272,490963,342,1232,1735,24.820876966825896,0.014167128671436005,0.07280748034215669,0.09214842416051013,494272
38,494272,490888,348,1231,1805,24.81516077222908,0.011910591036013121,0.07773588153623918,0.09519275519866656,494272
39,494272,490819,349,1219,1885,24.804779892728558,0.02093507727135813,0.07297375140933764,0.10131127859074762,494272
40,494272,490759,339,1210,1964,24.81794953366877,0.01663377421868695,0.06461245913708401,0.10080423297545958,494272
