Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494214.0,50,8,0.0,24.99920520776034,0.0007036481538346979,9.114408582451483e-05,0.0,494272.0
2,494272,494140.0,91,41,0.0,24.99688058038946,0.0024189421979281343,0.0007004774126134305,0.0,494272.0
3,494272,494083.0,115,70,4.0,24.99519677717876,0.0036255442373072095,0.001137793156127796,3.988542780722636e-05,494272.0
4,494272,494024.0,146,91,11.0,24.994015352293783,0.004306789182110336,0.0015268708464646738,0.00015098767764080463,494272.0
5,494272,493953.0,177,118,24.0,24.987272835330035,0.005527438506941985,0.0062477207370079234,0.0009520054260159854,494272.0
6,494272,493875.0,205,161,31.0,24.982638251920815,0.007883381626947667,0.007846851312493344,0.001631515139744311,494272.0
7,494272,493790.0,247,195,40.0,24.970670015946922,0.01374385507047528,0.012681981748714141,0.0029041472338896834,494272.0
8,494272,493710.0,279,230,53.0,24.973031171971638,0.013974487985320957,0.009955326393607791,0.0030390136494346806,494272.0
9,494272,493640.0,287,275,70.0,24.969239277112703,0.016771812408138412,0.010133147938090321,0.003855762541068394,494272.0
10,494272,493563.0,306,315,88.0,24.96843523858668,0.014884430142127496,0.01156000331868691,0.005120327952508162,494272.0
11,494272,493484.0,319,363,106.0,24.958540002774956,0.018380514552517612,0.015455683365151346,0.007623799307374807,494272.0
12,494272,493406.0,328,408,130.0,24.955403601506827,0.018591387867155175,0.01928816228001183,0.006716848346007815,494272.0
13,494272,493333.0,326,446,167.0,24.951833449831774,0.017942724164549922,0.022066955834623616,0.008156870169051521,494272.0
14,494272,493259.0,329,478,206.0,24.946824765821496,0.01456537614477934,0.02468466071245959,0.013925197321266057,494272.0
15,494272,493171.0,347,510,244.0,24.946180651601395,0.010672392360580318,0.029939348722624062,0.01320760731539932,494272.0
16,494272,493079.0,367,546,280.0,24.93985731530652,0.014315356767636076,0.02220436684085021,0.02362296108499649,494272.0
17,494272,492995.0,361,599,317.0,24.927066959677145,0.01660280910204871,0.030333768136809658,0.025996463083995773,494272.0
18,494272,492883.0,385,656,348.0,24.924788873336787,0.019742492516101523,0.03497374820743727,0.020494885939673135,494272.0
19,494272,492784.0,400,692,396.0,24.913733322986836,0.022593741551204825,0.04042151480304928,0.023251420658907923,494272.0
20,494272,492666.0,434,732,440.0,24.91716211337018,0.009368344439777344,0.047198642550842974,0.026270899639202202,494272.0
21,494272,492548.0,450,778,496.0,24.91419255058752,0.014885597446384059,0.04051640557286602,0.0304054463932321,494272.0
22,494272,492455.0,446,826,545.0,24.905066107151054,0.01462322560908654,0.04737727988744465,0.032933387352416375,494272.0
23,494272,492348.0,472,854,598.0,24.90175818134142,0.021954648191249926,0.04519425728666125,0.031092913180668053,494272.0
24,494272,492210.0,502,910,650.0,24.890807189356853,0.021030104614032548,0.055655683733374164,0.032507022295742365,494272.0
