Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,494272,494204,56,12,0,24.998917000873153,0.0009240110651893222,0.00015898806165923752,0.0,494272
2,494272,494155,85,32,0,24.998092797966773,0.0014036094084226257,0.0005035926248030398,0.0,494272
3,494272,494088,115,66,3,24.991523406106445,0.006064426600467999,0.002374164946910454,3.8002346176525725e-05,494272
4,494272,494021,141,102,8,24.984398429454547,0.010202745255035598,0.005306819830026422,9.200546038991721e-05,494272
5,494272,493952,171,136,13,24.98179096120323,0.003571678571619113,0.014493979614459298,0.00014338061069214375,494272
6,494272,493887,180,184,21,24.97786996104438,0.008320724904998524,0.013499846207258108,0.0003094678433634572,494272
7,494272,493828,201,205,38,24.97557827176135,0.009020080737219972,0.014087707107638032,0.0013139403937920653,494272
8,494272,493766,203,253,50,24.97332384842833,0.008777779520086683,0.016178741997955676,0.001719630053628997,494272
9,494272,493675,237,283,77,24.965550189195877,0.008090963817062495,0.02078857146752043,0.00557027551954152,494272
10,494272,493603,252,315,102,24.963679541410674,0.009671130295210231,0.019349944787208834,0.007299383506906858,494272
11,494272,493529,276,345,122,24.950736105301377,0.011704996610054759,0.02912739567383153,0.008431502414736173,494272
12,494272,493447,295,389,141,24.94663270249333,0.013609084302326947,0.0306548832085304,0.009103329995814612,494272
13,494272,493358,317,431,166,24.944227082542866,0.015153498239388464,0.028166308910677562,0.012453110307065805,494272
14,494272,493273,327,470,202,24.93608059637085,0.015810849030514804,0.030301083947261057,0.017807470651372555,494272
15,494272,493180,343,508,241,24.936799599118483,0.016011055253181534,0.030734311460285497,0.01645503416805128,494272
16,494272,493098,365,538,271,24.941460852494533,0.013762871899924515,0.02849819619663225,0.016278079408910875,494272
17,494272,493015,371,571,315,24.930625853252288,0.02006992696661446,0.02954333852768758,0.019760881253409187,494272
18,494272,492901,391,627,353,24.929931632617212,0.01629049101014061,0.03217698309166735,0.021600893280980814,494272
19,494272,492797,413,659,403,24.924694323947623,0.017921144274708596,0.037122808935922486,0.02026172284174644,494272
20,494272,492698,434,694,446,24.916492057647325,0.021946045488174092,0.039156390394794405,0.022405506469708004,494272
21,494272,492597,426,758,491,24.910537086585563,0.01924965964321774,0.04670039913333162,0.0235128546378884,494272
22,494272,492494,445,795,538,24.907214834811302,0.024472893382062436,0.04350405391944847,0.02480821788718669,494272
23,494272,492385,471,840,576,24.908243350068844,0.02146883655212299,0.04504601768916997,0.02524179568986184,494272
24,494272,492281,474,878,639,24.902512545052264,0.02067903714250658,0.04783046828701324,0.028977949518217836,494272
25,494272,492139,501,923,709,24.891832182316005,0.02682584731389022,0.048638512137484526,0.032703458232620775,494272
26,494272,492013,516,973,770,24.887514182602605,0.029458564433237803,0.048467757571427364,0.03455949539272996,494272
27,494272,491902,528,1004,838,24.878484749122048,0.03892072552414614,0.04792171760024397,0.034672807753561415,494272
28,494272,491768,565,1024,915,24.86811153319803,0.03576670033132179,0.05137512795311513,0.04474663851753531,494272
29,494272,491629,562,1090,991,24.864699462903012,0.03044208377896472,0.05334861035666523,0.05150984296135744,494272
30,494272,491479,597,1136,1060,24.857449623901637,0.02681404401122099,0.05760477429058831,0.05813155779655438,494272
31,494272,491341,621,1156,1154,24.850102384836525,0.030631010868094232,0.05240740188767134,0.06685920240770832,494272
32,494272,491194,633,1208,1237,24.82900317707151,0.02922298878943549,0.07073849842786718,0.07103533571118795,494272
33,494272,491051,644,1264,1313,24.81327189385222,0.04038921173571404,0.07565195656280198,0.07068693784926448,494272
34,494272,490885,671,1313,1403,24.822025033284206,0.03872651726447648,0.06926528613588862,0.06998316331542931,494272
35,494272,490747,677,1362,1486,24.819955650968957,0.03807119103237196,0.06877187780295688,0.07320128019571395,494272
36,494272,490616,660,1412,1584,24.819187767020367,0.034762610487574376,0.06793856313293299,0.07811105935912732,494272
37,494272,490465,674,1445,1688,24.8010323683566,0.03421215087354436,0.07014265763256076,0.09461282313729462,494272
38,494272,490326,686,1462,1798,24.80115043860083,0.02747772245780909,0.07832332507397957,0.09304851386738251,494272
39,494272,490160,706,1514,1892,24.78240763775468,0.029353011492608428,0.08786430280995015,0.10037504794276213,494272
40,494272,490023,687,1561,2001,24.77030689645678,0.025973196007124295,0.09864599819752344,0.10507390933857111,494272
41,494272,489863,699,1622,2088,24.765199809449683,0.029083187320025277,0.0881701593740173,0.11754684385627594,494272
42,494272,489668,736,1676,2192,24.75043652338853,0.03391587195703142,0.09488966674665797,0.12075793790778155,494272
43,494272,489485,755,1706,2326,24.741842854847167,0.03002006781031442,0.10054249936213623,0.12759457798038296,494272
44,494272,489281,816,1725,2450,24.746709836952835,0.03282240639022743,0.0978275952936313,0.1226401613633062,494272
45,494272,489124,787,1806,2555,24.733563908769423,0.038023341242011795,0.10394211485277573,0.12447063513578888,494272
46,494272,488926,826,1857,2663,24.731727659777786,0.03838388547108303,0.09759135119090782,0.13229710356022528,494272
47,494272,488721,855,1893,2803,24.72424430427207,0.046682783991116236,0.09365692457768982,0.135415987159124,494272
48,494272,488521,865,1969,2917,24.72213037123718,0.04498751643832398,0.09582643832859562,0.13705567399589974,494272
49,494272,488339,862,2005,3066,24.70229461677966,0.04584289957616143,0.10533451336124564,0.14652797028293227,494272
50,494272,488134,891,2050,3197,24.697067481829926,0.04952287200947163,0.10193437940320185,0.1514752667574007,494272
51,494272,487924,942,2073,3333,24.67422344415381,0.060823618527572905,0.10387948749058747,0.1610734498280308,494272
52,494272,487712,960,2133,3467,24.66315680582011,0.057532760040489205,0.11088325184531678,0.16842718229408649,494272
53,494272,487492,984,2180,3616,24.63219500704835,0.06192428585892536,0.12690579297528892,0.1789749141174369,494272
54,494272,487285,993,2240,3754,24.629201835632774,0.05725629814528127,0.1383791644674963,0.17516270175444812,494272
55,494272,487082,995,2304,3891,24.616266288302487,0.06045874859494447,0.1429558468301297,0.18031911627244016,494272
56,494272,486857,1024,2324,4067,24.610588917374955,0.057104857083384,0.14400792354400244,0.18829830199765923,494272
57,494272,486643,1013,2378,4238,24.602141776451308,0.05442363107032339,0.14428507221339887,0.199149520264971,494272
58,494272,486424,1041,2404,4403,24.597576299538073,0.05791971102820731,0.14238027582310384,0.20212371361061626,494272
59,494272,486195,1072,2455,4550,24.56018121699893,0.06251058022167379,0.15726671919896087,0.22004148358043346,494272
60,494272,485979,1087,2490,4716,24.523758963627387,0.06860747651825229,0.15688248042108402,0.2507510794332765,494272
61,494272,485740,1084,2563,4885,24.518865307064644,0.06810324168273349,0.14549788706669972,0.2675335641859237,494272
62,494272,485530,1070,2581,5091,24.52909270171883,0.05968749899306964,0.1445884413472895,0.26663135794080967,494272
63,494272,485293,1123,2613,5243,24.515429822986754,0.05162530533217179,0.15189319362114034,0.2810516780599334,494272
64,494272,485052,1142,2647,5431,24.498611381979632,0.06235644716940908,0.14725074274783082,0.2917814281031285,494272
65,494272,484809,1164,2716,5583,24.485732773013694,0.06631979808003216,0.15767116312046434,0.2902762657858103,494272
66,494272,484563,1184,2768,5757,24.49378134279146,0.061308540899183334,0.15147528952844977,0.2934348267809057,494272
67,494272,484320,1201,2800,5951,24.475656223582604,0.06890807130554294,0.1484551260109628,0.30698057910088905,494272
68,494272,484056,1218,2832,6166,24.450520575713853,0.07060601497460334,0.14961561267331938,0.3292577966382247,494272
69,494272,483813,1206,2911,6342,24.443705162932197,0.054694155612306464,0.16612306336013072,0.3354776180953651,494272
70,494272,483550,1243,2922,6557,24.43045268833478,0.05734231767028648,0.16688073004951368,0.3453242639454204,494272
71,494272,483292,1259,2973,6748,24.4313795199257,0.053869677453406296,0.16734342694647517,0.347407375674421,494272
