Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274248,31,5,0,24.99976255623008,0.0002113720936659776,2.607167625235297e-05,0.0,274284
2,274284,274217,48,19,0,24.99897756480221,0.000823907426226582,0.00019852777156171967,0.0,274284
3,274284,274188,64,31,1,24.99883654818446,0.0007461197950352999,0.00041211768525467227,5.214335250470594e-06,274284
4,274284,274151,79,51,3,24.996347123965847,0.0022297342216255405,0.0014074988067775767,1.564300575141178e-05,274284
5,274284,274102,104,72,6,24.992412727141485,0.0054156399648709365,0.0020526071367091706,0.000119025756936495,274284
6,274284,274041,138,97,8,24.9898389396241,0.005919111023760624,0.004200234670135404,4.171468200376475e-05,274284
7,274284,273973,179,116,16,24.985688975050973,0.007569398979411906,0.005502572128844129,0.0012390538407695592,274284
8,274284,273896,221,141,26,24.981003592707754,0.01069816281874168,0.0068818106339851364,0.001416433839519307,274284
9,274284,273840,226,181,37,24.9794796446521,0.007230562379152288,0.010165258404760675,0.00312453456398869,274284
10,274284,273754,261,222,47,24.977891785288648,0.007118695978567778,0.011537204340046143,0.0034523143927382306,274284
11,274284,273661,298,263,62,24.96744585978894,0.015699683226756266,0.00992212026703992,0.006932336717264386,274284
12,274284,273531,353,315,85,24.960094446223223,0.019977467145163245,0.013640242179589347,0.006287844452022376,274284
13,274284,273410,405,362,107,24.95337536241624,0.0183844637637298,0.02235614408220911,0.005884029737823701,274284
14,274284,273279,459,417,129,24.93598696832074,0.0327932579231998,0.02515728450215653,0.006062489253903528,274284
15,274284,273126,511,489,158,24.91809159832388,0.04281597987362631,0.03037350863391257,0.008718913168582114,274284
16,274284,272967,572,557,188,24.914487623427096,0.03955598210666802,0.03605745623756178,0.009898938228674116,274284
17,274284,272802,625,635,222,24.897483981819953,0.046307883688671864,0.044423830899365135,0.01178430359201083,274284
18,274284,272601,713,714,256,24.87947027976912,0.048496832400054354,0.05430548551403637,0.01772740231678886,274284
19,274284,272398,791,781,314,24.862307891443315,0.056938407370453324,0.056929666582886576,0.02382403460334557,274284
20,274284,272143,875,896,370,24.83931084364844,0.06810751386202035,0.06389133732901221,0.0286903051605262,274284
21,274284,271885,941,1019,439,24.823872993948974,0.06389119819259942,0.07908608878387861,0.03314971907454655,274284
22,274284,271595,1028,1148,513,24.790090058819324,0.07661486349867275,0.0911246239396525,0.042170453742349526,274284
23,274284,271232,1180,1264,608,24.76290317517124,0.08906515068713868,0.09262625388144931,0.0554054202601736,274284
24,274284,270854,1317,1430,683,24.741407731676567,0.09661575325016454,0.10458872091713274,0.0573877941561374,274284
25,274284,270414,1517,1569,784,24.71060551477326,0.11785983706533794,0.1067427345577275,0.06479191360367666,274284
26,274284,269951,1682,1772,879,24.657997467767657,0.14221828701327738,0.12031336042554919,0.07947088479351441,274284
27,274284,269477,1791,2009,1007,24.625378788387525,0.14581092835145365,0.14005721131091942,0.0887530719501029,274284
28,274284,268905,2007,2218,1154,24.569605147309158,0.16236644503055336,0.16710417098868166,0.10092423667160913,274284
29,274284,268262,2264,2457,1301,24.505982818083677,0.1759015432844509,0.19727044369991092,0.12084519493196207,274284
30,274284,267587,2491,2721,1485,24.443437092301533,0.19729013442637197,0.2285320501453437,0.13074072312675006,274284
31,274284,266897,2705,3029,1653,24.391901653147077,0.21058277811380366,0.25087797144541446,0.1466375972937042,274284
32,274284,266091,2953,3377,1863,24.31837972695976,0.2426839311022876,0.2783477223738284,0.16058861956412493,274284
33,274284,265160,3305,3704,2115,24.23476186195577,0.28752005825585,0.2938135051624042,0.18390457462597376,274284
34,274284,264117,3694,4081,2392,24.154940211565638,0.3216387202896925,0.3252933182565194,0.19812774988815127,274284
35,274284,263006,4060,4525,2693,24.059736520468142,0.3365118008526616,0.37875574097254955,0.22499593770664517,274284
36,274284,261804,4446,5029,3005,23.96748017773335,0.36065919357851944,0.41110224614041035,0.26075838254771977,274284
37,274284,260471,4861,5587,3365,23.86557157847283,0.3785450384097078,0.46732409344709613,0.2885592896703636,274284
38,274284,258964,5362,6212,3746,23.725783447803682,0.4394610112715849,0.506168823950567,0.32858671697416464,274284
39,274284,257330,5908,6874,4172,23.598437783860163,0.47733373441423943,0.5569373601287847,0.3672911215968141,274284
40,274284,255482,6525,7638,4639,23.45298445502594,0.5165023784402288,0.6364312181970003,0.39408194833683036,274284
41,274284,253458,7257,8384,5185,23.30562411050212,0.5826005575417121,0.6774153198796282,0.43436001207654196,274284
42,274284,251279,7994,9177,5834,23.131115007897012,0.6406369474621918,0.7477738629798103,0.4804741816609867,274284
43,274284,248985,8667,10181,6451,22.918866997201114,0.7142668129936908,0.8347664282975349,0.532099761507659,274284
44,274284,246444,9476,11215,7149,22.706354362672837,0.7810142453438204,0.9298587986808499,0.5827725933024926,274284
45,274284,243682,10337,12322,7943,22.463217134123962,0.8508906547069787,1.038343894899274,0.6475483162697869,274284
46,274284,240586,11407,13489,8802,22.179937672524908,0.9608964650179674,1.1367287040611214,0.7224371583960033,274284
47,274284,237382,12333,14849,9720,21.91523367821217,1.010431093479449,1.2582117406817688,0.8161234876266105,274284
48,274284,233796,13496,16249,10743,21.57909860526845,1.1136427838743916,1.392984432887376,0.9142741779697835,274284
49,274284,229871,14715,17805,11893,21.273303876380776,1.1937179995316427,1.5249372072113312,1.0080409168762499,274284
50,274284,225640,15965,19486,13193,20.892396752102073,1.3406181627723344,1.6433122485728668,1.123672836552727,274284
51,274284,221160,17273,21210,14641,20.50753001827389,1.4699681588844544,1.784756466626666,1.2377453562149898,274284
52,274284,216408,18671,23117,16088,20.116699379548994,1.5932380832123973,1.9361264178672428,1.3539361193713668,274284
53,274284,211389,19904,25318,17673,19.703017432636695,1.6944137277468059,2.1209520009302527,1.4816168386862447,274284
54,274284,205869,21436,27491,19488,19.24033232017063,1.80946339255382,2.3260220357503023,1.6241822515252466,274284
