Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274252,28,4,0,24.997524287035297,0.0010692493748082077,0.001406463589896057,0.0,274284
2,274284,274231,37,16,0,24.997365058294136,0.0011659060929638321,0.0014690356129017043,0.0,274284
3,274284,274193,61,29,1,24.997089255143443,0.0018504069775105887,0.001055123543797342,5.214335250470594e-06,274284
4,274284,274152,82,47,3,24.99648087047815,0.0013197676557031766,0.002183718860398266,1.564300575141178e-05,274284
5,274284,274098,113,66,7,24.99447914229187,0.002201222656467762,0.0031953949594756294,0.0001242400921869656,274284
6,274284,274063,112,95,14,24.99354687707292,0.0022059735946693823,0.003273260565953551,0.0009738887664559033,274284
7,274284,274004,139,117,24,24.989351806361643,0.0038039065330338494,0.005198966018290251,0.0016453210870335882,274284
8,274284,273955,161,138,30,24.98871390086138,0.003423643808111242,0.006285818777496985,0.0015766365530127217,274284
9,274284,273884,186,172,42,24.979887435975137,0.005885757574753792,0.012499858128657207,0.0017269483214520402,274284
10,274284,273791,232,208,53,24.97304691408626,0.011760075393559605,0.012920606786768403,0.002272403733409853,274284
11,274284,273704,260,252,68,24.970133120646683,0.010486893897639146,0.016787173392540135,0.0025928120631372753,274284
12,274284,273610,282,310,82,24.965142949055,0.01609737557211296,0.014430602489413975,0.00432907288347136,274284
13,274284,273489,335,357,103,24.963372403799287,0.013131723084382988,0.01773345453709905,0.005762418579229384,274284
14,274284,273355,398,406,125,24.960528453147873,0.015305364631540839,0.018410040405203935,0.0057561418153809,274284
15,274284,273214,445,469,156,24.950130703322532,0.013571765334906378,0.028197394622299407,0.008100136720261872,274284
16,274284,273046,508,539,191,24.93859367245562,0.02036370998981347,0.029285222770675107,0.011757394783890209,274284
17,274284,272860,601,589,234,24.92136342178119,0.027401502302724264,0.03591333429787766,0.015321741618208096,274284
18,274284,272664,664,681,275,24.89300794377557,0.03513412197667807,0.04907970282119907,0.02277823142655276,274284
19,274284,272444,749,764,327,24.88358181274979,0.03803616851676714,0.05245453615544986,0.02592748257799328,274284
20,274284,272217,829,847,391,24.85851543091502,0.04520643090768717,0.06693233872083743,0.02934579945645574,274284
21,274284,271940,898,1013,433,24.83931410842322,0.05505889029917325,0.07333087449882252,0.03229612677878388,274284
22,274284,271633,1027,1118,506,24.80918346619957,0.07310104784899323,0.07744963214071457,0.040265853810722216,274284
23,274284,271315,1132,1248,589,24.778424525287836,0.07973671492471074,0.09258942771335342,0.0492493320741015,274284
24,274284,270921,1272,1415,676,24.759885108777777,0.08380840045459298,0.10051676163335302,0.05578972913427764,274284
25,274284,270501,1411,1599,773,24.724019137516056,0.09690767690355923,0.1124933996344185,0.06657978594596646,274284
26,274284,270044,1603,1740,897,24.679090388213577,0.11697428902644445,0.11724270079653977,0.08669262196343722,274284
27,274284,269567,1757,1940,1020,24.642647406768155,0.12626328007174203,0.13710723051091295,0.09398208264918886,274284
28,274284,268974,1959,2193,1158,24.619898619389115,0.1324474874558378,0.14265176784289219,0.10500212531215387,274284
29,274284,268327,2233,2419,1305,24.566991967133948,0.1568593515310399,0.16066253193848695,0.11548614939652549,274284
30,274284,267697,2419,2674,1494,24.515330611534036,0.17329664802587408,0.18344880091975976,0.12792393952032907,274284
31,274284,266940,2734,2944,1666,24.438224834891365,0.20617433643584052,0.21984569945067423,0.13575512922211938,274284
32,274284,266135,2967,3293,1889,24.322372675994565,0.2445625786981867,0.2689110863683465,0.16415365893890352,274284
33,274284,265266,3231,3682,2105,24.268101397365935,0.2501377521810454,0.31285796660190346,0.16890288385111518,274284
34,274284,264263,3610,4063,2348,24.18630205863806,0.2698309604592343,0.35406466920501284,0.18980231169769402,274284
35,274284,263111,4074,4464,2635,24.086270182152177,0.30633864141066147,0.38177447330591757,0.22561670313124235,274284
36,274284,261923,4454,4980,2927,23.99829463561145,0.3418625880762851,0.41282431733725616,0.24701845897500888,274284
37,274284,260600,4887,5519,3278,23.86183845501809,0.41980439758151605,0.42929957793118506,0.2890575694692072,274284
38,274284,259129,5425,6063,3667,23.721464166549584,0.47587576456611064,0.4698140387375692,0.3328460301467363,274284
39,274284,257538,5933,6685,4128,23.584268119786916,0.5007762955488344,0.5548443749039655,0.3601112097602828,274284
40,274284,255844,6427,7420,4593,23.4668329136079,0.540394666658154,0.5986797449516084,0.3940926747823403,274284
41,274284,253920,7064,8199,5101,23.310366730028605,0.5709422573242537,0.6907554789343641,0.42793553371277876,274284
42,274284,251752,7780,9062,5690,23.131640805317492,0.651718673717375,0.7476458220943893,0.4689946988707449,274284
43,274284,249404,8589,9952,6339,22.897460146374346,0.7262317434523478,0.8425335921238102,0.5337745180494948,274284
44,274284,246928,9343,10952,7061,22.659397926319496,0.7920877568411848,0.9544704756324454,0.5940438412068724,274284
45,274284,244160,10203,12015,7906,22.415355767847313,0.8674145074424763,1.0352894641638535,0.6819402605463567,274284
46,274284,241187,11170,13182,8745,22.165962121491663,0.9368914375082972,1.140033271905124,0.7571131690949159,274284
47,274284,237953,12153,14512,9666,21.87668226562517,1.0528430318844366,1.2233011324294967,0.8471735700608956,274284
48,274284,234426,13167,16036,10655,21.546369147494882,1.1233322081608703,1.3652266094719783,0.9650720348722687,274284
49,274284,230526,14453,17550,11755,21.180393384185383,1.2804236311772066,1.5037767365842176,1.0354062480531923,274284
50,274284,226496,15579,19187,13022,20.86256934527186,1.3612227749755108,1.6280498087821238,1.1481580709705057,274284
51,274284,222189,16784,20915,14396,20.520728850054542,1.4190086280300007,1.8134346015494196,1.2468279203660368,274284
