Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274247,32,5,0,24.998647589313585,0.0012385992647277275,0.00011381142168602441,0.0,274284
2,274284,274212,53,19,0,24.99841587502264,0.0012603605595539386,0.0003237644178067616,0.0,274284
3,274284,274177,70,34,3,24.996676093834573,0.0023367224459403782,0.0009715407137354103,1.564300575141178e-05,274284
4,274284,274135,91,52,6,24.99451876636912,0.0034964774049938458,0.0011151264491452702,0.000869629776741935,274284
5,274284,274095,110,70,9,24.99208200713541,0.004417665354016414,0.0025155993262785258,0.0009847281842961253,274284
6,274284,274060,112,98,14,24.99384332807646,0.002575258628628716,0.002620341135267207,0.000961072159647089,274284
7,274284,274006,139,120,19,24.99118357582695,0.0044238436493505475,0.0032304723406565193,0.0011621081830458732,274284
8,274284,273956,160,139,29,24.989188029420173,0.00575148386966583,0.003479414241550503,0.0015810724686100225,274284
9,274284,273887,190,172,35,24.98402911994347,0.00846876928221488,0.005258747669759116,0.002243363104554932,274284
10,274284,273805,229,205,45,24.97820316715846,0.010392851128260485,0.009058747555321087,0.002345234157961027,274284
11,274284,273700,279,246,59,24.973011670528315,0.013016026036076229,0.010543080850913922,0.003429222584696318,274284
12,274284,273618,298,289,79,24.96581175179568,0.01599749037574514,0.014286382926805086,0.003904374901770522,274284
13,274284,273493,364,334,93,24.96201242365175,0.01981474781915655,0.013410264734214312,0.004762563794881105,274284
14,274284,273376,406,382,120,24.952169188507614,0.022561304753585008,0.019444562144963845,0.0058249445938370675,274284
15,274284,273265,440,425,154,24.937615721074522,0.028596474107526495,0.025280251038400207,0.00850755377955204,274284
16,274284,273129,473,501,181,24.929263374171015,0.03540457895970505,0.026373486001012175,0.008958560868269561,274284
17,274284,272963,537,572,212,24.920244249614935,0.031632994243490135,0.034219424605353814,0.01390333153622196,274284
18,274284,272771,607,655,251,24.912243131871808,0.03451002817964943,0.03658732217238998,0.016659517776152176,274284
19,274284,272567,688,740,289,24.884224388036372,0.0408971910691261,0.05244553254701127,0.022432888347490028,274284
20,274284,272326,788,829,341,24.86628892570544,0.04977122803599176,0.05337229222995167,0.030567554028616477,274284
21,274284,272052,876,962,394,24.853174135357754,0.05107084950695822,0.06248754739220718,0.033267467743081224,274284
22,274284,271765,976,1084,459,24.825541369151342,0.06775892043396048,0.07468594612946089,0.03201376428523695,274284
23,274284,271430,1114,1204,536,24.79747101711603,0.074150916840833,0.08590695989044568,0.04247110615269204,274284
24,274284,271079,1239,1354,612,24.782014646132883,0.0814712914581105,0.09196533476012313,0.044548727648884116,274284
25,274284,270672,1387,1508,717,24.735769447870634,0.10167341791946856,0.1046139738045101,0.057943160405386704,274284
26,274284,270289,1494,1690,811,24.705691709076294,0.1077290800944399,0.12505902653467127,0.06152018429459352,274284
27,274284,269813,1629,1898,944,24.649482073086343,0.13066570217322834,0.14806534107719854,0.07178688366323156,274284
28,274284,269268,1824,2098,1094,24.604367625718957,0.1395095164694093,0.17663668988860737,0.07948616792302689,274284
29,274284,268642,2090,2327,1225,24.5477623391277,0.16257245095611092,0.19317600181304775,0.09648920810314211,274284
30,274284,267995,2345,2550,1394,24.495242735661623,0.183215617367632,0.21041669713175565,0.11112494983898939,274284
31,274284,267268,2609,2844,1563,24.435030601633418,0.20265313394273987,0.2275123337706852,0.13480393065315593,274284
32,274284,266507,2849,3154,1774,24.359461022836392,0.23934093183628793,0.2536840976719625,0.14751394765535575,274284
33,274284,265669,3131,3478,2006,24.29030761467907,0.25907839871801414,0.27217888165877097,0.17843510494414722,274284
34,274284,264683,3481,3867,2253,24.20862586109783,0.2760325560839315,0.31995655429774716,0.1953850285204936,274284
35,274284,263617,3848,4299,2520,24.11032148697757,0.3060456142003479,0.3713118805881091,0.21232101823397567,274284
36,274284,262421,4266,4785,2812,24.009889839149604,0.3431869925282392,0.4134614562076098,0.23346171211454533,274284
37,274284,261155,4683,5295,3151,23.911352350291786,0.3712954763590661,0.4569541305852215,0.2603980427639268,274284
38,274284,259761,5146,5853,3524,23.799590441696953,0.4068850413788371,0.5003706674704946,0.2931538494537158,274284
39,274284,258200,5673,6445,3966,23.665574303372516,0.4571286827051647,0.5468288872167566,0.3304681267055626,274284
40,274284,256610,6114,7104,4456,23.535774125200643,0.49765094164553253,0.595598574112906,0.37097635904091986,274284
41,274284,254766,6735,7856,4927,23.384505206567983,0.5480466259558661,0.6486301642748795,0.4188180032012732,274284
42,274284,252787,7402,8588,5507,23.229954472316393,0.6003425544398149,0.6944645955356767,0.47523837770811506,274284
43,274284,250555,8140,9458,6131,23.037762933665796,0.670289822624381,0.7732353967242854,0.518711846985539,274284
44,274284,248077,8986,10408,6813,22.824659153307852,0.7501469415901223,0.8445421254513499,0.5806517796506767,274284
45,274284,245427,9781,11503,7573,22.598281941343668,0.8191846205576125,0.9358594866646353,0.6466739514340857,274284
46,274284,242542,10769,12557,8416,22.408273125718665,0.8827052899129316,1.0219633216007753,0.6870582627676287,274284
47,274284,239443,11717,13816,9308,22.17476948562905,0.9469427710216953,1.1313116267254912,0.7469761166237634,274284
48,274284,236162,12732,15099,10291,21.889595292409183,1.0442058019124545,1.2422680133269148,0.8239308923514477,274284
49,274284,232525,13857,16496,11406,21.609774229623625,1.1419447908594045,1.3198642925993482,0.9284166869176244,274284
50,274284,228657,15018,18022,12587,21.343544043689985,1.1912383989542878,1.4575326316749895,1.0076849256807368,274284
51,274284,224475,16227,19684,13898,20.99007990229449,1.321658933480652,1.5701053089718193,1.1181558552530402,274284
52,274284,219961,17623,21385,15315,20.649447714822507,1.426796525262358,1.707646549308637,1.216109210606499,274284
53,274284,215075,18984,23379,16846,20.25512508919307,1.53736807947916,1.8616283038940933,1.345878527433679,274284
54,274284,209988,20246,25528,18522,19.87701430384009,1.5987146114729698,2.047417850008182,1.4768532346787582,274284
55,274284,204613,21563,27749,20359,19.43756357201066,1.7262512510837236,2.2073984362763928,1.628786740629223,274284
56,274284,198864,23024,30021,22375,18.99061540306868,1.8186895370181537,2.398868511403558,1.7918265485096077,274284
57,274284,192851,24415,32516,24502,18.475344399447458,1.978740651876963,2.571273595688535,1.9746413529870435,274284
58,274284,186450,25905,35104,26825,17.96374198902327,2.0982558750470788,2.796820594992013,2.141181540937641,274284
59,274284,179989,27127,37868,29300,17.44459804207795,2.214776725403699,2.998940091808144,2.341685140710209,274284
60,274284,173154,28627,40565,31938,16.88883131526261,2.330455186596748,3.2186676293811334,2.562045868759508,274284
61,274284,166130,29900,43403,34851,16.316226909457217,2.433078604151707,3.42870737964447,2.8219871067466054,274284
62,274284,158841,31181,46432,37830,15.703984911686335,2.5659743404144644,3.7004744800274336,3.0295662678717665,274284
63,274284,151503,32224,49341,41216,15.107634374210928,2.640739565445102,3.982255841925717,3.269370218418254,274284
64,274284,143901,33361,52296,44726,14.430901439728043,2.7724563411725716,4.210432346949721,3.5862098721496642,274284
65,274284,136328,34201,55308,48447,13.745161223689294,2.850918495788481,4.526640343180939,3.8772799373412856,274284
66,274284,128721,34962,58306,52295,13.065723867248174,2.938168288152377,4.771602236264984,4.224505608334464,274284
67,274284,121110,35541,61145,56488,12.3767537272716,2.982875433688354,5.0805244012935935,4.559846437746453,274284
68,274284,113642,35894,63935,60813,11.755599482207964,3.0455862440989394,5.311053445365411,4.887760828327686,274284
69,274284,106473,35919,66506,65386,11.123550121489673,3.0928452761914578,5.519469452823983,5.264135149494885,274284
70,274284,99443,35870,68810,70161,10.498489601844293,3.0926885277944485,5.74240670665312,5.666415163708139,274284
71,274284,92571,35544,71216,74953,9.862269812946044,3.0973157815809027,6.024982795159103,6.015431610313951,274284
72,274284,86047,34838,73416,79983,9.256950074267657,3.0404383054838853,6.240799530066399,6.461812090182058,274284
73,274284,79603,34200,75184,85297,8.640789328904289,3.0312831471845896,6.4210483380216505,6.906879185889471,274284
74,274284,73526,33564,76509,90685,8.02200871533677,3.0593277590959964,6.564777254094179,7.353886271473055,274284
75,274284,67806,32607,77799,96072,7.431639766198093,3.0077136184452997,6.735635058202257,7.825011557154351,274284
76,274284,62341,31520,78843,101580,6.886495422229584,2.9744078903428774,6.863331087845087,8.275765599582451,274284
77,274284,57415,29955,79645,107269,6.377634574558231,2.8393249767473976,7.002780257204251,8.78026019149012,274284
78,274284,52752,28588,79901,113043,5.882683265481012,2.7723559142820244,7.0398812080144015,9.305079612222562,274284
79,274284,48460,27080,80109,118635,5.387839489493629,2.7137865944807396,7.083723141124064,9.814650774901567,274284
80,274284,44562,25408,79998,124316,5.0074595316457975,2.5596911518981837,7.121268241092566,10.311581075363453,274284
81,274284,40876,23968,79506,129934,4.615560417692248,2.423307367884635,7.160867846567501,10.800264367855615,274284
82,274284,37674,22324,78702,135584,4.253367317523373,2.2967346138361346,7.143722116181213,11.306175952459279,274284
83,274284,34665,20770,77767,141082,3.926968619314214,2.163276255046131,7.116595954921603,11.79315917071805,274284
84,274284,31870,19436,76349,146629,3.643006857153055,2.061883725312781,6.996133086601952,12.298976330932213,274284
85,274284,29338,17987,74823,152136,3.3406908265280637,1.94822627426264,6.8951071973203275,12.815975701888968,274284
86,274284,27091,16583,73126,157484,3.0763826998205217,1.8190600021943417,6.806451757113955,13.298105540871182,274284
87,274284,25111,15252,71183,162738,2.8787937207380647,1.675852829687643,6.681469550695299,13.763883898878994,274284
88,274284,23279,14073,69253,167679,2.691495515937902,1.5734512877293982,6.5275865830218915,14.207466613310809,274284
89,274284,21555,12953,67276,172500,2.4814095176624216,1.4526962699221238,6.386986863436775,14.67890734897868,274284
90,274284,20069,11804,65025,177386,2.326629774688475,1.309128330025266,6.205302708902992,15.158939186383268,274284
91,274284,18666,10883,62657,182078,2.170489863061539,1.2005306758169407,6.0337888242091,15.59519063691242,274284
92,274284,17428,9954,60221,186681,2.01184421332633,1.0899913957496405,5.846901232082799,16.05126315884123,274284
93,274284,16351,9022,58004,190907,1.8724607967726985,0.9960604881400885,5.658525959156712,16.4729527559305,274284
94,274284,15392,8171,55708,195013,1.7651058463181615,0.9099194222377359,5.440319904496558,16.884654826947543,274284
95,274284,14507,7389,53297,199091,1.6587182505821263,0.8394596773981454,5.192605451506271,17.309216620513457,274284
96,274284,13708,6686,51014,202876,1.559892885720682,0.7818175327700437,4.988620179104439,17.669669402404836,274284
97,274284,13008,6027,48714,206535,1.4661338634426795,0.7018809575457611,4.770583738902977,18.061401440108583,274284
98,274284,12392,5410,46494,209988,1.3731230989933603,0.627576806159887,4.624327905716505,18.374972189130247,274284
99,274284,11779,4903,44319,213283,1.299666340282858,0.575553730619194,4.4038529980079675,18.72092693108998,274284
100,274284,11209,4478,42056,216541,1.2372615376482972,0.516551862915703,4.192815898304671,19.05337070113133,274284
101,274284,10705,4102,39974,219503,1.168082041999392,0.4910619709188056,3.9845942154463856,19.356261771635417,274284
102,274284,10241,3771,38000,222272,1.1195559128958144,0.44204091856392796,3.758333747087555,19.680069421452703,274284
103,274284,9846,3438,36021,224979,1.0567550809089736,0.40638679849419157,3.5985316001785987,19.938326520418236,274284
104,274284,9449,3166,34111,227558,0.9963436812323232,0.3878686181906703,3.4186636072291297,20.197124093347878,274284
105,274284,9124,2874,32349,229937,0.9578245113601362,0.3509161539003416,3.2460062025573646,20.445253132182156,274284
106,274284,8841,2574,30617,232252,0.9145875571855644,0.3245052260262948,3.0744632339663647,20.686443982821775,274284
107,274284,8576,2309,28950,234449,0.8631058336404286,0.2954197990615195,2.9279397660030964,20.913534601294955,274284
108,274284,8315,2100,27380,236489,0.8251448013414587,0.2603513923210181,2.777591379528102,21.13691242680942,274284
109,274284,8082,1902,25889,238411,0.7975748694641579,0.22613635293437961,2.6248953551404055,21.351393422461058,274284
110,274284,7869,1747,24461,240207,0.7772825893802007,0.20913764248574662,2.455352200846229,21.558227567287823,274284
111,274284,7673,1582,23103,241926,0.7530943662710234,0.18730433817200046,2.336914925415084,21.722686370141894,274284
112,274284,7503,1445,21750,243586,0.7308885334844031,0.17145930365080023,2.2096555539355824,21.887996608929214,274284
113,274284,7334,1309,20516,245125,0.7135375583980879,0.14696190985824067,2.119936048420154,22.019564483323517,274284
114,274284,7182,1226,19317,246559,0.6879824200280131,0.1440522094477885,2.0234868764601632,22.144478494064035,274284
115,274284,7030,1116,18230,247908,0.6815219924366536,0.1295381531705228,1.920341574370005,22.268598280022818,274284
116,274284,6921,1033,17142,249188,0.6785044205406476,0.1192004621177358,1.8033019753928243,22.398993141948793,274284
117,274284,6799,938,16091,250456,0.6612906545650608,0.10922446315936556,1.6905532512394768,22.538931631036096,274284
118,274284,6692,865,15082,251645,0.6495376123962191,0.09675103443198736,1.5869897549430825,22.666721598228712,274284
