Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274260,21,3,0,24.999825128253086,0.00015922874116127165,1.564300575141178e-05,0.0,274284
2,274284,274236,34,14,0,24.99956251676074,0.00031475484485106084,0.0001227283944079775,0.0,274284
3,274284,274208,50,23,3,24.998859953456506,0.0007675509788448135,0.00030712485799727347,6.537070665280098e-05,274284
4,274284,274170,69,40,5,24.99853657207074,0.0009660787504065331,0.00042154980169753714,7.579937715374217e-05,274284
5,274284,274126,96,55,7,24.996541192350904,0.002284746501261176,0.0010878331001809222,8.622804765468336e-05,274284
6,274284,274076,121,75,12,24.99491409285537,0.0030942495981592655,0.0017418903762273777,0.00024976717024209697,274284
7,274284,274037,137,94,16,24.992492445952042,0.004376048282485749,0.002737676303560873,0.00039382946191050876,274284
8,274284,273979,163,119,23,24.99038515845254,0.005317720120834537,0.0037035429271839973,0.0005935784994411271,274284
9,274284,273917,191,143,33,24.98186151850344,0.010243106515328934,0.005813262422923336,0.002082112558307742,274284
10,274284,273849,222,172,41,24.97200902757243,0.01557356972857617,0.009684490919246214,0.0027329117797483585,274284
11,274284,273773,252,199,60,24.969964816919326,0.01544988239498148,0.010225909755360495,0.004359390930331207,274284
12,274284,273690,295,225,74,24.96462096104156,0.016454613818969944,0.01405551423757993,0.004868910901890618,274284
13,274284,273597,317,281,89,24.949206365627244,0.02058739047514049,0.025135279644070797,0.005070964253544864,274284
14,274284,273496,340,345,103,24.9381668699618,0.02854266485504045,0.02802954358138065,0.005260921601776773,274284
15,274284,273370,390,401,123,24.927290903025753,0.02837275325096606,0.03744948519197342,0.006886858531306134,274284
16,274284,273254,432,454,144,24.908583758729428,0.03237981957095019,0.05060337741253301,0.008433044287088635,274284
17,274284,273091,511,511,171,24.89810429503367,0.04284768949416849,0.047929096588521056,0.011118918883640895,274284
18,274284,272925,558,591,210,24.89766124389134,0.03864584506511093,0.04955569607072246,0.01413721497282795,274284
19,274284,272718,642,667,257,24.87992566133787,0.04858182298090124,0.05084424467033875,0.020648271010889792,274284
20,274284,272503,717,765,299,24.855342094284346,0.06019232959654407,0.06119264972178245,0.02327292639732967,274284
21,274284,272261,807,858,358,24.841628766235704,0.06395676305538281,0.06948096903400253,0.02493350167491086,274284
22,274284,272006,909,952,417,24.832302848694773,0.0686265369884824,0.06885851922555036,0.030212095091194238,274284
23,274284,271706,1034,1061,483,24.801168629560095,0.0791309546269575,0.07851316482702216,0.04118725098592531,274284
24,274284,271377,1149,1205,553,24.788117314073812,0.08236462928411205,0.085297033392915,0.044221023249162,274284
25,274284,271044,1250,1346,644,24.768213269510866,0.09073984332077499,0.09104931456214402,0.049997572606214506,274284
26,274284,270625,1408,1508,743,24.7088658277247,0.12456170675241897,0.10220393187542964,0.0643685336474493,274284
27,274284,270201,1534,1703,846,24.648637179818373,0.14993735174110714,0.13143224350400418,0.06999322493651777,274284
28,274284,269697,1730,1887,970,24.61994783985465,0.15433683299179674,0.14752466347151263,0.07819066368204076,274284
29,274284,269156,1890,2129,1109,24.56989964112328,0.15583645745252242,0.18211464393709245,0.09214925748710505,274284
30,274284,269031,1608,2365,1280,24.56513802558477,0.13430176393447432,0.18800935009589106,0.11255086038486542,274284
31,274284,268876,1469,2501,1438,24.55723169495033,0.12204458663028891,0.2057366088950849,0.114987109524293,274284
32,274284,268731,1285,2659,1609,24.548628880704804,0.1116652884566284,0.21850718580759637,0.1211986450309725,274284
33,274284,268583,1191,2704,1806,24.520852029242803,0.1071245397247764,0.22587132624309939,0.14615210478932114,274284
34,274284,268440,1097,2759,1988,24.507570496245222,0.09866510446900212,0.23577736149163703,0.15798703779414,274284
35,274284,268278,1040,2788,2178,24.51983000695945,0.08158115887613453,0.23231406125368725,0.16627477291073087,274284
36,274284,268120,987,2797,2380,24.492280532083225,0.0731515631350754,0.24346991651486607,0.19109798826683322,274284
37,274284,267960,952,2794,2578,24.482994559471702,0.06879169315413287,0.2301046590624209,0.21810908831174547,274284
38,274284,267832,886,2793,2773,24.47256371230498,0.06253767846434127,0.23893970298880185,0.22595890624187842,274284
39,274284,267673,857,2797,2957,24.45093057074488,0.06437893101623943,0.23488813955914803,0.24980235867973236,274284
40,274284,267516,831,2783,3154,24.43731709189371,0.0673371533060829,0.22980177907866423,0.2655439757215427,274284
41,274284,267376,802,2746,3360,24.432352853910917,0.06311141986680548,0.2326758642770969,0.27185986194518036,274284
42,274284,267227,808,2696,3553,24.437410243190737,0.06022897201713304,0.2272240603923269,0.2751367243998017,274284
43,274284,267087,797,2643,3757,24.42206039510477,0.055352673393995785,0.22183898517166828,0.30074794632956764,274284
44,274284,266962,752,2620,3950,24.402941679523618,0.05447154488753029,0.21677071475882825,0.32581606083002257,274284
45,274284,266822,741,2605,4116,24.37208820723777,0.05706947320273343,0.22173578336568656,0.3491065361938122,274284
46,274284,266681,737,2574,4292,24.36425846130301,0.05897222558618062,0.2258593446146907,0.35090996849611883,274284
47,274284,266554,711,2538,4481,24.344820494651078,0.06287426884774505,0.21896224647420043,0.3733429900269758,274284
48,274284,266441,693,2491,4659,24.338692347644944,0.06129101931858528,0.21277572860645333,0.38724090443001796,274284
49,274284,266303,712,2449,4820,24.334921333950938,0.058988656562201626,0.20145809593669017,0.40463191355017075,274284
50,274284,266180,696,2449,4959,24.329982068376065,0.04939639506987106,0.19645115024279883,0.42417038631126347,274284
51,274284,266051,678,2415,5140,24.289903876701164,0.05431682850251175,0.1996906081495211,0.4560886866468025,274284
52,274284,265909,701,2362,5312,24.28505595386455,0.061288809843469766,0.18887090372287801,0.4647843325691024,274284
53,274284,265778,687,2346,5473,24.249650939032104,0.05495109410564369,0.19723916783104709,0.49815879903120325,274284
54,274284,265654,678,2307,5645,24.239541006566615,0.053087387220021716,0.18473140532632196,0.522640200887042,274284
55,274284,265524,672,2289,5799,24.23652377892997,0.05099154388680095,0.1812483679602203,0.5312363092230087,274284
56,274284,265381,680,2260,5963,24.220305753925473,0.04864400097501994,0.18015068030192555,0.550899564797582,274284
57,274284,265242,699,2235,6108,24.195495152934072,0.05148679100232347,0.18083379716963172,0.5721842588939742,274284
58,274284,265119,657,2232,6276,24.210732196650785,0.05668578787149381,0.17474368511196262,0.5578383303657589,274284
59,274284,265001,646,2208,6429,24.211072053120546,0.05171631840631763,0.17232328754887405,0.5648883409242617,274284
60,274284,264890,632,2188,6574,24.201520158274796,0.04895219111647535,0.16969800803746612,0.5798296425712622,274284
61,274284,264782,609,2152,6741,24.187084599168113,0.04877988533724243,0.17288128256791496,0.5912542329267296,274284
62,274284,264669,612,2122,6881,24.174544091832203,0.04887402336423095,0.1744033884640521,0.6021784963395136,274284
63,274284,264554,608,2098,7024,24.13772592774731,0.056239948880781904,0.16563690891427574,0.6403972144576308,274284
64,274284,264463,580,2054,7187,24.093061063171174,0.05873737573791791,0.18114003093460035,0.6670615301563082,274284
65,274284,264343,565,2037,7339,24.107964042605023,0.05644335247463783,0.17085609341737173,0.6647365115029671,274284
66,274284,264231,553,2030,7470,24.103192554682728,0.05382393425022437,0.17481023201385312,0.6681732790531936,274284
