Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274253,26,5,0,24.999750615861803,0.00022331246194590688,2.607167625235297e-05,0.0,274284
2,274284,274213,55,16,0,24.99949231475088,0.0003365161396772719,0.00017116910944120093,0.0,274284
3,274284,274186,64,33,1,24.999176563351973,0.00045895410227516,0.0003592682105019794,5.214335250470594e-06,274284
4,274284,274150,83,46,5,24.999014628527398,0.0005322452275918377,0.0004270545687580971,2.607167625235297e-05,274284
5,274284,274103,111,63,7,24.997206096172125,0.0014330082864896024,0.0012746674937318295,8.622804765468336e-05,274284
6,274284,274067,118,90,9,24.99503196959669,0.002943359815279644,0.0016026496927309855,0.00042202089530184823,274284
7,274284,274023,134,114,13,24.991468868026693,0.0027896798912955332,0.005022937369463817,0.000718514712548565,274284
8,274284,273963,163,136,22,24.987256415260898,0.005570447180279436,0.0063321848836771395,0.0008409526751464531,274284
9,274284,273891,194,166,33,24.985750517877438,0.006597740157413996,0.005876203516323597,0.0017755384488229728,274284
10,274284,273837,216,186,45,24.978808168795343,0.010499052419103884,0.007627407983349727,0.003065370802202221,274284
11,274284,273745,255,221,63,24.972810892984086,0.012739369538177116,0.009630651644254312,0.004819085833482211,274284
12,274284,273637,310,259,78,24.96231782384853,0.01933914693201905,0.013494748348292283,0.0048482808711586625,274284
13,274284,273535,343,317,89,24.956812304551004,0.023282438547018943,0.015714847271293634,0.004190409630683691,274284
14,274284,273412,388,380,104,24.945666161051516,0.02501776354931741,0.02478052038116262,0.0045355550180036725,274284
15,274284,273308,406,432,138,24.941466657260573,0.028279232573535974,0.02515636033040125,0.005097749835489767,274284
16,274284,273165,463,486,170,24.93180014808633,0.029667593677849904,0.032917205834300425,0.0056150524015186,274284
17,274284,272982,550,546,206,24.91603907242086,0.03871905346740254,0.03683064097302695,0.008411233138711739,274284
18,274284,272827,598,618,241,24.890453346597774,0.040759039761867386,0.05337244709787407,0.015415166542484045,274284
19,274284,272648,653,705,278,24.858750876412618,0.048778879321630435,0.0693224613272062,0.023147782938545254,274284
20,274284,272432,711,818,323,24.82935064979508,0.06030652704617409,0.08091410277848397,0.029428720380259715,274284
21,274284,272180,807,919,378,24.815534556685346,0.07413406218229907,0.08268811870347183,0.027643262428883788,274284
22,274284,271891,946,1012,435,24.78196689131895,0.08781005663385216,0.09343666104182762,0.03678639100536673,274284
23,274284,271576,1067,1124,517,24.77234080087898,0.08241031908274403,0.10778508064307189,0.037463799395204174,274284
24,274284,271220,1207,1254,603,24.734808344835614,0.09984821929162553,0.11923077927449989,0.04611265659826221,274284
25,274284,270839,1355,1396,694,24.709549866173802,0.11833281431325492,0.11736673773043237,0.05475058178251177,274284
26,274284,270431,1493,1586,774,24.670286162925148,0.13028266305473993,0.13790270072222188,0.06152847329788967,274284
27,274284,269955,1676,1748,905,24.622713378435822,0.15322066823150732,0.1473961508084537,0.07666980252421775,274284
28,274284,269425,1867,1973,1019,24.599364905668832,0.14908214462984795,0.16650970701352197,0.08504324268779839,274284
29,274284,268881,2039,2179,1185,24.54246433824043,0.15904702972646148,0.19668477602481702,0.10180385600829196,274284
30,274284,268528,2001,2415,1340,24.497179775770515,0.174479128229453,0.21313689153579854,0.11520420446423246,274284
