Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274255,22,7,0,24.999848784277738,0.00011471537551035307,3.6500346753294155e-05,0.0,274284
2,274284,274229,39,16,0,24.998795923185792,0.001120647450200504,8.34293640075295e-05,0.0,274284
3,274284,274190,61,33,0,24.9982046233722,0.001485836118200941,0.0003095405096005902,0.0,274284
4,274284,274146,89,44,5,24.996245126690194,0.0032366667899524078,0.0004043950981671373,0.00011381142168602441,274284
5,274284,274097,106,74,7,24.99476844106904,0.003033512910320915,0.00207380592845122,0.0001242400921869656,274284
6,274284,274037,133,103,11,24.991345381026367,0.0035948383113391462,0.0043438606979971485,0.0007159199642978244,274284
7,274284,273982,164,118,20,24.99055059169865,0.0031274546267613884,0.005433868046789853,0.0008880856277971017,274284
8,274284,273917,182,156,29,24.987219443343676,0.004740417048863028,0.007017385216977206,0.0010227543904850083,274284
9,274284,273857,197,189,41,24.98341843226836,0.006619658898518156,0.008156576785820793,0.0018053320473037995,274284
10,274284,273774,239,208,63,24.976486042685785,0.008528845183965876,0.012126274285599556,0.0028588378446505218,274284
11,274284,273681,268,258,77,24.96609863740786,0.011572397414181671,0.017341698028970277,0.004987267148988935,274284
12,274284,273583,305,309,87,24.95619312728966,0.01578612302836844,0.020192742032966737,0.007828007649005177,274284
13,274284,273476,346,351,111,24.946570341480047,0.01969898771328951,0.02514738507185282,0.00858328573481198,274284
14,274284,273329,423,398,134,24.933275513995447,0.028333762073800527,0.028476192099433553,0.009914531831317174,274284
15,274284,273175,489,466,154,24.915923027826175,0.037525375843228945,0.0336484641466911,0.012903132183905172,274284
16,274284,273000,566,528,190,24.905727826723002,0.04543752819713626,0.03812676480038013,0.010707880279482985,274284
17,274284,272842,593,628,221,24.89933276753774,0.04434044968834356,0.0424583575072693,0.013868425266648965,274284
18,274284,272609,692,726,257,24.879179290207414,0.04962484533013579,0.05121022393293043,0.019985640529519604,274284
19,274284,272374,800,802,308,24.8576615999687,0.060176947297955016,0.057409747268816695,0.024751705464526912,274284
20,274284,272114,898,911,361,24.826365692673246,0.07557696771143335,0.06608752014267363,0.03196981947264816,274284
21,274284,271827,1009,1029,419,24.812581273718685,0.08276203029025184,0.07067315121275429,0.0339835447783084,274284
22,274284,271509,1135,1156,484,24.785599455809585,0.08540353527924259,0.09475616906505625,0.03424083984611428,274284
23,274284,271145,1266,1315,558,24.75084735868085,0.09971814014409668,0.11119394194514813,0.038240559229903076,274284
24,274284,270764,1379,1473,668,24.726295932626936,0.11106704609288558,0.11739217941035054,0.04524484186982888,274284
25,274284,270333,1533,1651,767,24.68350541549267,0.1252138578971505,0.1291632745732247,0.062117452036952424,274284
26,274284,269860,1694,1851,879,24.636554038910287,0.1418418414512681,0.14518925898241183,0.07641486065603202,274284
27,274284,269343,1878,2053,1010,24.631217135809873,0.13638875545073834,0.15164279358136235,0.08075131515802514,274284
28,274284,268768,2070,2301,1145,24.585099455041885,0.15408187224021694,0.17260838605244966,0.08821028666544996,274284
29,274284,268062,2348,2600,1274,24.53374228943789,0.17915173246295146,0.18815793716273976,0.09894804093641957,274284
30,274284,267801,2163,2845,1475,24.49264478206632,0.17048932146193824,0.22114201759148872,0.11572387888025071,274284
31,274284,267535,1985,3122,1642,24.467435547159766,0.15806496362972972,0.24390796059832429,0.130591528612178,274284
32,274284,267245,1928,3269,1842,24.446378875653544,0.14288046538420532,0.2644852034294045,0.14625545553284489,274284
33,274284,266947,1849,3425,2063,24.420259957267437,0.13792085036748544,0.28683366784900816,0.15498552451606926,274284
34,274284,266618,1803,3599,2264,24.38714421483786,0.14014163416645825,0.30366121404253404,0.1690529369531454,274284
35,274284,266223,1815,3730,2516,24.354200875833392,0.14101965709871395,0.30633180856487235,0.19844765850302298,274284
36,274284,265867,1800,3868,2749,24.327701408158376,0.14287460347138317,0.31108371329575957,0.21834027507448298,274284
37,274284,265470,1810,4010,2994,24.298322934088706,0.13717635707568368,0.33039300380324305,0.2341077050323672,274284
38,274284,265098,1800,4116,3270,24.242608032188805,0.14624354213012788,0.35111449422693436,0.26003393145413095,274284
39,274284,264701,1831,4206,3546,24.172245183088112,0.16683387890751694,0.3673529326195264,0.29356800538484523,274284
40,274284,264286,1885,4294,3819,24.139760301229387,0.16046445713849508,0.382484224474516,0.3172910171576014,274284
41,274284,263886,1899,4395,4104,24.100622849963596,0.16272617349909063,0.39073639403268295,0.34591458250463125,274284
42,274284,263465,1967,4457,4395,24.056569785208552,0.15594870028990115,0.41712819650848043,0.3703533179930658,274284
43,274284,263043,1983,4541,4717,24.005624517008876,0.16292428088881813,0.4145284883108001,0.4169227137915071,274284
44,274284,262611,2008,4627,5038,23.95236314568981,0.16722589793327208,0.42288127428234545,0.45752968209457234,274284
45,274284,262146,2055,4742,5341,23.919988632421962,0.17085625994533027,0.42532796237258347,0.48382714526012455,274284
46,274284,261703,2095,4810,5676,23.895456358439386,0.16825141176706965,0.41891427717647983,0.5173779526170641,274284
47,274284,261258,2097,4899,6030,23.854325906795744,0.18444214379998286,0.42181356951839977,0.5394183798858734,274284
48,274284,260819,2116,4960,6389,23.80053777363608,0.18330757804151096,0.4379919780063943,0.5781626703160159,274284
49,274284,260355,2140,5048,6741,23.77013572591351,0.18199932203018135,0.44393476660684805,0.6039301854494629,274284
50,274284,259884,2158,5203,7039,23.69763910950819,0.17982167544759114,0.4786872106185801,0.6438520044256373,274284
51,274284,259380,2244,5246,7414,23.663550428260205,0.19423199786003442,0.4794648263929059,0.6627527474868552,274284
52,274284,258930,2253,5305,7796,23.638248459472276,0.18872570260242916,0.4817208362437874,0.6913050016815088,274284
53,274284,258447,2263,5385,8189,23.618468245817354,0.19386543429274122,0.4683713786125754,0.7192949412773291,274284
54,274284,257966,2280,5478,8560,23.577549335623363,0.19868572407332857,0.4750787467118874,0.7486861935914222,274284
55,274284,257431,2367,5549,8937,23.514226849591235,0.21742749853335017,0.4925591143959125,0.7757865374795012,274284
56,274284,256909,2440,5646,9289,23.454523612555644,0.21847745248692413,0.5084442478629582,0.8185546870944742,274284
57,274284,256395,2519,5662,9708,23.421359472544047,0.2167891383422042,0.5164410795143113,0.8454103095994381,274284
58,274284,255835,2625,5684,10140,23.402869034245477,0.22277747444440268,0.4897321892563205,0.8846213020537987,274284
59,274284,255320,2644,5744,10576,23.359391757337225,0.22208032310344575,0.4952414755755947,0.9232864439837365,274284
60,274284,254830,2605,5882,10967,23.356137211552298,0.2195747246302942,0.4851893712544314,0.9390986925629746,274284
61,274284,254271,2655,5982,11376,23.321377931418418,0.2247304527051031,0.4848455840653722,0.9690460318111076,274284
62,274284,253727,2645,6123,11789,23.252460670583005,0.22324173351265103,0.5066160971465585,1.0176814987577845,274284
63,274284,253164,2672,6247,12201,23.20135438319553,0.21861256383770888,0.5273938413077437,1.0526392116590169,274284
64,274284,252602,2717,6305,12660,23.14207281345893,0.22588191218785894,0.5328612360891346,1.0991840382640752,274284
65,274284,252051,2723,6458,13052,23.0775185939939,0.2250445517708188,0.5523916688167645,1.145045185418516,274284
66,274284,251516,2761,6487,13520,23.040156302259895,0.23406575941896002,0.552258639422638,1.1735192988985068,274284
67,274284,250918,2819,6567,13980,23.011439500125768,0.24250735440176582,0.5346064309358058,1.2114467145366625,274284
68,274284,250354,2861,6633,14436,22.910137318577174,0.259762060525964,0.5657968720268991,1.2643037488699629,274284
69,274284,249751,2910,6721,14902,22.853650665938513,0.24627042814239838,0.5733865782817289,1.3266923276373583,274284
70,274284,249163,2933,6828,15360,22.78044855768103,0.22926494984078577,0.606687171496233,1.3835993209819502,274284
71,274284,248601,2917,6919,15847,22.723668741317994,0.23649893621560883,0.603145747765314,1.4366865747010837,274284
72,274284,247987,2957,7034,16306,22.646601975127773,0.2587668793658574,0.5903147342819045,1.5043164112244645,274284
73,274284,247397,2935,7144,16808,22.617868247377306,0.24314878891790387,0.6212766335804787,1.5177063301243106,274284
74,274284,246809,2948,7234,17293,22.594153830317406,0.2506116225491181,0.6323032984973959,1.5229312486360809,274284
75,274284,246150,3019,7324,17791,22.488343296699203,0.27147650248874267,0.6442262134459907,1.5959539873660644,274284
76,274284,245479,3080,7422,18303,22.45581326163436,0.27949756592265484,0.6195248147627858,1.6451643576801969,274284
77,274284,244850,3115,7534,18785,22.394149639885732,0.27049198609861014,0.6604924321436785,1.674865941871981,274284
78,274284,244226,3177,7563,19318,22.316009890737206,0.28417800228588974,0.6761771223889131,1.7236349845879901,274284
79,274284,243624,3201,7667,19792,22.244926100580624,0.2717160896520178,0.6921585754104689,1.7911992343568885,274284
80,274284,242989,3200,7786,20309,22.173792433485417,0.2941884695909037,0.6919137554239371,1.8401053414997426,274284
81,274284,242342,3177,7880,20885,22.124917136593282,0.27917988219865636,0.6985073292688457,1.8973956519392168,274284
82,274284,241716,3181,7985,21402,22.052495930312208,0.29396895562742253,0.7040021674903717,1.9495329465699984,274284
83,274284,240979,3282,8072,21951,21.971992408657336,0.32151116471753477,0.7290119813082714,1.9774844453168585,274284
84,274284,240317,3323,8165,22479,21.90485988660447,0.31167783491645923,0.7313585617344165,2.052103716744655,274284
85,274284,239619,3400,8237,23028,21.840449230297573,0.32757720725783446,0.731859929207746,2.100113633236848,274284
86,274284,238937,3441,8308,23598,21.786678464528308,0.3321025427462217,0.7456627636679766,2.135556229057493,274284
87,274284,238252,3467,8420,24145,21.713673518017625,0.3222987488970684,0.7609012316723209,2.203126501412985,274284
88,274284,237569,3463,8528,24724,21.64435073562371,0.32103939216587074,0.785463018758667,2.2491468534517534,274284
89,274284,236881,3503,8616,25284,21.602188252837564,0.30794445996248504,0.7777686862357611,2.312098600964191,274284
90,274284,236192,3504,8730,25858,21.54098137384113,0.300122843497645,0.7905323629223946,2.368363419738829,274284
91,274284,235473,3547,8793,26471,21.53112970826919,0.3154530650506968,0.773362517072211,2.380054709607902,274284
92,274284,234732,3597,8877,27078,21.468605781255885,0.3038974674840087,0.7740465759773604,2.4534501752827453,274284
93,274284,234043,3602,8956,27683,21.428538179612868,0.3052682328066747,0.7912288593797818,2.4749647282006766,274284
94,274284,233378,3551,9104,28251,21.390496267169674,0.31066543420104453,0.7954363328010232,2.5034019658282594,274284
95,274284,232685,3585,9163,28851,21.25881848834012,0.32577179863352806,0.7999723312231347,2.61543738180322,274284
96,274284,231982,3589,9256,29457,21.19875162450277,0.3110901788757811,0.813921143831289,2.6762370527901593,274284
97,274284,231223,3691,9281,30089,21.15924114915831,0.3228054946273831,0.7900137075471468,2.7279396486671628,274284
98,274284,230492,3756,9328,30708,21.06874745246836,0.3290739195187067,0.8050017166638979,2.7971769113490326,274284
99,274284,229797,3751,9408,31328,20.98729395312229,0.33705624497785486,0.813738137482228,2.861911664417629,274284
100,274284,229078,3750,9482,31974,20.939203994770462,0.35216609604260585,0.8007349611753755,2.9078949480115566,274284
101,274284,228292,3816,9599,32577,20.83108742256266,0.35647897577037896,0.834604993367777,2.9778286082991836,274284
102,274284,227543,3867,9631,33243,20.797777694469517,0.3471531020488634,0.8283505478555504,3.0267186556260683,274284
103,274284,226759,3895,9747,33883,20.698930469258944,0.3595753434910275,0.8460887619452597,3.095405425304768,274284
104,274284,226034,3935,9795,34520,20.625421979410945,0.36812573768525364,0.8807255834912643,3.1257266994125366,274284
105,274284,225245,3974,9908,35157,20.53062113562648,0.3816203076425564,0.8551285085389414,3.232630048192022,274284
106,274284,224463,3997,9992,35832,20.520326569323252,0.36934803292719837,0.859261965505028,3.2510634322445195,274284
107,274284,223720,3985,10051,36528,20.42540349483211,0.3612074727882531,0.8956944945526738,3.3176945378269607,274284
108,274284,222972,3984,10129,37199,20.362713860610445,0.35331681126098763,0.8872247359584075,3.3967445921701596,274284
109,274284,222226,3991,10115,37952,20.288258982360443,0.3433404731717425,0.9227572565861927,3.445643287881624,274284
110,274284,221452,4023,10195,38614,20.2057427902397,0.3556804250708198,0.926508414363407,3.512068370326074,274284
111,274284,220699,4014,10286,39285,20.15632887880962,0.3476608265709582,0.9307993460801453,3.5652109485392742,274284
112,274284,219965,4015,10293,40011,20.050645016160452,0.35528755864754213,0.9142805198457172,3.6797869053462886,274284
113,274284,219267,3982,10373,40662,20.023591426952922,0.3276297029363803,0.9147331226186683,3.7340457474920283,274284
114,274284,218517,4002,10403,41362,19.9387046239363,0.3432185615565673,0.8940545603871645,3.8240222541199698,274284
115,274284,217740,4032,10412,42100,19.863363846920887,0.3402117907318069,0.9091668877851253,3.8872574745621824,274284
116,274284,216984,4020,10474,42806,19.793978866189907,0.3470652333168189,0.9128129929664481,3.946142907526826,274284
117,274284,216233,4054,10510,43487,19.753956988804923,0.34270855394031785,0.9287801924834286,3.9745542647713306,274284
118,274284,215484,4015,10592,44193,19.703688859056587,0.3403561257375161,0.9199773445364547,4.035977670669441,274284
119,274284,214737,4038,10664,44845,19.622900720127657,0.34906950963474886,0.9262974609767751,4.101732309260821,274284
120,274284,214003,4060,10696,45525,19.536388913949022,0.3622886932477507,0.9357445450698263,4.165577847733402,274284
121,274284,213250,4058,10782,46194,19.426737304933194,0.37736285248453466,0.9661497857622311,4.22975005682004,274284
122,274284,212553,4039,10772,46920,19.36864259119107,0.3800520451673785,0.9916158875971621,4.2596894760443895,274284
123,274284,211816,4015,10750,47703,19.296261293683163,0.37530212671657454,1.0036816491285832,4.324754930471679,274284
124,274284,211091,3969,10820,48404,19.237052572128466,0.3693236787618074,0.9922811267066148,4.401342622403111,274284
125,274284,210317,4019,10801,49147,19.11030252428924,0.36870603377759886,0.982329699122082,4.5386617428110805,274284
126,274284,209589,4029,10816,49850,19.056672469942676,0.3727171030152476,0.9555434930498568,4.615066933992219,274284
127,274284,208907,3983,10855,50539,18.99085241219828,0.3600984262928116,0.9458693246867452,4.703179836822162,274284
128,274284,208159,3968,10880,51277,18.93808022353747,0.33957090836290776,0.951552988649165,4.770795879450458,274284
129,274284,207383,4081,10854,51966,18.847221891211092,0.3539538770991856,0.946477704125594,4.85234652756413,274284
130,274284,206631,4029,10947,52677,18.743032240003316,0.35381094732273183,0.9557190208535721,4.947437791820379,274284
131,274284,204239,5686,10934,53425,18.5403138260179,0.529474603991,0.9746680085306377,4.955543561460461,274284
132,274284,202084,6825,11228,54147,18.34736342904115,0.6445657640711769,1.0292650973544362,4.978805709533237,274284
133,274284,199816,7764,11789,54915,18.172174618343494,0.7147776908195149,1.0882443663190045,5.024803324517988,274284
134,274284,197467,8537,12592,55688,17.956142683350905,0.7902775150915992,1.1313204949368416,5.122259306620654,274284
135,274284,195010,9331,13428,56515,17.72635031777741,0.823365227121819,1.2376225340419251,5.212661921058847,274284
136,274284,192283,10242,14335,57424,17.472012941867202,0.9318026602782168,1.3229003446312158,5.2732840532233665,274284
137,274284,189550,11053,15313,58368,17.215501011684033,0.9842012983500115,1.4369233768863414,5.363374313079615,274284
138,274284,186690,11829,16421,59344,16.96379060550234,1.1024362251470576,1.5071302094457408,5.426642959904862,274284
139,274284,183609,12645,17587,60443,16.654681897265633,1.1656829189967894,1.6537780353999751,5.525857148337604,274284
140,274284,180408,13396,18836,61644,16.39411214041797,1.2354507995789554,1.749768196366346,5.620668863636727,274284
141,274284,177067,14193,20130,62894,16.116139994049362,1.2630400346003867,1.860561639021458,5.760258332328794,274284
142,274284,173489,15035,21530,64230,15.73567528640131,1.3825070864172866,1.9869675850738033,5.894850042107599,274284
143,274284,169808,15780,23001,65695,15.405704894065197,1.4911553241616324,2.0789023278929997,6.02423745388017,274284
144,274284,165873,16577,24582,67252,15.099839974842286,1.5148148241131594,2.2265516845445696,6.158793516499983,274284
145,274284,161829,17347,26181,68927,14.724226800195625,1.5929273842380771,2.4190326933935347,6.263813122172763,274284
146,274284,157598,18124,27860,70702,14.407676913607535,1.6259279261097077,2.5609078631557387,6.40548729712702,274284
147,274284,153272,18927,29517,72568,14.029538906208188,1.7293271897887288,2.668329370780208,6.572804533222875,274284
148,274284,148665,19835,31187,74597,13.548246195725527,1.8098895184464177,2.870892149146393,6.770972136681661,274284
149,274284,143953,20687,32878,76766,13.119598088539275,1.8951739584603564,3.018431824108655,6.966796128891713,274284
150,274284,139087,21445,34755,78997,12.700026016883387,1.9581784946888006,3.1389071571667935,7.202888331261019,274284
151,274284,134152,22110,36521,81501,12.179296044934835,2.074552170043187,3.242521860500356,7.503629924521623,274284
152,274284,129228,22721,38268,84067,11.667748779706018,2.1362630519667567,3.4359215510096925,7.7600666173175314,274284
153,274284,124263,23306,39954,86761,11.238501141112447,2.1352077313680216,3.629298599492054,7.996992528027477,274284
154,274284,119278,23779,41813,89414,10.781238624573277,2.1797481580918565,3.8014607142240155,8.237552503110852,274284
155,274284,114360,24139,43457,92328,10.40118347382717,2.2116097122904903,3.925233748367525,8.461973065514817,274284
156,274284,109483,24299,45109,95393,9.945510571245528,2.222442374914334,4.016490639842638,8.8155564139975,274284
157,274284,104548,24551,46656,98529,9.4507057023226,2.2496333153502768,4.163765937554312,9.135895044772813,274284
158,274284,99686,24592,48297,101709,9.03118266691795,2.217379122683609,4.314569964762543,9.436868245635898,274284
159,274284,94789,24659,49804,105032,8.63963116851665,2.211790120050471,4.4398378677237424,9.708740843709137,274284
160,274284,90149,24598,51197,108340,8.222121253695132,2.216667079556779,4.581702315678041,9.979509351070046,274284
161,274284,85573,24368,52525,111818,7.808430386145317,2.204060411140415,4.733655838514706,10.253853364199562,274284
162,274284,81101,24040,53717,115426,7.36894575202579,2.1912290825800573,4.815516862700547,10.624308302693604,274284
163,274284,76846,23774,54461,119203,6.956396664801781,2.136282394951928,4.967657242153621,10.93966369809267,274284
164,274284,72738,23305,55270,122971,6.605824615859667,2.1204099763567035,5.005402872633437,11.268362535150192,274284
165,274284,68763,22779,55996,126746,6.290185351382083,2.0584550272506026,5.061717412453138,11.589642208914176,274284
166,274284,65026,22154,56485,130619,5.969014333402114,2.02342072889468,5.05729524439219,11.950269693311016,274284
167,274284,61444,21523,56788,134529,5.594644083343098,1.9477546190744108,5.120461493309141,12.33713980427335,274284
168,274284,58197,20726,56942,138419,5.277375217052062,1.907690048144803,5.1457531125896745,12.669181622213461,274284
169,274284,54938,20085,56835,142426,4.9519209512063425,1.8207182683992784,5.119205360864,13.108155419530378,274284
170,274284,51968,19316,56752,146248,4.640824723690004,1.7082268180427989,5.170683104766932,13.480265353500265,274284
171,274284,49182,18528,56461,150113,4.429403210223761,1.6331464252389039,5.119287045556056,13.818163318981279,274284
172,274284,46631,17659,56126,153868,4.138749324515053,1.5575283503371402,5.132465830836775,14.17125649431103,274284
173,274284,44201,16867,55708,157508,3.907025811309776,1.4935233397049912,5.136838527792218,14.462612321193015,274284
174,274284,41923,16105,54980,161276,3.690114486444901,1.4378418726702504,5.00861759154613,14.863426049338718,274284
175,274284,39819,15320,54143,165002,3.520577046923916,1.3334313436382121,4.939930241715497,15.206061367722375,274284
176,274284,37785,14449,53363,168687,3.255248640309272,1.2529681273712225,4.9311116203486405,15.560671611970864,274284
177,274284,35983,13599,52411,172291,3.1361485353949847,1.1755934319345882,4.809280085133079,15.878977947537349,274284
178,274284,34208,12833,51236,176007,2.9334840323541145,1.1179763241907061,4.743447357354467,16.20509228610071,274284
179,274284,32584,11964,50267,179469,2.806173712102741,1.0349493427911076,4.623903257309117,16.534973687797034,274284
180,274284,31157,11234,49100,182793,2.6671535861222635,0.963964217635052,4.501098252664152,16.867783943578534,274284
181,274284,29863,10539,47718,186164,2.5601225965568393,0.9167522100675414,4.380891234497166,17.142233958878453,274284
182,274284,28605,9834,46522,189323,2.4651928791898947,0.8655124184490858,4.250250279133464,17.419044423227554,274284
183,274284,27476,9343,45029,192436,2.3417154120837838,0.8570404835353383,4.077503060963832,17.723741043417046,274284
184,274284,26488,8700,43737,195359,2.2254067396326307,0.7940569566799017,3.9140558598763113,18.066480443811155,274284
185,274284,25503,8110,42407,198264,2.1450292893018914,0.7187326407482634,3.807737691288401,18.328500378661445,274284
186,274284,24694,7635,40936,201019,2.091055919330555,0.6588553731230498,3.7431575378768898,18.506931169669507,274284
187,274284,23914,7263,39520,203587,1.9848745749444592,0.632036389040601,3.598265694116656,18.784823341898285,274284
188,274284,23199,6792,38125,206168,1.9086109490558234,0.5936561030765868,3.45945302030505,19.03827992756254,274284
189,274284,22544,6392,36739,208609,1.8285675287638175,0.5417968786124696,3.3580814554193568,19.271554137204355,274284
190,274284,21906,5957,35354,211067,1.806269689001564,0.5147476376927574,3.263136452901504,19.415846220404173,274284
191,274284,21206,5633,34060,213385,1.7585092322664662,0.47543922042793707,3.183193850314545,19.582857696991052,274284
192,274284,20709,5197,32828,215550,1.707527923510998,0.43389278734443326,3.0815104368470485,19.77706885229752,274284
193,274284,20346,4851,31530,217557,1.6982213379832287,0.3994116858138015,2.9497667993134478,19.952600176889522,274284
194,274284,19856,4599,30203,219626,1.6645327809928852,0.38289764989448255,2.8179374191841435,20.13463214992849,274284
195,274284,19541,4291,28993,221459,1.6431021871169933,0.3660248952265462,2.7095055471328067,20.281367370523654,274284
196,274284,19160,4006,27876,223242,1.5857319704396007,0.3567723596579228,2.552957749396759,20.50453792050572,274284
197,274284,18820,3722,26660,225082,1.590511805640325,0.31947138765222804,2.4628735283780583,20.627143278329388,274284
198,274284,18661,3477,25537,226609,1.573407813204186,0.28788889726182576,2.3961795486917983,20.74252374084219,274284
199,274284,18478,3258,24391,228157,1.5228375101831546,0.27340334204352673,2.2802083854857202,20.923550762287597,274284
200,274284,18184,3060,23325,229715,1.5098023420820152,0.26795255195376455,2.137497759526332,21.08474734643789,274284
201,274284,17937,2952,22176,231219,1.4656091069530477,0.2674992805933963,2.02313155946375,21.243760052989806,274284
202,274284,17847,2782,21176,232479,1.4775690364099885,0.24059176929449114,1.9253771615369686,21.35646203275855,274284
203,274284,17693,2629,20252,233710,1.4573766630990503,0.22862398432755704,1.8257931023755314,21.488206250197862,274284
204,274284,17516,2475,19325,234968,1.4478183157812285,0.1893070945747465,1.752034990265345,21.61083959937868,274284
205,274284,17393,2306,18477,236108,1.4136517987012367,0.1795085607717445,1.6911111913526156,21.715728449174403,274284
206,274284,17339,2238,17611,237096,1.4166338652408565,0.17899240261966956,1.6051252320168845,21.79924850012259,274284
207,274284,17319,2151,16722,238092,1.3975667744201576,0.17070551000674622,1.528554259620513,21.903173455952583,274284
208,274284,17195,2038,15937,239114,1.3939293679598461,0.1677864770624706,1.4273612445688018,22.010922910408883,274284
209,274284,17204,1971,15212,239897,1.419605997119084,0.15959144590879096,1.3569150068719749,22.06388755010015,274284
210,274284,17128,1870,14476,240810,1.415452651273872,0.15773386393526734,1.291446778957895,22.135366705832965,274284
211,274284,17098,1776,13807,241603,1.426806758882715,0.14868509021623855,1.2738119666059988,22.150696184295047,274284
212,274284,17035,1683,13196,242370,1.438185798028946,0.12860331363008945,1.2054191916535604,22.227791696687405,274284
213,274284,16990,1562,12690,243042,1.4320643927049546,0.11774346427217491,1.134463994519688,22.315728148503183,274284
214,274284,16960,1487,12078,243759,1.424552853946847,0.11754762669297382,1.0685617301340389,22.38933778922614,274284
215,274284,17038,1467,11497,244282,1.4238245139142616,0.10749814979001981,1.0251360669391905,22.44354126935653,274284
216,274284,17041,1376,10996,244871,1.4172628279422088,0.10020473502603942,0.9647636392775646,22.517768797754186,274284
217,274284,17157,1317,10524,245286,1.4298856579224486,0.0933478414274853,0.9248073855174,22.551959115132668,274284
218,274284,17201,1237,10039,245807,1.444328057134619,0.09522846150321093,0.8905348497619789,22.569908631600192,274284
219,274284,17229,1196,9639,246220,1.4377613178980257,0.09158218079282618,0.824622664863488,22.64603383644566,274284
220,274284,17366,1149,9159,246610,1.442516035230254,0.0823128535473538,0.7986718625654079,22.676499248656985,274284
221,274284,17440,1137,8687,247020,1.4264836621744341,0.07993339384138039,0.7992538679963295,22.694329075987856,274284
222,274284,17611,1075,8304,247294,1.4336539192917135,0.08545341992708179,0.7573466609623538,22.72354599981885,274284
223,274284,17729,1063,7901,247591,1.4435221938271596,0.08902539263253928,0.7136370967988477,22.753815316741452,274284
224,274284,17862,1025,7556,247841,1.4860842877988558,0.08341857155216893,0.6670460956222865,22.763451045026688,274284
