Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274257,18,9,0,24.99884822521501,0.0009673783214021125,0.00018439646358929597,0.0,274284
2,274284,274217,52,14,1,24.998564142859646,0.0011446657199181128,0.0002859770851853017,5.214335250470594e-06,274284
3,274284,274177,76,30,1,24.997774337332995,0.00183068315632247,0.00038976517543089744,5.214335250470594e-06,274284
4,274284,274131,107,42,4,24.996114664749843,0.0022132562466796787,0.0016512216624764101,2.0857341001882375e-05,274284
5,274284,274086,127,67,4,24.989753232731324,0.00812662763762229,0.002099282290052191,2.0857341001882375e-05,274284
6,274284,274040,147,88,9,24.976770510293345,0.01671039795088052,0.005548914750724379,0.0009701770050492664,274284
7,274284,273995,160,111,18,24.980448204848457,0.013680736252353016,0.00467898852973807,0.0011920703694499328,274284
8,274284,273937,194,133,20,24.981006235037356,0.01226858159000375,0.0055724120335921366,0.0011527713390494848,274284
9,274284,273866,232,159,27,24.97525696556825,0.015052725305523571,0.007484332755488623,0.0022059763707398348,274284
10,274284,273784,270,189,41,24.97331116089512,0.0158344553812946,0.008437939213004099,0.0024164445105814836,274284
11,274284,273689,312,230,53,24.954814956196284,0.02486862598486046,0.015788847604009584,0.004527570214845791,274284
12,274284,273595,336,288,65,24.956550418789707,0.017319191554539624,0.02132727102622171,0.004803118629530151,274284
13,274284,273489,386,323,86,24.947742983821833,0.024005400734144804,0.02392937405363231,0.004322241390388926,274284
14,274284,273385,413,384,102,24.944401012480885,0.022506974181653674,0.026825814697305498,0.00626619864015681,274284
15,274284,273266,465,434,119,24.94387725494371,0.025438988926982008,0.02327404493539979,0.00740971119390635,274284
16,274284,273138,498,495,153,24.9413010152033,0.0262419643856754,0.024104184371674595,0.008352836039348253,274284
17,274284,272983,557,561,183,24.930951689733362,0.027824676178816028,0.03166333651761921,0.009560297570201867,274284
18,274284,272781,661,638,204,24.916482169674207,0.03441859854625989,0.03601022051881272,0.01308901126072147,274284
19,274284,272591,756,698,239,24.89791986748472,0.04234595316244604,0.041605594474334845,0.01812858487849751,274284
20,274284,272374,846,780,284,24.876600383852672,0.0543771101092798,0.050033734031319305,0.018988772006730287,274284
21,274284,272122,957,867,338,24.843332558966143,0.06899422679893989,0.058337688792547124,0.029335525442369753,274284
22,274284,271861,1060,965,398,24.830930065144813,0.08238053672679364,0.059417829096827066,0.027271569031566995,274284
