Day,S,E,I,R,Total
0,274281.0,2.0,0.0,0.0,274283.0
1,274280.95626079774,1.7329792188833868,0.3009966610555042,0.009763322365519588,274283.00000000006
2,274280.8358281653,1.5775588938527427,0.5499670302414961,0.03664591060006085,274282.99999999994
3,274280.6505271176,1.5057113234916246,0.7657533161564053,0.07800824273444644,274282.99999999994
4,274280.407629162,1.4979051606403833,0.9622384547837632,0.13222722249368005,274282.99999999994
5,274280.1110261954,1.5407199198266401,1.149819739947534,0.19843414475303178,274282.9999999999
6,274279.76205277425,1.6251502877263775,1.3364657862718377,0.27633115172700895,274282.99999999994
7,274279.36005543004,1.7454039673417394,1.528476448566821,0.3660641539808821,274282.9999999999
8,274278.90277999337,1.8980516052103815,1.7310320255713332,0.46813637574102196,274282.99999999994
9,274278.386626926,2.0814287764558492,1.9485929338685861,0.5833513635119971,274282.9999999998
10,274277.8068101234,2.295218700462879,2.1851936334740065,0.7127775425342011,274282.9999999999
11,274277.1574442561,2.540164823420732,2.444662194995476,0.8577287252567021,274282.99999999977
12,274276.4315782233,2.817877119342253,2.730788007358331,1.0197566498008743,274282.9999999998
13,274275.62118680513,3.130706680510345,3.0474536640125542,1.2006528501235667,274282.9999999998
14,274274.71712895884,3.481670209700876,3.3987428573741765,1.4024579738357474,274282.99999999977
15,274273.70907816704,3.874411856732493,3.7890326356752135,1.6274773403587217,274282.9999999998
16,274272.58542833733,4.3131934157911616,4.223076287654558,1.8783019590013024,274282.9999999998
17,274271.3331772,4.802906742140695,4.706081484337236,2.1578345732504123,274282.9999999997
18,274269.9377880376,5.349104186936941,5.2437872295457915,2.469320545610428,274282.99999999965
19,274268.3830296598,5.958044382888299,5.8425423534657845,2.816383603526957,274282.9999999997
20,274266.6507938901,6.636751694112629,6.509387804191126,3.2030666112489623,274282.9999999997
21,274264.72088921606,7.393088459469145,7.252144654040226,3.633877670181217,274282.9999999997
22,274262.57080878015,8.235839757537827,8.079509505841505,4.113841956261881,274282.99999999977
23,274260.175470389,9.174810882953699,9.001158912318516,4.648559815454458,274282.99999999977
24,274257.5069258685,10.220938086267225,10.02786432853007,5.2442717164228965,274282.9999999997
25,274254.5340365324,11.386413459386066,11.17161922240355,5.907930785526564,274282.99999999965
26,274251.2221111508,12.684825136306273,12.445779977092744,6.647283735416287,274282.9999999996
27,274247.5325023699,14.13131420866744,13.86522232471776,7.470961096337348,274282.99999999965
28,274243.4221569626,15.742750008024963,15.44651524089452,8.388577788072661,274282.9999999996
29,274238.8431147403,17.537925699725974,17.20811436412174,9.41084519550851,274282.99999999965
30,274233.7419503359,19.537776360863447,19.170577252570453,10.549696050277372,274282.99999999965
31,274228.05915192113,21.76562181730045,21.356802804762225,11.818423456476685,274282.99999999965
32,274221.7284285729,24.24743741655196,23.792298082723907,13.23183592750014,274282.9999999997
33,274214.6759396567,27.01215530711889,26.50547510327932,14.806429932627054,274282.9999999997
34,274206.81943656364,30.091999945433553,29.52798135405995,16.560582136563298,274282.99999999965
35,274198.06730721315,33.52286153453285,32.89506774928526,18.514763502761255,274282.99999999977
36,274188.3175124547,37.34471160698199,36.645998213785504,20.691777724217722,274282.99999999965
37,274177.456402144,41.60206546244197,40.82450563459487,23.11702675864607,274282.9999999997
38,274165.3573974702,46.34449664001605,45.47929936650975,25.818806522974185,274282.99999999977
39,274151.87952528254,51.627208915149254,50.66462980298465,28.82863599903443,274282.9999999997
40,274136.8657841798,57.51167361001657,56.44091783711705,32.18162437276034,274282.99999999977
41,274120.1413314129,64.06633640145446,62.87545345053782,35.916878734813906,274282.9999999997
42,274101.51146303344,71.36740418427374,70.0431741162511,40.07795866568726,274282.9999999996
43,274080.75936769793,79.49971946149043,78.02753060430108,44.713382235988085,274282.99999999965
44,274057.64362930844,88.55773170457653,86.9214498074622,49.87718917919321,274282.99999999965
45,274031.8954508185,98.64657617773021,96.82840532293618,55.62956768050614,274282.9999999997
46,274003.2155680713,109.88327192846896,107.86360793504795,62.037552064933664,274282.9999999997
47,273971.2708208761,122.39805130214086,120.15532871201069,69.1757991094839,274282.99999999977
48,273935.69034355954,136.3358350657241,133.846369446168,77.12745192828652,274282.99999999977
49,273896.0613375391,151.85786707719282,149.09569505281553,85.98510033061922,274282.9999999997
50,273851.9243727631,169.1435279230978,166.08024878692078,95.85185052668093,274282.99999999977
51,273802.76817971206,188.39234170478517,184.99696517248404,106.84251341047981,274282.9999999998
52,273748.02387264074,209.8261974210934,206.065003980935,119.08492595704726,274282.9999999998
53,273687.0585427307,233.6918067838242,229.52822939604576,132.72142108923376,274282.9999999998
54,273619.168164253,260.2634184990828,255.6579570112192,147.91046023646643,274282.99999999977
55,273543.5697410451,289.84581454809666,284.7559972852291,164.82844712132984,274282.99999999977
56,273459.39261436294,322.777615245009,317.15802682955115,183.67174356227588,274282.99999999977
57,273365.6688595277,359.4349172576243,353.23731679624694,204.6589064182145,274282.99999999977
58,273261.32268083433,400.2352944127664,393.4088545712569,228.0331701813955,274282.9999999997
59,273145.1587082766,445.64219080126423,438.1338982443249,254.06520267755295,274282.9999999997
60,273015.8491080144,496.1697337737191,487.9249991840728,283.05615902758973,274282.99999999977
61,272871.9193931324,552.3879988143896,543.3515397428773,315.3410683100924,274282.99999999977
62,272711.73284432595,614.9287511917718,605.045823710209,351.29258077181737,274282.99999999977
63,272533.47341089096,684.4916933819962,673.7097756518424,391.32512007496393,274282.99999999977
64,272335.12700147193,761.85124005571,750.1222863473895,435.8994721246673,274282.99999999965
65,272114.4610462144,847.8638395146698,835.1472570972684,485.52785717341436,274282.9999999997
66,271869.0022311264,943.4758506452796,929.7423891972135,540.7795290308231,274282.99999999977
67,271596.0123112103,1049.731973611061,1034.9687656224871,602.2869495559547,274282.99999999977
68,271292.4619238238,1167.784225719623,1152.0012606961473,670.7525897601417,274282.9999999997
69,270955.00234600366,1298.90142556873,1282.1398184121965,746.9564100151127,274282.9999999997
70,270579.9351709912,1444.4791304705172,1426.8216235548873,831.764074983114,274282.9999999997
71,270163.17991947586,1606.0499421164063,1587.634178789155,926.1359596182648,274282.9999999997
72,269700.23965784506,1785.2940598746475,1766.3292786961763,1031.1370035837385,274282.9999999996
73,269186.164772823,1984.0498994654138,1964.8378594679045,1147.9474682432876,274282.9999999996
74,268615.5151300673,2204.324558789002,2185.2856607445688,1277.8746503987416,274282.99999999965
75,267982.3209692022,2448.3038274913642,2430.009602436067,1422.3656008699556,274282.99999999953
76,267280.04303654557,2718.3613497996384,2701.5747250867735,1583.0208885675954,274282.9999999996
77,266501.5326387948,3017.0664373555824,3002.791487160604,1761.6094366885593,274282.99999999953
78,265638.99247112207,3347.189949856203,3336.7331302539687,1960.0844487673357,274282.9999999996
79,264683.93938000477,3711.707471122807,3706.752733616375,2180.600415255611,274282.99999999953
80,263627.17049248243,4113.798871880622,4116.499468348579,2425.5311672879357,274282.9999999996
81,262458.73454071477,4556.843139758422,4569.9334145997545,2697.4889049266253,274282.9999999996
82,261167.9105170944,5044.407224047905,5071.3381673794875,2999.344091477763,274282.99999999953
83,259743.1963130809,5580.227362378943,5625.330279418474,3334.246045121239,274282.9999999996
84,258172.31048379253,6168.181156974415,6236.864366259343,3705.6439929732674,274282.9999999996
85,256442.21080445792,6812.248453095343,6911.2324712123645,4117.308271233895,274282.99999999953
86,254539.13379375607,7516.458903944682,7654.056041741421,4573.351260557363,274282.99999999953
87,252448.65983328424,8284.823951392504,8471.26866832898,5078.247546993785,274282.9999999995
88,250155.80911460548,9121.25085509618,9369.087378847626,5636.852651450237,274282.99999999953
89,247645.17387397567,10029.436495872129,10353.970088186177,6254.419541965547,274282.9999999995
90,244901.09254925657,11012.738918042018,11432.556570180279,6936.611962520648,274282.9999999995
91,241907.8712427493,12074.024984590314,12611.590275306684,7689.5134973532095,274282.9999999995
92,238650.05756655987,13215.493287165164,13897.818082724632,8519.631063549816,274282.9999999995
93,235112.77063727786,14438.47258691342,15297.865475712553,9433.891300095644,274282.9999999995
94,231282.08948139954,15743.197552373309,16818.0845695799,10439.628396646734,274282.99999999953
95,227145.49960626074,17128.565537624243,18464.373424698148,11544.561431416369,274282.9999999995
