Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274262,18,4,0,24.99983555692359,0.00014358573540985988,2.0857341001882375e-05,0.0,274284
2,274284,274226,44,14,0,24.99856363951585,0.0013136320897398199,0.0001227283944079775,0.0,274284
3,274284,274194,57,31,2,24.99723427177515,0.0010526898301050536,0.001652882023344647,6.0156371402330383e-05,274284
4,274284,274154,82,46,2,24.99185654845282,0.005428815273393236,0.002654479902383822,6.0156371402330383e-05,274284
5,274284,274107,107,61,9,24.988898141851585,0.007874366655781414,0.0026240005581562482,0.0006034909344769083,274284
6,274284,274071,116,83,14,24.98483697921627,0.009403941100931106,0.005179244772973519,0.0005798349098278721,274284
7,274284,274022,145,98,19,24.987260981909774,0.004473351898633031,0.0069525319266140395,0.0013131342649786624,274284
8,274284,273960,170,129,25,24.982850755383062,0.007984903001149289,0.005784319348025327,0.003380022267761628,274284
9,274284,273883,206,163,32,24.981128269628968,0.008897164088697705,0.00791986933951623,0.002054696942816265,274284
10,274284,273807,237,200,40,24.978789393239268,0.009037433299169506,0.01013467479624061,0.0020384986653230403,274284
11,274284,273723,277,229,55,24.96791978057403,0.010989898185359689,0.01592236809893433,0.0051679531416762,274284
12,274284,273627,310,273,74,24.96171933687548,0.016582666355890334,0.014613046547323278,0.007084950221306281,274284
13,274284,273516,356,319,93,24.956083069467272,0.016044672418404377,0.01807364676470126,0.009798611349623117,274284
14,274284,273400,391,368,125,24.94363098304037,0.020970381594783538,0.02657361780170708,0.008825017563139304,274284
15,274284,273281,418,435,150,24.928213474220087,0.026417662894834163,0.034838170110906605,0.010530692774171155,274284
16,274284,273129,494,478,183,24.914544256851435,0.036162297665768145,0.035057967182935565,0.01423547829986035,274284
17,274284,272958,553,556,217,24.89584307730219,0.04323701327713434,0.04508181622063596,0.01583809320004022,274284
18,274284,272774,623,643,244,24.89481724864938,0.036176118059410636,0.05247160639129482,0.016535026899914013,274284
19,274284,272554,716,717,297,24.87997762677343,0.04979151558564556,0.04585153136204509,0.024379326278877823,274284
20,274284,272358,779,800,347,24.87332215353638,0.05064517727457184,0.054900716526913,0.021131952662131977,274284
21,274284,272071,899,916,398,24.85242595663321,0.060167135315775076,0.06413224076492846,0.023274667286087056,274284
22,274284,271789,1019,1016,460,24.834881390311555,0.06530403801289822,0.06745945954703361,0.03235511212851401,274284
23,274284,271507,1098,1148,531,24.811590498839454,0.0760291537166337,0.07681570924398406,0.03556463819992748,274284
24,274284,271177,1215,1278,614,24.79198024951296,0.08255146792351827,0.08303676370472848,0.04243151885879098,274284
25,274284,270769,1378,1436,701,24.76610714764285,0.08474903073863642,0.09658335683045566,0.05256046478805717,274284
26,274284,270411,1446,1616,811,24.735427911539862,0.09394184805791526,0.10597424741175056,0.06465599299047295,274284
27,274284,269957,1634,1768,925,24.70186969369639,0.09773767724382791,0.12527779428501393,0.07511483477476728,274284
