Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274246.0,33,5,0.0,24.999801855260483,0.0001720730632655296,2.607167625235297e-05,0.0,274284.0
2,274284,274217.0,53,14,0.0,24.998762568072078,0.0011644312344154422,7.300069350658831e-05,0.0,274284.0
3,274284,274190.0,65,29,0.0,24.997569469608603,0.0015256876989549616,0.0009048426924420791,0.0,274284.0
4,274284,274154.0,84,44,2.0,24.996464680971034,0.0022551820882258057,0.0012697082702383662,1.0428670500941187e-05,274284.0
5,274284,274115.0,103,62,4.0,24.994816055543232,0.0031621794956201103,0.001951179919244298,7.058504190327157e-05,274284.0
6,274284,274069.0,134,74,7.0,24.991173894261102,0.006334234201598116,0.0024056434896453883,8.622804765468336e-05,274284.0
7,274284,274029.0,139,102,14.0,24.989889679915223,0.00630224549236726,0.0035601095517556977,0.00024796504065301947,274284.0
8,274284,273983.0,156,122,23.0,24.986650222070786,0.007274433741746394,0.0053141737946997315,0.0007611703927694766,274284.0
9,274284,273904.0,188,160,32.0,24.983414230268085,0.005936704797022353,0.007720866649003692,0.0029281982858893225,274284.0
10,274284,273833.0,219,186,46.0,24.98154181390845,0.008104375067060635,0.007827579588653315,0.0025262314358353052,274284.0
11,274284,273751.0,256,220,57.0,24.975196735016546,0.010114863230002755,0.0099117979843512,0.004776603769101377,274284.0
12,274284,273672.0,280,261,71.0,24.96316666671379,0.015436684987829954,0.013174651473061525,0.008221996825320864,274284.0
13,274284,273578.0,309,304,93.0,24.952453213625024,0.023952091052202057,0.015415962729941947,0.008178732592833752,274284.0
14,274284,273467.0,347,354,116.0,24.948897543439394,0.024517671751798628,0.017130789517827164,0.009453995290981268,274284.0
15,274284,273331.0,399,409,145.0,24.948443400836354,0.019056274528473534,0.021736731392681407,0.010763593242491551,274284.0
16,274284,273181.0,468,467,168.0,24.93710548473642,0.02495989841060792,0.026674534859321374,0.011260081993648828,274284.0
17,274284,273020.0,529,538,197.0,24.925505336151808,0.026538308311612014,0.03258289091800903,0.015373464618572018,274284.0
18,274284,272823.0,599,626,236.0,24.918998281766363,0.02832593381643671,0.037388427355756516,0.015287357061444481,274284.0
19,274284,272619.0,655,735,275.0,24.882952543556545,0.03960905606346814,0.05521409205457125,0.022224308325416494,274284.0
20,274284,272370.0,760,832,322.0,24.868015290732433,0.05055366972415471,0.059478844786630465,0.02195219475678237,274284.0
21,274284,272150.0,830,930,374.0,24.840725007492654,0.060106831872538936,0.07324052204775178,0.025927638587052843,274284.0
22,274284,271891.0,908,1054,431.0,24.814107367096067,0.06882361114532771,0.0877357003800208,0.02933332137858409,274284.0
23,274284,271570.0,1049,1179,486.0,24.777125123319188,0.08605054471816469,0.1002034849329804,0.03662084702966879,274284.0
24,274284,271200.0,1200,1313,571.0,24.737305051614037,0.09395952083802035,0.12148337224364705,0.04725205530429428,274284.0
25,274284,270815.0,1344,1483,642.0,24.712600249465858,0.10691251664930834,0.12511499224214154,0.05537224164269377,274284.0
26,274284,270396.0,1485,1665,738.0,24.679768222773173,0.11678226383342238,0.13483423296115304,0.06861528043225042,274284.0
27,274284,269885.0,1702,1836,861.0,24.616036291535554,0.15389906989803273,0.15307257970193194,0.07699205886447961,274284.0
28,274284,269367.0,1870,2055,992.0,24.551522935706988,0.17126389227483602,0.180570934535386,0.09664223748278956,274284.0
29,274284,268769.0,2093,2309,1113.0,24.47524467241819,0.203712331064483,0.21217741031675172,0.10886558620057607,274284.0
30,274284,267814.23099999997,2349,2565,1555.769,24.421523627757853,0.20852206437033144,0.23437625476538826,0.13557805310642845,274283.99999999994
31,274284,266800.416769,2662,2831,1990.5832309999998,24.31951321803969,0.23864952491518232,0.2570757202425424,0.18476153680258686,274284.0
32,274284,265788.616352231,2877,3153,2465.383647769,24.235257946557592,0.2561629836355436,0.29059498468069284,0.2179840851261732,274284.0
33,274284,264632.82773587876,3136,3557,2958.172264121231,24.151598683252185,0.2704753536110246,0.3101083996476304,0.2678175634891592,274284.0
34,274284,263404.1949081429,3504,3919,3456.80509185711,24.02263402461111,0.31064177455225606,0.34746695197257665,0.31925724886405793,274284.0
35,274284,262055.79071323475,3911,4327,3990.2092867652527,23.88584836723009,0.3458695443473861,0.39686510016455356,0.3714169882579722,274284.0
36,274284,260533.73492252154,4402,4781,4567.265077478488,23.76476805631162,0.3840354713284148,0.4221743635955046,0.42902210876446156,274284.0
37,274284,259040.20118759898,4788,5324,5131.798812401009,23.64397908632879,0.42210581366491523,0.4624352444515563,0.4714798555547388,274284.0
38,274284,257355.16098641139,5255,5919,5754.839013588608,23.49098986405052,0.4883641084876198,0.5018728030892758,0.5187732243725846,274284.0
39,274284,255545.805825425,5733,6570,6435.194174575019,23.334549921876153,0.5184362326420291,0.5765819266826756,0.5704319187991446,274284.0
40,274284,253635.26001959958,6298,7227,7123.7399804004435,23.150295300404142,0.572647420980759,0.6536870330915964,0.6233702455235018,274284.0
41,274284,251574.62475957998,6900,7939,7870.375240420044,22.916081333362875,0.6325388986850848,0.716396685851711,0.7349830821003313,274284.00000000006
42,274284,249370.0501348204,7438,8795,8680.949865179624,22.746078372039243,0.6575342970203459,0.7842928742071521,0.8120944567332594,274284.0
43,274284,246854.68008468556,8255,9579,9595.319915314443,22.51988639586829,0.7261699695864325,0.8503632758323644,0.9035803587129152,274284.0
44,274284,244173.82540460085,9094,10522,10494.174595399129,22.295452520668263,0.8053261806308094,0.9292869272369454,0.9699343714639829,274283.99999999994
45,274284,241351.65157919627,9894,11579,11459.34842080373,22.034773290776112,0.8818370980188455,1.0024818387186991,1.0809077724863443,274284.0
46,274284,238191.29992761707,10870,12733,12489.700072382926,21.712630602734166,0.9851731686103925,1.1203609742970315,1.1818352543584125,274284.0
47,274284,234930.10862768948,11826,13920,13607.891372310543,21.45470097495107,1.0592419367734895,1.2407932840458118,1.2452638042296302,274284.0
48,274284,231381.17851906177,12805,15299,14798.821480938232,21.147564078417627,1.1413103594178822,1.3621603093973835,1.3489652527671097,274284.0
49,274284,227468.7973405427,13993,16701,16121.202659457294,20.80505106209475,1.200356118783793,1.502499783210327,1.4920930359111306,274284.0
50,274284,223388.32854320217,15150,18238,17507.671456797838,20.489982458563993,1.2965531603814995,1.589438916129208,1.624025464925302,274284.0
51,274284,219119.94021465897,16131,19998,19035.05978534104,20.096440412129724,1.3686225523878806,1.7846769436792598,1.750260091803138,274284.0
52,274284,214403.8202744443,17476,21772,20632.179725555696,19.558833816974303,1.5463085011587665,2.0317219406312894,1.8631357412356435,274284.0
53,274284,209426.41645416987,18802,23726,22329.583545830144,19.164367799733558,1.6685548209546273,2.161547437330911,2.005529941980906,274284.0
54,274284,204185.9900377157,20099,25709,24290.009962284315,18.665159886105982,1.8136618087444576,2.3458749324552883,2.1753033726942754,274284.0
55,274284,198655.804047678,21367,27949,26312.19595232203,18.12220936925344,1.9422812828935694,2.558559779488525,2.3769495683644677,274284.0
56,274284,192937.1482436303,22660,30182,28504.851756369706,17.601242513893098,2.048411097507443,2.740257903977153,2.6100884846223082,274284.0
57,274284,186918.21109538665,24047,32527,30791.788904613335,17.065181903021305,2.17604547784512,2.919055992302808,2.8397166268307683,274284.0
58,274284,180581.2928842913,25401,35040,33261.70711570872,16.461923809285285,2.279980168063995,3.157816797159162,3.1002792254915614,274284.0
59,274284,173900.711591407,26940,37522,35921.28840859301,15.827388810582875,2.4361586951258687,3.379676965045019,3.35677552924624,274284.0
60,274284,167207.8108798156,28141,40300,38635.18912018443,15.143849462458112,2.609061024125017,3.680389849409405,3.5666996640074675,274284.0
61,274284,160352.6030689358,29334,42976,41621.39693106424,14.501973378691021,2.720932935263215,3.888797617698187,3.888296068347579,274284.00000000006
62,274284,153079.25046586685,30538,45849,44817.749534133174,13.868837249297414,2.8023966798101028,4.1666015837564325,4.162164487136053,274284.0
63,274284,145859.17121540097,31524,48770,48130.82878459904,13.233140190934414,2.8529454559280505,4.436545068846695,4.477369284290842,274284.0
64,274284,138636.3120441856,32588,51399,51660.68795581444,12.51814504084929,2.976152300034911,4.71110533880919,4.794597320306609,274284.0
65,274284,131440.6757321414,33231,54284,55328.324267858625,11.85001960560845,3.0741820691654085,4.909151926442602,5.166646398783542,274284.0
66,274284,124250.23505640925,33785,57006,59242.764943590766,11.186427097640077,3.088812484236916,5.197898384060089,5.526862034062919,274284.0
67,274284,117003.98482135285,34242,59642,63396.01517864718,10.5261325582298,3.1595542456958556,5.401906210814646,5.912406985259699,274284.0
68,274284,109676.98083653148,34760,62092,67755.01916346853,9.857299895593764,3.1612948052889616,5.710563216806281,6.270842082310995,274284.0
69,274284,102633.30385569495,34846,64531,72273.69614430507,9.21363692366082,3.164985841438599,5.941076330124095,6.680300904776487,274284.0
70,274284,96043.67055183926,34488,66961,76791.32944816076,8.5809186124662,3.177544082611399,6.181488097206636,7.0600492077157675,274284.0
71,274284,89576.62688128742,34062,69159,81486.3731187126,8.028291638274528,3.1050731849923077,6.331076404574679,7.535558772158488,274284.0
72,274284,83288.05025440612,33767,70872,86356.94974559388,7.534370560514347,3.028181877942988,6.432381132349007,8.00506642919366,274284.0
73,274284,77402.76220415172,32974,72503,91404.2377958483,6.981499189766021,2.9522391219785034,6.556367249808519,8.50989443844696,274284.0
74,274284,71708.35944194757,32079,73968,96528.64055805243,6.535362535448648,2.805578658114112,6.73840170921615,8.920657097221092,274284.0
75,274284,66396.65108250562,31110,74941,101836.34891749438,5.997378657223768,2.7653263040519116,6.827686843066166,9.409608195658157,274284.0
76,274284,61453.25443142312,29912,75813,107105.7455685769,5.514717427229838,2.697349412015539,6.8715770913059,9.916356069448726,274284.0
77,274284,56735.80117699169,28756,76386,112406.19882300832,5.062290036098949,2.607061365166256,6.976032775698047,10.354615823036749,274284.0
78,274284,52487.065375814695,27409,76630,117757.9346241853,4.689302144873296,2.5066319239092825,7.026395114737052,10.777670816480372,274284.0
79,274284,48526.57831043888,25955,76643,123159.42168956112,4.329548703182014,2.4092077374912875,7.002693982457913,11.258549576868788,274284.0
80,274284,45039.05173212845,24416,76492,128336.94826787156,3.9592078343988266,2.258562472136141,6.969612596452132,11.812617097012902,274284.0
81,274284,41637.01268039632,23070,75897,133679.98731960368,3.651887766380599,2.133396337620668,6.960606295174548,12.254109600824187,274284.0
82,274284,38675.375667715925,21585,74978,139045.62433228406,3.4478195440460535,1.977856011236524,6.818363583582394,12.75596086113503,274284.0
83,274284,35918.70029204821,20272,73896,144197.29970795178,3.150971767580055,1.8444040138491722,6.704970172683724,13.299654045887051,274284.0
84,274284,33505.78159175616,18913,72598,149267.21840824385,2.9620087289409716,1.7319706524873961,6.51075345662325,13.795267161948384,274284.0
85,274284,31242.275810164403,17623,71195,154223.7241898356,2.7350960928991688,1.6491106563168836,6.411429484326591,14.204363766457359,274284.0
86,274284,29204.03353435424,16321,69628,159130.96646564576,2.597587058144787,1.5176773892041917,6.251083534922935,14.633652017728089,274284.0
87,274284,27324.829500819884,15202,67792,163965.17049918012,2.4163699943857866,1.3861422242634311,6.119786928625335,15.07770085272545,274284.0
88,274284,25680.504671319064,14027,66056,168520.49532868093,2.2496113623638756,1.271195117900603,5.958790487618233,15.52040303211729,274284.0
89,274284,24119.824166647748,12917,64181,173066.17583335226,2.1438792564165383,1.175367408714401,5.826731372274204,15.854021962594858,274284.0
90,274284,22679.704342481098,11918,62319,177367.29565751887,1.9736487944471865,1.0813211037950683,5.646250390217089,16.298779711540657,274284.0
91,274284,21419.024638138617,11064,60226,181574.97536186138,1.8902830476262487,0.9948518455986615,5.378069477587254,16.73679562918784,274284.0
92,274284,20305.605613500476,10155,58062,185761.39438649948,1.8156477258864243,0.9154317643977196,5.222341186179944,17.046579323535916,274283.99999999994
93,274284,19276.300007886977,9391,55775,189841.69999211296,1.7151685216240973,0.8595423108550115,5.021414527203561,17.403874640317333,274283.99999999994
94,274284,18452.023707879092,8628,53753,193450.97629212085,1.5933395437444182,0.7549164809252137,4.904042220385069,17.7477017549453,274283.99999999994
95,274284,17570.571684171213,7970,51620,197123.42831582876,1.497918885310199,0.682189913323469,4.70488936576254,18.115001835603795,274284.0
96,274284,16926.00111248704,7387,49455,200515.99888751292,1.4516005839803134,0.6276192733238345,4.455929491521128,18.464850651174725,274283.99999999994
97,274284,16361.075111374555,6812,47243,203867.92488862542,1.3969060220173097,0.5627952795062715,4.255365941885186,18.784932756591235,274284.0
98,274284,15842.714036263178,6306,45098,207037.28596373677,1.3569189892125373,0.5217821261698331,4.02978418612096,19.09151469849667,274283.99999999994
99,274284,15307.871322226918,5794,43156,210026.12867777303,1.2858377426469725,0.5295866307146265,3.8555669118403744,19.32900871479803,274283.99999999994
100,274284,14819.563450904689,5289,41230,212945.43654909526,1.2527655588444047,0.46220943890163607,3.7007917125307097,19.58423328972325,274283.99999999994
101,274284,14402.743887453784,4835,39405,215641.2561125462,1.2321797656504236,0.4138678863519729,3.5445729329507993,19.809379415046806,274284.0
102,274284,14031.341143566331,4472,37542,218238.6588564336,1.185998037202019,0.4007697620788721,3.3566941003031436,20.056538100415967,274283.99999999994
103,274284,13760.309802422766,4126,35772,220625.6901975772,1.1571508347702273,0.370002332542704,3.2243146478491447,20.248532184837924,274284.0
104,274284,13533.549492620341,3851,34012,222887.45050737963,1.126980445544657,0.3391613065642995,3.108311442351104,20.425546805539938,274284.0
105,274284,13313.01594312772,3570,32368,225032.98405687223,1.0813652222796029,0.3186596848411745,2.969320007838156,20.630655085041067,274283.99999999994
106,274284,13178.702927184591,3273,30744,227088.2970728154,1.0811417829412098,0.2894544917484103,2.8148258168593165,20.814577908451064,274284.0
107,274284,12993.52422425741,3089,29133,229068.47577574255,1.0524579437911705,0.2692909902192885,2.6722676558982097,21.005983410091332,274283.99999999994
108,274284,12865.53070003315,2869,27620,230929.46929996682,1.0173356007057355,0.24654165798973487,2.551586284840818,21.18453645646371,274284.0
109,274284,12800.665169333117,2722,26202,232559.33483066683,0.9989125051430937,0.23115685251360107,2.408411976690563,21.361518665652742,274283.99999999994
110,274284,12713.864504163783,2496,24901,234173.1354958362,0.9989359968612145,0.19897455620701432,2.282885200485347,21.519204246446424,274284.0
111,274284,12655.15063965962,2389,23562,235677.84936034033,1.0112569400655262,0.17761188321404225,2.168979846095759,21.642151330624674,274283.99999999994
112,274284,12566.49548901996,2225,22362,237130.50451097998,0.9886891915101523,0.17350037964809412,2.043808140040035,21.794002288801718,274283.99999999994
113,274284,12516.92899353094,2079,21224,238464.07100646902,1.0130092475918697,0.17271048327265182,1.9509016085849775,21.863378660550502,274283.99999999994
114,274284,12493.41206453741,1903,20163,239724.58793546254,1.0169450567100184,0.15139861681912462,1.8562407748589254,21.97541555161193,274283.99999999994
115,274284,12404.918652472872,1821,19066,240992.0813475271,0.9945950029741243,0.14273576799595467,1.7354321511209216,22.127237077909,274284.0
116,274284,12451.513733820399,1698,18136,241998.48626617956,0.9782440065889517,0.1342450863048914,1.6461092094372545,22.241401697668902,274283.99999999994
117,274284,12466.062220086578,1610,17194,243013.9377799134,0.9702216816029203,0.12634297520360505,1.553779535146575,22.3496558080469,274284.0
