Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,274284,274252,27,5,0,24.998542345938105,0.0014315823856415073,2.607167625235297e-05,0.0,274284
2,274284,274214,48,22,0,24.99905730831758,0.0003755247382676304,0.0005671669441500427,0.0,274284
3,274284,274172,79,31,2,24.997596722692098,0.0017098594506334353,0.0006829891867677685,1.0428670500941187e-05,274284
4,274284,274139,97,41,7,24.997649143879904,0.0012041313560237714,0.0011102244173200873,3.6500346753294155e-05,274284
5,274284,274101,110,63,10,24.997554484702697,0.0015387590552840915,0.0008546128895145658,5.214335250470594e-05,274284
6,274284,274044,145,80,15,24.99465532172951,0.003131946698812287,0.002134516542920202,7.82150287570589e-05,274284
7,274284,274000,157,103,24,24.990994303724012,0.004221956426789614,0.0037860068919311506,0.0009977329572677818,274284
8,274284,273939,183,134,28,24.988787050585398,0.005247714381738378,0.005287684423211636,0.0006775506096524842,274284
9,274284,273871,212,170,31,24.986691932210814,0.005644654195992784,0.0068707645759848975,0.0007926490172066744,274284
10,274284,273801,237,202,44,24.979729568459714,0.008614549983520875,0.009303593184421652,0.0023522883723453743,274284
11,274284,273707,269,244,64,24.972921499872253,0.009417299488323271,0.012037843465859557,0.00562335717356309,274284
12,274284,273603,318,287,76,24.96155865887249,0.013430806299970477,0.015568185028152791,0.009442349799386018,274284
13,274284,273471,391,331,91,24.95833631274575,0.014645223530165365,0.018976590071249508,0.008041873652835037,274284
14,274284,273374,396,406,108,24.955052311351665,0.016123586477921163,0.02011934838651524,0.008704753783899998,274284
15,274284,273250,444,457,133,24.94454379099909,0.018655732609236458,0.02526660106346956,0.011533875328201486,274284
16,274284,273083,523,512,166,24.932012138406762,0.025860198466022596,0.02911055817884478,0.013017104948370817,274284
17,274284,272921,586,574,203,24.91813924184298,0.03447886192705824,0.034160116407092926,0.013221779822867553,274284
18,274284,272730,636,676,242,24.90473421323862,0.03940525769924729,0.037304608277714396,0.018555920784417944,274284
19,274284,272517,706,772,289,24.881176125453173,0.04580617086857838,0.04867005294038581,0.024347650737863488,274284
20,274284,272276,799,869,340,24.865887670191153,0.0495294892413032,0.05416858616666699,0.03041425440087597,274284
21,274284,272004,883,998,399,24.84516132945498,0.058368505299647405,0.06635464408555418,0.030115521159817294,274284
22,274284,271687,1004,1116,477,24.809753144151983,0.0819237380548103,0.07162767949582244,0.03669543829738345,274284
23,274284,271350,1143,1240,551,24.785452989227224,0.09122593263756888,0.08108816292448105,0.042232915210727695,274284
24,274284,270999,1267,1384,634,24.743759303493064,0.11005865736326739,0.09290307440233553,0.05327896474133171,274284
25,274284,270596,1409,1532,747,24.706049988237837,0.11598762664694277,0.10616026888539906,0.07180211622982012,274284
