Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304531,41,7,0,23.99690399005811,0.0026515095286661974,0.0004445004132210889,0.0,304579
2,304579,304459,93,26,1,23.990777864449672,0.007347498586597567,0.0018118977705551622,6.273919317397578e-05,304579
3,304579,304408,117,51,3,23.98598241708894,0.009926815267209689,0.0038426933893898133,0.0002480742544605186,304579
4,304579,304342,144,86,7,23.980997196589296,0.011267283405929205,0.0070420268303413355,0.0006934931744332235,304579
5,304579,304281,161,124,13,23.97547719427662,0.012579964977234003,0.010620893609235188,0.0013219471369108641,304579
6,304579,304218,183,155,23,23.970840182335433,0.014939867452538173,0.01221606015977686,0.0020038900522527333,304579
7,304579,304151,210,184,34,23.965340843381593,0.017493197805157637,0.014270149694019976,0.002895809119230457,304579
8,304579,304083,228,218,50,23.959078161708828,0.018942133441839506,0.01800842643355745,0.003971278415776463,304579
9,304579,304005,252,260,62,23.953362592675997,0.02038786928832608,0.021530876519484193,0.004718661516193003,304579
10,304579,303921,267,316,75,23.94785388480159,0.020892387752298704,0.025762301188235737,0.005491426257878482,304579
11,304579,303835,300,355,89,23.938417673229058,0.02513197324479487,0.02961859817625451,0.006831755349893654,304579
12,304579,303753,307,402,117,23.931836828478595,0.02562229397468401,0.03322101489763867,0.009319862649082477,304579
13,304579,303674,317,451,137,23.9245659337452,0.027751313408037995,0.03698269337200507,0.010700059474758225,304579
14,304579,303571,340,501,167,23.917474110775927,0.029796795659127538,0.03980437184741985,0.012924721717523976,304579
15,304579,303483,353,544,199,23.912057792807126,0.028771615985636403,0.04404456939970688,0.015126021807530412,304579
16,304579,303386,362,590,241,23.900230515543583,0.031652406803482414,0.04957106333741584,0.01854601431551828,304579
17,304579,303290,379,629,281,23.8913146149018,0.03262467230258047,0.052469178631694174,0.023591534163925506,304579
18,304579,303200,386,677,316,23.885587463428628,0.03261708044191285,0.0545773102934137,0.027218145836046922,304579
19,304579,303101,406,709,363,23.874259210513056,0.034317772509495324,0.06075942371713528,0.03066359326031283,304579
20,304579,303004,407,748,420,23.86739736034504,0.032837520295046635,0.06319654898463153,0.03656857037527889,304579
21,304579,302908,411,797,463,23.859123338553655,0.030930647350840102,0.06851892453140156,0.041427089564102446,304579
22,304579,302792,441,824,522,23.847349908310033,0.03484050257529062,0.07146281786512858,0.04634677124954681,304579
23,304579,302684,473,849,573,23.83713200875253,0.03778769572107572,0.07523279348687566,0.04984750203951996,304579
24,304579,302570,493,883,633,23.82755678865555,0.041270133890105254,0.07799477727434209,0.05317830018000207,304579
25,304579,302448,523,919,689,23.817145276092724,0.0419368525182673,0.08228098627114329,0.05863688511786726,304579
26,304579,302328,552,963,736,23.810175625336306,0.04401656650100609,0.08339379824984156,0.06241400991284492,304579
27,304579,302214,554,1008,803,23.7970707994365,0.04489438779515922,0.08769619684832498,0.07033861592001574,304579
28,304579,302079,585,1048,867,23.787995302579688,0.04805045148840997,0.09031103408972134,0.07364321184218159,304579
29,304579,301953,600,1094,932,23.775691004123207,0.05001656221043106,0.09464862617205165,0.07964380749431042,304579
30,304579,301883,550,1127,1019,23.768982976477623,0.04657708710242968,0.09771960777461387,0.08672032864533367,304579
31,304579,301796,523,1169,1091,23.760493190428164,0.04513493334353409,0.10189409788390559,0.09247777834439569,304579
32,304579,301719,495,1203,1162,23.753068325804122,0.045113746876063655,0.10360646272530881,0.09821146459450365,304579
33,304579,301631,491,1221,1236,23.74543973417957,0.04419431971642141,0.10556646484475188,0.10479948125925816,304579
34,304579,301551,487,1219,1322,23.738148831045002,0.042323817819118766,0.10730688869408911,0.11222046244179014,304579
35,304579,301442,499,1232,1406,23.729242457006016,0.0428377776884685,0.1079654712394245,0.11995429406608893,304579
36,304579,301364,469,1261,1485,23.722283725983985,0.0419915475359574,0.10820063709271048,0.12752408938734894,304579
37,304579,301259,489,1269,1562,23.713874118767073,0.04318819337048576,0.10833060386898477,0.13460708399345445,304579
38,304579,301172,483,1264,1660,23.707022586028348,0.04188813314670378,0.10756112626276416,0.1435281545621833,304579
39,304579,301076,488,1270,1745,23.69875679354109,0.04184153452361327,0.10818762841514908,0.15121404352014683,304579
40,304579,300967,489,1284,1839,23.690345175977637,0.040136995657873535,0.11051657411318341,0.15900125425130518,304579
41,304579,300845,503,1310,1921,23.678981205294907,0.043067815729052675,0.11198161337688915,0.16596936559914993,304579
42,304579,300730,518,1318,2013,23.669921514895215,0.043049405980086955,0.11352160666067998,0.1735074724640161,304579
43,304579,300615,536,1318,2110,23.659230376635136,0.046077145340267474,0.11283475835715367,0.18185771966744232,304579
44,304579,300529,504,1336,2210,23.65318963505549,0.04191490782079589,0.11491404733329544,0.1899814097904182,304579
45,304579,300430,502,1343,2304,23.644950501076075,0.04285732365883248,0.11399356790769878,0.1981986073573944,304579
46,304579,300322,532,1319,2406,23.63640039060631,0.04525899460747348,0.11083579954031439,0.20750481524590272,304579
47,304579,300211,552,1314,2502,23.626260969969017,0.04743146320335704,0.1116919972368545,0.2146155695907706,304579
48,304579,300112,543,1327,2597,23.617742960900596,0.04719225457569327,0.11187355580428013,0.22319122871942992,304579
49,304579,300012,537,1336,2694,23.6089495808346,0.04697335132654005,0.11321039465137882,0.2308666731874801,304579
50,304579,299899,557,1328,2795,23.5997666788188,0.04913364892972843,0.11175541855244826,0.23934425369902554,304579
51,304579,299819,531,1338,2891,23.591586360645678,0.04790579647678178,0.11314138246773436,0.2473664604098065,304579
52,304579,299726,513,1368,2972,23.583056838263992,0.04625957138634852,0.1157347333010245,0.2549488570486328,304579
53,304579,299617,529,1374,3059,23.574558322921742,0.04711537292502615,0.1165380277628201,0.2617882763904097,304579
54,304579,299507,529,1395,3148,23.56518551947607,0.04740993753122781,0.11789713696294409,0.2695074060297584,304579
55,304579,299402,523,1425,3229,23.556238646118103,0.04668535850172308,0.12043908750949227,0.27663690787068146,304579
56,304579,299278,525,1444,3332,23.54496243601702,0.047354832882005746,0.12300099940072949,0.2846817317002454,304579
57,304579,299166,519,1466,3428,23.534504368587264,0.04813462635585738,0.1245426435212358,0.2928183615356438,304579
58,304579,299059,523,1454,3543,23.526334777760354,0.047453411411941475,0.12290029974411448,0.30331151108359045,304579
59,304579,298954,525,1469,3631,23.518486082098722,0.045611360058660566,0.12526345779869144,0.3106391000439261,304579
60,304579,298841,545,1467,3726,23.509529619501166,0.04794033911730065,0.12385486881761279,0.31867517256392,304579
61,304579,298738,552,1453,3836,23.50238008504407,0.04665672357487387,0.12214846336776308,0.3288147280132927,304579
62,304579,298634,553,1472,3920,23.49435369079633,0.04537865282878201,0.12454882376429416,0.33571883261059204,304579
63,304579,298511,572,1465,4031,23.483969816541997,0.046941237718706855,0.12466673927044758,0.3444222064688479,304579
64,304579,298404,557,1496,4122,23.47553766070592,0.04620659424715552,0.12702670967225954,0.3512290353746645,304579
65,304579,298297,549,1501,4232,23.468480278052247,0.04368141873273021,0.12701637231024113,0.36082193090478276,304579
66,304579,298179,547,1519,4334,23.457022151036604,0.045211487547144734,0.12827109064951223,0.3694952707667401,304579
67,304579,298056,558,1523,4442,23.446880513396543,0.045776185919773685,0.12926581997709302,0.37807748070659014,304579
68,304579,297921,591,1515,4552,23.436212271602084,0.047354339175578936,0.12907810667695577,0.3873552825453803,304579
69,304579,297808,563,1527,4681,23.42652541305068,0.045389946571897516,0.13065964721852658,0.3974249931588966,304579
70,304579,297701,548,1563,4767,23.416368907141845,0.04516290949806559,0.1340450741703425,0.404423109189748,304579
71,304579,297562,583,1558,4876,23.40484474961004,0.04855735003452851,0.1328891518483431,0.4137087485070894,304579
72,304579,297438,573,1575,4993,23.395414537013114,0.04596437345876569,0.13501248916507397,0.42360860036304604,304579
73,304579,297332,560,1579,5108,23.38616253550705,0.045280923124012606,0.13428201445684032,0.43427452691209656,304579
74,304579,297212,564,1575,5228,23.377590091363103,0.04553486858024638,0.1330615951240714,0.4438134449325787,304579
75,304579,297111,572,1549,5347,23.368064416590403,0.04689721213751039,0.13145692044024312,0.4535814508318432,304579
76,304579,296987,581,1560,5451,23.357237362025703,0.0483732824023113,0.13231633902376982,0.4620730165482169,304579
77,304579,296883,571,1555,5570,23.34859605041993,0.048544353316893746,0.13135924712279964,0.4715003491403766,304579
78,304579,296766,560,1581,5672,23.337302095117447,0.050008334643302885,0.132443632792744,0.48024593744650534,304579
79,304579,296629,595,1590,5765,23.326432844218708,0.051644487122548044,0.13435982687897127,0.4875628417797745,304579
80,304579,296515,583,1598,5883,23.31605029112727,0.05097774446917363,0.1355819766545308,0.49738998774902776,304579
81,304579,296390,588,1606,5995,23.305508438412495,0.051990911777911916,0.13660992775845326,0.505890722051141,304579
82,304579,296277,589,1608,6105,23.29689025198152,0.0508948162106634,0.1375234492440248,0.5146914825637932,304579
83,304579,296141,604,1618,6216,23.286005379336196,0.050457216295941104,0.13843491513063488,0.5251024892372281,304579
84,304579,296014,580,1667,6318,23.275796790933,0.04908075194983138,0.14086786417079256,0.5342545929463759,304579
85,304579,295886,607,1640,6446,23.265201873182374,0.0499482662074577,0.13942513356181352,0.5454247270483532,304579
86,304579,295742,628,1654,6555,23.253228303037623,0.05250010566590351,0.1405674831486178,0.5537041081478554,304579
87,304579,295601,626,1685,6667,23.241159742160846,0.051294420744213,0.14446182517723297,0.563084011917708,304579
88,304579,295472,628,1670,6809,23.22880035213667,0.05287656584820112,0.14388066943236463,0.5744424125827637,304579
89,304579,295353,625,1686,6915,23.218879590086846,0.05218137544862655,0.14617536936923226,0.582763665095293,304579
90,304579,295215,625,1701,7038,23.207021613095016,0.05190051095043927,0.14677185593691733,0.5943060200176284,304579
91,304579,295077,638,1691,7173,23.195639136867424,0.05351523791207195,0.14645226993659677,0.6043933552839063,304579
92,304579,294956,632,1693,7298,23.18510114104354,0.053757777072099305,0.14459647463600311,0.6165446072483567,304579
93,304579,294837,626,1689,7427,23.17437165512024,0.05632037065131569,0.14244971876751195,0.6268582554609317,304579
94,304579,294697,645,1703,7534,23.164260602124116,0.056342296393958546,0.14257603541996686,0.6368210660619562,304579
95,304579,294560,658,1721,7640,23.151502367201523,0.056724706760004164,0.14682737780734265,0.6449455482311294,304579
96,304579,294441,637,1756,7745,23.140397552242472,0.05615487735552297,0.15098673656394931,0.6524608338380553,304579
97,304579,294303,646,1757,7873,23.126648369281924,0.05842801692541568,0.15213899289354668,0.6627846208991146,304579
98,304579,294156,675,1763,7985,23.113557060844773,0.06215519307331604,0.1527683418620504,0.6715194042198612,304579
99,304579,294038,649,1795,8097,23.10263819303508,0.059322224258121885,0.15710616580712164,0.6809334168996763,304579
100,304579,293910,657,1794,8218,23.090553900983522,0.06084031916443951,0.15584262813083555,0.6927631517212028,304579
101,304579,293772,668,1788,8351,23.08018547136045,0.060285890722308916,0.15533039453787173,0.7041982433793696,304579
102,304579,293634,669,1814,8462,23.068146360942993,0.0601461693609788,0.15850242342161966,0.7132050462744066,304579
103,304579,293509,648,1811,8611,23.055927753569442,0.06002405869357517,0.15803728617423185,0.7260109015627497,304579
104,304579,293369,660,1824,8726,23.043647707217282,0.05927465600061121,0.1607178179272345,0.736359818854872,304579
105,304579,293245,670,1802,8862,23.03360874853078,0.058410042355053635,0.15911416871540865,0.7488670403987547,304579
106,304579,293126,652,1796,9005,23.021556286061873,0.0578166563824757,0.15993597499422063,0.76069108256143,304579
107,304579,293000,646,1793,9140,23.008133767045795,0.05886147819469826,0.15866065419108327,0.7743441005684247,304579
108,304579,292878,633,1784,9284,22.99829706368307,0.056786523889552895,0.15624686670718507,0.7886695457201935,304579
109,304579,292749,647,1767,9416,22.98629057775304,0.05726715594942196,0.15641952636283865,0.8000227399346992,304579
110,304579,292617,639,1776,9547,22.97520414376478,0.05562256487302143,0.15682518785889904,0.8123481035032978,304579
111,304579,292497,643,1773,9666,22.963511489127345,0.056183710178248754,0.15671674196588053,0.8235880587285238,304579
112,304579,292352,657,1777,9793,22.95184608967322,0.05609545638666617,0.15594620243356103,0.8361122515065528,304579
113,304579,292239,637,1781,9922,22.941541475559035,0.05577727936026165,0.1556845527745738,0.8469966923061302,304579
