Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304523,50,6,0,23.996133187496266,0.0033006849187601096,0.0005661275849750416,0.0,304579
2,304579,304479,76,24,0,23.992325822335957,0.005875633105688087,0.001798544558356274,0.0,304579
3,304579,304420,109,48,2,23.988344434111387,0.007870109641585011,0.003657314830179076,0.00012814141684958075,304579
4,304579,304361,135,76,7,23.983782574921012,0.010199472105821955,0.0054264389184815074,0.0005915140546843141,304579
5,304579,304308,154,106,11,23.97942834830756,0.011694813200045737,0.007786416938409037,0.0010904215539857868,304579
6,304579,304256,164,143,16,23.975424894167666,0.012804900946782518,0.01029044583568294,0.0014797590498664107,304579
7,304579,304185,195,178,21,23.96849174514436,0.016597087381889683,0.013369015427083943,0.0015421520466687188,304579
8,304579,304129,200,212,38,23.964746041802428,0.016410061368704067,0.016305939990305086,0.0025379568385635503,304579
9,304579,304058,224,247,50,23.958921305417583,0.018023168481904498,0.0198963275865561,0.0031591985139549843,304579
10,304579,304001,236,283,59,23.952947794851074,0.02063259501203603,0.02222210471298886,0.004197505423902341,304579
11,304579,303915,261,318,85,23.946643843422986,0.021045904358083494,0.026231879165475924,0.006078373053455128,304579
12,304579,303845,262,367,105,23.94094050425981,0.020205812321223527,0.03002554067586511,0.008828142743102644,304579
13,304579,303748,298,400,133,23.929725517267805,0.02511770376068398,0.03452251749518823,0.010634261476322546,304579
14,304579,303670,302,451,156,23.92302337647338,0.02646876113570085,0.037792773168002766,0.012715089222913744,304579
15,304579,303588,317,487,187,23.916320317319823,0.028025035242694615,0.03997451789529853,0.0156801295421854,304579
16,304579,303506,339,516,218,23.907963099506272,0.029949629373712486,0.042851232644246215,0.019236038475770437,304579
17,304579,303404,362,560,253,23.90020278857618,0.03132453889066368,0.0451691680865587,0.023303504446596294,304579
18,304579,303314,363,610,292,23.891776436955446,0.03135326833214141,0.050946811485209215,0.025923483227203774,304579
19,304579,303220,381,644,334,23.883025909936194,0.03226862695648843,0.05520882582821927,0.029496637279099423,304579
20,304579,303122,404,670,383,23.874027471368027,0.03346818964094345,0.05801487392190371,0.0344894650691269,304579
21,304579,303032,409,712,426,23.86377517680489,0.03525040849385514,0.06317787597292945,0.037796538728327,304579
22,304579,302951,403,746,479,23.856350202586384,0.035156377517238734,0.06706469653909293,0.04142872335728475,304579
23,304579,302858,420,774,527,23.853161055436203,0.03394707158380247,0.06920139100365087,0.043690481976343315,304579
24,304579,302731,451,822,575,23.83992845802352,0.037445083416125485,0.07351234905966954,0.04911410950068585,304579
25,304579,302607,463,876,633,23.82900459255771,0.03855904897209891,0.07754587978031437,0.05489047868987851,304579
26,304579,302503,459,920,697,23.81974550820572,0.038646484172784205,0.08027266074292047,0.06133534687857593,304579
27,304579,302390,475,968,746,23.80677693794953,0.04099739073538423,0.08377822295262213,0.06844744836246533,304579
28,304579,302274,489,1011,805,23.793712791861452,0.043801589410251085,0.0891526410203351,0.07333297770796211,304579
29,304579,302176,481,1055,867,23.784116943746145,0.04317987113376475,0.09242994916134775,0.08027323595874108,304579
30,304579,302101,452,1083,943,23.781027078198274,0.038639648158459355,0.09425100033684324,0.08608227330642372,304579
31,304579,302000,451,1108,1020,23.773352321426454,0.039834598811476954,0.09495590682438809,0.09185717293768096,304579
32,304579,301900,456,1138,1085,23.766752978771308,0.038518087018969534,0.09933695014466239,0.09539198406505907,304579
33,304579,301798,462,1165,1154,23.754072814946657,0.040744235942436556,0.10155320978233526,0.10362973932857086,304579
34,304579,301705,454,1192,1228,23.748452089424102,0.04049060045423895,0.1017786749988728,0.10927863512278613,304579
