Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304526,47,6,0,23.996519138962014,0.003124621399740444,0.00035623963824683933,0.0,304579
2,304579,304459,90,30,0,23.99077097864603,0.0070524730094645004,0.002176548344505327,0.0,304579
3,304579,304411,115,53,0,23.987748549312567,0.008530509828680474,0.003720940858753407,0.0,304579
4,304579,304340,157,76,6,23.981137217402093,0.011809117282818525,0.006154862949008041,0.000898802366078847,304579
5,304579,304267,183,117,12,23.976153056708565,0.01363553291240888,0.008930930347067573,0.0012804800319585153,304579
6,304579,304211,205,139,24,23.970343977516254,0.016270837983328526,0.011140670181731175,0.002244514318685495,304579
7,304579,304137,226,177,39,23.96514154322209,0.01748412318655611,0.01414982783325854,0.0032245057580965976,304579
8,304579,304072,244,213,50,23.95920486632199,0.01927050128146412,0.01682919523382775,0.004695437162719639,304579
9,304579,304004,256,259,60,23.953235738086622,0.021236415043254495,0.020494163327159184,0.005033683542964411,304579
10,304579,303919,283,306,71,23.946053521367737,0.02286273900463178,0.024776027058988497,0.006307712568642087,304579
11,304579,303844,301,340,94,23.938374210757097,0.024054683873091766,0.029261162445283883,0.008309942924528668,304579
12,304579,303757,307,393,122,23.930903714018697,0.025423654236149947,0.03333136402640482,0.010341267718749301,304579
13,304579,303677,317,438,147,23.92484043096512,0.0248813345755504,0.037910906958909626,0.012367327500421953,304579
14,304579,303604,329,466,180,23.919226951993302,0.026094019747060927,0.04004174090825627,0.01463728735138151,304579
15,304579,303523,337,512,207,23.91156459453313,0.02636994206101509,0.04517253367520323,0.01689292973065144,304579
16,304579,303432,352,547,248,23.905850938648364,0.028050748632542536,0.044681454386748545,0.021416858332344357,304579
17,304579,303349,354,601,275,23.89706840379839,0.0305128599277124,0.04841697778928383,0.0240017584846154,304579
18,304579,303253,374,631,321,23.887693238823644,0.03130059445603957,0.052403948493287514,0.028602218227029626,304579
19,304579,303158,394,667,360,23.880407087389475,0.030661416924824283,0.056186817306123606,0.03274467837957756,304579
20,304579,303052,425,691,411,23.869476688528927,0.03571813011467172,0.057200981730784056,0.03760419962561611,304579
21,304579,302935,458,723,463,23.858243055443143,0.038388284383172905,0.06070635161208255,0.04266230856160171,304579
22,304579,302824,476,772,507,23.85275020210023,0.03782006231442235,0.06428727219065974,0.04514246339469042,304579
23,304579,302707,495,803,574,23.843722456547727,0.03838425897739648,0.0678916266364354,0.050001657838442765,304579
24,304579,302610,494,839,636,23.83282807784093,0.03955951265968497,0.07270787128084276,0.05490453821854415,304579
