Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304521,44,14,0,23.99590668934234,0.003198159350380423,0.0008951513072785923,0.0,304579
2,304579,304470,80,28,1,23.99269321919713,0.005394706740034577,0.0018493348696626197,6.273919317397578e-05,304579
3,304579,304408,121,46,4,23.987180860376046,0.00922408015704232,0.003402630978451805,0.00019242848845824572,304579
4,304579,304350,137,84,8,23.982419956747673,0.010685845888894657,0.006445486041274529,0.0004487113221574072,304579
5,304579,304279,182,102,16,23.976618841098972,0.01414080031675329,0.008219224919780289,0.0010211336644943216,304579
6,304579,304207,205,141,26,23.969679763898387,0.01691000596926913,0.01135919305277448,0.0020510370795706104,304579
7,304579,304157,210,180,32,23.9638262041552,0.018130537001115762,0.015868200999742343,0.0021750578439431213,304579
8,304579,304095,225,215,44,23.958822043144266,0.018877295078304688,0.01849453342696015,0.003806128350468468,304579
9,304579,304040,236,245,58,23.954729229873795,0.01905950452991094,0.02059477568697429,0.005616489909320271,304579
10,304579,303979,246,281,73,23.9500040028941,0.01974210210447124,0.02346967060182235,0.006784224399606441,304579
11,304579,303906,259,319,95,23.944896903880174,0.01998898987628004,0.02617513441366384,0.008938971829880696,304579
12,304579,303826,296,347,110,23.938469872080212,0.023084553127805014,0.028702743829869815,0.009742830962111532,304579
13,304579,303732,312,401,134,23.931941011163378,0.024557413514764734,0.03210909832944562,0.011392476992411074,304579
14,304579,303660,320,447,152,23.925700072024856,0.025898850722245393,0.03525819818390205,0.013142879068996227,304579
15,304579,303592,321,490,176,23.91756000699573,0.027225260227855118,0.03933662971151531,0.015878103064902244,304579
16,304579,303510,344,521,204,23.910483559849425,0.02703665903292767,0.043101981828632153,0.019377799289016336,304579
17,304579,303416,379,532,252,23.903303750315324,0.030809880296458883,0.04373276991577962,0.0221535994724383,304579
18,304579,303328,384,572,295,23.897448504775898,0.02883885307886961,0.04841745946804451,0.025295182677188596,304579
19,304579,303233,391,620,335,23.88898249471578,0.03066019121466723,0.05128659578089702,0.029070718288655453,304579
20,304579,303140,409,661,369,23.882647355458523,0.03281085063709637,0.05404912922482635,0.030492664679553933,304579
21,304579,303042,434,693,410,23.87245112244448,0.03632232712305746,0.05727189896222223,0.033954651470237414,304579
22,304579,302929,451,754,445,23.86145787228955,0.03745011337189525,0.06447121495246204,0.03662079938609495,304579
23,304579,302817,451,807,504,23.853388685171794,0.03583005101528384,0.06850088244944343,0.04228038136347869,304579
24,304579,302713,464,846,556,23.842968442948766,0.037734625434151355,0.07211456604639416,0.0471823655706887,304579
25,304579,302600,487,884,608,23.83238898350705,0.04002054206448814,0.07605237176619284,0.051538102662266806,304579
26,304579,302504,490,920,665,23.825947395702205,0.03956943629866001,0.07825209998268833,0.05623106801644759,304579
27,304579,302376,522,950,731,23.8123081023104,0.042797447227107266,0.08345454009300919,0.06143991036948473,304579
28,304579,302258,551,981,789,23.801849752806493,0.04459278105133449,0.0876749700841616,0.06588249605800944,304579
29,304579,302148,562,1009,860,23.791369728396116,0.045663094391329435,0.08916804136629457,0.07379913584625848,304579
30,304579,302013,599,1042,925,23.78349730867116,0.04807365163958725,0.09071130861148416,0.07771773107776954,304579
