Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304530,42,7,0,23.996675583517668,0.0028509070369775198,0.000473509445356148,0.0,304579
2,304579,304478,74,26,1,23.992880120136974,0.005043658053579194,0.00201348261627302,6.273919317397578e-05,304579
3,304579,304411,112,53,3,23.98756512410584,0.008461662532822965,0.003753323719178186,0.0002198896421586157,304579
4,304579,304370,119,86,4,23.98452742159077,0.009009139357152028,0.006180810216744671,0.00028262883533259145,304579
5,304579,304310,144,108,17,23.97908041529653,0.011289949962190127,0.008284667357168396,0.0013449673841129965,304579
6,304579,304258,157,140,24,23.974544749597655,0.012160718663990341,0.011872951881374855,0.0014215798569781628,304579
7,304579,304190,178,181,30,23.968185817425834,0.014711650682980859,0.015422039441401192,0.001680492449783253,304579
8,304579,304106,215,213,45,23.96136115847016,0.016939528647357354,0.017779770974931525,0.00391954190755056,304579
9,304579,304024,248,245,62,23.953543228581225,0.019470315057880536,0.022106117125069012,0.004880339235826712,304579
10,304579,303959,257,282,81,23.947267208995175,0.02055277314961942,0.024802401047345594,0.007377616807861393,304579
11,304579,303896,263,321,99,23.943382448087906,0.021843320886930966,0.026286122922386468,0.008488108102778237,304579
12,304579,303818,278,368,115,23.9380286531761,0.022436183405635107,0.030194069070517134,0.009341094347746794,304579
13,304579,303740,301,403,135,23.931516026057338,0.024279113894094182,0.03370898067470225,0.010495879373867143,304579
14,304579,303645,319,450,165,23.924858868128563,0.025417557682344057,0.03743349656534389,0.012290077623748405,304579
15,304579,303549,347,490,193,23.91496297653453,0.029034249587964186,0.041183441143083706,0.014819332734424952,304579
16,304579,303458,368,519,234,23.904858225537314,0.03144477742556051,0.04510322166704858,0.018593775370078412,304579
17,304579,303370,384,559,266,23.897929341711315,0.03337820968292401,0.0473997422346488,0.02129270637111132,304579
18,304579,303268,396,613,302,23.891581392203424,0.030811197713727808,0.05360122087031387,0.02400618921253557,304579
19,304579,303161,418,655,345,23.878907295373164,0.03602991477524771,0.05768097310092189,0.027381816750664922,304579
20,304579,303073,422,704,380,23.86802713312993,0.03497441713070954,0.06390452821438804,0.03309392152497024,304579
21,304579,302970,444,738,427,23.85668232926239,0.038555188835168494,0.06831599479161253,0.036446487110829436,304579
22,304579,302869,458,771,481,23.847389050210186,0.03869187573820725,0.07191133458107754,0.042007739470528375,304579
23,304579,302737,499,815,528,23.838870090954327,0.042081902613737364,0.07464380989469362,0.04440419653724087,304579
24,304579,302652,484,861,582,23.830083382358975,0.04165275230402024,0.07841022742761544,0.04985363790939032,304579
25,304579,302548,487,906,638,23.81875162377122,0.04212174488703895,0.08398954365647275,0.05513708768526712,304579
26,304579,302421,511,952,695,23.812025579254165,0.04247406925653851,0.08655537050062882,0.05894498098866754,304579
27,304579,302309,519,995,756,23.802015747981656,0.04127847372789981,0.09076856641752443,0.06593721187292048,304579
28,304579,302175,527,1055,822,23.790461040548166,0.04419712664118236,0.09298248650302333,0.07235934630762797,304579
29,304579,302045,551,1073,910,23.780840743642266,0.04546341210265594,0.0926508196570654,0.08104502459801158,304579
30,304579,301984,499,1119,977,23.775667264708993,0.0417466498424413,0.09580389685683376,0.0867821885917332,304579
31,304579,301927,462,1133,1057,23.770069293864346,0.03800651597750067,0.09843055851451671,0.09349363164363837,304579
32,304579,301855,442,1140,1142,23.764411870193406,0.035606974722353135,0.09570541852742176,0.10427573655682064,304579
33,304579,301809,402,1136,1232,23.758899077883946,0.03334722635245336,0.09570078768501258,0.11205290807858817,304579
34,304579,301738,383,1135,1323,23.75711486408405,0.032032111348092036,0.09314975894010634,0.11770326562775195,304579
35,304579,301677,371,1137,1394,23.75320353412685,0.03192670889598992,0.09390903755470388,0.12096071942245683,304579
36,304579,301603,361,1139,1476,23.74318569262156,0.03269748649283094,0.09609196791298602,0.12802485297262373,304579
37,304579,301547,354,1138,1540,23.738801940540036,0.03204069309196588,0.09627337956034593,0.13288398680765132,304579
38,304579,301492,341,1130,1616,23.732604364202444,0.029987463845484653,0.0944089235618954,0.14299924839017555,304579
39,304579,301444,329,1110,1696,23.724064828933294,0.030009961119039762,0.09524339578411002,0.15068181416355703,304579
40,304579,301383,319,1101,1776,23.71729027299431,0.027866186512911114,0.09802500477270215,0.15681853572007964,304579
41,304579,301324,309,1087,1859,23.71623218449571,0.026314956934058418,0.093498631647413,0.16395422692281839,304579
42,304579,301275,301,1091,1912,23.7162111664027,0.025476195649435516,0.09346601754754263,0.16484662040032283,304579
43,304579,301208,309,1082,1980,23.709854916038616,0.025684675975953804,0.09381982513306823,0.17064058285236317,304579
44,304579,301149,299,1086,2045,23.702220013138298,0.0261220760662594,0.09434145947148649,0.17731645132395754,304579
45,304579,301086,303,1074,2116,23.697206540251035,0.02678232780403164,0.09524651727521034,0.18076461466972263,304579
46,304579,301037,301,1055,2186,23.69324094362821,0.025492475892323896,0.091245234224682,0.19002134625478165,304579
47,304579,300976,312,1039,2252,23.68477626092925,0.026970716571639585,0.08904893551824754,0.1992040869808604,304579
48,304579,300918,321,1028,2312,23.677502782791866,0.027586444720014893,0.0883479610542519,0.2065628114338675,304579
49,304579,300873,321,1029,2356,23.672046009618484,0.02758771893533637,0.09162574350898074,0.20874052793719788,304579
50,304579,300820,319,1028,2412,23.667346569875168,0.028030836117921617,0.08888632512215573,0.21573626888475467,304579
51,304579,300771,300,1034,2474,23.665988468727306,0.02613531249008382,0.08888877161844104,0.218987447164167,304579
