Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304519,51,9,0,23.995631023001966,0.0036943323949290775,0.0006746446031043198,0.0,304579
2,304579,304464,81,34,0,23.99198589183668,0.005491437703923999,0.002522670459396026,0.0,304579
3,304579,304394,124,61,0,23.98599032187544,0.009350776844252787,0.0046589012803064335,0.0,304579
4,304579,304339,155,83,2,23.981115011830294,0.012270542089546373,0.006488967693810339,0.00012547838634795156,304579
5,304579,304259,186,127,7,23.97500233406314,0.013986484535847605,0.01035202331971714,0.000659158081294906,304579
6,304579,304185,212,169,13,23.96995034321328,0.0159138037125879,0.013047971833658845,0.0010878812404727972,304579
7,304579,304119,217,227,16,23.964776667279548,0.017226918920675013,0.01692834691165829,0.0010680668881199744,304579
8,304579,304036,244,261,38,23.956728370642715,0.0200532253440216,0.020727996536173365,0.002490407477091481,304579
9,304579,303965,256,295,63,23.95054515275308,0.0212780895584441,0.024242474394744005,0.003934283293731684,304579
10,304579,303897,270,327,85,23.94347355766265,0.02250194718112691,0.027409901659958432,0.006614593496263957,304579
11,304579,303809,283,374,113,23.936454066290814,0.023769910535495327,0.03158533152941026,0.008190691644280015,304579
12,304579,303734,292,400,153,23.928649927200944,0.024646657337787977,0.03498929393253993,0.011714121528729722,304579
13,304579,303649,314,429,187,23.921227749558824,0.025860455313965663,0.0380298979938099,0.014881897133401836,304579
14,304579,303567,324,472,216,23.912287734265337,0.027991771112228524,0.04142451585760676,0.018295978764826318,304579
15,304579,303473,357,498,251,23.901295231884443,0.031063438995487302,0.046415259567261426,0.02122606955280824,304579
16,304579,303381,375,529,294,23.893869855904022,0.03137337455313656,0.04858880204660605,0.026167967496234804,304579
17,304579,303286,385,576,332,23.88670126289489,0.03344818997815295,0.05161896534292006,0.028231581784039665,304579
18,304579,303189,402,607,381,23.87926948246537,0.033412926690510034,0.05451230515091554,0.03280528569320359,304579
19,304579,303089,431,637,422,23.871658185523117,0.037523064835478036,0.054255687742732324,0.03656306189867091,304579
20,304579,302990,442,683,464,23.865226405010272,0.03932945676720056,0.05727609659791865,0.03816804162460931,304579
21,304579,302905,433,723,518,23.859116530212532,0.036711627597376034,0.061033799172549384,0.04313804301754268,304579
22,304579,302794,449,767,569,23.85202776963551,0.03576326908681178,0.06555132736442153,0.04665763391325714,304579
23,304579,302711,451,794,623,23.844425794669224,0.0374033702346509,0.0661200120673906,0.05205082302873516,304579
24,304579,302613,459,828,679,23.83195419403836,0.03828228846876081,0.07245652410912329,0.057306993383756805,304579
25,304579,302500,473,862,744,23.82095106041008,0.03985510762773029,0.07722531235251057,0.061968519609677475,304579
26,304579,302391,489,906,793,23.810029014319955,0.04245279691380188,0.08187502776118216,0.06564316100506083,304579
27,304579,302265,515,942,857,23.800495806903086,0.04294916379547611,0.0873368078729067,0.06921822142853248,304579
28,304579,302149,505,1007,918,23.789795709118003,0.0428772143974723,0.09192257555570917,0.07540450092881588,304579
29,304579,302004,572,1013,990,23.778479694764343,0.047217844215459756,0.09140366028850243,0.08289880073169487,304579
30,304579,301906,563,1053,1057,23.771977397899796,0.04525582110838167,0.094325634681075,0.08844114631074625,304579
31,304579,301806,551,1089,1133,23.7612569898517,0.04410690219389973,0.09521191241833271,0.0994241955360694,304579
32,304579,301728,503,1133,1215,23.755046184547027,0.0416509193903548,0.09717152794465815,0.10613136811796207,304579
33,304579,301653,484,1164,1278,23.74737923141141,0.040214573955932406,0.10156801904044545,0.1108381755922098,304579
34,304579,301552,479,1196,1352,23.737003272968384,0.041664977527396216,0.1040546158546726,0.11727713364954839,304579
35,304579,301453,507,1195,1424,23.727689002242283,0.042990486530751056,0.10542506702602589,0.12389544420094174,304579
36,304579,301362,503,1204,1510,23.718587930540174,0.04279305912853469,0.10568702388864809,0.13293198644264326,304579
37,304579,301256,509,1233,1581,23.710229585147726,0.042453407536044395,0.11009231829607725,0.1372246890201524,304579
38,304579,301157,513,1250,1659,23.704271779826765,0.042675090035993936,0.10934409738065105,0.14370903275659067,304579
39,304579,301056,522,1258,1743,23.694752481770927,0.04253042419164088,0.11461508656464076,0.14810200747279093,304579
40,304579,300957,532,1281,1809,23.684634704683067,0.04624370777372405,0.11727345357005435,0.15184813397315633,304579
41,304579,300863,533,1288,1895,23.677066437440182,0.043929852453480765,0.11908936224515339,0.15991434786118275,304579
42,304579,300776,530,1296,1977,23.669099931449722,0.04345473851335923,0.12127920646932872,0.16616612356758947,304579
43,304579,300701,508,1306,2064,23.660266951493156,0.042185749758508424,0.12089393469701352,0.17665336405132295,304579
44,304579,300596,509,1321,2153,23.651018551987598,0.04311885155323439,0.12180760963740618,0.18405498682176186,304579
45,304579,300502,512,1328,2237,23.641217808538297,0.04387599654135354,0.12218071912558644,0.19272547579476354,304579
46,304579,300400,524,1321,2334,23.628269752570763,0.047889019195635055,0.12010002760941788,0.2037412006241829,304579
47,304579,300292,545,1325,2417,23.6159237079931,0.05079706940257194,0.1212749018148595,0.2120043207894682,304579
48,304579,300199,528,1354,2498,23.608712399703418,0.048678347985789905,0.12309423875234374,0.21951501355844835,304579
49,304579,300089,523,1377,2590,23.597571059670383,0.049210633603654706,0.12541871147152633,0.2277995952544379,304579
50,304579,300001,532,1380,2666,23.591696049734825,0.048510159709925255,0.12690608280592633,0.23288770774932283,304579
51,304579,299886,546,1402,2745,23.582914234470284,0.04922412705138685,0.12921406243325345,0.23864757604507447,304579
52,304579,299789,539,1421,2830,23.56926636443862,0.05125116453697338,0.1316642861374853,0.24781818488692425,304579
53,304579,299686,543,1432,2918,23.55782294510952,0.050697484217076094,0.13325006828147537,0.25822950239192655,304579
54,304579,299585,542,1444,3008,23.554131254001934,0.047541868345123785,0.13378383741316763,0.2645430402397735,304579
55,304579,299476,573,1448,3082,23.547907798597652,0.048671940670447486,0.13067726561648027,0.27274299511541905,304579
56,304579,299393,559,1461,3166,23.54474127206969,0.048701054636734735,0.12929978600138062,0.27725788729219364,304579
57,304579,299296,560,1468,3255,23.53387727245851,0.04838471724956398,0.12852716626159613,0.2892108440303302,304579
58,304579,299206,547,1474,3352,23.531167772429885,0.0440612363141508,0.12910405279650214,0.2956669384594608,304579
59,304579,299090,560,1495,3434,23.518599320749903,0.047668849068473,0.13185421387893806,0.3018776163026872,304579
60,304579,298977,569,1493,3540,23.506097097705386,0.04832196635921024,0.133450292190534,0.3121306437448686,304579
61,304579,298866,584,1500,3629,23.497894616094737,0.048243611878695476,0.13668877288474654,0.31717299914181996,304579
62,304579,298760,578,1519,3722,23.4924450643844,0.04759812824731885,0.13872239221170873,0.32123441515657336,304579
63,304579,298645,590,1528,3816,23.480959517907298,0.04948086548268663,0.13953522029242643,0.33002439631759,304579
64,304579,298537,586,1559,3897,23.472540238650513,0.05109176124472548,0.14130588517495707,0.3350621149298042,304579
65,304579,298420,589,1574,3996,23.46457245719926,0.05265179451083241,0.13855653559731038,0.34421921269259587,304579
66,304579,298340,578,1573,4088,23.45563410577575,0.04898636423605177,0.13923602459946102,0.3561435053887368,304579
67,304579,298233,586,1590,4170,23.444852181118033,0.045664372762297935,0.1401988706244087,0.3692845754952605,304579
68,304579,298143,555,1613,4268,23.43284707939388,0.04513088928343745,0.14250535920965532,0.3795166721130287,304579
69,304579,298037,571,1611,4360,23.42240491751447,0.04811740155996537,0.1429576646871848,0.3865200162383788,304579
70,304579,297917,567,1618,4477,23.409440637343394,0.04791852777194187,0.14323735971102192,0.3994034751736412,304579
71,304579,297822,567,1616,4574,23.399445764276134,0.0465371718028578,0.15069985562651264,0.4033172082944958,304579
72,304579,297736,565,1599,4679,23.396737666144702,0.04691281626143329,0.14945686193685395,0.4068926556570117,304579
