Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304528,40,11,0,23.99538978696345,0.0037176306728550204,0.000892582363695423,0.0,304579
2,304579,304468,79,32,0,23.991757311415316,0.005739885458986997,0.0025028031256950543,0.0,304579
3,304579,304400,128,48,3,23.98655612137905,0.009445114876872268,0.003833404715853863,0.00016535902822328277,304579
4,304579,304347,143,85,4,23.982162553098505,0.010579240478690804,0.006998436138769361,0.0002597702840339469,304579
5,304579,304284,170,111,14,23.976091542519864,0.013453015954589661,0.00953610327626722,0.0009193382492781707,304579
6,304579,304229,170,158,22,23.971844397874637,0.014042866227245411,0.012624900910830343,0.001487834987288098,304579
7,304579,304160,196,188,35,23.96767704609369,0.015181822668301172,0.014680611408515799,0.002460519829490872,304579
8,304579,304095,216,218,50,23.960673418995693,0.017413660694779363,0.017735844934691047,0.0041770753748380995,304579
9,304579,304031,234,253,61,23.953915884106664,0.01846291063007468,0.022384362015752307,0.0052368432475090225,304579
10,304579,303952,259,285,83,23.946574892988203,0.02048833710920451,0.025092473361231396,0.007844296541362886,304579
11,304579,303884,275,312,108,23.939223994745063,0.023554153136700978,0.02723421716735172,0.009987634950884406,304579
12,304579,303810,282,350,137,23.934525689055686,0.02299475051623771,0.029877621693747115,0.012601938734327594,304579
13,304579,303747,289,376,167,23.929273623368857,0.02318105077727667,0.03261871443993603,0.014926611413930858,304579
14,304579,303666,308,412,193,23.920194211892234,0.026059390677448523,0.03682514003945821,0.016921257390858813,304579
15,304579,303574,346,448,211,23.91293386231083,0.028703822306512777,0.03960909984162342,0.018753215541033718,304579
16,304579,303476,374,488,241,23.902815462926927,0.031699483436830336,0.043554431346872785,0.02193062228936806,304579
17,304579,303386,398,530,265,23.892658610766254,0.03542323529885679,0.04785078562604009,0.024067368308848938,304579
18,304579,303298,399,579,303,23.88371561425205,0.035837259313930586,0.05267816431419665,0.027768962119823867,304579
19,304579,303203,407,631,338,23.878361959905824,0.035082159545623985,0.05727168351124979,0.029284197037301233,304579
20,304579,303101,416,678,384,23.867422357657997,0.03844558920216714,0.05928998178632682,0.03484207135350858,304579
21,304579,303002,455,693,429,23.857283563173834,0.04144710545232375,0.05996420222296922,0.04130512915087235,304579
22,304579,302879,475,756,469,23.847777677333205,0.04101969239957855,0.06643381664776289,0.044768813619454256,304579
23,304579,302754,492,810,523,23.83803599144457,0.04204734518280669,0.07049435005668742,0.049422313315936384,304579
24,304579,302655,490,864,570,23.83044756894427,0.0402765007276661,0.07594630012991291,0.05332963019815086,304579
25,304579,302535,521,898,625,23.822775486962804,0.042978749519472566,0.07637979257893934,0.05786597093878195,304579
26,304579,302421,528,954,676,23.809737619381348,0.04372881879658323,0.08395156022982204,0.06258200159224638,304579
27,304579,302291,546,1012,730,23.799310755759322,0.045324139078052196,0.08688345347099209,0.06848165169163307,304579
28,304579,302168,565,1054,792,23.79001952880532,0.048588309829773454,0.08868199360943552,0.07271016775546893,304579
29,304579,302034,591,1080,874,23.780635195494824,0.048447646451705254,0.09127483762679073,0.07964232042668003,304579
30,304579,301957,541,1111,970,23.769784209775427,0.04649909945781966,0.09465529137504317,0.08906139939170975,304579
31,304579,301887,516,1140,1036,23.762992044272973,0.043380520818831494,0.09966621657187705,0.09396121833631899,304579
32,304579,301820,479,1172,1108,23.757481299780824,0.040390415231802125,0.09994189274246493,0.10218639224490966,304579
33,304579,301758,459,1166,1196,23.752107485606935,0.038588635540003385,0.10121654573653927,0.10808733311652148,304579
34,304579,301680,451,1192,1256,23.750951423174403,0.03552369589512026,0.09983801895955252,0.11368686197092442,304579
35,304579,301599,435,1210,1335,23.742636509172854,0.035835314195436105,0.10236408260393512,0.11916409402777459,304579
36,304579,301514,442,1218,1405,23.735956421648588,0.03772159220291684,0.10197419095342598,0.12434779519506951,304579
37,304579,301439,428,1229,1483,23.73199423447525,0.034832312244656584,0.10071086872152796,0.13246258455856869,304579
38,304579,301379,399,1241,1560,23.72333409790044,0.03381271515411476,0.10387252253784013,0.13898066440760412,304579
39,304579,301301,398,1230,1650,23.72275100166273,0.03207874789661044,0.10144225399629339,0.14372799644436599,304579
40,304579,301231,407,1210,1731,23.716573200301127,0.0334996306105663,0.10001349580163645,0.1499136732866689,304579
41,304579,301159,408,1205,1807,23.705649641083067,0.03293882590778151,0.10212544698082665,0.15928608602832503,304579
42,304579,301105,382,1199,1893,23.701976745076813,0.0312018204776508,0.09898110828618846,0.16784032615934658,304579
43,304579,301022,396,1179,1982,23.696574495940798,0.03356660249476041,0.09507657641736776,0.17478232514707448,304579
44,304579,300934,400,1192,2053,23.688056901871864,0.03198117102410477,0.09687595659257013,0.18308597051145975,304579
45,304579,300861,388,1211,2119,23.68100729143541,0.03115590726620461,0.10005197994851145,0.18778482134987473,304579
46,304579,300778,378,1229,2194,23.675526402904886,0.03013007397871695,0.10161027760648478,0.19273324550991375,304579
47,304579,300711,369,1237,2262,23.66633909006474,0.031111890155813213,0.1037909130401515,0.19875810673929734,304579
48,304579,300639,366,1216,2358,23.660475386153326,0.029624659501168937,0.10473486412634783,0.20516509021915866,304579
49,304579,300584,359,1199,2437,23.65296677308687,0.030790403511265736,0.10158918550692743,0.2146536378949372,304579
50,304579,300531,346,1173,2529,23.648805592431728,0.030703674171383716,0.09997308666894002,0.22051764672794852,304579
51,304579,300446,373,1171,2589,23.643049948100725,0.031105167919821666,0.10070503125233148,0.22513985272712378,304579
52,304579,300378,369,1180,2652,23.635656950287352,0.02997785605478869,0.10396747388816337,0.230397719769695,304579
53,304579,300316,364,1169,2730,23.62574142936356,0.028874333234261904,0.10218528434205106,0.24319895306012534,304579
54,304579,300235,369,1184,2791,23.6205200322957,0.02994717397857661,0.10223475227488947,0.24729804145083203,304579
55,304579,300168,374,1167,2870,23.6170792143368,0.03231834899090766,0.09854448453865566,0.2520579521336363,304579
56,304579,300096,375,1145,2963,23.61290125903904,0.031054419923436848,0.09814138710043231,0.25790293393708963,304579
57,304579,300018,386,1150,3025,23.60510357193223,0.03080085155324346,0.09833087335029266,0.2657647031642339,304579
58,304579,299948,362,1175,3094,23.59871347873151,0.028537356211912727,0.10058405810747253,0.2721651069491045,304579
59,304579,299883,364,1160,3172,23.59469127593949,0.028475994482785386,0.09976179739096641,0.27707093218675766,304579
60,304579,299811,363,1157,3248,23.5929334275054,0.029009548636105338,0.09745504076050007,0.2806019830979931,304579
61,304579,299729,379,1162,3309,23.587020012245226,0.03165674925376326,0.09595680337523675,0.2853664351257741,304579
62,304579,299654,369,1180,3376,23.581100093741416,0.030918366992143245,0.09578485307358633,0.29219668619285666,304579
63,304579,299568,394,1191,3426,23.570301092118765,0.03113410857287631,0.0997109374756224,0.29885386183273643,304579
64,304579,299515,381,1190,3493,23.569034253222746,0.030467793641219917,0.09658234087345077,0.30391561226258207,304579
65,304579,299429,404,1181,3565,23.55891430166737,0.03274446666121368,0.09699566628995626,0.31134556538145974,304579
66,304579,299366,385,1197,3631,23.55152944098515,0.031189104982974586,0.09877350322543849,0.3185079508064386,304579
67,304579,299292,387,1190,3710,23.546213066814623,0.03092292578849075,0.0988487130146024,0.3240152943822844,304579
68,304579,299222,365,1201,3791,23.535107325499595,0.030480650390661976,0.10021412354513978,0.3341979005646043,304579
69,304579,299173,343,1192,3871,23.53482658943842,0.02899111468663827,0.09838137544468994,0.3378009204302513,304579
70,304579,299108,352,1188,3931,23.53175960316808,0.028303082751035893,0.09952036424053233,0.34041694984035137,304579
71,304579,299035,351,1174,4019,23.52612706431135,0.027617116440728465,0.09876090522402406,0.3474949140238987,304579
72,304579,298986,352,1151,4090,23.522987756739855,0.028650007579952546,0.09606191972327081,0.3523003159569209,304579
73,304579,298916,354,1160,4149,23.51654854192975,0.029948503468224346,0.09752477209558173,0.35597818250644103,304579
74,304579,298848,348,1167,4216,23.508103966033083,0.028574763105094506,0.09709949353223424,0.3662217773295889,304579
75,304579,298777,356,1187,4259,23.503802694521205,0.027854787221840482,0.09781704667786523,0.370525471579088,304579
76,304579,298718,362,1172,4327,23.502929424048492,0.028527614435381977,0.09729971345820025,0.3712432480579246,304579
77,304579,298655,364,1156,4404,23.4936131751351,0.03047681741806005,0.09841410937449568,0.3774958980723443,304579
78,304579,298595,357,1143,4484,23.484662542422743,0.030436133140803227,0.09966189238643311,0.38523943205002026,304579
79,304579,298532,357,1145,4545,23.47833146436428,0.03198323473651021,0.0991963699954651,0.3904889309037429,304579
80,304579,298459,357,1151,4612,23.476061638227076,0.028340240955149025,0.10135102390104077,0.394247096916733,304579
81,304579,298386,376,1127,4690,23.471795823728172,0.029173451263245154,0.09749315024756425,0.4015375747610184,304579
82,304579,298323,382,1128,4746,23.463880414775677,0.030004550492251345,0.09935827779387385,0.406756756938199,304579
83,304579,298257,371,1147,4804,23.456590174376274,0.03030137080616306,0.09967144163480889,0.4134370131827532,304579
84,304579,298202,377,1141,4859,23.450490973746508,0.02995578785852713,0.10105687696271316,0.41849636143225216,304579
85,304579,298138,352,1177,4912,23.446611542306695,0.027390786731687603,0.10288100347643003,0.4231166674851886,304579
86,304579,298071,352,1177,4979,23.43929594359897,0.03004177570536363,0.10112503088421408,0.4295372498114514,304579
87,304579,298016,345,1164,5054,23.434068817709573,0.02872922606702311,0.10267699290602043,0.4345249633173835,304579
88,304579,297959,345,1164,5111,23.43700414481362,0.027266592359345317,0.10213935948311888,0.43358990334391595,304579
89,304579,297895,340,1165,5179,23.428277693868566,0.027827784938883972,0.10145145610067122,0.44244306509187903,304579
90,304579,297822,344,1165,5248,23.421302699210315,0.02694572183879572,0.0999383878348978,0.45181319111599133,304579
91,304579,297764,349,1156,5310,23.4187628454026,0.028246255969076112,0.09896145580181454,0.4540294428265097,304579
92,304579,297699,352,1138,5390,23.416222351527143,0.026729174130421748,0.09662262515392465,0.4604258491885107,304579
93,304579,297633,339,1154,5453,23.410419808124907,0.02607824167663207,0.09871866699067942,0.46478328320778,304579
94,304579,297562,355,1128,5534,23.403781239957638,0.028066845541313227,0.09668425718079042,0.47146765732025725,304579
95,304579,297503,340,1120,5616,23.398173484550636,0.027112610033377678,0.0968660471252105,0.4778478582907773,304579
96,304579,297439,351,1123,5666,23.391184745981704,0.02719732033393455,0.0976863311529283,0.48393160253143275,304579
97,304579,297380,357,1135,5707,23.38689586643013,0.02801225485285051,0.0983785277692986,0.48671335094772106,304579
98,304579,297305,383,1128,5763,23.384510070785648,0.03078775714822402,0.09927645319738547,0.48542571886874136,304579
99,304579,297242,385,1128,5824,23.376357082297734,0.031072236469486484,0.09658875886002158,0.4959819223727578,304579
100,304579,297195,352,1133,5899,23.378328026691925,0.027965052504959474,0.09472748839734627,0.4989794324057682,304579
101,304579,297140,331,1128,5980,23.37192175989315,0.025829079115201485,0.09555513589991917,0.5066940250917268,304579
102,304579,297068,317,1148,6046,23.361403369015893,0.026064270133326985,0.09863544870026117,0.5138969121505176,304579
103,304579,297006,335,1127,6111,23.351604224321346,0.02636321584346442,0.09769528086538631,0.5243372789698034,304579
104,304579,296975,328,1107,6169,23.347591074691596,0.02654977554818837,0.09477090298104583,0.5310882467791679,304579
105,304579,296905,346,1104,6224,23.337976089343634,0.028126740891242532,0.09370796223198541,0.5401892075331363,304579
106,304579,296847,349,1110,6273,23.332302070474693,0.02848576383562557,0.09624737564889103,0.5429647900407888,304579
107,304579,296787,342,1106,6344,23.31908126137816,0.028203374753274897,0.09885913139179357,0.5538562324767721,304579
108,304579,296722,340,1108,6409,23.3128039524101,0.02880647949358637,0.09932356057451579,0.5590660075217966,304579
109,304579,296651,353,1080,6495,23.30793705152538,0.029456420831436833,0.09489399415676981,0.5677125334864134,304579
110,304579,296588,360,1087,6544,23.30068468700578,0.02918274811791893,0.09844285405956275,0.571689710816737,304579
111,304579,296526,360,1085,6608,23.29438034558539,0.02911993205195007,0.09787469725459537,0.578625025108062,304579
112,304579,296470,368,1071,6670,23.29070278754276,0.02968642590371147,0.0974872910748797,0.5821234954786482,304579
113,304579,296412,359,1094,6714,23.29360826461728,0.0299838770110672,0.09964790307640653,0.5767599552952475,304579
114,304579,296359,364,1077,6779,23.291652958491913,0.029370573352757855,0.09503898761281147,0.5839374805425191,304579
115,304579,296294,372,1087,6826,23.285925899233167,0.029756553596901998,0.09437988549297147,0.5899376616769615,304579
116,304579,296234,369,1083,6893,23.277895850221896,0.029460005047682297,0.09211193820835349,0.6005322065220686,304579
117,304579,296175,374,1077,6953,23.278480184171283,0.03075930177835524,0.08862319181573472,0.6021373222346262,304579
118,304579,296108,379,1060,7032,23.272228199255814,0.030472369896427615,0.08664370805630717,0.6106557227914495,304579
119,304579,296050,380,1050,7099,23.2640528421835,0.030284680666475425,0.08559333735731663,0.6200691397927086,304579
120,304579,296001,375,1044,7159,23.261634716875793,0.031269742727853635,0.08514675918593614,0.6219487812104161,304579
121,304579,295949,380,1043,7207,23.2547145471678,0.03170847000878548,0.0847350224831849,0.6288419603402294,304579
122,304579,295897,376,1039,7267,23.254000883885656,0.030857932953549303,0.08652087880523036,0.6286203043555636,304579
123,304579,295842,385,1012,7340,23.247522900082974,0.03151661374891543,0.08504545938739443,0.6359150267807165,304579
124,304579,295782,389,1029,7379,23.24241528346198,0.030947403069416412,0.08682475031090595,0.6398125631576957,304579
125,304579,295733,374,1035,7437,23.243078684929213,0.029252701715841486,0.0876320839636715,0.6400365293912746,304579
126,304579,295686,362,1041,7490,23.236050302407726,0.029715086167627098,0.08747033525891187,0.6467642761657356,304579
127,304579,295627,377,1042,7533,23.23200151686237,0.031881104910162106,0.08749705724833301,0.648620320979135,304579
128,304579,295569,385,1045,7580,23.234480134275344,0.03237093598359183,0.08934826373590456,0.64380066600516,304579
129,304579,295516,377,1044,7642,23.22684562783486,0.03274466331552886,0.08869001953248033,0.6517196893171305,304579
130,304579,295474,366,1049,7690,23.22762085909043,0.03073026679412199,0.08789627294926378,0.6537526011661834,304579
131,304579,295373,414,1059,7733,23.225689786968644,0.03512305346269571,0.08800348322346742,0.6511836763451923,304579
