Day,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Total
1,304579,304525,41,13,0,23.99579666224028,0.002996274984007392,0.0012070627757109539,0.0,304579
2,304579,304480,73,25,1,23.99240725115533,0.005510460119161418,0.0019122206982960816,0.00017006802721088434,304579
3,304579,304402,120,56,1,23.987459472604776,0.008330601426946969,0.0040398579410644425,0.00017006802721088434,304579
4,304579,304343,151,80,5,23.982035855138236,0.01130911311018432,0.006254202472471775,0.0004008292791097721,304579
5,304579,304273,192,108,6,23.97593114744227,0.014968449469265697,0.008526842751641723,0.0005735603368222856,304579
6,304579,304212,218,135,14,23.96898104112335,0.01840019244301328,0.011183883552871993,0.0014348828807643663,304579
7,304579,304150,229,183,17,23.964716195706455,0.019031438535860846,0.014905663014255832,0.001346702743428553,304579
8,304579,304085,254,214,26,23.959769676977942,0.020371109264123544,0.017848198355951448,0.0020110154019819223,304579
9,304579,303995,279,263,42,23.95195911940251,0.022085102349968855,0.022822718717658865,0.0031330595298613853,304579
10,304579,303919,302,298,60,23.945436928587075,0.02550362031176691,0.024576515330676688,0.0044829357704832175,304579
11,304579,303842,324,336,77,23.937756267143357,0.027120287792163644,0.029329111679694927,0.005794333384783899,304579
12,304579,303769,350,369,91,23.93193454196381,0.02942684932354494,0.031714608027352285,0.006924000685293546,304579
13,304579,303674,373,409,123,23.92547890832443,0.03051333030466776,0.03326604416578089,0.010741717205120956,304579
14,304579,303585,403,452,139,23.917417118748393,0.03403418306076482,0.03712173198994017,0.011426966200903884,304579
15,304579,303495,420,508,156,23.90813681021085,0.03585936299372333,0.0420723788745175,0.013931447920910622,304579
16,304579,303399,452,534,194,23.898807065857486,0.03910515273087664,0.04514032765160773,0.016947453760029464,304579
17,304579,303309,473,580,217,23.89081517314266,0.04079628527277066,0.049673693235287274,0.018714848349283903,304579
18,304579,303213,496,617,253,23.882273906339343,0.042031253594364076,0.05432504491693932,0.02136979514935378,304579
19,304579,303127,489,685,278,23.874154266248336,0.042746308848029844,0.06056378496647228,0.022535639937160967,304579
20,304579,303013,519,740,307,23.8623187823966,0.04547940814993359,0.06732921105207333,0.024872598401394885,304579
21,304579,302921,528,786,344,23.851081606473553,0.04591099813092311,0.07374288985966639,0.029264505535858274,304579
22,304579,302806,553,820,400,23.84096528156577,0.05091380497770484,0.07406626634395444,0.03405464711257248,304579
23,304579,302713,566,869,431,23.834525772564014,0.05090694631074795,0.07869224469439404,0.03587503643084493,304579
24,304579,302588,602,905,484,23.825432509605783,0.052004281485986105,0.08265593691252143,0.03990727199570801,304579
25,304579,302465,622,952,540,23.812707466261536,0.055948191953321715,0.08604257257117427,0.04530176921396654,304579
26,304579,302343,630,997,609,23.80228755895547,0.05582330995769523,0.08940081260906525,0.05248831847776992,304579
27,304579,302228,617,1069,665,23.796588039555303,0.052262835534684,0.09339200189930794,0.057757123010705375,304579
28,304579,302114,633,1104,728,23.786009122313462,0.05335287180525389,0.09761932454319633,0.06301868133808669,304579
29,304579,301980,651,1155,793,23.775679821995894,0.05358274829178631,0.10286387187718957,0.06787355783513072,304579
30,304579,301834,703,1182,860,23.759852695275228,0.05787017187014978,0.10786448667319336,0.07441264618142882,304579
31,304579,301695,735,1215,934,23.745890903038482,0.06260295379867899,0.11006128259768143,0.08144486056515553,304579
32,304579,301563,739,1271,1006,23.735849917154823,0.06269387167715867,0.11335807983742721,0.08809813133059034,304579
33,304579,301419,764,1309,1087,23.724376129505707,0.06448445009995848,0.11568159283292276,0.09545782756141233,304579
34,304579,301280,799,1351,1149,23.709117036210035,0.0686208730875387,0.11956716264729655,0.10269492805512932,304579
35,304579,301148,806,1405,1220,23.699588871348254,0.06918018113254903,0.12308692084175452,0.10814402667744105,304579
36,304579,301001,845,1433,1300,23.682332128416427,0.07302091327666226,0.12832139387517272,0.11632556443174047,304579
37,304579,300855,856,1464,1404,23.673464576244644,0.07314750108121913,0.13037889760911187,0.12300902506502558,304579
38,304579,300734,827,1524,1494,23.663104393012688,0.07143753301763231,0.13686636855846043,0.12859170541122006,304579
39,304579,300568,849,1575,1587,23.64736366348759,0.07527974733426707,0.1413154770381938,0.1360411121399514,304579
40,304579,300428,836,1642,1673,23.633423057761743,0.07464745318447341,0.14914308671493473,0.1427864023388483,304579
41,304579,300271,874,1682,1752,23.620408508344653,0.07651209001052052,0.15143017934923161,0.15164922229559363,304579
42,304579,300130,867,1715,1867,23.614692424789716,0.0737877847036519,0.15026994227674664,0.16124984822988328,304579
43,304579,299959,885,1780,1955,23.597608980861303,0.07761024464160166,0.1573012065312432,0.16747956796585237,304579
44,304579,299766,948,1797,2068,23.57968969594261,0.08399831275493248,0.16000761586741372,0.176304375435046,304579
45,304579,299576,1002,1839,2162,23.563961801067126,0.08818333665526487,0.16235682828064893,0.185498033996959,304579
46,304579,299395,1023,1873,2288,23.54777432018655,0.08786010998758696,0.17006035869919522,0.1943052111266671,304579
47,304579,299198,1033,1953,2395,23.537214439939696,0.08612682779569919,0.17584827372840525,0.20081045853619836,304579
48,304579,298992,1079,1980,2528,23.513461089398454,0.09131096206555296,0.17927340814678333,0.21595454038920903,304579
49,304579,298804,1104,2042,2629,23.49024344784809,0.0948690031517132,0.1862189405773846,0.22866860842281012,304579
50,304579,298603,1118,2090,2768,23.470552965688153,0.09671760261132459,0.1872989775881649,0.24543045411235626,304579
51,304579,298412,1132,2139,2896,23.460674192030815,0.09707154830404824,0.1862553876718493,0.25599887199328636,304579
52,304579,298219,1159,2161,3040,23.452078262104237,0.09680486548696662,0.18615480800560397,0.2649620644031921,304579
53,304579,298013,1174,2214,3178,23.429476215317287,0.09566690221981475,0.19160599983581464,0.28325088262708187,304579
54,304579,297827,1173,2295,3284,23.413000230369093,0.09719420775276451,0.1969960311642706,0.2928095307138732,304579
55,304579,297586,1218,2351,3424,23.39093278258871,0.10221905085149091,0.20377070872236863,0.30307745783743034,304579
56,304579,297374,1224,2406,3575,23.37108511964311,0.10315875495535835,0.20824125231656135,0.31751487308497145,304579
57,304579,297126,1297,2445,3711,23.351231418650734,0.10959392629208788,0.21101104166384477,0.3281636133933328,304579
58,304579,296906,1300,2530,3843,23.33681808639593,0.11069439172567136,0.21906493436042937,0.33342258751797027,304579
59,304579,296684,1342,2570,3983,23.309744240640097,0.1170018297552744,0.22734986470746602,0.3459040648971624,304579
60,304579,296455,1353,2663,4108,23.284974128352175,0.11958229120707134,0.23635541245372108,0.35908816798703147,304579
61,304579,296243,1356,2733,4247,23.267251264168877,0.12070698233747972,0.24064666107218438,0.37139509242145885,304579
62,304579,296005,1367,2804,4403,23.253801684085595,0.11885891221396526,0.24543832781869873,0.38190107588174166,304579
63,304579,295825,1319,2871,4564,23.24145355478795,0.11580948279514289,0.24918560475515375,0.39355135766175436,304579
64,304579,295587,1340,2952,4700,23.216427510576132,0.11847950412862594,0.2624387879172698,0.40265419737797137,304579
65,304579,295356,1359,3003,4861,23.19240775371776,0.11673332466696212,0.27163838904571347,0.4192205325695634,304579
66,304579,295104,1421,3024,5030,23.165776436321334,0.12111646050798436,0.27529815305247557,0.43780895011820586,304579
67,304579,294840,1473,3053,5213,23.145684674433838,0.12113829342969289,0.28021847664765687,0.45295855548881314,304579
68,304579,294594,1483,3116,5386,23.13091982715893,0.12279071007886859,0.2811671819022594,0.4651222808599409,304579
69,304579,294355,1515,3135,5574,23.11652418881287,0.12459931804464036,0.2826924282631927,0.4761840648792941,304579
70,304579,294107,1524,3195,5753,23.09499575861147,0.12496640690375682,0.28573238877432144,0.4943054457104511,304579
71,304579,293846,1528,3284,5921,23.072528735174053,0.12952345903681955,0.2901144827711704,0.5078333230179563,304579
72,304579,293549,1597,3325,6108,23.05038278648852,0.13406977533455014,0.2921193399711504,0.5234280982057803,304579
73,304579,293275,1598,3424,6282,23.0307743603503,0.13137305750369127,0.3008382713479809,0.5370143107980274,304579
74,304579,293018,1626,3442,6493,23.01368254555683,0.13378264436520634,0.29642140952021634,0.5561134005577487,304579
75,304579,292736,1689,3450,6704,22.97717396299451,0.14158779273916258,0.2976294477040829,0.5836087965622438,304579
76,304579,292457,1734,3459,6929,22.954277188248806,0.14554640090778848,0.30164102240797874,0.5985353884354263,304579
77,304579,292219,1689,3557,7114,22.938287509065333,0.14482348441139445,0.3040328915853931,0.6128561149378802,304579
78,304579,291951,1689,3620,7319,22.921779533061517,0.1449459163097735,0.30766386925624406,0.6256106813724646,304579
79,304579,291665,1737,3661,7516,22.89086763626537,0.1476965573756746,0.30935749660578177,0.6520783097531743,304579
80,304579,291381,1752,3716,7730,22.874374925783076,0.14706303080866237,0.3134275053980396,0.6651345380102216,304579
81,304579,291053,1814,3763,7949,22.842258959137116,0.1493731540147587,0.3214864114293788,0.6868814754187471,304579
82,304579,290730,1846,3820,8183,22.815479840977577,0.1532817374471451,0.3249218152766088,0.706316606298669,304579
83,304579,290414,1850,3917,8398,22.787062028735942,0.1541356879240917,0.33247005390037543,0.7263322294395912,304579
84,304579,290107,1875,3994,8603,22.760605083076314,0.15689195531652114,0.3410445468321413,0.741458414775023,304579
85,304579,289782,1943,4059,8795,22.726396550087795,0.16354637906562614,0.35333400431113315,0.7567230665354455,304579
86,304579,289439,1967,4110,9063,22.705526104167877,0.16275016496045344,0.36056342228007415,0.7711603085915946,304579
87,304579,289130,1982,4167,9300,22.68242109995751,0.170273532115788,0.35545076120981706,0.7918546067168863,304579
88,304579,288829,1982,4244,9524,22.662341321915836,0.1658834828207548,0.3617557540352704,0.8100194412281397,304579
89,304579,288538,1989,4307,9745,22.640782335070334,0.15839313306514963,0.3710908679154148,0.8297336639491004,304579
90,304579,288225,2017,4330,10007,22.614544726889918,0.16421405685768095,0.36607578584300365,0.855165430409399,304579
91,304579,287898,2032,4399,10250,22.581701706597485,0.16959991307445715,0.37049280818957336,0.8782055721384839,304579
92,304579,287578,2054,4441,10506,22.562248073448618,0.17097823289555036,0.3670499249906973,0.899723768665135,304579
93,304579,287232,2056,4513,10778,22.542158147672186,0.17206322863775722,0.37621431131188493,0.9095643123781733,304579
94,304579,286900,2094,4558,11027,22.51222554506904,0.1712257149832361,0.3785901824729053,0.9379585574748185,304579
95,304579,286553,2132,4622,11272,22.48615512331255,0.17321005053286156,0.3836651426963569,0.9569696834582309,304579
96,304579,286182,2177,4679,11541,22.454303379495684,0.18000626011969195,0.3907500855515663,0.9749402748330566,304579
97,304579,285846,2192,4738,11803,22.420364618480395,0.1826833564478086,0.4000275018773082,0.996924523194488,304579
98,304579,285513,2202,4751,12113,22.392993901263072,0.18264019745250823,0.40355518190384676,1.0208107193805733,304579
99,304579,285162,2214,4825,12378,22.363588418416363,0.18521827352048054,0.41041266723515357,1.040780640828002,304579
100,304579,284813,2242,4883,12641,22.32709534131822,0.18988404711280626,0.4143274570301396,1.0686931545388352,304579
101,304579,284484,2267,4952,12876,22.285330209126148,0.18738570986587103,0.426164385836827,1.1011196951711544,304579
102,304579,284155,2281,5029,13114,22.257287575285215,0.19474076953063635,0.431164781060506,1.1168068741236414,304579
103,304579,283781,2318,5097,13383,22.22224355977758,0.19716699108651983,0.4421077422306528,1.1384817069052462,304579
104,304579,283431,2334,5167,13647,22.186033644143887,0.19837222563002477,0.44519323042861386,1.1704008997974737,304579
105,304579,283043,2367,5243,13926,22.153531067572175,0.19943643802852207,0.44898015946015674,1.1980523349391483,304579
106,304579,282648,2371,5329,14231,22.119441203118576,0.2000103120905026,0.45045387704467604,1.2300946077462451,304579
107,304579,282259,2417,5383,14520,22.092715643995945,0.20777556617005527,0.44762643397292606,1.251882355861074,304579
108,304579,281878,2398,5465,14838,22.064706419341846,0.20181884545667086,0.4573488527673509,1.2761258824341326,304579
109,304579,281473,2461,5529,15116,22.038536069270496,0.20631592248616037,0.46330619220903246,1.2918418160343106,304579
110,304579,281086,2518,5551,15424,22.012486438223497,0.2102788413715314,0.46000822182320134,1.3172264985817712,304579
111,304579,280687,2556,5596,15740,21.97944758506751,0.21737759091652314,0.45912087855936784,1.3440539454565967,304579
112,304579,280278,2589,5642,16070,21.93889839127755,0.21963401613783673,0.4685219666957144,1.3729456258888968,304579
113,304579,279870,2589,5754,16366,21.900436604230674,0.21976423882702087,0.47608674470173373,1.403712412240572,304579
114,304579,279453,2622,5824,16680,21.861671749318734,0.22291873237620127,0.4892544075298683,1.4261551107751955,304579
115,304579,279033,2626,5964,16956,21.826610153996548,0.2230035533774632,0.4990769378966263,1.4513093547293636,304579
116,304579,278638,2652,6006,17283,21.808820747440897,0.2183647291439364,0.5015883166007422,1.4712262068144242,304579
117,304579,278209,2724,6072,17574,21.77372340135531,0.2243788237026812,0.5100086685839117,1.4918891063580975,304579
118,304579,277794,2707,6194,17884,21.73440542523375,0.22875503180078682,0.5239989784936882,1.5128405644717744,304579
119,304579,277348,2768,6236,18227,21.69815677042024,0.2329765976238559,0.5284115881967999,1.5404550437591034,304579
120,304579,276928,2803,6261,18587,21.66848355365943,0.23384421618861445,0.5275378093864286,1.5701344207655272,304579
121,304579,276559,2800,6304,18916,21.646306831555226,0.22839253295674983,0.5273450446248014,1.5979555908632235,304579
122,304579,276138,2811,6403,19227,21.624137684253224,0.23540138833064783,0.5263323493511425,1.6141285780649859,304579
123,304579,275701,2829,6479,19570,21.600001089931716,0.23657891414602628,0.5267324522656768,1.636687543656582,304579
124,304579,275318,2788,6566,19907,21.557059063061388,0.23358886520996866,0.5324657286958617,1.6768863430327832,304579
125,304579,274889,2817,6589,20284,21.511439373038485,0.2379198048415304,0.5369754079300508,1.7136654141899355,304579
126,304579,274498,2775,6657,20649,21.47834951005756,0.23292095472002466,0.5503638870097112,1.7383656482127041,304579
127,304579,274072,2843,6637,21027,21.447461278549106,0.2409388160008373,0.5518446731753487,1.7597552322747085,304579
128,304579,273660,2840,6697,21382,21.418959133572308,0.238884343355092,0.5609989721582035,1.7811575509143975,304579
129,304579,273213,2877,6787,21702,21.388959178086818,0.2374678748814811,0.5624905368007116,1.8110824102309895,304579
130,304579,272777,2901,6822,22079,21.35895075034707,0.24096330227611604,0.5620964005655832,1.83798954681123,304579
131,304579,272334,2915,6884,22446,21.31370970938681,0.2378769017072901,0.5674243896692744,1.8809889992366244,304579
132,304579,271876,2939,6936,22828,21.268868872983838,0.23734807331473123,0.575117504048836,1.9186655496525946,304579
133,304579,271408,3007,6960,23204,21.246022904606765,0.24095636393187486,0.5738079093574336,1.9392128221039282,304579
134,304579,270941,3060,6980,23598,21.224286173237076,0.2453663057819871,0.566454418082146,1.9638931028987896,304579
135,304579,270486,3085,7028,23980,21.19519134772079,0.24472734985942335,0.5728988328068488,1.9871824696129359,304579
136,304579,269993,3093,7101,24392,21.14623162013533,0.24405765443066693,0.5792075524844088,2.0305031729495933,304579
137,304579,269550,3106,7144,24779,21.100119372132536,0.24044937152164203,0.5897557568001959,2.069675499545627,304579
138,304579,269084,3192,7136,25167,21.066961349401122,0.2528849036399172,0.5906514397570106,2.089502307201949,304579
139,304579,268626,3155,7253,25545,21.024925904824027,0.2513594537318829,0.596827278488208,2.126887362955882,304579
140,304579,268134,3152,7412,25881,20.98447965373953,0.25352594100666487,0.6062405662156459,2.155753839038158,304579
141,304579,267695,3148,7494,26242,20.95780083506937,0.25192772436599004,0.608712661418093,2.181558779146545,304579
142,304579,267228,3125,7544,26682,20.933297680321935,0.24852708575665228,0.6155291446641847,2.202646089257228,304579
143,304579,266746,3141,7596,27096,20.909152761218436,0.25599302263928836,0.604673417345114,2.2301807987971616,304579
144,304579,266308,3168,7594,27509,20.86642196929527,0.26490863790156033,0.6092057985877509,2.259463594215418,304579
145,304579,265835,3214,7620,27910,20.815188283069162,0.26072659888568517,0.6159440956256093,2.3081410224195444,304579
146,304579,265373,3234,7634,28338,20.774091927669065,0.2628597077575115,0.614785887992571,2.348262476580853,304579
147,304579,264868,3269,7680,28762,20.746852878445914,0.2666887353836763,0.6163348605076383,2.37012352566277,304579
148,304579,264374,3278,7739,29188,20.70013437837072,0.2658063364728617,0.6210213651501263,2.4130379200062904,304579
149,304579,263923,3284,7769,29603,20.648779226799494,0.26489104853886125,0.6279117201832333,2.4584180044784114,304579
150,304579,263456,3282,7820,30021,20.60155774415984,0.26950272203881426,0.6426320016858658,2.486307532115477,304579
151,304579,262994,3311,7823,30451,20.56607608506709,0.26820161656040425,0.6380170613622655,2.5277052370102426,304579
152,304579,262538,3293,7865,30883,20.525624947415096,0.2745527769778439,0.6501259020392474,2.549696373567812,304579
153,304579,262047,3341,7911,31280,20.461071873910523,0.278487902646769,0.6614709565668885,2.598969266875818,304579
154,304579,261585,3374,7937,31683,20.423823766752285,0.28098791687333186,0.6547641878075932,2.6404241285667878,304579
155,304579,261123,3374,7984,32098,20.39134171121081,0.2785717123399229,0.6560610000874517,2.6740255763618146,304579
156,304579,260568,3444,8064,32503,20.37129727305781,0.2846589921451092,0.659847971872865,2.684195762924215,304579
157,304579,260045,3473,8145,32916,20.327217897371614,0.2915560746829265,0.6609814904813196,2.7202445374641395,304579
158,304579,259550,3520,8190,33319,20.282654952051043,0.30331600184893004,0.6649702721355325,2.7490587739644923,304579
159,304579,259057,3563,8228,33731,20.254582585893544,0.30530954731374355,0.6760146289692813,2.7640932378234297,304579
160,304579,258606,3531,8277,34165,20.226508942852444,0.30456719208339644,0.6767204929496121,2.792203372114548,304579
161,304579,258134,3508,8311,34626,20.192061686346456,0.29879585748202964,0.6857169356051436,2.8234255205663707,304579
162,304579,257629,3518,8362,35070,20.15969432876356,0.2984732495735817,0.6953613840930843,2.846471037569775,304579
163,304579,257138,3501,8438,35502,20.09475722140612,0.3053892936622888,0.710546101291575,2.889307383640015,304579
164,304579,256648,3531,8486,35914,20.07351794599769,0.30197010988314493,0.7133790042926674,2.911132939826498,304579
