Day,S,E,I,R,Total
0,222359.0,22.0,2.0,0.0,222383.0
1,222358.7034238797,18.884241632060185,5.183471066316066,0.22886342204980104,222383.00000000015
2,222358.17535215314,16.46138172625914,7.726896772843062,0.6363693478703919,222383.0000000001
3,222357.46190986966,14.58225776706948,9.768907560117587,1.1869248032417525,222383.0000000001
4,222356.59922622412,13.129878977961296,11.418244284887011,1.8526505131414752,222383.00000000012
5,222355.6155894897,12.012488415789186,12.760204239285818,2.6117178553145126,222383.0000000001
6,222354.5331373152,11.158121074495886,13.861697171863495,3.447044438531405,222383.0000000001
7,222353.36918250407,10.51033559531313,14.77521088947534,4.3452710112137805,222383.00000000006
8,222352.13725286842,10.024866517780996,15.541921581537213,5.295959032338989,222383.0000000001
9,222350.84790685034,9.666998432167116,16.194133431392444,6.290961286173344,222383.00000000006
10,222349.50937327225,9.409506327264378,16.757192184905822,7.323928215659915,222383.0000000001
11,222348.1280530023,9.231040478169156,17.250985707149265,8.389920812448485,222383.00000000006
12,222346.7089125386,9.114859279439939,17.691121272746557,9.485106909276478,222383.00000000006
13,222345.25579266157,9.047835495587703,18.089848832730592,10.606523010157646,222383.00000000003
14,222343.77165051937,9.019676807195827,18.456785186587357,11.751887486902012,222383.00000000006
15,222342.2587494724,9.02231453133735,18.79948190953963,12.919454086767274,222383.0000000001
16,222340.71880801878,9.04942406979065,19.123870896372136,14.10789701512528,222383.00000000006
17,222339.15311656744,9.096048860613122,19.4346137441498,15.316220827859798,222383.00000000006
18,222337.56262903986,9.158305362008555,19.735375850886253,16.54368974728176,222383.00000000006
19,222335.94803469043,9.233151714952688,20.029041352680366,17.789772242005643,222383.0000000001
20,222334.3098144406,9.318206257309035,20.317881745712533,19.054097556459567,222383.0000000001
21,222332.64828504052,9.411605224072979,20.603688101879335,20.336421633596885,222383.00000000006
22,222330.96363371276,9.51189108573256,20.887874819701114,21.63660038189265,222383.0000000001
23,222329.2559453033,9.617925005539732,21.17156096725051,22.95456872400381,222383.0000000001
24,222327.52522357315,9.728818158973716,21.4556341009267,24.2903241670818,222383.00000000012
25,222325.7714078844,9.843877876876396,21.74080031211822,25.643913926722835,222383.00000000012
26,222323.9943862803,9.962565397088696,22.027623488858286,27.01542483389313,222383.00000000015
27,222322.19400573877,10.084462711813048,22.316556127006507,28.40497542252792,222383.00000000015
28,222320.37008018896,10.209246616755786,22.607963450561307,29.812709743833352,222383.00000000012
29,222318.52239680281,10.336668310132483,22.90214237584891,31.238792511333504,222383.00000000015
30,222316.6507209195,10.466537391701806,23.199336387864584,32.68340530105333,222383.00000000012
31,222314.75479988853,10.598709341739273,23.499747183595524,34.14674358629713,222383.00000000015
32,222312.83436608003,10.73307567775389,23.80354382762687,35.629014414740105,222383.00000000015
33,222310.8891392266,10.869556263416117,24.110869908288382,37.13043460186782,222383.00000000017
34,222308.91882826193,11.008093233528053,24.421849192485666,38.65122931224791,222383.0000000002
35,222306.9231327416,11.148646263686063,24.736590031321054,40.19163096359615,222383.0000000002
36,222304.9017439475,11.291188855982702,25.05518882185014,41.75187837486287,222383.0000000002
37,222302.8543457467,11.435705413494258,25.377732736113202,43.33221610387136,222383.00000000017
38,222300.78061524968,11.582188958665027,25.704301852054943,44.93289393978327,222383.00000000017
39,222298.68022331694,11.730639337562513,26.03497083315409,46.554166512518066,222383.00000000017
40,222296.55283494203,11.881061820738429,26.369810239698833,48.196292997734005,222383.00000000023
41,222294.39810953956,12.033466006780255,26.70888755896664,49.85953689487087,222383.00000000015
42,222292.21570117152,12.187864924277546,27.05226805117775,51.544165853214345,222383.00000000017
43,222290.00525869534,12.34427438152537,27.400015365422554,53.25045155790308,222383.00000000017
44,222287.76642586634,12.502712462469493,27.752192019854707,54.978669651523624,222383.0000000002
45,222285.49884142287,12.663199074490315,28.10885983393108,56.729099668909896,222383.0000000002
46,222283.20213912855,12.825755639830023,28.47008022680243,58.50202500502079,222383.0000000002
47,222280.8759477936,12.990404827056269,28.835914480378882,60.297732899160735,222383.0000000002
48,222278.51989128455,13.157170362936904,29.206423924748194,62.116514427977684,222383.0000000002
49,222276.13358850274,13.326076893466352,29.581670081365242,63.95866452263539,222383.00000000017
50,222273.71665337222,13.497149859602771,29.961714789582356,65.8244819787992,222383.00000000023
51,222271.26869481461,13.67041537932662,30.346620329657846,67.71426947660271,222383.0000000002
52,222268.78931670188,13.845900175489664,30.736449504949995,69.62833361788188,222383.00000000017
53,222266.27811781623,14.023631548183484,31.131265678159295,71.56698495763108,222383.0000000002
54,222263.73469180564,14.203637325902408,31.53113282966376,73.5305380389811,222383.0000000002
55,222261.15862712412,14.38594581693666,31.936115618941162,75.51931144019247,222383.0000000002
56,222258.54950698288,14.57058579592853,32.346279408528204,77.53362781286936,222383.0000000002
57,222255.90690930083,14.757586482808923,32.76169029574817,79.57381392081987,222383.00000000017
58,222253.23040662345,14.946977527629517,33.182415145410864,81.64020070371582,222383.00000000023
59,222250.5195660756,15.138789005007474,33.608521605534385,83.73312331403946,222383.00000000017
60,222247.77394930515,15.333051405763088,34.04007812790262,85.85292116139765,222383.0000000002
61,222244.99311239517,15.529795630467676,34.477153993414824,87.99993798117728,222383.0000000002
62,222242.1766058172,15.729052990335513,34.91981932132489,90.17452187136873,222383.00000000023
63,222239.32397435483,15.930855205112099,35.36814508783043,92.37702535246355,222383.00000000023
64,222236.4347570355,16.13523440443196,35.82220313940287,94.60780542089483,222383.00000000023
65,222233.5084870592,16.342223128565312,36.28206620741866,96.86722360505057,222383.00000000023
66,222230.544691732,16.551854330605586,36.74780792026576,99.15564601736256,222383.00000000026
67,222227.54289239456,16.7641613791863,37.219502816030825,101.47344341047534,222383.00000000026
68,222224.50260433502,16.9791780625948,37.69722635709303,103.82099124554045,222383.00000000023
69,222221.42333669736,17.196938593423155,38.18105494518899,106.19866976428854,222383.0000000003
70,222218.3045925277,17.417477606278833,38.671065913717186,108.60686395255682,222383.00000000026
71,222215.14586850884,17.64083017149024,39.16733757104128,111.04596374888796,222383.00000000026
72,222211.94665504788,17.867031790616625,39.66994918614227,113.51636397560617,222383.00000000023
73,222208.7064360721,18.096118408802578,40.178981020018895,116.01846449935086,222383.0000000003
74,222205.42468905434,18.328126413057017,40.69451432192549,118.55267021092268,222383.00000000023
75,222202.10088485302,18.5630926425282,41.21663135335158,121.11939115135144,222383.00000000023
76,222198.73448770365,18.801054388869538,41.74541538943188,123.71904251830932,222383.00000000026
77,222195.32495501643,19.042049408616446,42.28095074974659,126.3520448254483,222383.00000000026
